<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTLA.UK,D,20180515,000000,4.966,4.966,4.966,4.966,0,0
DTLA.UK,D,20180516,000000,4.9465,4.9465,4.9465,4.9465,0,0
DTLA.UK,D,20180517,000000,4.922,4.922,4.922,4.922,0,0
DTLA.UK,D,20180518,000000,4.9455,4.9455,4.9455,4.9455,0,0
DTLA.UK,D,20180521,000000,4.959,4.9615,4.959,4.9615,6010,0
DTLA.UK,D,20180522,000000,4.9475,4.9475,4.9475,4.9475,0,0
DTLA.UK,D,20180523,000000,4.996,4.996,4.996,4.996,0,0
DTLA.UK,D,20180524,000000,5.0335,5.0335,5.0335,5.0335,0,0
DTLA.UK,D,20180525,000000,5.058,5.058,5.058,5.058,0,0
DTLA.UK,D,20180529,000000,5.128,5.128,5.128,5.128,0,0
DTLA.UK,D,20180530,000000,5.1245,5.1245,5.1245,5.1245,0,0
DTLA.UK,D,20180531,000000,5.128,5.1425,5.128,5.1425,88,0
DTLA.UK,D,20180601,000000,5.1085,5.1085,5.1085,5.1085,0,0
DTLA.UK,D,20180604,000000,5.091,5.091,5.091,5.091,0,0
DTLA.UK,D,20180605,000000,5.0895,5.0895,5.0895,5.0895,0,0
DTLA.UK,D,20180606,000000,5.0325,5.0325,5.0325,5.0325,0,0
DTLA.UK,D,20180607,000000,5.051,5.051,5.051,5.051,0,0
DTLA.UK,D,20180608,000000,5.0745,5.0745,5.0745,5.0745,0,0
DTLA.UK,D,20180611,000000,5.0595,5.0595,5.0595,5.0595,0,0
DTLA.UK,D,20180612,000000,5.0515,5.0515,5.0515,5.0515,0,0
DTLA.UK,D,20180613,000000,5.0705,5.0705,5.0705,5.0705,0,0
DTLA.UK,D,20180614,000000,5.083,5.083,5.083,5.083,0,0
DTLA.UK,D,20180615,000000,5.12,5.12,5.12,5.12,0,0
DTLA.UK,D,20180618,000000,5.0945,5.0945,5.0945,5.0945,0,0
DTLA.UK,D,20180619,000000,5.1295,5.1295,5.1295,5.1295,0,0
DTLA.UK,D,20180620,000000,5.1085,5.1085,5.1085,5.1085,0,0
DTLA.UK,D,20180621,000000,5.104,5.104,5.104,5.104,0,0
DTLA.UK,D,20180622,000000,5.108,5.1095,5.108,5.1095,10594,0
DTLA.UK,D,20180625,000000,5.1355,5.1355,5.1355,5.1355,0,0
DTLA.UK,D,20180626,000000,5.1265,5.1265,5.1265,5.1265,0,0
DTLA.UK,D,20180627,000000,5.1635,5.1635,5.1635,5.1635,0,0
DTLA.UK,D,20180628,000000,5.173,5.173,5.173,5.173,0,0
DTLA.UK,D,20180629,000000,5.1755,5.1755,5.1755,5.1755,0,0
DTLA.UK,D,20180702,000000,5.1635,5.1635,5.1635,5.1635,0,0
DTLA.UK,D,20180703,000000,5.156,5.185,5.156,5.185,124,0
DTLA.UK,D,20180704,000000,5.1785,5.1785,5.1785,5.1785,0,0
DTLA.UK,D,20180705,000000,5.171,5.206,5.171,5.206,11490,0
DTLA.UK,D,20180706,000000,5.2145,5.2145,5.2145,5.2145,0,0
DTLA.UK,D,20180709,000000,5.189,5.189,5.189,5.189,0,0
DTLA.UK,D,20180710,000000,5.184,5.184,5.184,5.184,0,0
DTLA.UK,D,20180711,000000,5.1955,5.1955,5.1955,5.1955,0,0
DTLA.UK,D,20180712,000000,5.198,5.198,5.198,5.198,0,0
DTLA.UK,D,20180713,000000,5.211,5.211,5.211,5.211,0,0
DTLA.UK,D,20180716,000000,5.1785,5.1785,5.1785,5.1785,0,0
DTLA.UK,D,20180717,000000,5.1905,5.1905,5.1905,5.1905,0,0
DTLA.UK,D,20180718,000000,5.18,5.18,5.18,5.18,0,0
DTLA.UK,D,20180719,000000,5.1875,5.1875,5.1875,5.1875,0,0
DTLA.UK,D,20180720,000000,5.133,5.133,5.133,5.133,0,0
DTLA.UK,D,20180723,000000,5.0775,5.0775,5.0775,5.0775,0,0
DTLA.UK,D,20180724,000000,5.082,5.082,5.0805,5.0805,89,0
DTLA.UK,D,20180725,000000,5.1075,5.1075,5.1075,5.1075,0,0
DTLA.UK,D,20180726,000000,5.0765,5.0765,5.0765,5.0765,0,0
DTLA.UK,D,20180727,000000,5.0835,5.0835,5.0835,5.0835,0,0
DTLA.UK,D,20180730,000000,5.0705,5.0705,5.0705,5.0705,0,0
DTLA.UK,D,20180731,000000,5.098,5.098,5.0925,5.0925,276,0
DTLA.UK,D,20180801,000000,5.0475,5.0475,5.0475,5.0475,0,0
DTLA.UK,D,20180802,000000,5.057,5.057,5.057,5.057,0,0
DTLA.UK,D,20180803,000000,5.0755,5.0755,5.0755,5.0755,0,0
DTLA.UK,D,20180806,000000,5.0985,5.0985,5.0985,5.0985,0,0
DTLA.UK,D,20180807,000000,5.0685,5.0685,5.0685,5.0685,0,0
DTLA.UK,D,20180808,000000,5.0655,5.0655,5.0655,5.0655,0,0
DTLA.UK,D,20180809,000000,5.0815,5.0815,5.0815,5.0815,0,0
DTLA.UK,D,20180810,000000,5.135,5.1385,5.134,5.1385,2100,0
DTLA.UK,D,20180813,000000,5.125,5.1275,5.125,5.1275,15539,0
DTLA.UK,D,20180814,000000,5.12,5.1205,5.12,5.1205,51330,0
DTLA.UK,D,20180815,000000,5.1515,5.1515,5.1515,5.1515,0,0
DTLA.UK,D,20180816,000000,5.13,5.13,5.13,5.13,0,0
DTLA.UK,D,20180817,000000,5.1615,5.1615,5.1615,5.1615,0,0
DTLA.UK,D,20180820,000000,5.19,5.1925,5.12,5.1925,17440,0
DTLA.UK,D,20180821,000000,5.1715,5.1715,5.1715,5.1715,0,0
DTLA.UK,D,20180822,000000,5.1815,5.1815,5.1815,5.1815,0,0
DTLA.UK,D,20180823,000000,5.198,5.198,5.198,5.198,0,0
DTLA.UK,D,20180824,000000,5.2055,5.2055,5.2055,5.2055,0,0
DTLA.UK,D,20180828,000000,5.185,5.185,5.148,5.1535,3452,0
DTLA.UK,D,20180829,000000,5.1405,5.1405,5.1405,5.1405,0,0
DTLA.UK,D,20180830,000000,5.168,5.168,5.168,5.168,0,0
DTLA.UK,D,20180831,000000,5.19,5.192,5.19,5.192,130,0
DTLA.UK,D,20180903,000000,5.158,5.158,5.156,5.156,10000,0
DTLA.UK,D,20180904,000000,5.121,5.123,5.116,5.116,50244,0
DTLA.UK,D,20180905,000000,5.121,5.121,5.12,5.12,16000,0
DTLA.UK,D,20180906,000000,5.131,5.131,5.131,5.131,0,0
DTLA.UK,D,20180907,000000,5.092,5.092,5.092,5.092,0,0
DTLA.UK,D,20180910,000000,5.097,5.102,5.0965,5.0965,26943,0
DTLA.UK,D,20180911,000000,5.097,5.102,5.0815,5.0815,5000,0
DTLA.UK,D,20180912,000000,5.08,5.08,5.08,5.08,0,0
DTLA.UK,D,20180913,000000,5.07,5.102,5.07,5.1015,2487,0
DTLA.UK,D,20180914,000000,5.067,5.071,5.0615,5.0615,23750,0
DTLA.UK,D,20180917,000000,5.069,5.069,5.069,5.069,0,0
DTLA.UK,D,20180918,000000,5.03,5.03,5.024,5.024,15784,0
DTLA.UK,D,20180919,000000,4.9815,4.9815,4.9815,4.9815,0,0
DTLA.UK,D,20180920,000000,5,5,5,5,0,0
DTLA.UK,D,20180921,000000,4.996,4.9995,4.996,4.9995,2000,0
DTLA.UK,D,20180924,000000,4.9965,4.9965,4.9965,4.9965,0,0
DTLA.UK,D,20180925,000000,4.976,4.98,4.976,4.98,403,0
DTLA.UK,D,20180926,000000,4.9995,4.9995,4.9865,4.9865,2200,0
DTLA.UK,D,20180927,000000,5.028,5.028,5.005,5.005,10000,0
DTLA.UK,D,20180928,000000,5.046,5.046,5.0215,5.0215,1507,0
DTLA.UK,D,20181001,000000,4.992,5.0015,4.992,5.0015,6128,0
DTLA.UK,D,20181002,000000,5.0045,5.0045,5.0045,5.0045,0,0
DTLA.UK,D,20181003,000000,4.945,4.945,4.945,4.945,0,0
DTLA.UK,D,20181004,000000,4.8725,4.8725,4.8725,4.8725,0,0
DTLA.UK,D,20181005,000000,4.85525,4.85525,4.85525,4.85525,0,0
DTLA.UK,D,20181008,000000,4.846,4.846,4.833,4.833,1604,0
DTLA.UK,D,20181009,000000,4.8195,4.86125,4.813,4.86125,4288,0
DTLA.UK,D,20181010,000000,4.85675,4.85675,4.85675,4.85675,0,0
DTLA.UK,D,20181011,000000,4.8955,4.8955,4.8955,4.8955,0,0
DTLA.UK,D,20181012,000000,4.911,4.911,4.911,4.911,0,0
DTLA.UK,D,20181015,000000,4.89625,4.89625,4.89625,4.89625,0,0
DTLA.UK,D,20181016,000000,4.89925,4.89925,4.89925,4.89925,0,0
DTLA.UK,D,20181017,000000,4.912,4.912,4.912,4.912,0,0
DTLA.UK,D,20181018,000000,4.888,4.888,4.8875,4.8875,2700,0
DTLA.UK,D,20181019,000000,4.8705,4.8705,4.8705,4.8705,0,0
DTLA.UK,D,20181022,000000,4.8645,4.8645,4.8645,4.8645,0,0
DTLA.UK,D,20181023,000000,4.9245,4.9245,4.903,4.903,2650,0
DTLA.UK,D,20181024,000000,4.9025,4.9025,4.9025,4.9025,0,0
DTLA.UK,D,20181025,000000,4.896,4.896,4.896,4.896,0,0
DTLA.UK,D,20181026,000000,4.928,4.928,4.928,4.928,0,0
DTLA.UK,D,20181029,000000,4.917,4.917,4.9095,4.9095,420,0
DTLA.UK,D,20181030,000000,4.8905,4.8905,4.8905,4.8905,0,0
DTLA.UK,D,20181031,000000,4.872,4.872,4.872,4.872,0,0
DTLA.UK,D,20181101,000000,4.8665,4.8665,4.8665,4.8665,0,0
DTLA.UK,D,20181102,000000,4.8235,4.8235,4.8235,4.8235,0,0
DTLA.UK,D,20181105,000000,4.815,4.832,4.815,4.832,42825,0
DTLA.UK,D,20181106,000000,4.835,4.835,4.8305,4.8305,40870,0
DTLA.UK,D,20181107,000000,4.852,4.86,4.852,4.86,12000,0
DTLA.UK,D,20181108,000000,4.837,4.837,4.8325,4.8325,14000,0
DTLA.UK,D,20181109,000000,4.86,4.871,4.8455,4.86375,21897,0
DTLA.UK,D,20181112,000000,4.885,4.902,4.885,4.902,43069,0
DTLA.UK,D,20181113,000000,4.88,4.88,4.8725,4.8725,9163,0
DTLA.UK,D,20181114,000000,4.902,4.902,4.884,4.889,950,0
DTLA.UK,D,20181115,000000,4.9085,4.9085,4.9085,4.9085,0,0
DTLA.UK,D,20181116,000000,4.9,4.9,4.9,4.9,0,0
DTLA.UK,D,20181119,000000,4.915,4.9205,4.915,4.9205,40800,0
DTLA.UK,D,20181120,000000,4.9375,4.9375,4.9375,4.9375,0,0
DTLA.UK,D,20181121,000000,4.9225,4.9225,4.9225,4.9225,0,0
DTLA.UK,D,20181122,000000,4.9385,4.9385,4.93,4.93,17020,0
DTLA.UK,D,20181123,000000,4.938,4.962,4.938,4.95,11150,0
DTLA.UK,D,20181126,000000,4.933,4.933,4.9275,4.9275,8635,0
DTLA.UK,D,20181127,000000,4.935,4.935,4.935,4.935,0,0
DTLA.UK,D,20181128,000000,4.943,4.943,4.925,4.925,12406,0
DTLA.UK,D,20181129,000000,4.96,4.96,4.934,4.934,1000,0
DTLA.UK,D,20181130,000000,4.941,4.956,4.941,4.94475,21606,0
DTLA.UK,D,20181203,000000,4.921,4.95825,4.921,4.95825,911,0
DTLA.UK,D,20181204,000000,5.03,5.0405,5.018,5.0405,10865,0
DTLA.UK,D,20181205,000000,5.057,5.06,5.0435,5.0435,58059,0
DTLA.UK,D,20181206,000000,5.12,5.1225,5.12,5.1225,16000,0
DTLA.UK,D,20181207,000000,5.095,5.095,5.084,5.084,15374,0
DTLA.UK,D,20181210,000000,5.121,5.134,5.121,5.133,2455832,0
DTLA.UK,D,20181211,000000,5.13,5.13,5.1245,5.1245,2544,0
DTLA.UK,D,20181212,000000,5.1015,5.1015,5.1015,5.1015,0,0
DTLA.UK,D,20181213,000000,5.093,5.104,5.0815,5.0815,26268,0
DTLA.UK,D,20181214,000000,5.1,5.11,5.0995,5.0995,451342,0
DTLA.UK,D,20181217,000000,5.12,5.12,5.1135,5.1135,200,0
DTLA.UK,D,20181218,000000,5.159,5.159,5.138,5.1555,38900,0
DTLA.UK,D,20181219,000000,5.193,5.193,5.184,5.1875,514,0
DTLA.UK,D,20181220,000000,5.268,5.268,5.239,5.246,2591,0
DTLA.UK,D,20181221,000000,5.209,5.209,5.193,5.193,382,0
DTLA.UK,D,20181224,000000,5.222,5.222,5.2185,5.2185,726,0
DTLA.UK,D,20181227,000000,5.224,5.224,5.224,5.224,0,0
DTLA.UK,D,20181228,000000,5.185,5.208,5.185,5.199,8992,0
DTLA.UK,D,20181231,000000,5.2145,5.2145,5.2145,5.2145,0,0
DTLA.UK,D,20190102,000000,5.254,5.256,5.236,5.243,174416,0
DTLA.UK,D,20190103,000000,5.313,5.315,5.306,5.315,5763,0
DTLA.UK,D,20190104,000000,5.335,5.335,5.257,5.257,1069,0
DTLA.UK,D,20190107,000000,5.286,5.3,5.2665,5.2665,25744,0
DTLA.UK,D,20190108,000000,5.258,5.258,5.245,5.25,67094,0
DTLA.UK,D,20190109,000000,5.232,5.232,5.214,5.214,18582,0
DTLA.UK,D,20190110,000000,5.243,5.243,5.212,5.217,64670,0
DTLA.UK,D,20190111,000000,5.217,5.218,5.217,5.218,10115,0
DTLA.UK,D,20190114,000000,5.2,5.206,5.199,5.199,10290,0
DTLA.UK,D,20190115,000000,5.21,5.21,5.178,5.178,4360862,0
DTLA.UK,D,20190116,000000,5.175,5.175,5.175,5.175,0,0
DTLA.UK,D,20190117,000000,5.187,5.187,5.182,5.182,8441,0
DTLA.UK,D,20190118,000000,5.182,5.182,5.1465,5.1465,20393,0
DTLA.UK,D,20190121,000000,5.16,5.16,5.157,5.157,1100,0
DTLA.UK,D,20190122,000000,5.195,5.195,5.1795,5.1795,4496,0
DTLA.UK,D,20190123,000000,5.18,5.1875,5.18,5.1875,295,0
DTLA.UK,D,20190124,000000,5.2145,5.2145,5.2145,5.2145,0,0
DTLA.UK,D,20190125,000000,5.214,5.214,5.196,5.197,480,0
DTLA.UK,D,20190128,000000,5.195,5.2035,5.195,5.2035,1451,0
DTLA.UK,D,20190129,000000,5.193,5.201,5.188,5.201,33218,0
DTLA.UK,D,20190130,000000,5.213,5.213,5.209,5.209,5604,0
DTLA.UK,D,20190131,000000,5.24,5.258,5.24,5.258,5635,0
DTLA.UK,D,20190201,000000,5.246,5.255,5.2265,5.2265,2245,0
DTLA.UK,D,20190204,000000,5.225,5.225,5.1895,5.1895,78340,0
DTLA.UK,D,20190205,000000,5.185,5.2365,5.185,5.2365,1506,0
DTLA.UK,D,20190206,000000,5.233,5.241,5.232,5.232,7388,0
DTLA.UK,D,20190207,000000,5.253,5.253,5.244,5.2465,4044,0
