<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTA.UK,D,20170418,000000,5.0075,5.0075,5.0075,5.0075,0,0
IBTA.UK,D,20170419,000000,5.0075,5.0075,5.0075,5.0075,0,0
IBTA.UK,D,20170420,000000,5.005,5.005,5.005,5.005,0,0
IBTA.UK,D,20170421,000000,5.0075,5.0075,5.0075,5.0075,0,0
IBTA.UK,D,20170424,000000,5.0025,5.0025,5.0025,5.0025,0,0
IBTA.UK,D,20170425,000000,5.00125,5.00125,5.00125,5.00125,0,0
IBTA.UK,D,20170426,000000,4.998,4.998,4.998,4.998,0,0
IBTA.UK,D,20170427,000000,5.00125,5.00125,5.00125,5.00125,0,0
IBTA.UK,D,20170428,000000,5.005,5.005,5.00375,5.00375,1,0
IBTA.UK,D,20170502,000000,5.005,5.005,5.00375,5.00375,1,0
IBTA.UK,D,20170503,000000,5.002,5.002,5.002,5.002,0,0
IBTA.UK,D,20170504,000000,4.999,4.999,4.999,4.999,0,0
IBTA.UK,D,20170505,000000,4.9985,4.9985,4.9985,4.9985,0,0
IBTA.UK,D,20170508,000000,4.9975,4.9975,4.9975,4.9975,0,0
IBTA.UK,D,20170509,000000,4.9965,4.9965,4.9965,4.9965,0,0
IBTA.UK,D,20170510,000000,4.997,4.997,4.997,4.997,0,0
IBTA.UK,D,20170511,000000,4.998,4.999,4.998,4.998,34863,0
IBTA.UK,D,20170512,000000,5.0025,5.00375,5.0025,5.00375,17590,0
IBTA.UK,D,20170515,000000,5.0025,5.0025,5.0025,5.0025,0,0
IBTA.UK,D,20170516,000000,5.00375,5.00375,5.00375,5.00375,0,0
IBTA.UK,D,20170517,000000,5.0075,5.0075,5.0075,5.0075,0,0
IBTA.UK,D,20170518,000000,5.0075,5.0075,5.0075,5.0075,0,0
IBTA.UK,D,20170519,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170522,000000,5.0025,5.00625,5.0025,5.00625,17590,0
IBTA.UK,D,20170523,000000,5.005,5.005,5.005,5.005,0,0
IBTA.UK,D,20170524,000000,5.00375,5.00375,5.00375,5.00375,0,0
IBTA.UK,D,20170525,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170526,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170530,000000,5.0025,5.00625,5.0025,5.00625,17590,0
IBTA.UK,D,20170531,000000,5.01,5.01,5.00875,5.00875,2000,0
IBTA.UK,D,20170601,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170602,000000,5.01,5.01,5.01,5.01,0,0
IBTA.UK,D,20170605,000000,5.01,5.01,5.0075,5.0075,1482,0
IBTA.UK,D,20170606,000000,5.01,5.01,5.01,5.01,9980,0
IBTA.UK,D,20170607,000000,5.0075,5.0075,5.00625,5.00625,23541,0
IBTA.UK,D,20170608,000000,5.005,5.005,5.005,5.005,0,0
IBTA.UK,D,20170609,000000,5.00375,5.00375,5.00375,5.00375,0,0
IBTA.UK,D,20170612,000000,5.00375,5.00375,5.00375,5.00375,0,0
IBTA.UK,D,20170613,000000,5.00375,5.00375,5.00375,5.00375,0,0
IBTA.UK,D,20170614,000000,5.01,5.01,5.01,5.01,0,0
IBTA.UK,D,20170615,000000,5.0075,5.0075,5.00375,5.00375,25970,0
IBTA.UK,D,20170616,000000,5.0075,5.0075,5.0075,5.0075,0,0
IBTA.UK,D,20170619,000000,5.00375,5.00375,5.00375,5.00375,0,0
IBTA.UK,D,20170620,000000,5.005,5.005,5.00375,5.00375,12480,0
IBTA.UK,D,20170621,000000,5.005,5.0075,5.00375,5.00375,419490,0
IBTA.UK,D,20170622,000000,5.0075,5.0075,5.005,5.005,73724,0
IBTA.UK,D,20170623,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170626,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170627,000000,5.005,5.005,5.005,5.005,0,0
IBTA.UK,D,20170628,000000,5.0075,5.0075,5.00625,5.00625,8165,0
IBTA.UK,D,20170629,000000,5.005,5.005,5.005,5.005,0,0
IBTA.UK,D,20170630,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170703,000000,5.00125,5.00125,5.00125,5.00125,0,0
IBTA.UK,D,20170704,000000,5.00075,5.00075,5.00075,5.00075,0,0
IBTA.UK,D,20170705,000000,4.999,5.00375,4.999,5.00375,15990,0
IBTA.UK,D,20170706,000000,5,5.0034,5,5.00125,206173,0
IBTA.UK,D,20170707,000000,5.005,5.005,5.00375,5.00375,1200,0
IBTA.UK,D,20170710,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170711,000000,5.005,5.005,5.005,5.005,0,0
IBTA.UK,D,20170712,000000,5.01,5.012,5.01,5.01,12409,0
IBTA.UK,D,20170713,000000,5.00625,5.00625,5.00625,5.00625,0,0
IBTA.UK,D,20170714,000000,5.0125,5.0125,5.01125,5.01125,56200,0
IBTA.UK,D,20170717,000000,5.012,5.012,5.00875,5.00875,159291,0
IBTA.UK,D,20170718,000000,5.0125,5.0125,5.01125,5.01125,39776,0
IBTA.UK,D,20170719,000000,5.0125,5.0125,5.01125,5.01125,74000,0
IBTA.UK,D,20170720,000000,5.0125,5.0125,5.01125,5.01125,89492,0
IBTA.UK,D,20170721,000000,5.0125,5.01375,5.0125,5.01375,100004,0
IBTA.UK,D,20170724,000000,5.0125,5.0125,5.01125,5.01125,23120,0
IBTA.UK,D,20170725,000000,5.0125,5.0125,5.00875,5.00875,194779,0
IBTA.UK,D,20170726,000000,5.0125,5.0125,5.01,5.01,19500,0
IBTA.UK,D,20170727,000000,5.015,5.015,5.01125,5.01125,29349,0
IBTA.UK,D,20170728,000000,5.015,5.015,5.0125,5.01375,30754,0
IBTA.UK,D,20170731,000000,5.015,5.0175,5.015,5.015,357865,0
IBTA.UK,D,20170801,000000,5.015,5.015,5.015,5.015,0,0
IBTA.UK,D,20170802,000000,5.0175,5.0175,5.01625,5.01625,1357,0
IBTA.UK,D,20170803,000000,5.015,5.0175,5.015,5.01625,431208,0
IBTA.UK,D,20170804,000000,5.015,5.015,5.015,5.015,0,0
IBTA.UK,D,20170807,000000,5.0175,5.0175,5.015,5.015,2000,0
IBTA.UK,D,20170808,000000,5.015,5.015,5.01375,5.01375,46626,0
IBTA.UK,D,20170809,000000,5.0175,5.01875,5.0175,5.01875,200002,0
IBTA.UK,D,20170810,000000,5.02,5.02,5.01875,5.01875,70363,0
IBTA.UK,D,20170811,000000,5.0225,5.04741,5.02125,5.02125,17940,0
IBTA.UK,D,20170814,000000,5.0225,5.0225,5.02125,5.02125,196889,0
IBTA.UK,D,20170815,000000,5.0175,5.0175,5.01625,5.01625,300000,0
IBTA.UK,D,20170816,000000,5.0175,5.0175,5.01625,5.01625,100000,0
