<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDUP.UK,D,20150304,000000,22.7295,22.7295,22.5724,22.5724,36625.188067801,0
IDUP.UK,D,20150305,000000,22.3329,22.8031,22.3329,22.6529,54074.34092427,0
IDUP.UK,D,20150306,000000,22.6107,22.6107,21.9256,21.9492,38177.853972703,0
IDUP.UK,D,20150309,000000,21.796,21.958,21.7509,21.9256,45480.681535917,0
IDUP.UK,D,20150310,000000,21.9187,21.9992,21.7901,21.9992,42905.130743534,0
IDUP.UK,D,20150311,000000,21.958,22.0865,21.9256,21.958,9720.4628600208,0
IDUP.UK,D,20150312,000000,21.9109,22.2426,21.9109,22.2426,8392.9538875224,0
IDUP.UK,D,20150313,000000,22.3407,22.4026,22.3104,22.3457,55116.58319508,0
IDUP.UK,D,20150316,000000,22.3016,22.4389,22.3016,22.4124,11019.44516235,0
IDUP.UK,D,20150317,000000,22.5812,22.6441,22.492,22.5135,20569.766811007,0
IDUP.UK,D,20150318,000000,22.3104,22.6666,22.3104,22.6185,117574.70872004,0
IDUP.UK,D,20150319,000000,23.0505,23.1525,22.9925,23.0505,4632.5274734844,0
IDUP.UK,D,20150320,000000,23.073,23.3459,23.073,23.3459,40597.526888807,0
IDUP.UK,D,20150323,000000,23.5834,23.6551,23.5127,23.6472,34961.47191117,0
IDUP.UK,D,20150324,000000,23.5834,23.6374,23.5274,23.5274,10521.247244045,0
IDUP.UK,D,20150325,000000,23.4401,23.4981,23.1613,23.1947,28004.020818928,0
IDUP.UK,D,20150326,000000,22.9474,22.9837,22.7953,22.8208,41819.079657821,0
IDUP.UK,D,20150327,000000,22.9238,22.9474,22.6765,22.8895,53602.632056836,0
IDUP.UK,D,20150330,000000,23.1211,23.1211,22.9474,23.0278,10086.215523971,0
IDUP.UK,D,20150331,000000,23.0808,23.3203,23.0808,23.1878,153888.14103527,0
IDUP.UK,D,20150401,000000,22.917,23.0956,22.8993,22.8993,43759.912038949,0
IDUP.UK,D,20150402,000000,22.8797,23.1211,22.8797,23.1211,23216.634278813,0
IDUP.UK,D,20150407,000000,23.45,23.45,23.1132,23.1211,57858.199960233,0
IDUP.UK,D,20150408,000000,23.0004,23.0426,22.9699,23.0426,3971.3200113574,0
IDUP.UK,D,20150409,000000,22.9543,23.018,22.9238,23.018,20938.575903904,0
IDUP.UK,D,20150410,000000,22.5724,22.6441,22.4742,22.6441,10480.494858089,0
IDUP.UK,D,20150413,000000,22.54,22.54,22.4124,22.4537,9882.4535941936,0
IDUP.UK,D,20150414,000000,22.3958,22.5872,22.3888,22.5872,16731.910863654,0
IDUP.UK,D,20150415,000000,22.5558,22.5558,22.4674,22.5489,9414.819965355,0
IDUP.UK,D,20150416,000000,22.4223,22.5135,22.2603,22.5135,47995.103749368,0
IDUP.UK,D,20150417,000000,22.4301,22.4605,22.2054,22.2289,50007.252805918,0
IDUP.UK,D,20150420,000000,22.4124,22.4301,22.2681,22.3457,41956.618960421,0
IDUP.UK,D,20150421,000000,22.4831,22.5135,22.3407,22.4301,32062.95846009,0
IDUP.UK,D,20150422,000000,22.4026,22.5135,22.2917,22.5135,2621.3972265835,0
IDUP.UK,D,20150423,000000,22.3457,22.4674,22.3457,22.4223,20144.923187422,0
