<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGLN.UK,D,20150330,000000,23.515,23.57,23.477,23.478,31748,0
IGLN.UK,D,20150331,000000,23.355,23.545,23.355,23.545,16101,0
IGLN.UK,D,20150401,000000,23.48,23.548,23.42,23.548,39140,0
IGLN.UK,D,20150402,000000,23.87,23.88,23.71,23.725,128158,0
IGLN.UK,D,20150407,000000,24.007,24.04,23.993,24.032,102789,0
IGLN.UK,D,20150408,000000,23.964,23.964,23.843,23.863,11657,0
IGLN.UK,D,20150409,000000,23.683,23.795,23.66,23.675,67962,0
IGLN.UK,D,20150410,000000,23.6,23.948,23.6,23.917,47685,0
IGLN.UK,D,20150413,000000,23.725,23.725,23.725,23.725,1964,0
IGLN.UK,D,20150414,000000,23.633,23.695,23.633,23.65,30792,0
IGLN.UK,D,20150415,000000,23.61,23.68,23.545,23.668,51486,0
IGLN.UK,D,20150416,000000,23.873,23.91,23.683,23.708,14279,0
IGLN.UK,D,20150417,000000,23.851,23.89,23.851,23.883,4530,0
IGLN.UK,D,20150420,000000,23.847,23.847,23.608,23.635,143438,0
IGLN.UK,D,20150421,000000,23.65,23.768,23.65,23.69,31694,0
IGLN.UK,D,20150422,000000,23.845,23.845,23.5,23.5,10745,0
IGLN.UK,D,20150423,000000,23.502,23.582,23.5,23.573,183455,0
IGLN.UK,D,20150424,000000,23.595,23.598,23.34,23.363,30793,0
IGLN.UK,D,20150427,000000,23.428,23.825,23.395,23.808,22125,0
IGLN.UK,D,20150428,000000,12.78,24.045,12.78,24.045,24079,0
IGLN.UK,D,20150429,000000,23.918,24.01,23.885,23.978,29867,0
IGLN.UK,D,20150430,000000,23.81,23.903,23.373,23.373,13894,0
IGLN.UK,D,20150501,000000,23.24,23.298,23.24,23.298,6793,0
IGLN.UK,D,20150505,000000,23.563,23.73,23.515,23.713,13959,0
IGLN.UK,D,20150506,000000,23.6,23.68,23.545,23.566,32794,0
IGLN.UK,D,20150507,000000,23.425,23.516,23.383,23.438,4744,0
IGLN.UK,D,20150508,000000,23.455,23.59,23.455,23.488,10401,0
IGLN.UK,D,20150511,000000,23.48,23.51,23.37,23.37,48017,0
IGLN.UK,D,20150512,000000,23.658,23.658,23.563,23.593,12352,0
IGLN.UK,D,20150513,000000,23.668,23.871,23.583,23.871,79426,0
IGLN.UK,D,20150514,000000,24.095,24.235,24.088,24.175,18270,0
IGLN.UK,D,20150515,000000,24.1,24.1,24.03,24.04,12437,0
IGLN.UK,D,20150518,000000,24.323,24.323,24.275,24.275,61781,0
IGLN.UK,D,20150519,000000,24.248,24.248,23.9,23.92,21530,0
IGLN.UK,D,20150520,000000,23.895,24,23.895,24,6197,0
IGLN.UK,D,20150521,000000,23.98,23.98,23.858,23.863,23299,0
IGLN.UK,D,20150522,000000,24.028,24.028,23.85,23.91,34150,0
IGLN.UK,D,20150526,000000,23.733,23.733,23.5,23.515,47605,0
IGLN.UK,D,20150527,000000,23.55,23.55,23.473,23.513,11187,0
IGLN.UK,D,20150528,000000,23.562,23.562,23.418,23.515,10784,0
IGLN.UK,D,20150529,000000,23.563,23.633,23.535,23.544,55196,0
IGLN.UK,D,20150601,000000,23.473,23.82,23.473,23.655,117608,0
IGLN.UK,D,20150602,000000,23.547,23.633,23.475,23.618,230405,0
IGLN.UK,D,20150603,000000,23.547,23.57,23.52,23.56,35066,0
IGLN.UK,D,20150604,000000,23.408,23.408,23.25,23.25,26749,0
IGLN.UK,D,20150605,000000,23.29,23.29,23.05,23.05,3186,0
IGLN.UK,D,20150608,000000,23.193,23.193,23.18,23.18,11828,0
IGLN.UK,D,20150609,000000,23.396,23.396,23.298,23.303,4291,0
IGLN.UK,D,20150610,000000,23.44,23.538,23.44,23.538,37269,0
IGLN.UK,D,20150611,000000,23.485,23.485,23.343,23.35,59480,0
IGLN.UK,D,20150612,000000,23.4,23.41,23.34,23.41,23907,0
IGLN.UK,D,20150615,000000,23.36,23.41,23.36,23.403,31177,0
IGLN.UK,D,20150616,000000,23.417,23.417,23.35,23.35,8586,0
IGLN.UK,D,20150617,000000,23.35,23.35,23.298,23.298,3458,0
IGLN.UK,D,20150618,000000,23.698,23.77,23.698,23.76,11522,0
IGLN.UK,D,20150619,000000,23.74,23.823,23.74,23.823,6128,0
IGLN.UK,D,20150622,000000,23.628,23.628,23.388,23.483,14669,0
IGLN.UK,D,20150623,000000,23.405,23.44,23.29,23.313,42152,0
IGLN.UK,D,20150624,000000,23.265,23.33,23.173,23.194,33110,0
IGLN.UK,D,20150625,000000,23.24,23.282,23.207,23.248,9078,0
IGLN.UK,D,20150626,000000,23.232,23.24,23.13,23.203,128486,0
IGLN.UK,D,20150629,000000,23.303,23.345,23.263,23.345,5037,0
IGLN.UK,D,20150630,000000,23.285,23.285,23.19,23.19,9873,0
IGLN.UK,D,20150701,000000,23.239,23.24,23.205,23.215,24520,0
IGLN.UK,D,20150702,000000,23.063,23.09,22.92,23.09,3458,0
IGLN.UK,D,20150703,000000,23.126,23.153,23.118,23.118,3936,0
IGLN.UK,D,20150706,000000,23.033,23.08,23.033,23.08,8307,0
IGLN.UK,D,20150708,000000,22.713,22.98,22.713,22.97,35932,0
IGLN.UK,D,20150709,000000,23.038,23.07,22.965,23.07,8982,0
IGLN.UK,D,20150710,000000,22.98,23.023,22.933,22.933,19228,0
IGLN.UK,D,20150713,000000,22.968,22.968,22.828,22.843,24584,0
IGLN.UK,D,20150714,000000,22.833,22.913,22.825,22.881,44475,0
IGLN.UK,D,20150715,000000,22.86,22.865,22.623,22.67,303238,0
IGLN.UK,D,20150716,000000,22.688,22.7,22.608,22.695,234544,0
IGLN.UK,D,20150717,000000,22.663,22.663,22.42,22.435,20549,0
IGLN.UK,D,20150720,000000,22.12,22.12,21.843,21.955,14878,0
IGLN.UK,D,20150721,000000,21.848,21.92,21.848,21.92,1660,0
IGLN.UK,D,20150722,000000,21.638,21.673,21.51,21.6,10551,0
IGLN.UK,D,20150723,000000,21.673,21.85,21.673,21.698,40615,0
IGLN.UK,D,20150724,000000,21.42,21.517,21.4,21.517,17612,0
IGLN.UK,D,20150727,000000,21.833,21.833,21.655,21.71,19772,0
IGLN.UK,D,20150728,000000,21.67,21.678,21.62,21.678,12487,0
IGLN.UK,D,20150729,000000,21.73,21.73,21.59,21.59,88769,0
IGLN.UK,D,20150730,000000,21.518,21.673,21.498,21.625,9325,0
IGLN.UK,D,20150731,000000,21.41,21.73,21.395,21.638,9405,0
IGLN.UK,D,20150803,000000,21.608,21.625,21.608,21.625,200,0
