<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IHYA.UK,D,20170418,000000,5.00925,5.00925,5.00925,5.00925,0,0
IHYA.UK,D,20170419,000000,5.0205,5.0205,5.0205,5.0205,0,0
IHYA.UK,D,20170420,000000,5.02,5.02,5.02,5.02,0,0
IHYA.UK,D,20170421,000000,5.0145,5.0145,5.0145,5.0145,0,0
IHYA.UK,D,20170424,000000,5.045,5.045,5.045,5.045,0,0
IHYA.UK,D,20170425,000000,5.045,5.045,5.045,5.045,0,0
IHYA.UK,D,20170426,000000,5.04875,5.04875,5.04875,5.04875,0,0
IHYA.UK,D,20170427,000000,5.04625,5.04625,5.04625,5.04625,0,0
IHYA.UK,D,20170428,000000,5.06,5.06,5.05,5.05,40000,0
IHYA.UK,D,20170502,000000,5.06,5.06,5.04625,5.04625,40000,0
IHYA.UK,D,20170503,000000,5.05,5.05,5.05,5.05,0,0
IHYA.UK,D,20170504,000000,5.04,5.04,5.04,5.04,0,0
IHYA.UK,D,20170505,000000,5.03,5.0375,5.0275,5.0275,20880,0
IHYA.UK,D,20170508,000000,5.0359,5.0359,5.0325,5.0325,68000,0
IHYA.UK,D,20170509,000000,5.03625,5.03625,5.03625,5.03625,0,0
IHYA.UK,D,20170510,000000,5.0325,5.0325,5.0325,5.0325,0,0
IHYA.UK,D,20170511,000000,5.0525,5.0525,5.04375,5.04375,109154,0
IHYA.UK,D,20170512,000000,5.065,5.065,5.04625,5.04625,13780,0
IHYA.UK,D,20170515,000000,5.06125,5.06125,5.06125,5.06125,0,0
IHYA.UK,D,20170516,000000,5.06375,5.06375,5.06375,5.06375,0,0
IHYA.UK,D,20170517,000000,5.06,5.06,5.05125,5.05125,78600,0
IHYA.UK,D,20170518,000000,5.0475,5.0475,5.0375,5.0375,3916,0
IHYA.UK,D,20170519,000000,5.0475,5.07,5.0475,5.06875,122714,0
IHYA.UK,D,20170522,000000,5.0475,5.0725,5.0475,5.0725,122714,0
IHYA.UK,D,20170523,000000,5.08,5.09,5.075,5.075,9670,0
IHYA.UK,D,20170524,000000,5.06875,5.06875,5.06875,5.06875,0,0
IHYA.UK,D,20170525,000000,5.085,5.085,5.085,5.085,0,0
IHYA.UK,D,20170526,000000,5.08125,5.08125,5.08125,5.08125,0,0
IHYA.UK,D,20170530,000000,5.085,5.0975,5.0825,5.0825,762,0
IHYA.UK,D,20170531,000000,5.0825,5.0825,5.0825,5.0825,0,0
IHYA.UK,D,20170601,000000,5.08875,5.08875,5.08875,5.08875,0,0
IHYA.UK,D,20170602,000000,5.1,5.1125,5.09625,5.09625,6144,0
IHYA.UK,D,20170605,000000,5.1075,5.1075,5.09875,5.09875,3000,0
IHYA.UK,D,20170606,000000,5.097,5.09875,5.097,5.09875,9800,0
IHYA.UK,D,20170607,000000,5.09,5.09,5.08875,5.08875,500,0
IHYA.UK,D,20170608,000000,5.0775,5.0775,5.0725,5.0725,3000,0
IHYA.UK,D,20170609,000000,5.08125,5.08125,5.08125,5.08125,0,0
IHYA.UK,D,20170612,000000,5.0775,5.0775,5.0775,5.0775,0,0
IHYA.UK,D,20170613,000000,5.07737,5.09,5.07737,5.09,10092,0
IHYA.UK,D,20170614,000000,5.105,5.1075,5.09875,5.09875,1008,0
IHYA.UK,D,20170615,000000,5.0875,5.0875,5.0875,5.0875,0,0
IHYA.UK,D,20170616,000000,5.08,5.08,5.07875,5.07875,7500,0
IHYA.UK,D,20170619,000000,5.08375,5.08375,5.08375,5.08375,0,0
IHYA.UK,D,20170620,000000,5.07125,5.07125,5.07125,5.07125,0,0
IHYA.UK,D,20170621,000000,5.08,5.08,5.06375,5.06375,7500,0
IHYA.UK,D,20170622,000000,5.05,5.0675,5.05,5.0675,6000,0
IHYA.UK,D,20170623,000000,5.06875,5.06875,5.06875,5.06875,0,0
IHYA.UK,D,20170626,000000,5.07875,5.07875,5.07875,5.07875,0,0
IHYA.UK,D,20170627,000000,5.07875,5.07875,5.07875,5.07875,0,0
IHYA.UK,D,20170628,000000,5.08375,5.08375,5.08375,5.08375,0,0
IHYA.UK,D,20170629,000000,5.1025,5.105,5.075,5.075,7685,0
IHYA.UK,D,20170630,000000,5.085,5.085,5.07875,5.07875,400,0
IHYA.UK,D,20170703,000000,5.095,5.09875,5.095,5.09875,6000,0
IHYA.UK,D,20170704,000000,5.08625,5.08625,5.08625,5.08625,0,0
IHYA.UK,D,20170705,000000,5.0725,5.0925,5.0725,5.08875,14301,0
IHYA.UK,D,20170706,000000,5.07625,5.07625,5.07625,5.07625,0,0
IHYA.UK,D,20170707,000000,5.07,5.07,5.0625,5.06625,72745,0
IHYA.UK,D,20170710,000000,5.075,5.0825,5.06625,5.06625,18380,0
IHYA.UK,D,20170711,000000,5.06125,5.06125,5.06125,5.06125,0,0
IHYA.UK,D,20170712,000000,5.08,5.1075,5.08,5.10125,35750,0
IHYA.UK,D,20170713,000000,5.1,5.1,5.0975,5.0975,12183,0
IHYA.UK,D,20170714,000000,5.105,5.105,5.105,5.105,0,0
IHYA.UK,D,20170717,000000,5.12,5.12,5.115,5.115,154415,0
IHYA.UK,D,20170718,000000,5.12,5.12,5.115,5.115,5113,0
IHYA.UK,D,20170719,000000,5.12,5.129,5.12,5.1225,38000,0
IHYA.UK,D,20170720,000000,5.135,5.135,5.12625,5.12625,19000,0
IHYA.UK,D,20170721,000000,5.1325,5.1325,5.13,5.13,10700,0
IHYA.UK,D,20170724,000000,5.1275,5.1275,5.1225,5.1225,38836,0
IHYA.UK,D,20170725,000000,5.1275,5.13,5.1275,5.13,3000,0
IHYA.UK,D,20170726,000000,5.145,5.145,5.135,5.135,138970,0
IHYA.UK,D,20170727,000000,5.145,5.145,5.1425,5.1425,41655,0
IHYA.UK,D,20170728,000000,5.14,5.1425,5.135,5.135,95000,0
IHYA.UK,D,20170731,000000,5.145,5.145,5.1375,5.1375,295006,0
IHYA.UK,D,20170801,000000,5.14,5.14,5.14,5.14,0,0
IHYA.UK,D,20170802,000000,5.14,5.1525,5.14,5.1475,111775,0
IHYA.UK,D,20170803,000000,5.1475,5.1475,5.13125,5.13125,81915,0
IHYA.UK,D,20170804,000000,5.14,5.14,5.1325,5.1325,29789,0
IHYA.UK,D,20170807,000000,5.12,5.1275,5.12,5.1275,14575,0
IHYA.UK,D,20170808,000000,5.135,5.1449,5.1225,5.1225,42774,0
IHYA.UK,D,20170809,000000,5.1025,5.1025,5.0925,5.0925,120,0
IHYA.UK,D,20170810,000000,5.08,5.08,5.065,5.065,207536,0
IHYA.UK,D,20170811,000000,5.075,5.08,5.0575,5.07125,75355,0
IHYA.UK,D,20170814,000000,5.1,5.11,5.0975,5.0975,24330,0
IHYA.UK,D,20170815,000000,5.095,5.0953,5.0949,5.095,301780,0
IHYA.UK,D,20170816,000000,5.1075,5.1075,5.1,5.10375,56500,0
IHYA.UK,D,20170817,000000,5.095,5.095,5.09,5.09375,8276,0
IHYA.UK,D,20170818,000000,5.0725,5.0725,5.0675,5.0675,11900,0
IHYA.UK,D,20170821,000000,5.0775,5.0775,5.0725,5.0725,25946,0
IHYA.UK,D,20170822,000000,5.0875,5.0925,5.0875,5.0875,116279,0
IHYA.UK,D,20170823,000000,5.09375,5.09375,5.09375,5.09375,0,0
IHYA.UK,D,20170824,000000,5.1075,5.1075,5.1,5.105,34341,0
IHYA.UK,D,20170825,000000,5.115,5.115,5.115,5.115,373600,0
IHYA.UK,D,20170829,000000,5.18,5.18,5.10375,5.10375,111684,0
IHYA.UK,D,20170830,000000,5.115,5.115,5.115,5.115,0,0
IHYA.UK,D,20170831,000000,5.135,5.135,5.1325,5.1325,23796,0
IHYA.UK,D,20170901,000000,5.14,5.14,5.1375,5.13875,3592,0
IHYA.UK,D,20170904,000000,5.135,5.1375,5.135,5.1375,3000,0
IHYA.UK,D,20170905,000000,5.135,5.1381,5.135,5.1375,56921,0
IHYA.UK,D,20170906,000000,5.14,5.145,5.14,5.14,78700,0
IHYA.UK,D,20170907,000000,5.1325,5.1425,5.13,5.1375,77301,0
IHYA.UK,D,20170908,000000,5.135,5.135,5.13,5.13,112450,0
IHYA.UK,D,20170911,000000,5.1325,5.135,5.1325,5.135,54640,0
IHYA.UK,D,20170912,000000,5.135,5.1375,5.1349,5.135,18319,0
IHYA.UK,D,20170913,000000,5.1375,5.1375,5.125,5.1325,132103,0
IHYA.UK,D,20170914,000000,5.1375,5.14,5.13375,5.13375,156400,0
IHYA.UK,D,20170915,000000,5.145,5.145,5.1381,5.13875,76032,0
IHYA.UK,D,20170918,000000,5.1525,5.1525,5.14875,5.14875,82500,0
IHYA.UK,D,20170919,000000,5.15,5.15,5.1431,5.14375,211125,0
IHYA.UK,D,20170920,000000,5.15375,5.15375,5.15375,5.15375,0,0
IHYA.UK,D,20170921,000000,5.1475,5.1494,5.1475,5.1475,334850,0
IHYA.UK,D,20170922,000000,5.15,5.15,5.14625,5.14625,63634,0
IHYA.UK,D,20170925,000000,5.15,5.15125,5.15,5.15125,292839,0
IHYA.UK,D,20170926,000000,5.1575,5.15875,5.1575,5.15875,3000,0
IHYA.UK,D,20170927,000000,5.16,5.16,5.15625,5.15625,104120,0
IHYA.UK,D,20170928,000000,5.16125,5.16125,5.16125,5.16125,0,0
IHYA.UK,D,20170929,000000,5.165,5.1675,5.1625,5.1625,78700,0
IHYA.UK,D,20171002,000000,5.1775,5.1775,5.1625,5.16875,92508,0
IHYA.UK,D,20171003,000000,5.17,5.17125,5.17,5.17125,203000,0
IHYA.UK,D,20171004,000000,5.175,5.18,5.1675,5.1675,337145,0
IHYA.UK,D,20171005,000000,5.16,5.1794,5.16,5.17875,44236,0
IHYA.UK,D,20171006,000000,5.175,5.1769,5.175,5.17625,130884,0
IHYA.UK,D,20171009,000000,5.1825,5.1875,5.1725,5.17875,28400,0
IHYA.UK,D,20171010,000000,5.18,5.18,5.175,5.17625,5928,0
IHYA.UK,D,20171011,000000,5.1775,5.1775,5.17625,5.17625,32175,0
IHYA.UK,D,20171012,000000,5.1775,5.1775,5.17,5.17,56731,0
IHYA.UK,D,20171013,000000,5.1625,5.165,5.16,5.165,51000,0
IHYA.UK,D,20171016,000000,5.185,5.185,5.1675,5.1725,835168,0
IHYA.UK,D,20171017,000000,5.1775,5.1775,5.1725,5.1725,3659,0
IHYA.UK,D,20171018,000000,5.17,5.18,5.17,5.18,7700,0
IHYA.UK,D,20171019,000000,5.245,5.245,5.175,5.18,3319,0
IHYA.UK,D,20171020,000000,5.1875,5.1875,5.1875,5.1875,0,0
IHYA.UK,D,20171023,000000,5.19,5.19,5.19,5.19,0,0
IHYA.UK,D,20171024,000000,5.19,5.19,5.1875,5.1875,766,0
IHYA.UK,D,20171025,000000,5.18,5.18,5.1625,5.1625,63506,0
IHYA.UK,D,20171026,000000,5.17,5.17,5.17,5.17,5000,0
