<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IHYG.UK,D,20150304,000000,83.8611,84.0533,83.8611,83.9768,55245.512070401,0
IHYG.UK,D,20150305,000000,83.9611,84.1444,83.9513,84.0444,160103.13238034,0
IHYG.UK,D,20150306,000000,84.0346,84.1866,84.0346,84.1356,130229.36121425,0
IHYG.UK,D,20150309,000000,84.0346,84.1611,83.9935,84.0033,74069.772752599,0
IHYG.UK,D,20150310,000000,84.1287,84.1287,83.8611,83.9111,64906.565000187,0
IHYG.UK,D,20150311,000000,84.0111,84.0699,83.8768,83.9699,20587.122293884,0
IHYG.UK,D,20150312,000000,84.0111,84.0533,83.8925,83.9768,113799.45018635,0
IHYG.UK,D,20150313,000000,84.0768,84.0768,83.8102,83.8435,98692.705541756,0
IHYG.UK,D,20150316,000000,83.9278,83.9278,83.7337,83.8337,60137.249007922,0
IHYG.UK,D,20150317,000000,83.7837,83.8259,83.4916,83.5583,168074.77626559,0
IHYG.UK,D,20150318,000000,83.5828,83.5828,83.4259,83.4671,81627.225773069,0
IHYG.UK,D,20150319,000000,83.5828,83.6327,83.4171,83.5092,31152.049869477,0
IHYG.UK,D,20150320,000000,83.4328,83.5328,83.3759,83.4406,112092.69817457,0
IHYG.UK,D,20150323,000000,83.5259,83.5681,83.3848,83.4838,69411.655785608,0
IHYG.UK,D,20150324,000000,83.4583,83.4838,83.3759,83.4838,59407.824209105,0
IHYG.UK,D,20150325,000000,83.5259,83.5259,83.3485,83.3906,65769.632664242,0
IHYG.UK,D,20150326,000000,83.3985,83.4838,83.3583,83.4504,42473.946956569,0
IHYG.UK,D,20150327,000000,83.5769,83.6278,83.4259,83.5769,53174.557746487,0
IHYG.UK,D,20150330,000000,83.6278,83.7092,83.5583,83.669,174441.68559345,0
IHYG.UK,D,20150331,000000,83.8102,83.8102,83.5828,83.767,150445.13997419,0
IHYG.UK,D,20150401,000000,83.7759,83.8925,83.7337,83.8847,71798.8642181,0
IHYG.UK,D,20150402,000000,83.9768,83.9768,83.8102,83.8337,274685.05644178,0
IHYG.UK,D,20150407,000000,83.9935,84.1356,83.7837,84.0944,150187.0358146,0
IHYG.UK,D,20150408,000000,84.3454,84.3454,83.9699,84.0533,630118.96837442,0
IHYG.UK,D,20150409,000000,84.2444,84.4101,84.1287,84.2356,166734.26691504,0
IHYG.UK,D,20150410,000000,84.313,84.3963,84.2199,84.2287,58589.644224978,0
IHYG.UK,D,20150413,000000,84.1689,84.3542,84.1689,84.3042,295225.25070665,0
IHYG.UK,D,20150414,000000,84.2542,84.4022,84.1444,84.2199,83365.603195705,0
IHYG.UK,D,20150415,000000,84.3189,84.3189,84.1111,84.2111,89803.924741626,0
IHYG.UK,D,20150416,000000,84.313,84.313,83.869,83.9347,2036923.3414819,0
IHYG.UK,D,20150417,000000,84.0621,84.1523,83.6916,83.7759,812199.72095184,0
IHYG.UK,D,20150420,000000,83.869,83.9435,83.718,83.919,23783.329139609,0
IHYG.UK,D,20150421,000000,83.919,83.9513,83.7514,83.8259,243356.51637623,0
IHYG.UK,D,20150422,000000,83.9111,83.9111,83.6504,83.6504,126842.38172883,0
IHYG.UK,D,20150423,000000,83.7514,83.9513,83.7514,83.8925,78221.883145865,0
IHYG.UK,D,20150424,000000,84.0346,84.0346,83.919,83.9935,60805.463334111,0
IHYG.UK,D,20150427,000000,83.9513,84.0944,83.9513,84.0621,89305.059389708,0
IHYG.UK,D,20150428,000000,84.0846,84.1444,83.9611,83.9611,162111.85605708,0
IHYG.UK,D,20150429,000000,84.2023,84.2199,83.9935,84.1033,101711.40201686,0
