<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUES.UK,D,20151203,000000,4.814,4.814,4.814,4.814,50000,0
IUES.UK,D,20151218,000000,4.4,4.421,4.395,4.421,90000,0
IUES.UK,D,20151221,000000,4.417,4.417,4.417,4.417,12000,0
IUES.UK,D,20151224,000000,4.6175,4.6175,4.6175,4.6175,0,0
IUES.UK,D,20151229,000000,4.519,4.519,4.519,4.519,0,0
IUES.UK,D,20151230,000000,4.497,4.497,4.497,4.497,0,0
IUES.UK,D,20151231,000000,4.443,4.443,4.443,4.443,0,0
IUES.UK,D,20160104,000000,4.452,4.452,4.406,4.4205,70054,0
IUES.UK,D,20160105,000000,4.441,4.4525,4.441,4.4525,20052,0
IUES.UK,D,20160106,000000,4.3735,4.3735,4.3735,4.3735,0,0
IUES.UK,D,20160107,000000,4.22,4.332,4.217,4.3285,220208,0
IUES.UK,D,20160108,000000,4.18,4.203,4.1655,4.1655,80208,0
IUES.UK,D,20160111,000000,4.148,4.148,4.115,4.127,40102,0
IUES.UK,D,20160112,000000,4.032,4.032,4.032,4.032,0,0
IUES.UK,D,20160113,000000,4.129,4.129,4.1175,4.1175,20052,0
IUES.UK,D,20160114,000000,4.1235,4.1235,4.1235,4.1235,0,0
IUES.UK,D,20160115,000000,4.06,4.06,4.06,4.06,0,0
IUES.UK,D,20160118,000000,4.101,4.101,4.078,4.078,80214,0
IUES.UK,D,20160119,000000,4.121,4.155,4.0895,4.0895,120334,0
IUES.UK,D,20160120,000000,3.827,3.827,3.827,3.827,0,0
IUES.UK,D,20160121,000000,4.121,4.155,3.9575,3.9575,120334,0
IUES.UK,D,20160122,000000,4.1105,4.1105,4.1105,4.1105,0,0
IUES.UK,D,20160125,000000,4.0965,4.0965,4.0965,4.0965,0,0
IUES.UK,D,20160126,000000,4.017,4.099,4.017,4.099,10000,0
IUES.UK,D,20160127,000000,4.152,4.152,4.152,4.152,0,0
IUES.UK,D,20160128,000000,4.2035,4.2035,4.2035,4.2035,0,0
IUES.UK,D,20160129,000000,4.257,4.257,4.23,4.2445,30103,0
IUES.UK,D,20160201,000000,4.2345,4.2345,4.2345,4.2345,0,0
IUES.UK,D,20160202,000000,4.15,4.1545,4.15,4.1545,10053,0
IUES.UK,D,20160203,000000,4.112,4.186,4.11,4.186,150371,0
IUES.UK,D,20160204,000000,4.288,4.288,4.288,4.288,0,0
IUES.UK,D,20160205,000000,4.233,4.234,4.229,4.234,30054,0
IUES.UK,D,20160208,000000,4.122,4.1495,4.085,4.1495,40052,0
IUES.UK,D,20160209,000000,4.123,4.136,4.123,4.135,4850,0
IUES.UK,D,20160210,000000,4.176,4.193,4.1175,4.1175,60150,0
IUES.UK,D,20160211,000000,3.994,3.994,3.989,3.992,20000,0
IUES.UK,D,20160212,000000,4.09,4.1735,4.09,4.1735,120303,0
IUES.UK,D,20160215,000000,4.2665,4.2665,4.2665,4.2665,0,0
IUES.UK,D,20160216,000000,4.1665,4.1665,4.1665,4.1665,0,0
IUES.UK,D,20160217,000000,4.3345,4.3345,4.3345,4.3345,0,0
IUES.UK,D,20160218,000000,4.3025,4.3025,4.3025,4.3025,0,0
IUES.UK,D,20160219,000000,4.2325,4.2325,4.2325,4.2325,0,0
IUES.UK,D,20160222,000000,4.372,4.372,4.372,4.372,0,0
IUES.UK,D,20160223,000000,4.302,4.302,4.2685,4.2685,7879,0
IUES.UK,D,20160224,000000,4.184,4.184,4.1785,4.1785,8340,0
IUES.UK,D,20160225,000000,4.22,4.22,4.22,4.22,0,0
IUES.UK,D,20160226,000000,4.3435,4.3435,4.3435,4.3435,0,0
IUES.UK,D,20160229,000000,4.313,4.313,4.313,4.313,0,0
IUES.UK,D,20160301,000000,4.29,4.29,4.29,4.29,0,0
