<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNP,D,20170419,000000,3.615,3.788,3.615,3.75,102672970,0
DNP,D,20170420,000000,3.745,3.82,3.72,3.8,13615240,0
DNP,D,20170421,000000,3.814,3.95,3.808,3.919,15138750,0
DNP,D,20170424,000000,3.95,3.95,3.86,3.936,6642600,0
DNP,D,20170425,000000,3.886,3.994,3.872,3.915,9204430,0
DNP,D,20170426,000000,3.92,3.946,3.751,3.869,4721930,0
DNP,D,20170427,000000,3.869,3.869,3.818,3.855,665960,0
DNP,D,20170428,000000,3.869,3.876,3.777,3.876,1813930,0
DNP,D,20170502,000000,3.855,3.87,3.808,3.87,453970,0
DNP,D,20170504,000000,3.9,3.948,3.87,3.88,1686650,0
DNP,D,20170505,000000,3.899,3.93,3.881,3.884,1278790,0
DNP,D,20170508,000000,3.9,3.935,3.795,3.901,1466410,0
DNP,D,20170509,000000,3.903,3.933,3.821,3.86,859990,0
DNP,D,20170510,000000,3.85,3.85,3.805,3.84,718850,0
DNP,D,20170511,000000,3.84,3.84,3.76,3.8,2463200,0
DNP,D,20170512,000000,3.8,3.879,3.779,3.879,981430,0
DNP,D,20170515,000000,3.85,3.915,3.85,3.9,4810570,0
DNP,D,20170516,000000,3.9,3.928,3.887,3.898,1908810,0
DNP,D,20170517,000000,3.875,3.9,3.83,3.871,241820,0
DNP,D,20170518,000000,3.831,3.859,3.776,3.823,395410,0
DNP,D,20170519,000000,3.805,3.995,3.805,3.98,2336730,0
DNP,D,20170522,000000,3.979,4.056,3.93,4.05,2505810,0
DNP,D,20170523,000000,4.065,4.065,4,4.035,1344150,0
DNP,D,20170524,000000,4.1,4.203,4.035,4.148,5818390,0
DNP,D,20170525,000000,4.153,4.153,4.036,4.083,2679900,0
DNP,D,20170526,000000,4.075,4.15,4.075,4.145,1267910,0
DNP,D,20170529,000000,4.138,4.15,4.124,4.148,56000,0
DNP,D,20170530,000000,4.169,4.169,4.065,4.065,1439360,0
DNP,D,20170531,000000,4.07,4.113,4.07,4.113,2391220,0
DNP,D,20170601,000000,4.129,4.318,4.129,4.301,1829030,0
DNP,D,20170602,000000,4.37,4.622,4.37,4.5,4574530,0
DNP,D,20170605,000000,4.5,4.58,4.392,4.5,898750,0
DNP,D,20170606,000000,4.46,4.47,4.423,4.449,463050,0
DNP,D,20170607,000000,4.471,4.5,4.395,4.439,764360,0
DNP,D,20170608,000000,4.468,4.468,4.35,4.376,1931940,0
DNP,D,20170609,000000,4.399,4.4,4.37,4.385,89170,0
DNP,D,20170612,000000,4.4,4.414,4.321,4.388,135070,0
DNP,D,20170613,000000,4.388,4.39,4.36,4.385,80150,0
DNP,D,20170614,000000,4.405,4.405,4.335,4.335,2717990,0
DNP,D,20170616,000000,4.335,4.4,4.31,4.375,2030570,0
DNP,D,20170619,000000,4.499,4.53,4.456,4.49,5439310,0
DNP,D,20170620,000000,4.517,4.56,4.517,4.531,847240,0
DNP,D,20170621,000000,4.595,4.595,4.519,4.519,289790,0
DNP,D,20170622,000000,4.519,4.519,4.5,4.51,6559450,0
DNP,D,20170623,000000,4.55,4.579,4.512,4.548,565300,0
DNP,D,20170626,000000,4.579,4.593,4.551,4.58,995750,0
DNP,D,20170627,000000,4.58,4.58,4.54,4.54,132910,0
DNP,D,20170628,000000,4.54,4.56,4.5,4.56,214960,0
DNP,D,20170629,000000,4.59,4.6,4.58,4.6,680210,0
DNP,D,20170630,000000,4.585,4.689,4.583,4.689,1217700,0
DNP,D,20170703,000000,4.713,4.732,4.652,4.71,139750,0
DNP,D,20170704,000000,4.71,4.775,4.683,4.697,1395710,0
DNP,D,20170705,000000,4.73,4.73,4.525,4.65,419050,0
DNP,D,20170706,000000,4.612,4.7,4.6,4.7,79360,0
DNP,D,20170707,000000,4.72,4.778,4.603,4.62,2429150,0
DNP,D,20170710,000000,4.62,4.72,4.62,4.72,4623880,0
DNP,D,20170711,000000,4.72,4.72,4.7,4.715,904920,0
DNP,D,20170712,000000,4.716,4.846,4.715,4.824,2688720,0
DNP,D,20170713,000000,4.825,4.83,4.753,4.83,3084130,0
DNP,D,20170714,000000,4.83,4.849,4.77,4.82,880140,0
DNP,D,20170717,000000,4.611,5.02,4.611,4.841,2259160,0
DNP,D,20170718,000000,4.845,4.92,4.81,4.85,664100,0
DNP,D,20170719,000000,4.98,4.99,4.715,4.89,5006000,0
DNP,D,20170720,000000,4.894,5.029,4.889,5,1170360,0
DNP,D,20170721,000000,5,5.144,4.99,5.004,2853410,0
DNP,D,20170724,000000,5.098,5.098,4.988,5,3471220,0
DNP,D,20170725,000000,5.039,5.039,5,5.015,228900,0
DNP,D,20170726,000000,5.02,5.02,5,5.005,904770,0
DNP,D,20170727,000000,5.02,5.11,5.006,5.08,496730,0
DNP,D,20170728,000000,5.08,5.277,5.08,5.238,3228440,0
DNP,D,20170731,000000,5.3,5.36,5.247,5.34,4098060,0
DNP,D,20170801,000000,5.3,5.35,5.257,5.275,1318730,0
DNP,D,20170802,000000,5.3,5.35,5.276,5.3,711260,0
DNP,D,20170803,000000,5.311,5.338,5.237,5.237,1334480,0
DNP,D,20170804,000000,5.2,5.276,5.15,5.15,985280,0
DNP,D,20170807,000000,5.145,5.15,4.915,5.04,1690690,0
DNP,D,20170808,000000,5.099,5.139,5.05,5.099,1463530,0
DNP,D,20170809,000000,5.09,5.128,5.05,5.077,155990,0
DNP,D,20170810,000000,5.1,5.119,5.075,5.1,736410,0
DNP,D,20170811,000000,5.081,5.099,5.06,5.08,264040,0
DNP,D,20170814,000000,5.092,5.092,4.937,5.039,492370,0
DNP,D,20170816,000000,5.041,5.089,4.96,5.065,1795280,0
DNP,D,20170817,000000,5.005,5.05,5,5.01,881870,0
DNP,D,20170818,000000,5.01,5.039,4.999,5.015,469440,0
DNP,D,20170821,000000,5.01,5.05,5.01,5.048,116150,0
DNP,D,20170822,000000,5.05,5.285,5.01,5.248,489930,0
DNP,D,20170823,000000,5.239,5.25,5.201,5.217,3986070,0
DNP,D,20170824,000000,5.218,5.3,5.218,5.3,463240,0
DNP,D,20170825,000000,5.275,5.378,5.264,5.345,217670,0
DNP,D,20170828,000000,5.311,5.37,5.301,5.36,143390,0
DNP,D,20170829,000000,5.361,5.43,5.3,5.428,778760,0
DNP,D,20170830,000000,5.505,5.768,5.505,5.745,4536410,0
DNP,D,20170831,000000,5.82,5.947,5.82,5.898,4304780,0
DNP,D,20170901,000000,5.945,5.945,5.804,5.86,1532200,0
DNP,D,20170904,000000,5.8,5.9,5.8,5.895,452440,0
DNP,D,20170905,000000,5.905,5.92,5.81,5.9,806630,0
DNP,D,20170906,000000,5.888,5.95,5.865,5.95,1143210,0
DNP,D,20170907,000000,5.975,6.43,5.926,6.15,3300470,0
DNP,D,20170908,000000,6.2,6.399,6.199,6.235,2319940,0
DNP,D,20170911,000000,6.25,6.329,6.235,6.25,460270,0
DNP,D,20170912,000000,6.275,6.388,6.252,6.326,531860,0
DNP,D,20170913,000000,6.429,6.559,6.335,6.498,1374400,0
