<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENA,D,20081117,000000,11.9782,12.0484,11.6722,11.7101,1277681.4264449538,0
ENA,D,20081118,000000,11.7101,11.7101,10.7038,10.7502,860612.6224055211,0
ENA,D,20081119,000000,10.8583,10.9729,10.6819,10.7815,360372.36087423796,0
ENA,D,20081120,000000,10.5967,10.6052,10.229,10.4432,120459.36282942441,0
ENA,D,20081121,000000,10.4432,10.8886,10.4432,10.7502,80345.28902344906,0
ENA,D,20081124,000000,10.9047,11.5102,10.9047,11.0582,211415.97520977232,0
ENA,D,20081125,000000,11.2885,11.3102,11.0582,11.134,69441.63980182013,0
ENA,D,20081126,000000,11.1956,11.1956,10.9805,10.9805,48323.47056314255,0
ENA,D,20081127,000000,11.0582,11.187,10.9805,11.0194,17100.53542269408,0
ENA,D,20081128,000000,11.0582,11.2562,11.0194,11.2269,25422.85227923355,0
ENA,D,20081201,000000,11.2183,11.3263,11.2183,11.2733,18151.64214208456,0
ENA,D,20081202,000000,11.2733,11.802,11.2733,11.6333,45141.656548120176,0
ENA,D,20081203,000000,11.6722,11.748,11.6722,11.7262,18345.8224998836,0
ENA,D,20081204,000000,11.748,11.8721,11.7262,11.7641,51449.35219249456,0
ENA,D,20081205,000000,11.802,11.8096,11.5414,11.7101,46093.5624325481,0
ENA,D,20081208,000000,11.7565,11.7868,11.5945,11.6333,13769.920155227868,0
ENA,D,20081209,000000,11.6333,11.7868,11.5414,11.5945,94895.09659396765,0
ENA,D,20081210,000000,11.5945,11.6258,11.5187,11.5187,38233.47925381288,0
ENA,D,20081211,000000,11.5187,11.5566,11.4798,11.5187,82523.4860804992,0
ENA,D,20081212,000000,11.5187,11.5945,11.5187,11.5642,11816.507968890746,0
ENA,D,20081215,000000,11.5187,11.6258,11.5187,11.5187,23491.601981558273,0
ENA,D,20081216,000000,11.5187,11.5187,11.442,11.5187,30190.824325625294,0
ENA,D,20081217,000000,11.496,11.496,10.9426,10.9426,12093.003913148079,0
ENA,D,20081218,000000,11.0885,11.0885,10.5663,10.6508,8771.886597965515,0
ENA,D,20081219,000000,10.6508,10.8507,10.5967,10.6744,7967.726637949909,0
ENA,D,20081222,000000,10.7502,10.7502,10.5588,10.5663,9666.804768691545,0
ENA,D,20081223,000000,10.5588,10.5967,10.4432,10.5967,28280.68058858035,0
ENA,D,20081229,000000,10.6744,10.6744,10.4593,10.5892,17615.53550207415,0
ENA,D,20081230,000000,10.6204,10.6744,10.5276,10.6659,43657.86533580792,0
ENA,D,20081231,000000,10.827,10.9047,10.6744,10.7502,25534.717050574305,0
