<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY,D,19960130,000000,8.90476,8.90476,8.90476,8.90476,335632.5967323444,0
KTY,D,19960131,000000,9.22495,9.22495,9.22495,9.22495,354598.8655721262,0
KTY,D,19960201,000000,9.22495,9.22495,9.22495,9.22495,172320.5909734678,0
KTY,D,19960202,000000,9.60823,9.60823,9.60823,9.60823,284120.1020951073,0
KTY,D,19960205,000000,9.70633,9.70633,9.70633,9.70633,111592.56485165916,0
KTY,D,19960206,000000,9.60823,9.60823,9.60823,9.60823,207835.42533339935,0
KTY,D,19960207,000000,9.22495,9.22495,9.22495,9.22495,588443.8690029132,0
KTY,D,19960208,000000,9.60823,9.60823,9.60823,9.60823,345937.09376170894,0
KTY,D,19960209,000000,10.5681,10.5681,10.5681,10.5681,351344.8138786427,0
KTY,D,19960212,000000,11.6254,11.6254,11.6254,11.6254,208098.03301392612,0
KTY,D,19960213,000000,12.1712,12.1712,12.1712,12.1712,628638.5434957098,0
KTY,D,19960214,000000,11.8511,11.8511,11.8511,11.8511,237250.33998370435,0
KTY,D,19960215,000000,11.8511,11.8511,11.8511,11.8511,229990.093946533,0
KTY,D,19960216,000000,11.8181,11.8181,11.8181,11.8181,107893.22187380423,0
KTY,D,19960219,000000,11.5315,11.5315,11.5315,11.5315,116644.90827048884,0
KTY,D,19960220,000000,11.3698,11.3698,11.3698,11.3698,170004.2199653434,0
KTY,D,19960221,000000,11.3698,11.3698,11.3698,11.3698,208128.00454268188,0
KTY,D,19960222,000000,11.6899,11.6899,11.6899,11.6899,102903.67594379616,0
KTY,D,19960223,000000,11.6254,11.6254,11.6254,11.6254,65446.40107735976,0
KTY,D,19960226,000000,11.7236,11.7236,11.7236,11.7236,108010.25355751721,0
KTY,D,19960227,000000,11.6591,11.6591,11.6591,11.6591,116035.48718578822,0
KTY,D,19960228,000000,11.5315,11.5315,11.5315,11.5315,24628.033343312112,0
KTY,D,19960229,000000,11.9464,11.9464,11.9464,11.9464,157941.3932489738,0
KTY,D,19960301,000000,12.0094,12.0094,12.0094,12.0094,71973.05826784228,0
KTY,D,19960304,000000,12.4269,12.4269,12.4269,12.4269,152239.6667071024,0
KTY,D,19960305,000000,13.2286,13.2286,13.2286,13.2286,145790.0791619919,0
KTY,D,19960306,000000,13.6433,13.6433,13.6433,13.6433,77961.65515637599,0
KTY,D,19960307,000000,15.0208,15.0208,15.0208,15.0208,81849.3906006958,0
KTY,D,19960308,000000,13.7064,13.7064,13.7064,13.7064,116096.85745895478,0
KTY,D,19960311,000000,13.5487,13.5487,13.5487,13.5487,51889.2795701668,0
KTY,D,19960312,000000,13.6433,13.6433,13.6433,13.6433,75799.4234389955,0
KTY,D,19960313,000000,13.8052,13.8052,13.8052,13.8052,81907.90644255228,0
KTY,D,19960314,000000,13.6433,13.6433,13.6433,13.6433,43945.397234232914,0
KTY,D,19960315,000000,13.7709,13.7709,13.7709,13.7709,14698.894031222268,0
