<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP,D,20010516,000000,34.4163,34.4163,31.6436,34.1319,4821.574867743994,0
LPP,D,20010517,000000,33.0656,34.0614,32.7106,34.0614,2951.0957503501186,0
LPP,D,20010518,000000,32.7811,33.4208,32.7811,33.4208,14.125707620344349,0
LPP,D,20010524,000000,34.1319,34.1319,34.1319,34.1319,5.885711508476512,0
LPP,D,20010525,000000,34.4163,34.4163,34.4163,34.4163,336.66269828486713,0
LPP,D,20010529,000000,34.346,34.346,34.346,34.346,280.1598678034855,0
LPP,D,20010530,000000,34.2023,34.2023,34.2023,34.2023,280.1598678034855,0
LPP,D,20010531,000000,34.2023,34.2023,34.2023,34.2023,140.07993390174275,0
LPP,D,20010601,000000,33.848,33.848,33.848,33.848,280.1598678034855,0
LPP,D,20010604,000000,33.7777,33.7777,33.4208,33.4208,2391.953157044859,0
LPP,D,20010605,000000,34.2023,34.2023,33.4208,33.4208,479.0969167900007,0
LPP,D,20010606,000000,34.1319,34.2023,33.4208,34.2023,346.07983669842014,0
LPP,D,20010607,000000,34.2023,34.2023,34.2023,34.2023,562.674020210362,0
LPP,D,20010608,000000,34.346,34.346,34.346,34.346,140.07993390174275,0
LPP,D,20010611,000000,34.346,34.346,34.346,34.346,68.27425349832872,0
LPP,D,20010612,000000,33.0656,34.4163,33.0656,34.4163,349.6112636035117,0
LPP,D,20010615,000000,34.2746,34.4887,34.1319,34.4887,4454.306469615098,0
LPP,D,20010618,000000,34.4887,34.4887,34.4887,34.4887,210.7084720034592,0
LPP,D,20010621,000000,33.7777,33.7777,33.7777,33.7777,280.1598678034855,0
LPP,D,20010622,000000,34.1319,34.1319,34.1319,34.1319,493.22262441033564,0
LPP,D,20010625,000000,34.2023,34.2023,34.1319,34.1319,280.1598678034855,0
LPP,D,20010626,000000,34.1319,34.1319,33.7777,33.7777,534.4226049696817,0
LPP,D,20010628,000000,34.8445,34.8445,34.1319,34.4163,844.0110303155375,0
LPP,D,20010629,000000,34.8445,34.8445,34.8445,34.8445,971.142398898625,0
LPP,D,20010702,000000,34.2023,34.2023,34.2023,34.2023,539.1311741764529,0
LPP,D,20010703,000000,34.4163,34.7724,34.4163,34.4163,940.5366990545646,0
LPP,D,20010704,000000,34.4887,34.6296,34.4887,34.5583,984.0909642172909,0
LPP,D,20010705,000000,34.4887,34.4887,34.4887,34.4887,495.5769090137265,0
LPP,D,20010706,000000,34.7009,34.8445,34.7009,34.8445,605.0511430713874,0
LPP,D,20010709,000000,34.9143,34.9143,34.9143,34.9143,422.5940863086191,0
LPP,D,20010710,000000,34.8445,34.9143,34.8445,34.8445,675.6796811731145,0
LPP,D,20010711,000000,34.8445,34.8445,34.8445,34.8445,939.3595567528531,0
LPP,D,20010712,000000,34.8445,34.9857,34.8445,34.9857,2068.23902407869,0
LPP,D,20010713,000000,34.8445,34.8445,34.8445,34.8445,68.27425349832872,0
LPP,D,20010716,000000,35.0578,35.0578,35.0578,35.0578,406.1140940848828,0
LPP,D,20010717,000000,34.9143,35.0578,34.9143,35.0578,1097.096625180075,0
LPP,D,20010718,000000,35.198,35.2701,35.198,35.2701,1210.1022861427962,0
LPP,D,20010719,000000,35.2701,35.4834,35.2701,35.4834,3446.672659363941,0
LPP,D,20010720,000000,35.5547,35.5547,35.5547,35.5547,302.5255715356937,0
LPP,D,20010723,000000,36.2648,36.4068,36.2648,36.4068,541.4854587798437,0
LPP,D,20010724,000000,35.9098,36.621,35.9098,36.621,984.0909642172909,0
LPP,D,20010725,000000,36.9758,36.9758,36.9758,36.9758,68.27425349832872,0
LPP,D,20010727,000000,36.9063,36.9063,36.9063,36.9063,11.771423016953447,0
LPP,D,20010730,000000,36.621,36.9758,36.621,36.9758,592.1025777527428,0
LPP,D,20010731,000000,36.6923,36.6923,36.6923,36.6923,11.771423016953447,0
LPP,D,20010801,000000,36.6923,36.6923,36.6923,36.6923,11.771423016953447,0
LPP,D,20010802,000000,37.3327,37.3327,35.5547,37.3327,616.8225660883419,0
LPP,D,20010803,000000,36.9758,37.3327,36.9758,37.3327,267.21130248483024,0
LPP,D,20010806,000000,37.2607,37.2607,37.2607,37.2607,198.9370489865047,0
LPP,D,20010807,000000,36.621,36.621,36.621,36.621,11.771423016953447,0
LPP,D,20010808,000000,35.5547,36.5496,35.3414,35.3414,1040.593794698662,0
LPP,D,20010809,000000,36.621,36.8359,36.621,36.8359,616.8225660883419,0
LPP,D,20010810,000000,36.2648,36.2648,36.2648,36.2648,280.1598678034855,0
LPP,D,20010813,000000,36.2648,36.2648,36.1936,36.1936,562.674020210362,0
LPP,D,20010814,000000,36.5496,36.5496,36.4783,36.4783,143.61136080682382,0
LPP,D,20010816,000000,36.4068,36.4068,36.4068,36.4068,280.1598678034855,0
LPP,D,20010817,000000,36.2648,36.3372,36.2648,36.3372,337.8398405865573,0
LPP,D,20010820,000000,36.621,36.621,36.621,36.621,140.07993390174275,0
LPP,D,20010821,000000,36.621,36.621,36.621,36.621,56.502830481375284,0
LPP,D,20010822,000000,36.2648,36.2648,36.2648,36.2648,114.18280326445343,0
