<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU,D,20040930,000000,29.0831,29.2731,27.3552,28.7611,54254.74685638721,0
NEU,D,20041001,000000,28.7611,29.2731,28.7611,28.9577,17791.116856895067,0
NEU,D,20041004,000000,29.2731,29.6605,29.2731,29.4031,11746.58257126497,0
NEU,D,20041005,000000,29.4031,29.4622,29.4031,29.4031,12196.46085697299,0
NEU,D,20041006,000000,29.1486,29.3404,29.0831,29.3404,1438.512999979965,0
NEU,D,20041007,000000,29.0831,29.2731,29.0831,29.2731,2487.8494856796356,0
NEU,D,20041008,000000,28.7611,29.1486,28.7611,29.1486,822.7808171313977,0
NEU,D,20041011,000000,28.7611,28.7611,27.8007,28.6347,2465.088885679953,0
NEU,D,20041012,000000,27.9981,28.1237,27.4872,27.4872,759.9076085608448,0
NEU,D,20041013,000000,27.7417,27.7417,27.6108,27.6108,1176.176314269333,0
NEU,D,20041014,000000,27.6781,27.6781,27.6781,27.6781,782.6723114176707,0
NEU,D,20041015,000000,27.1653,27.7417,27.1653,27.7417,29.26885971387807,0
NEU,D,20041018,000000,27.4872,27.5526,26.8432,27.5526,918.1763485586405,0
NEU,D,20041020,000000,26.5269,26.8432,26.5269,26.8432,1700.8394285477398,0
NEU,D,20041021,000000,26.8432,27.6781,26.8432,27.6781,978.8822228435093,0
NEU,D,20041022,000000,26.4604,26.4604,26.3949,26.3949,1197.8496571261737,0
NEU,D,20041025,000000,27.3552,27.3552,26.2049,26.2049,3489.5005142371137,0
NEU,D,20041026,000000,26.2049,28.4447,25.8838,28.4447,982.134762843464,0
NEU,D,20041027,000000,28.3792,28.3792,26.5933,28.1873,16658.31799976799,0
NEU,D,20041028,000000,27.9981,27.9981,27.9981,27.9981,1.084026142842045,0
NEU,D,20041029,000000,28.1237,28.1237,28.0582,28.0582,10.84026142842045,0
NEU,D,20041102,000000,28.2538,28.2538,27.1653,28.1237,1149.0666856982818,0
NEU,D,20041103,000000,28.1237,28.1237,27.0388,28.1237,1723.6102856902799,0
NEU,D,20041104,000000,27.9981,28.0582,27.2307,27.2307,2238.5291142545366,0
NEU,D,20041105,000000,27.2307,27.5526,27.2307,27.2953,303.529371424344,0
NEU,D,20041108,000000,26.9088,27.9318,26.8432,27.9318,1015.7392142715673,0
NEU,D,20041110,000000,27.8673,27.8673,26.9742,27.8007,1891.6325428307969,0
NEU,D,20041112,000000,27.1653,27.9318,27.0987,27.9318,1250.9713999825767,0
NEU,D,20041115,000000,27.4872,27.9318,27.2307,27.9318,1031.991657128484,0
NEU,D,20041116,000000,27.4208,27.4208,27.2307,27.4208,1144.738171412628,0
NEU,D,20041117,000000,27.4872,27.5526,27.4872,27.5526,1174.0017999836489,0
NEU,D,20041118,000000,27.4208,27.4872,27.4208,27.4872,1247.719885696908,0
NEU,D,20041119,000000,27.4872,27.4872,27.1653,27.1653,2338.2593142531477,0
NEU,D,20041122,000000,27.8007,27.8007,27.6108,27.6108,159.3529199977806,0
NEU,D,20041123,000000,25.8838,26.8432,25.8838,26.7833,4612.555085650044,0
NEU,D,20041124,000000,26.013,26.8432,25.8838,26.8432,3471.068428523085,0
NEU,D,20041125,000000,26.8432,26.8432,26.8432,26.8432,10.84026142842045,0
NEU,D,20041126,000000,25.8838,26.6532,25.8838,26.6532,3775.6850570902707,0
NEU,D,20041129,000000,26.7833,26.9742,26.013,26.9742,3479.7459713801068,0
NEU,D,20041201,000000,26.8432,26.8432,26.5269,26.8432,6602.851085622323,0
NEU,D,20041202,000000,26.8432,26.9742,26.8432,26.9742,3324.729771382266,0
NEU,D,20041203,000000,26.8432,26.8432,26.2049,26.8432,3004.9325713867197,0
NEU,D,20041206,000000,26.6532,26.6532,26.6532,26.6532,62.87392657055288,0
NEU,D,20041207,000000,25.9504,26.8432,25.9504,26.8432,2718.748028533563,0
NEU,D,20041208,000000,26.7833,26.8432,26.7178,26.8432,1730.113314261618,0
NEU,D,20041209,000000,26.6532,27.2307,26.5269,27.0987,2405.4641142522114,0
NEU,D,20041213,000000,26.8432,26.8432,26.8432,26.8432,235.23526285386657,0
NEU,D,20041214,000000,26.2704,27.0987,26.2704,27.0987,1600.0322285491438,0
NEU,D,20041215,000000,26.3359,26.8432,26.3359,26.8432,807.6043485601805,0
NEU,D,20041216,000000,26.8432,27.0388,26.8432,27.0388,1946.9185428300268,0
NEU,D,20041217,000000,26.5933,27.0388,26.5269,27.0388,863.9745285593955,0
NEU,D,20041220,000000,26.5269,26.8432,26.5269,26.8432,999.4785657003654,0
NEU,D,20041221,000000,26.8432,26.8432,26.8432,26.8432,5632.638199921551,0
NEU,D,20041222,000000,26.7833,26.7833,26.7833,26.7833,66.12605628479331,0
NEU,D,20041223,000000,26.2704,26.7833,26.2704,26.7833,846.6296999882084,0
NEU,D,20041224,000000,26.7833,26.8432,26.7833,26.8432,1562.091057121101,0
NEU,D,20041227,000000,26.8432,26.8432,26.5933,26.5933,135.5040371409699,0
NEU,D,20041228,000000,26.3359,26.3359,26.2704,26.2704,1695.423657119244,0
NEU,D,20041229,000000,26.2049,26.9742,26.2049,26.8432,3242.3443999548417,0
NEU,D,20041230,000000,26.013,27.4872,26.013,27.4872,3422.285457095192,0
NEU,D,20041231,000000,27.4208,27.4208,27.1653,27.1653,379.4117142804299,0
NEU,D,20050103,000000,27.8007,27.8007,27.1653,27.1653,153.9320199978561,0
NEU,D,20050104,000000,26.8432,27.5526,26.8432,27.5526,1721.446028547453,0
NEU,D,20050110,000000,26.9088,27.4208,26.9088,27.1653,3215.2347713837908,0
NEU,D,20050111,000000,26.5269,27.2953,26.5269,27.2953,853.1347799881178,0
NEU,D,20050112,000000,26.5269,27.2953,26.5269,27.2953,933.3528171298576,0
NEU,D,20050113,000000,27.1653,27.1653,27.1653,27.1653,4783.839114219087,0
NEU,D,20050114,000000,26.8432,27.0987,26.8432,27.0987,47715.92085647828,0
NEU,D,20050118,000000,26.5933,26.7833,26.4604,26.7833,269.92389428195486,0
NEU,D,20050119,000000,26.6532,26.9742,26.6532,26.9742,861.8061685594256,0
NEU,D,20050120,000000,26.7833,26.9742,26.3359,26.9742,2080.2511428281696,0
NEU,D,20050121,000000,26.3359,26.9088,26.2704,26.2704,1247.719885696908,0
NEU,D,20050124,000000,26.2704,26.9088,24.9319,26.9088,4787.090628504756,0
NEU,D,20050125,000000,26.0795,27.2953,26.0795,27.2953,1117.6387999844337,0
NEU,D,20050127,000000,26.4604,26.8432,26.3949,26.8432,891.0759514161608,0
NEU,D,20050128,000000,26.5269,26.5269,26.4604,26.4604,91.05881142730318,0
NEU,D,20050131,000000,25.824,26.9088,25.824,26.9088,13487.527428383579,0
NEU,D,20050202,000000,26.0795,26.7178,26.0795,26.7178,127.91580285536129,0
NEU,D,20050203,000000,26.2049,26.7833,26.2049,26.5269,84.55465457025092,0
NEU,D,20050204,000000,26.7178,26.8432,26.7178,26.8432,1501.379028550518,0
NEU,D,20050207,000000,26.2049,26.8432,26.2049,26.3359,1712.7684856904307,0
NEU,D,20050208,000000,26.3359,26.7833,26.3359,26.7833,237.40259713955066,0
NEU,D,20050209,000000,26.2704,26.2704,26.2049,26.2049,431.44517427970527,0
NEU,D,20050210,000000,25.3774,26.7178,25.3774,26.7178,991.8903314147567,0
NEU,D,20050211,000000,26.5269,27.0388,26.2704,27.0388,6935.644085617689,0
NEU,D,20050214,000000,27.3552,28.0582,26.6532,28.0582,7009.362171330948,0
NEU,D,20050215,000000,28.0582,28.0582,27.2307,27.9981,1029.827399985657,0
NEU,D,20050216,000000,27.6108,27.8007,27.3552,27.8007,5947.009371345744,0
NEU,D,20050218,000000,27.0987,27.4872,27.0388,27.4872,1885.1295142594588,0
NEU,D,20050221,000000,26.9088,27.2307,26.9088,27.2307,127.91580285536129,0
NEU,D,20050222,000000,27.0987,27.1653,27.0987,27.0987,1719.271514261769,0
NEU,D,20050223,000000,27.0987,27.1653,26.9088,27.0987,918.1763485586405,0
NEU,D,20050224,000000,26.8432,26.8432,26.7833,26.8432,840.1256457025847,0
NEU,D,20050225,000000,26.8432,26.8432,26.8432,26.8432,391.33564285169246,0
NEU,D,20050228,000000,26.3359,26.3359,26.3359,26.3359,36.85709399948667,0
NEU,D,20050301,000000,26.7833,27.1653,26.2704,27.1653,1490.537228550669,0
NEU,D,20050302,000000,26.3949,27.1653,26.3949,27.1653,850.966419988148,0
NEU,D,20050303,000000,27.1653,27.3552,26.5269,27.3552,1121.9673142700879,0
NEU,D,20050304,000000,26.8432,27.1653,26.8432,26.8432,913.8406542729866,0
NEU,D,20050307,000000,27.2307,27.2307,27.2307,27.2307,155.01619999784097,0
NEU,D,20050308,000000,26.3949,27.2953,26.3949,27.2953,294.85695713875043,0
NEU,D,20050310,000000,27.1653,27.1653,26.6532,26.9088,136.58821714095478,0
NEU,D,20050311,000000,27.1653,27.1653,27.1653,27.1653,72.63021314184557,0
