<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR,D,20140625,000000,13.2014,13.2014,12.1599,12.1599,230488,0
PCR,D,20140626,000000,12.1963,12.9446,12.1963,12.6079,38641,0
PCR,D,20140627,000000,12.6364,12.8347,12.633,12.6671,5619.88,0
PCR,D,20140630,000000,12.6736,12.8313,12.6736,12.7613,4910.56,0
PCR,D,20140701,000000,12.802,12.802,12.6479,12.6521,897.162,0
PCR,D,20140702,000000,12.7071,12.7071,12.4167,12.4681,91113.8,0
PCR,D,20140703,000000,12.4681,12.4681,12.3611,12.4681,13418.1,0
PCR,D,20140704,000000,12.4681,12.8347,12.4681,12.8347,508.859,0
PCR,D,20140707,000000,12.8313,12.8313,12.4681,12.4681,77094.2,0
PCR,D,20140708,000000,12.4681,12.4681,12.4645,12.4681,3212.96,0
PCR,D,20140709,000000,12.4417,12.4417,12.4167,12.4167,270.55,0
PCR,D,20140710,000000,12.4167,12.4167,12.3248,12.3248,207.468,0
PCR,D,20140711,000000,12.3219,12.3219,12.2848,12.3219,257.934,0
PCR,D,20140714,000000,12.3911,12.3939,12.3911,12.3939,16063.4,0
PCR,D,20140715,000000,12.3248,12.4681,12.3248,12.4681,298.586,0
PCR,D,20140716,000000,12.4681,12.4681,12.3583,12.3583,40.6526,0
PCR,D,20140717,000000,12.329,12.3939,12.2476,12.3939,1242,0
PCR,D,20140718,000000,12.215,12.215,12.2113,12.2113,14511.6,0
PCR,D,20140721,000000,12.3112,12.3546,12.2291,12.2291,10893.5,0
PCR,D,20140722,000000,12.2291,12.3546,12.2291,12.3546,30.8399,0
PCR,D,20140723,000000,12.3583,12.3583,12.2113,12.2113,7271.22,0
PCR,D,20140725,000000,12.3169,12.3169,12.0643,12.1008,11173.8,0
PCR,D,20140728,000000,12.1742,12.3169,12.1742,12.3169,1376.58,0
PCR,D,20140729,000000,12.3546,12.3583,12.3033,12.3546,3661.54,0
PCR,D,20140730,000000,12.3169,12.3219,12.3169,12.3219,2017.21,0
PCR,D,20140731,000000,12.3219,12.3219,12.3169,12.3219,822.866,0
