<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEL,D,20080418,000000,22.9339,23.3686,22.1026,23.3315,369264,0
SEL,D,20080421,000000,23.2604,23.2604,22.7884,23.1522,92951.9,0
SEL,D,20080422,000000,23.1293,23.2959,22.7174,22.9339,164567,0
SEL,D,20080423,000000,22.9339,23.2097,22.9339,22.9415,144489,0
SEL,D,20080424,000000,22.797,23.115,22.797,23.0422,64218.3,0
SEL,D,20080425,000000,22.7884,23.1073,22.7884,23.0506,3693.67,0
SEL,D,20080428,000000,23.0794,23.1522,22.8332,23.0058,15285.4,0
SEL,D,20080429,000000,22.862,23.2815,22.8476,23.2459,87725.9,0
SEL,D,20080430,000000,23.1522,23.1522,22.7884,22.797,1174.07,0
SEL,D,20080505,000000,22.8113,22.9923,22.7884,22.9703,273.123,0
SEL,D,20080506,000000,22.7884,22.8476,22.4264,22.7884,62148,0
SEL,D,20080507,000000,22.8476,22.8832,21.7769,22.7825,1091.31,0
SEL,D,20080508,000000,22.775,22.7825,21.8852,22.7614,484.765,0
SEL,D,20080509,000000,22.775,22.862,22.5719,22.7884,6038.28,0
SEL,D,20080512,000000,20.9811,22.8545,20.9811,22.8545,1680.12,0
SEL,D,20080513,000000,22.8476,22.8476,22.4264,22.4264,568.712,0
SEL,D,20080514,000000,21.7042,22.7884,21.7042,22.7884,5962.6,0
SEL,D,20080515,000000,22.7884,23.2883,22.7884,23.2375,31518,0
SEL,D,20080516,000000,21.7185,21.7185,18.8835,19.6439,17393.6,0
SEL,D,20080519,000000,18.1595,18.4479,17.3628,17.8635,11059.7,0
SEL,D,20080520,000000,18.3033,20.0397,18.2897,19.5339,1872.84,0
SEL,D,20080521,000000,19.5339,21.4876,18.8108,20.9015,1947.33,0
SEL,D,20080523,000000,20.7645,20.7645,18.9546,20.7645,232.923,0
SEL,D,20080526,000000,18.8835,20.7569,18.8531,18.9047,438.653,0
SEL,D,20080527,000000,20.6994,20.6994,18.9546,20.4964,254.206,0
SEL,D,20080528,000000,19.0349,20.2436,19.0349,19.1711,289.676,0
SEL,D,20080529,000000,20.4389,20.4744,18.8894,19.5043,1359.7,0
SEL,D,20080530,000000,19.2955,19.2955,18.7017,19.2743,241.2,0
SEL,D,20080602,000000,19.1372,19.1372,17.7248,19.0713,357.07,0
SEL,D,20080603,000000,19.2092,19.2092,19.2092,19.2092,1.18235,0
SEL,D,20080604,000000,19.2447,19.2447,18.2331,18.8108,1696.67,0
SEL,D,20080605,000000,19.2447,19.2447,17.3206,18.8031,1071.21,0
SEL,D,20080606,000000,18.6586,18.7381,17.5447,18.7237,267.211,0
SEL,D,20080609,000000,18.0073,18.0073,17.0026,17.9422,227.011,0
SEL,D,20080610,000000,19.3902,19.3902,17.7248,18.3405,1655.29,0
SEL,D,20080611,000000,18.4344,18.4344,17.0085,17.0085,276.67,0
SEL,D,20080612,000000,17.3628,18.9546,17.0313,17.0372,1032.19,0
SEL,D,20080613,000000,18.7237,18.7237,17.0026,17.9785,210.458,0
SEL,D,20080616,000000,18.7017,18.7017,18.7017,18.7017,1.18235,0
SEL,D,20080617,000000,18.6518,18.6518,17.0727,18.514,4131.14,0
SEL,D,20080618,000000,18.7178,18.7178,17.1826,18.6586,29.5588,0
SEL,D,20080619,000000,18.6941,18.6941,17.0727,17.9354,234.106,0
SEL,D,20080620,000000,18.6653,18.6653,17.0727,18.2686,565.165,0
