<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRG,D,19930930,000000,1.79457,1.79457,1.79457,1.79457,4122526.8174758046,0
VRG,D,19931004,000000,1.79457,1.79457,1.79457,1.79457,5020827.767249386,0
VRG,D,19931005,000000,1.79457,1.79457,1.79457,1.79457,3912113.222363486,0
VRG,D,19931007,000000,1.7859,1.7859,1.7859,1.7859,2887681.0841672188,0
VRG,D,19931011,000000,1.74256,1.74256,1.74256,1.74256,2120239.090546899,0
VRG,D,19931012,000000,1.89861,1.89861,1.89861,1.89861,2069487.69530824,0
VRG,D,19931014,000000,2.03737,2.03737,2.03737,2.03737,2594171.8694904363,0
VRG,D,19931018,000000,2.08071,2.08071,2.08071,2.08071,1322681.6611014013,0
VRG,D,19931019,000000,2.05466,2.05466,2.05466,2.05466,791721.5377135631,0
VRG,D,19931021,000000,1.99404,1.99404,1.99404,1.99404,1125370.6062653793,0
VRG,D,19931026,000000,1.81194,1.81194,1.81194,1.81194,1302081.0430912387,0
VRG,D,19931028,000000,1.98536,1.98536,1.98536,1.98536,2245793.4160634936,0
VRG,D,19931102,000000,2.08071,2.08071,2.08071,2.08071,2301436.745551328,0
VRG,D,19931104,000000,2.08071,2.08071,2.08071,2.08071,2143124.3592761056,0
VRG,D,19931108,000000,1.99404,1.99404,1.99404,1.99404,1338010.7097879883,0
VRG,D,19931109,000000,1.99404,1.99404,1.99404,1.99404,1247060.178320255,0
VRG,D,19931110,000000,2.06335,2.06335,2.06335,2.06335,1596788.4453456332,0
VRG,D,19931115,000000,2.08071,2.08071,2.08071,2.08071,2237534.9281351687,0
VRG,D,19931116,000000,2.08071,2.08071,2.08071,2.08071,2138107.0200474253,0
VRG,D,19931118,000000,2.01133,2.01133,2.01133,2.01133,867330.4799967697,0
VRG,D,19931122,000000,1.83791,1.83791,1.83791,1.83791,1079105.289160175,0
VRG,D,19931123,000000,2.02,2.02,2.02,2.02,820685.5278169587,0
VRG,D,19931125,000000,2.05466,2.05466,2.05466,2.05466,1884518.770554055,0
VRG,D,19931129,000000,2.25412,2.25412,2.25412,2.25412,3594681.2977627097,0
VRG,D,19931130,000000,2.47946,2.47946,2.47946,2.47946,3434304.2895054603,0
VRG,D,19931202,000000,2.42744,2.42744,2.42744,2.42744,1968606.2295025492,0
VRG,D,19931206,000000,2.67025,2.67025,2.67025,2.67025,2649204.134714083,0
VRG,D,19931207,000000,2.60087,2.60087,2.60087,2.60087,1000105.8522470753,0
VRG,D,19931209,000000,2.6876,2.6876,2.6876,2.6876,1903031.965676757,0
VRG,D,19931213,000000,2.79165,2.79165,2.79165,2.79165,1527754.14412862,0
VRG,D,19931214,000000,2.80892,2.80892,2.80892,2.80892,1735895.6290197796,0
VRG,D,19931216,000000,2.86094,2.86094,2.86094,2.86094,1509645.6650763063,0
VRG,D,19931220,000000,2.94769,2.94769,2.94769,2.94769,1701811.6956134806,0
VRG,D,19931221,000000,2.84367,2.84367,2.84367,2.84367,2052520.4015702251,0
VRG,D,19931223,000000,2.93032,2.93032,2.93032,2.93032,2158522.9507241077,0
VRG,D,19931227,000000,3.10373,3.10373,3.10373,3.10373,1830132.9109979162,0
VRG,D,19931228,000000,2.80024,2.80024,2.80024,2.80024,1896168.8931576267,0
VRG,D,19931230,000000,2.94769,2.94769,2.94769,2.94769,1654462.1954575074,0
VRG,D,19940103,000000,3.03435,3.03435,3.03435,3.03435,1286220.7333093185,0
VRG,D,19940104,000000,2.94769,2.94769,2.94769,2.94769,2029970.3061499922,0
VRG,D,19940106,000000,3.17304,3.17304,3.17304,3.17304,2926263.636204859,0
VRG,D,19940110,000000,3.12102,3.12102,3.12102,3.12102,1792357.5110107167,0
VRG,D,19940111,000000,3.20776,3.20776,3.20776,3.20776,1689988.2861289822,0
VRG,D,19940113,000000,3.52855,3.52855,3.52855,3.52855,3373113.4997388343,0
VRG,D,19940117,000000,3.87529,3.87529,3.87529,3.87529,1377574.840802217,0
VRG,D,19940118,000000,4.25676,4.25676,4.25676,4.25676,1129235.3597272066,0
VRG,D,19940120,000000,4.59491,4.59491,4.59491,4.59491,2353687.300318585,0
VRG,D,19940124,000000,4.49955,4.49955,4.49955,4.49955,1443147.9645826777,0
VRG,D,19940125,000000,4.94165,4.94165,4.94165,4.94165,1848127.3855232787,0
VRG,D,19940127,000000,4.94165,4.94165,4.94165,4.94165,2092833.5423261414,0
VRG,D,19940131,000000,4.44746,4.44746,4.44746,4.44746,1979852.776080955,0
VRG,D,19940201,000000,4.00537,4.00537,4.00537,4.00537,2572556.6111908103,0
VRG,D,19940203,000000,4.40412,4.40412,4.40412,4.40412,1241177.5447323823,0
VRG,D,19940207,000000,4.33482,4.33482,4.33482,4.33482,1462988.1723985993,0
VRG,D,19940208,000000,4.56017,4.56017,4.56017,4.56017,2410207.3246182743,0
VRG,D,19940210,000000,4.56017,4.56017,4.56017,4.56017,1360099.0868741942,0
VRG,D,19940214,000000,5.01103,5.01103,5.01103,5.01103,1744951.0085912137,0
VRG,D,19940215,000000,5.20172,5.20172,5.20172,5.20172,2330445.1974201943,0
VRG,D,19940217,000000,5.20172,5.20172,5.20172,5.20172,1518641.7622937649,0
VRG,D,19940221,000000,5.02839,5.02839,5.02839,5.02839,1248732.6247298878,0
VRG,D,19940222,000000,5.20172,5.20172,5.20172,5.20172,1682491.3484403389,0
VRG,D,19940224,000000,5.72197,5.72197,5.72197,5.72197,2670023.6414159304,0
VRG,D,19940228,000000,6.15537,6.15537,6.15537,6.15537,2513603.730287248,0
VRG,D,19940301,000000,6.0687,6.0687,6.0687,6.0687,1868797.5462949653,0
VRG,D,19940303,000000,6.32878,6.32878,6.32878,6.32878,2320491.462176803,0
VRG,D,19940307,000000,6.5022,6.5022,6.5022,6.5022,1416100.3905764357,0
VRG,D,19940308,000000,6.32878,6.32878,6.32878,6.32878,918301.9039723045,0
VRG,D,19940310,000000,6.0687,6.0687,6.0687,6.0687,1308078.8212512853,0
VRG,D,19940314,000000,5.89529,5.89529,5.89529,5.89529,944416.9209485474,0
VRG,D,19940315,000000,5.72197,5.72197,5.72197,5.72197,805690.51239422,0
VRG,D,19940317,000000,5.72197,5.72197,5.72197,5.72197,1115969.7929775324,0
VRG,D,19940321,000000,5.15839,5.15839,5.15839,5.15839,953782.3928331078,0
VRG,D,19940322,000000,4.68156,4.68156,4.68156,4.68156,1737452.9308572384,0
VRG,D,19940324,000000,5.11507,5.11507,5.11507,5.11507,1876629.6572927996,0
VRG,D,19940328,000000,4.63824,4.63824,4.63824,4.63824,955443.4387900017,0
