<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL,D,20150507,000000,29.5341,30.1636,28.9905,29.3259,532222.1230354668,0
WPL,D,20150508,000000,29.8118,29.8291,29.3673,29.4342,28438.11564215058,0
WPL,D,20150511,000000,29.7443,29.7443,29.3259,29.3259,102271.20843827736,0
WPL,D,20150512,000000,29.4098,29.4098,29.2412,29.2412,116667.98594301239,0
WPL,D,20150513,000000,29.1672,29.2836,28.7389,28.7389,3747.5992619517774,0
WPL,D,20150514,000000,28.8228,29.1996,28.5298,29.1996,3118.752864748818,0
WPL,D,20150515,000000,28.9066,29.4918,28.9066,29.4918,3600.0944816319357,0
WPL,D,20150518,000000,29.619,29.7443,29.1744,29.1744,16262.552900209857,0
WPL,D,20150519,000000,29.0743,29.1996,29.0743,29.1582,69138.22460620877,0
WPL,D,20150520,000000,29.1158,29.6604,29.1158,29.1582,2910.2454833730476,0
WPL,D,20150521,000000,29.7443,29.7443,29.3331,29.3331,602.2339613499564,0
WPL,D,20150522,000000,29.0906,29.7281,29.0906,29.1744,58486.601758856035,0
WPL,D,20150525,000000,29.6442,29.6442,29.6442,29.6442,173.0176555401306,0
WPL,D,20150526,000000,29.1996,29.1996,29.1996,29.1996,74.3088189824298,0
WPL,D,20150527,000000,28.9157,29.3259,28.9157,29.1158,92470.18523945093,0
WPL,D,20150528,000000,29.0743,29.1906,28.9247,29.1158,48814.25272523478,0
WPL,D,20150529,000000,28.8318,29.2412,28.8318,29.1582,15701.31669633012,0
WPL,D,20150601,000000,29.0743,29.1996,28.9481,29.1158,7176.898734792318,0
WPL,D,20150602,000000,29.0743,29.1158,28.9066,29.1158,30648.48822568278,0
WPL,D,20150603,000000,28.9066,29.1582,28.9066,29.0562,18140.193322047,0
WPL,D,20150605,000000,29.0328,29.0328,28.9905,28.9905,38998.807382295534,0
WPL,D,20150608,000000,28.9734,29.1582,28.9734,29.1582,6587.974059910163,0
WPL,D,20150609,000000,28.9905,28.9905,28.9905,28.9905,39907.19789198316,0
WPL,D,20150610,000000,28.9905,29.0743,28.9247,28.9571,15335.342003878557,0
WPL,D,20150611,000000,29.0743,29.0743,28.9247,28.9481,59429.359931110375,0
WPL,D,20150612,000000,29.0328,29.0328,28.9481,28.9481,9164.382706719936,0
WPL,D,20150615,000000,29.1582,29.1582,28.9905,28.9905,3950.562812044464,0
WPL,D,20150616,000000,28.9905,29.1158,28.8887,29.1158,25573.325483910416,0
WPL,D,20150617,000000,29.1582,29.1582,29.0328,29.0743,17335.008084769557,0
WPL,D,20150618,000000,29.1158,29.1996,29.1158,29.1411,4512.873005379413,0
WPL,D,20150619,000000,29.1158,29.2412,28.8887,28.8887,14564.52442916784,0
WPL,D,20150622,000000,28.9157,29.0743,28.9157,28.9905,4716.941230340315,0
WPL,D,20150623,000000,29.1582,29.1582,28.9905,28.9905,7651.591845524135,0
WPL,D,20150624,000000,28.9986,29.2412,28.9986,29.133,16515.4007033793,0
WPL,D,20150625,000000,29.0743,29.1582,29.0743,29.0743,1328.6783831598,0
WPL,D,20150626,000000,28.9905,28.9905,28.9391,28.9734,741.9794235676811,0
WPL,D,20150629,000000,28.4873,28.4873,26.2677,28.2358,12002.497012586879,0
WPL,D,20150630,000000,28.078,28.2358,28.078,28.2106,1254.3685413302699,0
WPL,D,20150701,000000,28.2106,29.2258,28.2106,29.2078,16878.0000004002,0
WPL,D,20150702,000000,29.2258,29.2582,28.6551,29.1996,13355.621441441459,0
WPL,D,20150703,000000,29.1996,29.2582,28.6461,28.9066,18196.756766688057,0
WPL,D,20150706,000000,28.6965,29.2412,28.5298,29.2412,51926.36731230329,0
WPL,D,20150707,000000,28.9066,29.0743,28.9066,28.9066,2424.4647100750617,0
WPL,D,20150708,000000,29.1582,29.1582,28.9066,28.9066,18873.26783876034,0
WPL,D,20150709,000000,28.9905,28.9905,28.6551,28.9066,5461.144323503831,0
WPL,D,20150710,000000,28.9066,29.1491,28.8652,28.9066,84001.11353450496,0
WPL,D,20150713,000000,29.0743,29.0743,28.4873,28.7227,20044.530053199356,0
WPL,D,20150714,000000,28.7723,28.7976,28.4873,28.6965,13625.141652344159,0
WPL,D,20150715,000000,28.6965,28.9905,28.5045,28.9905,4515.0925835868475,0
WPL,D,20150716,000000,29.0743,30.0878,28.9905,29.912,40999.59859499676,0
WPL,D,20150717,000000,29.7523,30.6909,29.7523,30.6829,295187.5360351188,0
WPL,D,20150720,000000,30.6829,30.6829,30.2051,30.5819,20552.47592315868,0
WPL,D,20150721,000000,30.5819,30.9011,30.3312,30.9011,10949.987346481079,0
WPL,D,20150722,000000,30.9172,30.9172,30.7577,30.9172,12117.87416548944,0
WPL,D,20150723,000000,30.8343,30.9172,30.6738,30.7496,6128.817996630383,0
