<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBU0.UK,D,20150429,000000,136.37,136.37,136.37,136.37,4,0
CBU0.UK,D,20150511,000000,134.52,134.52,134.4,134.4,170,0
CBU0.UK,D,20150601,000000,135.44,135.44,135.44,135.44,4240,0
CBU0.UK,D,20150602,000000,134.46,134.46,134.46,134.46,1890,0
CBU0.UK,D,20150612,000000,132.53,132.54,132.53,132.54,1000,0
CBU0.UK,D,20150615,000000,133.05,133.05,133.05,133.05,3760,0
CBU0.UK,D,20150619,000000,134.72,134.72,134.72,134.72,4880,0
CBU0.UK,D,20150624,000000,132.78,132.78,132.78,132.78,77,0
CBU0.UK,D,20150626,000000,132.13,132.13,132.13,132.13,1890,0
CBU0.UK,D,20150708,000000,134.88,134.88,134.63,134.7,531,0
CBU0.UK,D,20150710,000000,133.57,133.57,133.27,133.27,7078,0
CBU0.UK,D,20150713,000000,132.51,132.51,132.51,132.51,41,0
CBU0.UK,D,20150723,000000,133.55,133.55,133.55,133.55,31,0
CBU0.UK,D,20150731,000000,134.29,134.29,134.29,134.29,109,0
CBU0.UK,D,20150803,000000,135.46,135.46,135.46,135.46,218,0
CBU0.UK,D,20150812,000000,136.33,136.33,136.3,136.3,1730,0
CBU0.UK,D,20150824,000000,137.91,137.91,137.35,137.35,4350,0
CBU0.UK,D,20150825,000000,136.84,136.84,136.64,136.64,1543,0
CBU0.UK,D,20150901,000000,135.5,135.5,135.5,135.5,290,0
CBU0.UK,D,20150917,000000,134.91,134.91,134.91,134.91,9025,0
CBU0.UK,D,20151005,000000,137.73,137.73,137.73,137.73,6500,0
CBU0.UK,D,20151006,000000,137.38,137.38,137.38,137.38,24,0
CBU0.UK,D,20151014,000000,137.79,138.05,137.79,138.05,615,0
CBU0.UK,D,20151015,000000,138.16,138.16,138.16,138.16,1750,0
CBU0.UK,D,20151016,000000,138.07,138.07,138.07,138.07,220,0
CBU0.UK,D,20151021,000000,137.43,137.43,137.43,137.43,17,0
CBU0.UK,D,20151023,000000,137.43,137.72,137.23,137.23,2016,0
CBU0.UK,D,20151027,000000,137.86,137.86,137.86,137.86,36,0
CBU0.UK,D,20151029,000000,136.81,136.81,136.81,136.81,30,0
CBU0.UK,D,20151030,000000,136.41,136.41,136.41,136.41,170,0
CBU0.UK,D,20151102,000000,136.16,136.16,136.16,136.16,6500,0
CBU0.UK,D,20151116,000000,134.71,135.48,134.71,135.48,44875,0
CBU0.UK,D,20151120,000000,135.32,135.32,135.32,135.32,2200,0
CBU0.UK,D,20151125,000000,135.8,135.8,135.77,135.77,54750,0
CBU0.UK,D,20151130,000000,135.76,135.76,135.76,135.76,200,0
CBU0.UK,D,20151202,000000,136.14,136.2,136.14,136.2,4674,0
CBU0.UK,D,20151203,000000,136.03,136.03,136.03,136.03,2290,0
CBU0.UK,D,20151204,000000,135.21,135.21,135.21,135.21,1535,0
CBU0.UK,D,20151208,000000,135.66,135.72,135.66,135.72,1786,0
CBU0.UK,D,20151210,000000,135.89,136.07,135.89,136.07,235,0
CBU0.UK,D,20151214,000000,136.52,136.52,136.52,136.52,95,0
CBU0.UK,D,20151222,000000,135.97,135.97,135.97,135.97,7031,0
CBU0.UK,D,20151224,000000,135.46,135.46,135.46,135.46,0,0
CBU0.UK,D,20151229,000000,135.86,135.86,135.38,135.38,500,0
CBU0.UK,D,20151230,000000,134.94,134.94,134.94,134.94,0,0
CBU0.UK,D,20151231,000000,135.26,135.26,135.26,135.26,0,0
CBU0.UK,D,20160104,000000,136.18,136.18,136.18,136.18,0,0
CBU0.UK,D,20160105,000000,135.835,135.835,135.835,135.835,0,0
CBU0.UK,D,20160106,000000,136.4,136.4,136.35,136.35,40,0
CBU0.UK,D,20160107,000000,137.14,137.14,136.44,136.44,938,0
CBU0.UK,D,20160108,000000,137.125,137.125,137.125,137.125,0,0
CBU0.UK,D,20160111,000000,136.985,136.985,136.985,136.985,0,0
CBU0.UK,D,20160112,000000,137.14,137.235,137.14,137.235,938,0
CBU0.UK,D,20160113,000000,137.13,137.445,137.13,137.445,2110,0
CBU0.UK,D,20160114,000000,137.86,137.86,137.78,137.78,2175,0
CBU0.UK,D,20160115,000000,138.365,138.365,138.365,138.365,0,0
CBU0.UK,D,20160118,000000,138.32,138.32,138.32,138.32,0,0
CBU0.UK,D,20160119,000000,138.155,138.155,138.155,138.155,0,0
CBU0.UK,D,20160120,000000,138.98,139.08,138.98,139.08,25,0
CBU0.UK,D,20160121,000000,138.98,138.98,138.79,138.79,25,0
CBU0.UK,D,20160122,000000,138.08,138.08,138.08,138.08,0,0
CBU0.UK,D,20160125,000000,138.48,138.48,138.48,138.48,0,0
CBU0.UK,D,20160126,000000,138.645,138.645,138.645,138.645,0,0
CBU0.UK,D,20160127,000000,138.49,138.49,138.49,138.49,0,0
CBU0.UK,D,20160128,000000,138.855,138.855,138.855,138.855,0,0
CBU0.UK,D,20160129,000000,139.41,139.785,139.41,139.785,10,0
CBU0.UK,D,20160201,000000,139.35,139.35,139.35,139.35,0,0
CBU0.UK,D,20160202,000000,139.89,140.19,139.89,140.19,230,0
CBU0.UK,D,20160203,000000,140.645,140.645,140.645,140.645,0,0
CBU0.UK,D,20160204,000000,140.53,140.53,140.53,140.53,0,0
CBU0.UK,D,20160205,000000,140.08,140.08,140.08,140.08,0,0
CBU0.UK,D,20160208,000000,141.675,141.675,141.675,141.675,0,0
CBU0.UK,D,20160209,000000,141.765,141.765,141.765,141.765,0,0
CBU0.UK,D,20160210,000000,141.78,141.78,141.78,141.78,0,0
CBU0.UK,D,20160211,000000,142.759,143.648,142.759,143.545,20055,0
CBU0.UK,D,20160212,000000,141.994,141.994,141.935,141.935,10314,0
CBU0.UK,D,20160215,000000,141.57,141.57,141.57,141.57,0,0
CBU0.UK,D,20160216,000000,141.46,141.51,141.46,141.51,979,0
CBU0.UK,D,20160217,000000,140.73,140.73,140.73,140.73,0,0
CBU0.UK,D,20160218,000000,140.85,141.33,140.85,141.33,325,0
CBU0.UK,D,20160219,000000,141.68,141.757,141.68,141.74,4318,0
CBU0.UK,D,20160222,000000,141.58,141.58,141.58,141.58,0,0
CBU0.UK,D,20160223,000000,141.815,141.815,141.815,141.815,0,0
CBU0.UK,D,20160224,000000,142.39,142.52,142.22,142.52,607,0
CBU0.UK,D,20160225,000000,142.2,142.2,142.2,142.2,0,0
CBU0.UK,D,20160226,000000,141.888,141.888,141.555,141.555,37,0
CBU0.UK,D,20160229,000000,141.62,141.62,141.62,141.62,0,0
CBU0.UK,D,20160301,000000,141.888,141.888,140.91,140.91,2335,0
CBU0.UK,D,20160302,000000,140.39,140.57,140.23,140.23,141,0
CBU0.UK,D,20160303,000000,140.5,140.5,140.5,140.5,0,0
CBU0.UK,D,20160304,000000,140.08,140.08,139.945,139.945,232,0
CBU0.UK,D,20160307,000000,139.905,139.905,139.905,139.905,0,0
CBU0.UK,D,20160308,000000,140,140.79,140,140.79,50,0
CBU0.UK,D,20160309,000000,140.155,140.155,140.155,140.155,0,0
CBU0.UK,D,20160310,000000,140.12,140.12,139.585,139.585,100,0
CBU0.UK,D,20160311,000000,139.23,139.23,139.05,139.095,1050,0
