<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMOD.UK,D,20170113,000000,17.81,17.885,17.805,17.885,52454,0
CMOD.UK,D,20170116,000000,17.955,17.955,17.925,17.925,1002000,0
CMOD.UK,D,20170117,000000,18.061,18.061,17.995,17.995,1360000,0
CMOD.UK,D,20170118,000000,18,18,17.89,17.96,52784,0
CMOD.UK,D,20170119,000000,17.862,17.8763,17.862,17.8763,1612498,0
CMOD.UK,D,20170120,000000,17.9175,17.9175,17.9175,17.9175,0,0
CMOD.UK,D,20170123,000000,17.94,17.94,17.94,17.94,0,0
CMOD.UK,D,20170124,000000,18.02,18.025,18.0188,18.0188,3396,0
CMOD.UK,D,20170125,000000,17.86,17.9325,17.86,17.9325,2000,0
CMOD.UK,D,20170126,000000,17.93,17.93,17.8751,17.9013,5111641,0
CMOD.UK,D,20170127,000000,17.7788,17.7788,17.7788,17.7788,0,0
CMOD.UK,D,20170130,000000,17.7725,17.7725,17.6462,17.6462,421465,0
CMOD.UK,D,20170131,000000,17.65,17.7775,17.65,17.7775,345,0
CMOD.UK,D,20170201,000000,17.8438,17.8438,17.8438,17.8438,0,0
CMOD.UK,D,20170202,000000,17.958,17.958,17.9213,17.9213,450000,0
CMOD.UK,D,20170203,000000,17.8475,17.8475,17.808,17.8213,425000,0
CMOD.UK,D,20170206,000000,17.825,17.825,17.825,17.825,0,0
CMOD.UK,D,20170207,000000,17.769,17.797,17.76,17.76,601799,0
CMOD.UK,D,20170208,000000,17.81,17.8875,17.802,17.8875,601574,0
CMOD.UK,D,20170209,000000,17.965,17.965,17.91,17.9125,269158,0
CMOD.UK,D,20170210,000000,17.96,18.0837,17.96,18.0837,1560,0
CMOD.UK,D,20170213,000000,17.98,18.017,17.97,17.97,480349,0
CMOD.UK,D,20170214,000000,17.96,18.03,17.915,17.935,500302,0
CMOD.UK,D,20170215,000000,18.01,18.035,18.01,18.0125,1155,0
CMOD.UK,D,20170216,000000,18,18.027,17.955,17.955,481495,0
CMOD.UK,D,20170217,000000,17.82,17.86,17.8,17.805,1564,0
CMOD.UK,D,20170220,000000,17.9175,17.9175,17.87,17.87,238,0
CMOD.UK,D,20170221,000000,17.84,17.84,17.84,17.84,8000,0
CMOD.UK,D,20170222,000000,17.757,17.757,17.74,17.74,850000,0
CMOD.UK,D,20170223,000000,17.75,17.85,17.717,17.7175,482316,0
CMOD.UK,D,20170224,000000,17.68,17.68,17.6767,17.68,60600,0
CMOD.UK,D,20170227,000000,17.6972,17.6972,17.6588,17.6588,1045208,0
CMOD.UK,D,20170228,000000,17.63,17.79,17.61,17.7225,286837,0
CMOD.UK,D,20170301,000000,17.85,17.854,17.8288,17.8288,707182,0
CMOD.UK,D,20170302,000000,17.71,17.71,17.71,17.71,0,0
CMOD.UK,D,20170303,000000,17.61,17.617,17.5788,17.5788,458983,0
CMOD.UK,D,20170306,000000,17.67,17.71,17.6638,17.6638,1123,0
CMOD.UK,D,20170307,000000,17.5,17.6225,17.4688,17.4688,5217,0
CMOD.UK,D,20170308,000000,17.463,17.463,17.41,17.41,990804,0
CMOD.UK,D,20170309,000000,17.463,17.463,17.095,17.1538,690,0
CMOD.UK,D,20170310,000000,17.1325,17.144,17.0613,17.0613,286742,0
CMOD.UK,D,20170313,000000,17.09,17.113,17.09,17.1038,2761000,0
CMOD.UK,D,20170314,000000,17.04,17.05,16.99,16.99,31217,0
CMOD.UK,D,20170315,000000,17.09,17.119,17.08,17.08,762357,0
CMOD.UK,D,20170316,000000,17.2,17.2579,17.1775,17.1775,10890,0
CMOD.UK,D,20170317,000000,17.2,17.2175,17.192,17.1925,859585,0
CMOD.UK,D,20170320,000000,17.25,17.25,17.205,17.2488,607336,0
