<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNDX.UK,D,20150304,000000,240.86,242.06,240.86,242.06,80,0
CNDX.UK,D,20150305,000000,241.94,242.83,241.66,242.33,12198,0
CNDX.UK,D,20150306,000000,240.95,240.95,240.95,240.95,72,0
CNDX.UK,D,20150309,000000,239.07,239.66,239.07,239.66,788,0
CNDX.UK,D,20150310,000000,238.22,238.22,237.09,237.09,416,0
CNDX.UK,D,20150311,000000,236.12,236.12,235.36,235.36,863,0
CNDX.UK,D,20150312,000000,235.14,235.38,235.06,235.3,477,0
CNDX.UK,D,20150313,000000,235.61,236.14,233.61,233.61,2204,0
CNDX.UK,D,20150316,000000,236.7,237,236.7,237,14699,0
CNDX.UK,D,20150317,000000,236.38,237.25,236.38,237.12,832,0
CNDX.UK,D,20150318,000000,237.94,237.94,237.03,237.03,350,0
CNDX.UK,D,20150319,000000,241.1,241.1,240.65,240.83,608,0
CNDX.UK,D,20150320,000000,241.11,243,241.11,243,1603,0
CNDX.UK,D,20150323,000000,242.31,242.47,242.31,242.38,2826,0
CNDX.UK,D,20150324,000000,241.3,242.81,241.3,242.81,4341,0
CNDX.UK,D,20150325,000000,241.37,241.37,240.46,240.46,150,0
CNDX.UK,D,20150326,000000,234.3,234.35,232.91,234.35,17392,0
CNDX.UK,D,20150327,000000,234.89,235.2,234.35,234.35,2261,0
CNDX.UK,D,20150330,000000,236.77,238,236.77,237.66,595,0
CNDX.UK,D,20150331,000000,237.16,237.94,237.16,237.9,14836,0
CNDX.UK,D,20150401,000000,235.37,235.87,234.12,234.12,4933,0
CNDX.UK,D,20150402,000000,234,235,234,235,4431,0
CNDX.UK,D,20150407,000000,236.98,237.94,236.96,237.94,526,0
CNDX.UK,D,20150408,000000,236.56,237.98,236.56,237.98,487,0
CNDX.UK,D,20150409,000000,238,238,237.48,237.5,97,0
CNDX.UK,D,20150410,000000,239.63,239.85,239.51,239.85,9268,0
CNDX.UK,D,20150413,000000,240.69,241.91,240.69,241.91,190,0
CNDX.UK,D,20150414,000000,238.98,238.98,238.72,238.72,250,0
CNDX.UK,D,20150415,000000,240.16,240.33,240.03,240.14,262,0
CNDX.UK,D,20150416,000000,240.92,240.92,240.53,240.62,1342,0
CNDX.UK,D,20150417,000000,240.25,240.47,239.9,239.9,1675,0
CNDX.UK,D,20150420,000000,239.49,239.49,239.49,239.49,7,0
CNDX.UK,D,20150421,000000,241.74,241.88,240.64,241.17,3513,0
CNDX.UK,D,20150422,000000,241.04,241.04,241.04,241.04,13,0
CNDX.UK,D,20150423,000000,241.95,241.95,241.95,241.95,5800,0
CNDX.UK,D,20150424,000000,245.95,246.72,245.66,246.57,618,0
CNDX.UK,D,20150427,000000,247.41,248.37,247.41,247.71,588,0
CNDX.UK,D,20150428,000000,246.14,246.14,246.14,246.14,65,0
CNDX.UK,D,20150429,000000,245.28,245.28,245.14,245.14,49,0
CNDX.UK,D,20150430,000000,243.93,243.93,242.2,242.2,3008,0
CNDX.UK,D,20150501,000000,242.41,242.41,242.41,242.41,105,0
CNDX.UK,D,20150505,000000,243.29,243.39,240.42,240.42,627,0
CNDX.UK,D,20150506,000000,240.04,240.19,237.62,238.75,18007,0
CNDX.UK,D,20150507,000000,237.73,238.7,237.73,238.7,407,0
CNDX.UK,D,20150508,000000,240.74,240.74,240.74,240.74,550,0
CNDX.UK,D,20150511,000000,242.22,242.98,242.22,242.33,8114,0
CNDX.UK,D,20150512,000000,239.7,240.97,238.35,240.97,389,0
CNDX.UK,D,20150513,000000,242.34,242.54,241.5,241.5,32741,0
CNDX.UK,D,20150514,000000,242.52,243.57,242.42,243.57,6008,0
CNDX.UK,D,20150515,000000,244.94,244.98,244.51,244.59,2479,0
CNDX.UK,D,20150518,000000,244.35,244.47,243.8,243.8,495,0
CNDX.UK,D,20150519,000000,246.1,246.63,245.75,245.85,44156,0
CNDX.UK,D,20150520,000000,245.39,245.65,245.16,245.52,1935,0
CNDX.UK,D,20150521,000000,246.99,246.99,246.99,246.99,488,0
CNDX.UK,D,20150522,000000,246.7,247.14,246.7,247.14,747,0
CNDX.UK,D,20150526,000000,245.96,245.98,243.8,243.8,1231,0
CNDX.UK,D,20150527,000000,243.88,244.42,243.88,244.42,382,0
CNDX.UK,D,20150528,000000,247.27,247.36,246.67,247.36,757,0
CNDX.UK,D,20150529,000000,246.65,247.45,246.39,246.42,6870,0
CNDX.UK,D,20150601,000000,246.3,246.3,246.3,246.3,18,0
CNDX.UK,D,20150602,000000,245.62,246.07,245.62,245.88,407,0
CNDX.UK,D,20150603,000000,245.69,247.11,245.69,246.79,435,0
CNDX.UK,D,20150604,000000,244.5,246.29,244.5,245.58,802,0
CNDX.UK,D,20150605,000000,243.15,244.7,243.15,244.7,34,0
CNDX.UK,D,20150608,000000,243.93,243.93,242.11,243.09,7499,0
CNDX.UK,D,20150609,000000,240.14,240.88,240.03,240.75,9123,0
CNDX.UK,D,20150610,000000,243.77,244.52,243.77,244.52,42,0
CNDX.UK,D,20150611,000000,244.07,245.54,244.07,244.66,8425,0
CNDX.UK,D,20150612,000000,243.26,244.05,243.03,244.05,260,0
CNDX.UK,D,20150615,000000,243.27,243.27,243.27,243.27,25,0
CNDX.UK,D,20150616,000000,240.76,243.26,240.76,242.21,10999,0
CNDX.UK,D,20150617,000000,243.56,243.56,243.38,243.38,42,0
CNDX.UK,D,20150618,000000,243.5,243.5,243.5,243.5,280,0
CNDX.UK,D,20150619,000000,247.68,247.68,246,246.8,8586,0
CNDX.UK,D,20150622,000000,247.17,248.41,247.17,248.41,2523,0
CNDX.UK,D,20150623,000000,248.02,248.02,246.91,246.91,167,0
CNDX.UK,D,20150624,000000,248.13,248.13,247.76,247.76,92,0
CNDX.UK,D,20150625,000000,245.72,247.68,245.72,247.68,2617,0
CNDX.UK,D,20150626,000000,245.95,245.96,245.27,245.46,493,0
CNDX.UK,D,20150629,000000,241.34,241.92,241.34,241.51,7706,0
CNDX.UK,D,20150630,000000,239.75,239.75,239.75,239.75,35,0
CNDX.UK,D,20150701,000000,242.26,242.27,242.26,242.27,2500,0
CNDX.UK,D,20150702,000000,240.67,242.21,240.67,241.12,1332,0
CNDX.UK,D,20150703,000000,241.54,241.64,241.54,241.64,436,0
CNDX.UK,D,20150706,000000,242.09,242.1,241.09,241.09,65,0
CNDX.UK,D,20150707,000000,241.93,241.93,237.17,237.17,3358,0
CNDX.UK,D,20150708,000000,237.99,239.3,237.99,238.55,1343,0
CNDX.UK,D,20150709,000000,240.21,240.42,239.45,240.07,786,0
CNDX.UK,D,20150710,000000,238.46,240.8,238.46,240.8,249,0
CNDX.UK,D,20150713,000000,243.05,244.19,243.05,244.19,50,0
CNDX.UK,D,20150714,000000,244.77,246.68,244.77,246.68,7485,0
CNDX.UK,D,20150715,000000,246.96,247.7,246.7,247.7,1421,0
CNDX.UK,D,20150716,000000,248.46,248.83,248.46,248.83,757,0
CNDX.UK,D,20150717,000000,251.63,251.89,251.63,251.89,73,0
CNDX.UK,D,20150720,000000,254.26,254.73,254.15,254.73,2925,0
CNDX.UK,D,20150721,000000,254.59,255.49,254.29,254.29,431,0
CNDX.UK,D,20150722,000000,251.33,252.44,251.33,252.36,2100,0
CNDX.UK,D,20150723,000000,252.6,252.6,252.6,252.6,90,0
CNDX.UK,D,20150724,000000,252.68,252.68,250.81,250.81,131,0
CNDX.UK,D,20150727,000000,246.38,248.53,246.38,247.22,8129,0
CNDX.UK,D,20150728,000000,247.64,247.99,244.92,246.72,876,0
