<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSPX.UK,D,20150304,000000,192.85,193.02,191.54,192.13,89608,0
CSPX.UK,D,20150305,000000,192.32,192.84,192.26,192.47,69304,0
CSPX.UK,D,20150306,000000,192.58,192.84,190.7,190.7,121254,0
CSPX.UK,D,20150309,000000,189.67,190.54,189.6,190.29,139082,0
CSPX.UK,D,20150310,000000,190.07,190.22,187.95,187.95,86192,0
CSPX.UK,D,20150311,000000,187.71,188.32,187.16,187.48,67293,0
CSPX.UK,D,20150312,000000,187.7,189.07,187.54,188.8,17745,0
CSPX.UK,D,20150313,000000,189.8,189.8,187.25,187.81,115017,0
CSPX.UK,D,20150316,000000,188.21,190.48,188.21,190.09,116226,0
CSPX.UK,D,20150317,000000,190.48,193.39,189.48,189.65,197889,0
CSPX.UK,D,20150318,000000,190.47,190.49,189.43,189.43,33402,0
CSPX.UK,D,20150319,000000,192.92,192.93,191.29,191.49,43357,0
CSPX.UK,D,20150320,000000,191.86,193.54,191.86,193.54,92835,0
CSPX.UK,D,20150323,000000,194.42,194.42,192.8,193.58,67150,0
CSPX.UK,D,20150324,000000,192.8,193.39,192.63,193.11,94136,0
CSPX.UK,D,20150325,000000,191.99,192.21,190.05,190.05,54048,0
CSPX.UK,D,20150326,000000,188.07,189.02,187.36,188.83,237519,0
CSPX.UK,D,20150327,000000,189,189.89,188.08,188.45,143630,0
CSPX.UK,D,20150330,000000,190.42,191.08,189.5,190.93,144257,0
CSPX.UK,D,20150331,000000,190.65,191.19,190.07,190.79,187455,0
CSPX.UK,D,20150401,000000,188.7,189.79,187.99,188.86,282304,0
CSPX.UK,D,20150402,000000,188.54,190.19,188.29,189.86,141635,0
CSPX.UK,D,20150407,000000,191.15,191.79,190.84,191.45,319896,0
CSPX.UK,D,20150408,000000,190.78,191.59,190.45,190.94,102197,0
CSPX.UK,D,20150409,000000,191,191.62,190.47,190.78,56302,0
CSPX.UK,D,20150410,000000,192,192.83,191.17,192.83,83724,0
CSPX.UK,D,20150413,000000,192.8,193.39,192.42,193.35,42156,0
CSPX.UK,D,20150414,000000,192.75,192.75,191.23,192.03,120643,0
CSPX.UK,D,20150415,000000,192.25,193.51,192.25,193.15,57887,0
CSPX.UK,D,20150416,000000,193.37,194.01,192.57,193.23,129312,0
CSPX.UK,D,20150417,000000,193.25,193.3,190.96,191.28,149220,0
CSPX.UK,D,20150420,000000,191.92,193.01,191.92,193.01,136561,0
CSPX.UK,D,20150421,000000,193.47,193.82,192.76,192.97,112465,0
CSPX.UK,D,20150422,000000,193.11,193.24,191.66,193.05,111621,0
CSPX.UK,D,20150423,000000,193.29,193.79,192.47,192.76,119087,0
CSPX.UK,D,20150424,000000,194.06,194.53,193.85,194.44,242772,0
CSPX.UK,D,20150427,000000,194.77,195.18,194.36,194.83,102374,0
CSPX.UK,D,20150428,000000,193.8,193.8,192.69,193.77,175272,0
CSPX.UK,D,20150429,000000,194.25,194.54,193.04,193.54,366822,0
CSPX.UK,D,20150430,000000,193.49,193.49,191.24,192.9,224082,0
CSPX.UK,D,20150501,000000,192.81,192.94,191.82,192.7,18296,0
CSPX.UK,D,20150505,000000,193.93,194.46,192.63,192.63,25322,0
CSPX.UK,D,20150506,000000,192.17,192.84,191.03,191.37,133320,0
CSPX.UK,D,20150507,000000,189.49,191.83,189.49,191.83,65494,0
CSPX.UK,D,20150508,000000,192.59,194.44,192.16,194.44,263289,0
CSPX.UK,D,20150511,000000,194.22,194.61,193.98,194.24,71654,0
CSPX.UK,D,20150512,000000,193.11,193.11,191.66,192.91,131032,0
CSPX.UK,D,20150513,000000,193.45,194.91,192.82,192.82,77638,0
CSPX.UK,D,20150514,000000,193.15,194.37,192.96,194.23,73930,0
CSPX.UK,D,20150515,000000,195.44,195.48,194.69,194.86,76473,0
CSPX.UK,D,20150518,000000,194.65,195.55,194.55,195.55,52653,0
CSPX.UK,D,20150519,000000,196.11,196.47,195.5,195.89,99947,0
CSPX.UK,D,20150520,000000,195.71,195.85,195.42,195.58,94985,0
CSPX.UK,D,20150521,000000,195.25,196.2,194.68,196.2,53061,0
CSPX.UK,D,20150522,000000,196.23,196.23,195.64,195.79,112435,0
CSPX.UK,D,20150526,000000,195.65,195.7,193.62,193.68,16536,0
CSPX.UK,D,20150527,000000,193.87,194.8,193.61,194.71,54093,0
CSPX.UK,D,20150528,000000,194.94,195.24,194.5,194.83,130232,0
CSPX.UK,D,20150529,000000,195.07,195.38,193.73,193.84,170606,0
CSPX.UK,D,20150601,000000,194.63,194.83,193.52,193.86,127708,0
CSPX.UK,D,20150602,000000,194.26,194.26,192.94,193.9,133562,0
CSPX.UK,D,20150603,000000,194.53,195.22,194.14,194.95,139949,0
CSPX.UK,D,20150604,000000,194.56,194.59,193.39,193.48,80345,0
CSPX.UK,D,20150605,000000,193.31,193.56,192.13,192.91,269017,0
CSPX.UK,D,20150608,000000,192.74,192.74,192.07,192.11,88635,0
CSPX.UK,D,20150609,000000,191.65,191.7,190.64,191.68,106737,0
CSPX.UK,D,20150610,000000,191.76,194,191.64,193.79,126317,0
CSPX.UK,D,20150611,000000,193.92,194.74,193.79,194.26,190761,0
CSPX.UK,D,20150612,000000,194.01,194.24,192.61,193.22,70786,0
CSPX.UK,D,20150615,000000,192.34,192.5,190.87,191.59,53376,0
CSPX.UK,D,20150616,000000,191.32,195,190.86,195,131481,0
CSPX.UK,D,20150617,000000,193.48,193.85,192.67,193.05,53980,0
CSPX.UK,D,20150618,000000,193.19,195.48,192.79,195.37,85533,0
CSPX.UK,D,20150619,000000,195.72,195.8,194.97,195.13,78274,0
CSPX.UK,D,20150622,000000,195.38,196.23,195.27,196.1,70037,0
CSPX.UK,D,20150623,000000,196.08,196.08,195.43,195.48,48514,0
CSPX.UK,D,20150624,000000,195.71,195.76,195.01,195.32,71214,0
CSPX.UK,D,20150625,000000,194.37,195.36,194.2,194.84,83958,0
CSPX.UK,D,20150626,000000,193.7,194.24,193.53,193.96,52340,0
CSPX.UK,D,20150629,000000,191.44,192.68,191.44,191.47,136177,0
CSPX.UK,D,20150630,000000,191.63,191.63,190.07,190.3,116345,0
CSPX.UK,D,20150701,000000,190.97,192.21,190.9,191.4,68114,0
CSPX.UK,D,20150702,000000,191.8,192.28,191.3,191.4,87420,0
CSPX.UK,D,20150703,000000,191.56,191.64,191.02,191.12,22354,0
CSPX.UK,D,20150706,000000,189.9,191.59,189.72,190.82,80288,0
CSPX.UK,D,20150707,000000,191.99,192.26,188.45,188.45,230622,0
CSPX.UK,D,20150708,000000,188.8,190.82,188.8,189.67,113696,0
CSPX.UK,D,20150709,000000,189.92,191.3,189.8,190.36,112575,0
CSPX.UK,D,20150710,000000,190.98,191.37,190.55,191.25,89480,0
