<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EIMI.UK,D,20150330,000000,23.605,23.89,23.6,23.89,17142,0
EIMI.UK,D,20150331,000000,23.85,24,23.835,23.99,153664,0
EIMI.UK,D,20150401,000000,23.9,24.28,23.9,24.28,84603,0
EIMI.UK,D,20150402,000000,24.36,24.41,24.36,24.41,1900,0
EIMI.UK,D,20150407,000000,24.808,24.955,24.808,24.955,82397,0
EIMI.UK,D,20150408,000000,25.13,25.13,25.13,25.13,300,0
EIMI.UK,D,20150409,000000,25.35,25.36,25.262,25.262,1914458,0
EIMI.UK,D,20150410,000000,25.42,25.56,25.42,25.49,17173,0
EIMI.UK,D,20150413,000000,25.66,25.66,25.5,25.6,1638964,0
EIMI.UK,D,20150414,000000,25.43,26.23,25.31,25.53,1067425,0
EIMI.UK,D,20150415,000000,25.4,25.49,24.69,25.43,43574,0
EIMI.UK,D,20150416,000000,25.73,25.75,25.71,25.75,36012,0
EIMI.UK,D,20150417,000000,25.64,25.65,24.63,25.31,29750,0
EIMI.UK,D,20150420,000000,25.47,25.47,25.47,25.47,9900,0
EIMI.UK,D,20150421,000000,25.55,25.66,25.55,25.66,9361,0
EIMI.UK,D,20150422,000000,25.7,25.72,25.64,25.64,4068,0
EIMI.UK,D,20150423,000000,25.8,25.91,25.8,25.91,16638,0
EIMI.UK,D,20150424,000000,26.09,26.15,26.03,26.15,84561,0
EIMI.UK,D,20150427,000000,26.04,26.36,26.04,26.22,20183,0
EIMI.UK,D,20150428,000000,26.18,26.36,26.04,26.3,30446,0
EIMI.UK,D,20150429,000000,26.01,26.09,25.92,25.92,9943,0
EIMI.UK,D,20150430,000000,25.95,26.06,25.81,25.84,99747,0
EIMI.UK,D,20150501,000000,25.8,25.8,25.77,25.77,5469,0
EIMI.UK,D,20150505,000000,25.72,25.91,25.64,25.85,29325,0
EIMI.UK,D,20150506,000000,25.85,25.85,25.68,25.68,314,0
EIMI.UK,D,20150507,000000,25.5,25.5,25.02,25.285,30592,0
EIMI.UK,D,20150508,000000,25.44,25.65,25.34,25.65,169304,0
EIMI.UK,D,20150511,000000,25.65,25.65,25.505,25.505,4071,0
EIMI.UK,D,20150512,000000,25.46,25.46,25.26,25.41,7386,0
EIMI.UK,D,20150513,000000,25.51,25.58,25.49,25.58,11406,0
EIMI.UK,D,20150514,000000,25.56,25.58,25.56,25.58,499,0
EIMI.UK,D,20150515,000000,25.81,25.81,25.72,25.77,72957,0
EIMI.UK,D,20150518,000000,25.52,25.74,25.52,25.7,98342,0
EIMI.UK,D,20150519,000000,25.82,25.82,25.73,25.81,4271,0
EIMI.UK,D,20150520,000000,25.68,25.7,25.58,25.655,58434,0
EIMI.UK,D,20150521,000000,25.55,25.6,25.52,25.52,17527,0
EIMI.UK,D,20150522,000000,25.74,25.85,25.66,25.66,24097,0
EIMI.UK,D,20150526,000000,25.55,25.6,25.49,25.49,2973,0
EIMI.UK,D,20150527,000000,25.52,25.52,25.17,25.26,51232,0
EIMI.UK,D,20150528,000000,25.1,25.255,24.925,24.975,78835,0
EIMI.UK,D,20150529,000000,25.09,25.09,24.85,24.85,18559,0
EIMI.UK,D,20150601,000000,25,25,24.68,24.685,3100,0
EIMI.UK,D,20150602,000000,24.605,24.625,24.575,24.59,9096,0
EIMI.UK,D,20150603,000000,24.675,24.71,24.675,24.71,200,0
EIMI.UK,D,20150604,000000,24.5,24.515,24.35,24.36,29048,0
EIMI.UK,D,20150605,000000,24.32,24.4,24.24,24.27,1707,0
EIMI.UK,D,20150608,000000,24.2,24.2,24.16,24.16,6350,0
EIMI.UK,D,20150609,000000,23.98,24.06,23.98,23.985,15506,0
EIMI.UK,D,20150610,000000,24.18,24.32,24.18,24.32,232440,0
EIMI.UK,D,20150611,000000,24.19,24.238,24.175,24.175,34099,0
EIMI.UK,D,20150612,000000,24.17,24.18,24.17,24.18,9500,0
EIMI.UK,D,20150615,000000,24.11,24.11,24.045,24.06,1931,0
EIMI.UK,D,20150617,000000,24.03,24.03,23.97,23.97,3183,0
EIMI.UK,D,20150618,000000,24.24,24.24,24.2,24.2,7659,0
EIMI.UK,D,20150622,000000,24.555,24.6,24.555,24.6,3555,0
EIMI.UK,D,20150623,000000,24.66,24.68,24.655,24.68,24393,0
EIMI.UK,D,20150624,000000,24.57,24.68,24.57,24.68,20250,0
EIMI.UK,D,20150625,000000,24.588,24.666,24.588,24.666,248378,0
EIMI.UK,D,20150626,000000,24.39,24.39,24.278,24.278,63353,0
EIMI.UK,D,20150629,000000,23.76,23.96,23.76,23.9,108677,0
EIMI.UK,D,20150630,000000,23.985,23.985,23.985,23.985,526,0
EIMI.UK,D,20150701,000000,24.13,24.2,24.105,24.105,18909,0
EIMI.UK,D,20150702,000000,24.255,24.255,24,24.165,10101,0
EIMI.UK,D,20150703,000000,23.96,23.96,23.96,23.96,91,0
EIMI.UK,D,20150706,000000,23.42,23.48,23.42,23.48,1482,0
EIMI.UK,D,20150707,000000,23.3,23.305,22.85,22.85,7316,0
EIMI.UK,D,20150708,000000,22.3,22.445,22.3,22.445,14460,0
EIMI.UK,D,20150709,000000,22.83,22.925,22.83,22.86,11215,0
EIMI.UK,D,20150710,000000,23.135,23.135,23.11,23.11,386,0
EIMI.UK,D,20150713,000000,23.47,23.535,23.47,23.53,67060,0
EIMI.UK,D,20150714,000000,23.44,23.44,23.335,23.43,99789,0
EIMI.UK,D,20150715,000000,23.37,23.375,23.328,23.328,29995,0
EIMI.UK,D,20150716,000000,23.48,23.48,23.48,23.48,27768,0
EIMI.UK,D,20150717,000000,23.615,23.63,23.465,23.465,3149,0
EIMI.UK,D,20150720,000000,23.445,23.455,23.335,23.335,33205,0
EIMI.UK,D,20150721,000000,23.485,23.49,23.4,23.4,2170,0
EIMI.UK,D,20150722,000000,23.135,23.29,23.135,23.15,4302,0
EIMI.UK,D,20150723,000000,23.105,23.12,23,23.03,13239,0
EIMI.UK,D,20150724,000000,23,23,22.52,22.55,44063,0
EIMI.UK,D,20150727,000000,22.952,22.952,22.13,22.13,36537,0
EIMI.UK,D,20150728,000000,22.236,22.29,22.19,22.19,37925,0
EIMI.UK,D,20150729,000000,22.39,22.39,22.31,22.33,3502,0
EIMI.UK,D,20150730,000000,22.25,22.25,22.09,22.09,352,0
EIMI.UK,D,20150731,000000,22.205,22.47,22.205,22.425,3802,0
EIMI.UK,D,20150803,000000,21.97,22.235,21.97,22.09,7256,0
EIMI.UK,D,20150804,000000,22.26,22.265,22.21,22.21,2102,0
EIMI.UK,D,20150805,000000,22.19,22.35,22.19,22.28,92305,0
EIMI.UK,D,20150806,000000,22.07,22.12,22.035,22.08,44482,0
EIMI.UK,D,20150807,000000,21.98,21.98,21.975,21.975,200,0
EIMI.UK,D,20150810,000000,22.045,22.045,22.015,22.015,12840,0
EIMI.UK,D,20150811,000000,21.98,21.98,21.715,21.715,10595,0
EIMI.UK,D,20150812,000000,21.51,21.51,21.335,21.38,15508,0
EIMI.UK,D,20150813,000000,21.6,21.6,21.46,21.46,9077,0
