<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTM.UK,D,20150304,000000,109.525,110.307,109.525,110.268,2347.77,0
IBTM.UK,D,20150305,000000,110.575,110.922,110.575,110.704,3597.36,0
IBTM.UK,D,20150306,000000,111.239,111.278,110.852,111.001,2053.03,0
IBTM.UK,D,20150309,000000,110.872,111.13,110.872,111.13,7528.81,0
IBTM.UK,D,20150310,000000,111.467,111.665,111.457,111.605,11852.9,0
IBTM.UK,D,20150311,000000,112.16,112.695,111.853,112.695,478.436,0
IBTM.UK,D,20150312,000000,112.497,113.626,112.497,113.626,12069.9,0
IBTM.UK,D,20150313,000000,113.171,114.716,113.171,114.716,14933.4,0
IBTM.UK,D,20150316,000000,114.429,114.429,114.27,114.3,2348.78,0
IBTM.UK,D,20150317,000000,114.667,115.182,114.667,115.182,7681.23,0
IBTM.UK,D,20150318,000000,116.083,116.262,115.717,115.717,620.756,0
IBTM.UK,D,20150319,000000,115.638,116.044,115.598,115.915,7958.8,0
IBTM.UK,D,20150320,000000,116.044,116.044,114.835,114.835,2928.15,0
IBTM.UK,D,20150323,000000,114.974,115.113,114.766,114.766,2433.56,0
IBTM.UK,D,20150324,000000,114.825,115.519,114.825,115.479,1381.81,0
IBTM.UK,D,20150325,000000,115.638,115.657,115.36,115.459,2560.74,0
IBTM.UK,D,20150326,000000,114.954,115.103,114.825,115.103,1977.33,0
IBTM.UK,D,20150327,000000,115.103,115.103,114.469,114.934,1744.17,0
IBTM.UK,D,20150330,000000,115.311,115.875,115.023,115.618,2746.46,0
IBTM.UK,D,20150331,000000,115.945,116.064,115.489,115.529,2619.29,0
IBTM.UK,D,20150401,000000,115.41,116.737,115.41,116.123,5565.61,0
IBTM.UK,D,20150402,000000,116.767,116.836,115.905,115.905,761.057,0
IBTM.UK,D,20150407,000000,115.558,115.727,115.4,115.558,2061.11,0
IBTM.UK,D,20150408,000000,115.865,115.865,115.033,115.172,1277.85,0
IBTM.UK,D,20150409,000000,116.242,116.529,116.232,116.529,25547.9,0
IBTM.UK,D,20150410,000000,116.539,117.609,116.539,117.104,2404.29,0
IBTM.UK,D,20150413,000000,117.282,117.282,116.916,116.916,1535.23,0
IBTM.UK,D,20150414,000000,117.332,117.708,116.836,116.836,7783.17,0
IBTM.UK,D,20150415,000000,116.747,117.183,116.519,116.589,4207.01,0
IBTM.UK,D,20150416,000000,115.974,116.262,115.271,115.271,4629.93,0
IBTM.UK,D,20150417,000000,115.439,115.489,114.835,115.37,15431.1,0
IBTM.UK,D,20150420,000000,116.222,116.222,115.38,115.647,5011.47,0
IBTM.UK,D,20150421,000000,115.965,116.004,115.212,115.212,10531.6,0
IBTM.UK,D,20150422,000000,115.39,115.39,114.033,114.092,19801.6,0
IBTM.UK,D,20150423,000000,114.241,115.221,113.864,113.993,8806.66,0
IBTM.UK,D,20150424,000000,113.27,113.825,113.27,113.517,1273.81,0
IBTM.UK,D,20150427,000000,113.765,113.805,112.883,112.883,6169.21,0
IBTM.UK,D,20150428,000000,112.784,113.299,112.002,112.002,1679.57,0
IBTM.UK,D,20150429,000000,110.951,111.278,110.169,110.169,4186.82,0
IBTM.UK,D,20150430,000000,109.396,109.455,109.099,109.158,5196.18,0
IBTM.UK,D,20150501,000000,109.208,110.823,109.208,110.823,3222.88,0
IBTM.UK,D,20150505,000000,110.912,111.08,109.812,110.02,17729.4,0
IBTM.UK,D,20150506,000000,110.109,110.109,109.109,109.317,27629.2,0
IBTM.UK,D,20150507,000000,109.237,110.397,108.802,109.406,24631.4,0
IBTM.UK,D,20150508,000000,108.613,109.069,106.899,108.703,103370,0
IBTM.UK,D,20150511,000000,108.772,108.782,107.088,107.088,7533.86,0
IBTM.UK,D,20150512,000000,106.642,106.642,105.354,106.117,60810.9,0
IBTM.UK,D,20150513,000000,106.028,106.632,105.711,105.711,4153.51,0
IBTM.UK,D,20150514,000000,105.522,105.76,103.432,105.681,41273.7,0
IBTM.UK,D,20150515,000000,106.077,106.384,106.028,106.028,8236.38,0
IBTM.UK,D,20150518,000000,106.771,106.929,106.434,106.434,2670.76,0
IBTM.UK,D,20150519,000000,105.859,107.623,105.859,107.266,1641.21,0
IBTM.UK,D,20150520,000000,107.038,107.207,106.84,107.038,3430.81,0
IBTM.UK,D,20150521,000000,106.503,106.662,106.295,106.513,131.216,0
IBTM.UK,D,20150522,000000,106.949,107.841,106.949,107.841,2223.62,0
IBTM.UK,D,20150526,000000,108.871,108.95,108.445,108.831,19295.9,0
IBTM.UK,D,20150527,000000,108.841,109.535,108.792,109.446,4093.96,0
IBTM.UK,D,20150528,000000,109.416,109.911,109.416,109.881,48001.1,0
IBTM.UK,D,20150529,000000,109.237,110.288,109.237,110.288,11694.4,0
IBTM.UK,D,20150601,000000,109.971,110.634,109.971,110.456,10899,0
IBTM.UK,D,20150602,000000,109.465,109.475,108.544,108.544,1520.09,0
IBTM.UK,D,20150603,000000,108.237,108.811,108.029,108.078,591.485,0
IBTM.UK,D,20150604,000000,108.316,108.316,106.8,107.712,8294.92,0
IBTM.UK,D,20150605,000000,107.91,108.068,107.741,107.969,1602.86,0
IBTM.UK,D,20150608,000000,107.811,108.138,107.741,107.9,2258.94,0
IBTM.UK,D,20150609,000000,107.722,107.722,106.84,106.84,2591.02,0
IBTM.UK,D,20150610,000000,105.909,105.958,105.344,105.384,1282.89,0
IBTM.UK,D,20150611,000000,105.909,106.216,105.75,105.77,8527.07,0
IBTM.UK,D,20150612,000000,106.295,106.473,105.909,105.909,1913.74,0
IBTM.UK,D,20150615,000000,106.325,106.662,106.067,106.067,1974.3,0
IBTM.UK,D,20150616,000000,106.216,106.345,105.77,105.81,3283.44,0
IBTM.UK,D,20150617,000000,105.076,105.176,104.977,105.047,23910.7,0
IBTM.UK,D,20150618,000000,104.66,104.72,103.997,104.036,29088.7,0
IBTM.UK,D,20150619,000000,104.611,104.868,104.601,104.68,57746.5,0
IBTM.UK,D,20150622,000000,104.353,104.809,104.353,104.442,61592.1,0
IBTM.UK,D,20150623,000000,104.403,104.65,104.403,104.65,1912.73,0
IBTM.UK,D,20150624,000000,104.948,104.958,104.571,104.868,338.135,0
IBTM.UK,D,20150625,000000,105.076,105.255,104.621,104.72,3151.22,0
IBTM.UK,D,20150626,000000,104.393,104.393,104.215,104.224,1629.1,0
IBTM.UK,D,20150629,000000,104.878,105.552,104.878,105.483,1016.42,0
IBTM.UK,D,20150630,000000,105.631,105.631,104.888,105.364,1016.42,0
IBTM.UK,D,20150701,000000,105.374,105.532,104.938,105.265,10798.1,0
IBTM.UK,D,20150702,000000,105.304,105.958,105.304,105.711,49000.4,0
IBTM.UK,D,20150703,000000,105.77,106.513,105.77,106.513,435.034,0
IBTM.UK,D,20150706,000000,106.909,106.909,106.424,106.424,1160.76,0
IBTM.UK,D,20150707,000000,107.127,108.673,107.127,108.643,70904.5,0
IBTM.UK,D,20150708,000000,108.772,108.911,108.623,108.683,19714.8,0
IBTM.UK,D,20150709,000000,108.603,108.603,108.574,108.574,66.6177,0
IBTM.UK,D,20150710,000000,107.494,107.494,106.721,106.8,29859.9,0
IBTM.UK,D,20150713,000000,105.928,106.077,105.443,105.998,26721.8,0
IBTM.UK,D,20150714,000000,106.543,106.543,105.79,105.948,26192.9,0
IBTM.UK,D,20150715,000000,105.552,105.849,105.552,105.849,1514.04,0
IBTM.UK,D,20150716,000000,105.909,106.275,105.849,106.275,23156.7,0
IBTM.UK,D,20150717,000000,105.889,106.473,105.889,106.473,4708.66,0
IBTM.UK,D,20150720,000000,106.275,106.602,106.087,106.087,33094.9,0
IBTM.UK,D,20150721,000000,106.295,106.434,106.156,106.434,5940.08,0
IBTM.UK,D,20150722,000000,106.285,106.444,106.206,106.444,5640.3,0
IBTM.UK,D,20150723,000000,106.018,106.82,106.018,106.82,2343.73,0
IBTM.UK,D,20150724,000000,107.672,107.85,107.474,107.623,48590.6,0
IBTM.UK,D,20150727,000000,107.633,107.692,107.335,107.375,1991.46,0
IBTM.UK,D,20150728,000000,107.434,107.434,106.969,107.048,8604.79,0
IBTM.UK,D,20150729,000000,106.909,106.909,106.265,106.513,7768.03,0
IBTM.UK,D,20150730,000000,106.642,106.84,106.563,106.84,392.641,0
IBTM.UK,D,20150731,000000,107.246,107.434,106.899,107.276,23397.9,0
IBTM.UK,D,20150803,000000,107.405,107.841,107.405,107.841,15870.1,0
IBTM.UK,D,20150804,000000,107.93,107.93,107.514,107.514,22787.3,0
IBTM.UK,D,20150805,000000,107.415,107.415,106.761,106.86,537.989,0
IBTM.UK,D,20150806,000000,106.85,107.999,106.85,107.969,21189.5,0
IBTM.UK,D,20150807,000000,108.049,108.603,108.049,108.603,14527.7,0
IBTM.UK,D,20150810,000000,108.316,108.534,107.781,107.781,17780.8,0
IBTM.UK,D,20150811,000000,107.593,108.802,107.593,108.168,2656.63,0
IBTM.UK,D,20150812,000000,108.187,108.772,108.128,108.128,9434.49,0
IBTM.UK,D,20150813,000000,107.88,108.088,107.732,108.029,472.38,0
IBTM.UK,D,20150814,000000,107.811,107.811,107.236,107.424,3162.32,0
IBTM.UK,D,20150817,000000,107.514,108.068,107.514,108.068,27249.7,0
IBTM.UK,D,20150818,000000,107.216,107.345,106.979,107.345,2220.59,0
IBTM.UK,D,20150819,000000,106.998,107.335,106.998,107.335,214.993,0
IBTM.UK,D,20150820,000000,107.831,108.316,107.821,107.821,57191.3,0
IBTM.UK,D,20150821,000000,108.039,108.405,107.841,108.197,3484.31,0
IBTM.UK,D,20150824,000000,107.335,108.683,107.335,108.415,184620,0
IBTM.UK,D,20150825,000000,107.761,107.86,107.365,107.821,6519.45,0
IBTM.UK,D,20150826,000000,108.039,108.98,107.989,108.98,82777.6,0
IBTM.UK,D,20150827,000000,108.901,109.327,108.901,109.069,4835.84,0
IBTM.UK,D,20150828,000000,109.257,109.981,109.257,109.723,8998.44,0
IBTM.UK,D,20150901,000000,109.733,110.139,109.733,109.733,1955.13,0
IBTM.UK,D,20150902,000000,110.317,110.317,110.02,110.07,12115.3,0
IBTM.UK,D,20150903,000000,110.218,110.654,110.218,110.654,47143.1,0
IBTM.UK,D,20150904,000000,110.971,111.268,110.971,111.268,3154.25,0
IBTM.UK,D,20150907,000000,111.358,111.358,110.694,110.694,717.655,0
IBTM.UK,D,20150908,000000,110.02,110.109,109.604,109.753,1159.75,0
IBTM.UK,D,20150909,000000,109.287,109.485,109.178,109.287,85128.4,0
IBTM.UK,D,20150910,000000,109.376,109.406,108.703,108.703,26525.9,0
IBTM.UK,D,20150911,000000,109.138,109.564,109.109,109.416,59647.1,0
IBTM.UK,D,20150914,000000,109.178,109.535,109.138,109.465,18137.1,0
IBTM.UK,D,20150915,000000,109.426,109.584,109.396,109.584,25471.2,0
IBTM.UK,D,20150916,000000,109.941,109.941,107.9,108.009,9102.41,0
IBTM.UK,D,20150917,000000,108.019,108.078,107.642,108.029,555.148,0
IBTM.UK,D,20150918,000000,108.455,108.514,108.158,108.514,1278.85,0
IBTM.UK,D,20150921,000000,109.02,109.02,108.901,108.901,75.702,0
IBTM.UK,D,20150922,000000,109.109,110.248,109.099,110.248,25991,0
IBTM.UK,D,20150923,000000,110.496,111.06,110.496,111.06,304.826,0
IBTM.UK,D,20150924,000000,110.892,110.932,110.803,110.912,1549.36,0
IBTM.UK,D,20150925,000000,110.981,111.338,110.971,111.268,1194.07,0
IBTM.UK,D,20150928,000000,111.566,111.873,111.506,111.873,7240.14,0
IBTM.UK,D,20150929,000000,112.21,112.467,109.772,112.447,3087.63,0
IBTM.UK,D,20150930,000000,112.408,112.764,112.012,112.764,9583.87,0
IBTM.UK,D,20151001,000000,110.823,112.864,110.496,112.864,15020.2,0
IBTM.UK,D,20151002,000000,112.586,113.319,112.477,113.2,13582.9,0
IBTM.UK,D,20151005,000000,112.814,112.933,112.606,112.646,1675.53,0
IBTM.UK,D,20151006,000000,112.695,112.695,112.13,112.13,32443.8,0
IBTM.UK,D,20151007,000000,111.338,111.447,111.338,111.447,304.826,0
IBTM.UK,D,20151008,000000,111.496,111.734,111.288,111.368,1583.68,0
IBTM.UK,D,20151009,000000,110.922,111.219,110.664,111.189,6523.49,0
IBTM.UK,D,20151012,000000,111.417,111.417,110.793,111.199,1636.17,0
IBTM.UK,D,20151013,000000,111.051,112.229,111.051,111.982,3825.47,0
IBTM.UK,D,20151014,000000,111.665,111.665,111.199,111.219,12673.5,0
IBTM.UK,D,20151015,000000,110.971,111.11,110.951,111.11,1710.86,0
IBTM.UK,D,20151016,000000,110.951,110.991,110.951,110.991,6.05616,0
IBTM.UK,D,20151019,000000,110.724,110.724,110.357,110.367,19957,0
IBTM.UK,D,20151020,000000,110.654,110.674,110.337,110.416,2811.06,0
IBTM.UK,D,20151021,000000,110.644,110.862,110.525,110.862,832.722,0
IBTM.UK,D,20151022,000000,110.496,111.546,110.446,111.001,4248.39,0
IBTM.UK,D,20151023,000000,110.971,111.239,110.961,111.14,2740.41,0
IBTM.UK,D,20151026,000000,111.239,111.288,111.051,111.12,7913.38,0
IBTM.UK,D,20151027,000000,111.368,112.071,111.288,111.922,1018.44,0
IBTM.UK,D,20151028,000000,111.893,111.893,111.298,111.586,4780.33,0
IBTM.UK,D,20151029,000000,111.635,111.645,110.763,110.763,2071.2,0
IBTM.UK,D,20151030,000000,110.407,110.466,109.673,109.673,6568.91,0
IBTM.UK,D,20151102,000000,109.891,109.891,109.396,109.545,3414.66,0
IBTM.UK,D,20151103,000000,109.713,109.901,109.634,109.891,585.429,0
IBTM.UK,D,20151104,000000,109.416,109.703,109.416,109.505,31081.2,0
IBTM.UK,D,20151105,000000,110.258,110.525,109.455,110.525,679.299,0
IBTM.UK,D,20151106,000000,111.447,111.447,110.922,110.951,1630.11,0
IBTM.UK,D,20151109,000000,110.595,110.823,110.407,110.407,3756.83,0
