<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICOM.UK,D,20170724,000000,5.01125,5.01125,5.01125,5.01125,0,0
ICOM.UK,D,20170725,000000,4.997,4.997,4.997,4.997,0,0
ICOM.UK,D,20170726,000000,5,5.013,4.99743,5.013,100701881,0
ICOM.UK,D,20170727,000000,5.08,5.08,5.058,5.06,2068057,0
ICOM.UK,D,20170728,000000,5.063,5.09125,5.063,5.09125,2370000,0
ICOM.UK,D,20170731,000000,5.06875,5.06875,5.06875,5.06875,0,0
ICOM.UK,D,20170801,000000,5.01875,5.01875,5.01875,5.01875,0,0
ICOM.UK,D,20170802,000000,5.04625,5.04625,5.04625,5.04625,0,0
ICOM.UK,D,20170803,000000,5.03875,5.03875,5.03875,5.03875,0,0
ICOM.UK,D,20170804,000000,5.01375,5.01375,5.01375,5.01375,0,0
ICOM.UK,D,20170807,000000,5.0175,5.0175,5.0175,5.0175,0,0
ICOM.UK,D,20170808,000000,5.055,5.065,5.05375,5.05375,3127814,0
ICOM.UK,D,20170809,000000,5.06625,5.06625,5.06625,5.06625,0,0
ICOM.UK,D,20170810,000000,5.06625,5.06625,5.06625,5.06625,0,0
ICOM.UK,D,20170811,000000,5.0175,5.0325,5.0175,5.0275,6900000,0
ICOM.UK,D,20170814,000000,5.0275,5.0275,5.0275,5.0275,0,0
ICOM.UK,D,20170815,000000,4.9655,4.9655,4.9655,4.9655,0,0
ICOM.UK,D,20170816,000000,4.9855,4.9855,4.9855,4.9855,0,0
ICOM.UK,D,20170817,000000,4.9605,4.9605,4.9605,4.9605,0,0
ICOM.UK,D,20170818,000000,4.981,4.981,4.981,4.981,0,0
ICOM.UK,D,20170821,000000,5.00875,5.00875,5.00875,5.00875,0,0
ICOM.UK,D,20170822,000000,4.999,4.999,4.999,4.999,0,0
ICOM.UK,D,20170823,000000,5.00625,5.00625,5.00625,5.00625,0,0
ICOM.UK,D,20170824,000000,5.0225,5.0225,5.0225,5.0225,2141,0
ICOM.UK,D,20170825,000000,5.04,5.04,5.02,5.02,3511,0
ICOM.UK,D,20170829,000000,5.02375,5.02375,5.02375,5.02375,0,0
ICOM.UK,D,20170830,000000,5.01,5.01,5.01,5.01,0,0
ICOM.UK,D,20170831,000000,5.06875,5.06875,5.06875,5.06875,0,0
ICOM.UK,D,20170901,000000,5.10625,5.10625,5.10625,5.10625,0,0
ICOM.UK,D,20170904,000000,5.1225,5.1225,5.1225,5.1225,0,0
ICOM.UK,D,20170905,000000,5.14875,5.14875,5.14875,5.14875,0,0
ICOM.UK,D,20170906,000000,5.16625,5.16625,5.16625,5.16625,0,0
ICOM.UK,D,20170907,000000,5.1575,5.165,5.1575,5.165,100700,0
ICOM.UK,D,20170908,000000,5.15,5.15,5.1125,5.1125,14664,0
ICOM.UK,D,20170911,000000,5.1025,5.1025,5.10125,5.10125,1900,0
ICOM.UK,D,20170912,000000,5.1125,5.11875,5.1125,5.11875,400,0
ICOM.UK,D,20170913,000000,5.115,5.115,5.115,5.115,0,0
ICOM.UK,D,20170914,000000,5.13625,5.13625,5.13625,5.13625,0,0
ICOM.UK,D,20170915,000000,5.11625,5.11625,5.11625,5.11625,0,0
ICOM.UK,D,20170918,000000,5.1425,5.155,5.11625,5.11625,5732,0
ICOM.UK,D,20170919,000000,5.1125,5.1125,5.10625,5.10625,2500,0
ICOM.UK,D,20170920,000000,5.14625,5.14625,5.14625,5.14625,0,0
ICOM.UK,D,20170921,000000,5.11125,5.11125,5.11125,5.11125,0,0
ICOM.UK,D,20170922,000000,5.105,5.11125,5.105,5.11125,22853,0
ICOM.UK,D,20170925,000000,5.12875,5.12875,5.12875,5.12875,0,0
ICOM.UK,D,20170926,000000,5.11875,5.11875,5.11875,5.11875,0,0
ICOM.UK,D,20170927,000000,5.10375,5.10375,5.10375,5.10375,0,0
ICOM.UK,D,20170928,000000,5.11,5.11,5.105,5.105,123,0
ICOM.UK,D,20170929,000000,5.09125,5.09125,5.09125,5.09125,0,0
ICOM.UK,D,20171002,000000,5.02875,5.02875,5.02875,5.02875,0,0
ICOM.UK,D,20171003,000000,5.04625,5.04625,5.04625,5.04625,0,0
ICOM.UK,D,20171004,000000,5.055,5.06,5.055,5.06,3512,0
ICOM.UK,D,20171005,000000,5.11,5.11,5.11,5.11,0,0
ICOM.UK,D,20171006,000000,5.04875,5.04875,5.04875,5.04875,0,0
ICOM.UK,D,20171009,000000,5.06375,5.06375,5.06375,5.06375,0,0
ICOM.UK,D,20171010,000000,5.095,5.11625,5.095,5.11625,4676,0
ICOM.UK,D,20171011,000000,5.10625,5.10625,5.10625,5.10625,0,0
ICOM.UK,D,20171012,000000,5.1225,5.1275,5.10875,5.10875,15715,0
ICOM.UK,D,20171013,000000,5.175,5.175,5.16,5.1675,11000,0
