<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUCS.UK,D,20170323,000000,5.00575,5.00575,5.00575,5.00575,0,0
IUCS.UK,D,20170324,000000,4.9775,4.9775,4.9775,4.9775,0,0
IUCS.UK,D,20170327,000000,4.9645,4.9645,4.9645,4.9645,0,0
IUCS.UK,D,20170328,000000,4.9675,4.9675,4.9675,4.9675,0,0
IUCS.UK,D,20170329,000000,4.9835,4.9835,4.9835,4.9835,0,0
IUCS.UK,D,20170330,000000,4.9905,4.9905,4.9905,4.9905,0,0
IUCS.UK,D,20170331,000000,4.9755,4.9755,4.9755,4.9755,0,0
IUCS.UK,D,20170403,000000,4.9615,4.9615,4.9615,4.9615,0,0
IUCS.UK,D,20170404,000000,4.9555,4.9555,4.9555,4.9555,0,0
IUCS.UK,D,20170405,000000,4.9865,4.9865,4.9865,4.9865,0,0
IUCS.UK,D,20170406,000000,4.962,4.962,4.962,4.962,0,0
IUCS.UK,D,20170407,000000,4.975,4.9795,4.975,4.9795,100000,0
IUCS.UK,D,20170410,000000,4.985,4.985,4.985,4.985,0,0
IUCS.UK,D,20170411,000000,4.985,4.985,4.985,4.985,0,0
IUCS.UK,D,20170412,000000,5.00775,5.00775,5.00775,5.00775,0,0
IUCS.UK,D,20170413,000000,4.999,4.999,4.999,4.999,0,0
IUCS.UK,D,20170418,000000,5.04875,5.04875,5.04875,5.04875,0,0
IUCS.UK,D,20170419,000000,5.03375,5.03375,5.03375,5.03375,0,0
IUCS.UK,D,20170420,000000,5.0025,5.0025,5.0025,5.0025,0,0
IUCS.UK,D,20170421,000000,5.00875,5.00875,5.00875,5.00875,0,0
IUCS.UK,D,20170424,000000,5.02,5.035,5.015,5.035,110000,0
IUCS.UK,D,20170425,000000,5.0425,5.0575,5.0375,5.0575,180000,0
IUCS.UK,D,20170426,000000,5.04625,5.04625,5.04625,5.04625,0,0
IUCS.UK,D,20170427,000000,5.01,5.01,5.01,5.01,0,0
IUCS.UK,D,20170428,000000,5.0425,5.0425,5.0045,5.0045,180000,0
IUCS.UK,D,20170502,000000,4.98,4.98,4.9635,4.9635,187000,0
IUCS.UK,D,20170503,000000,4.965,4.965,4.965,4.965,0,0
IUCS.UK,D,20170504,000000,5.0005,5.0005,5.0005,5.0005,0,0
IUCS.UK,D,20170505,000000,5.005,5.005,5.005,5.005,0,0
IUCS.UK,D,20170508,000000,5.00625,5.00625,5.00625,5.00625,0,0
IUCS.UK,D,20170509,000000,5.0035,5.0035,5.0035,5.0035,0,0
IUCS.UK,D,20170510,000000,4.996,4.996,4.996,4.996,0,0
IUCS.UK,D,20170511,000000,4.995,4.995,4.9895,4.9895,33033,0
IUCS.UK,D,20170512,000000,4.995,4.995,4.995,4.995,0,0
IUCS.UK,D,20170515,000000,5.01,5.01,5.01,5.01,0,0
IUCS.UK,D,20170516,000000,5.02375,5.02375,5.02375,5.02375,0,0
IUCS.UK,D,20170517,000000,4.9965,4.9965,4.9965,4.9965,0,0
IUCS.UK,D,20170518,000000,5.004,5.004,5.004,5.004,0,0
IUCS.UK,D,20170519,000000,5.025,5.025,5.025,5.025,0,0
IUCS.UK,D,20170522,000000,4.995,5.04125,4.995,5.04125,33033,0
IUCS.UK,D,20170523,000000,5.0725,5.07375,5.0725,5.07375,11950,0
IUCS.UK,D,20170524,000000,5.06625,5.06625,5.06625,5.06625,0,0
IUCS.UK,D,20170525,000000,5.11625,5.11625,5.11625,5.11625,0,0
IUCS.UK,D,20170526,000000,5.135,5.135,5.13375,5.13375,1055,0
IUCS.UK,D,20170530,000000,5.135,5.135,5.125,5.125,1055,0
IUCS.UK,D,20170531,000000,5.15,5.15,5.15,5.15,0,0
IUCS.UK,D,20170601,000000,5.14125,5.14125,5.14125,5.14125,0,0
IUCS.UK,D,20170602,000000,5.18875,5.18875,5.18875,5.18875,0,0
IUCS.UK,D,20170605,000000,5.19,5.19,5.19,5.19,0,0
IUCS.UK,D,20170606,000000,5.19375,5.19375,5.19375,5.19375,0,0
IUCS.UK,D,20170607,000000,5.19,5.19,5.19,5.19,0,0
IUCS.UK,D,20170608,000000,5.16,5.16,5.16,5.16,0,0
IUCS.UK,D,20170609,000000,5.15875,5.15875,5.15875,5.15875,0,0
IUCS.UK,D,20170612,000000,5.17,5.17,5.1425,5.1425,10689,0
IUCS.UK,D,20170613,000000,5.145,5.145,5.145,5.145,0,0
IUCS.UK,D,20170614,000000,5.19625,5.19625,5.19625,5.19625,0,0
IUCS.UK,D,20170615,000000,5.19,5.19,5.17125,5.17125,1000,0
IUCS.UK,D,20170616,000000,5.09875,5.09875,5.09875,5.09875,0,0
IUCS.UK,D,20170619,000000,5.13375,5.13375,5.13375,5.13375,0,0
IUCS.UK,D,20170620,000000,5.1575,5.1575,5.1575,5.1575,0,0
IUCS.UK,D,20170621,000000,5.19,5.19,5.1225,5.1225,1000,0
IUCS.UK,D,20170622,000000,5.1025,5.1025,5.1025,5.1025,0,0
IUCS.UK,D,20170623,000000,5.1025,5.1025,5.1025,5.1025,0,0
IUCS.UK,D,20170626,000000,5.11625,5.11625,5.11625,5.11625,0,0
IUCS.UK,D,20170627,000000,5.09,5.09,5.09,5.09,0,0
IUCS.UK,D,20170628,000000,5.075,5.09625,5.075,5.09625,30000,0
IUCS.UK,D,20170629,000000,5.04,5.04,5.04,5.04,0,0
IUCS.UK,D,20170630,000000,5.0375,5.0375,5.0375,5.0375,0,0
IUCS.UK,D,20170703,000000,5.0325,5.0325,5.0325,5.0325,0,0
IUCS.UK,D,20170704,000000,5.035,5.035,5.035,5.035,0,0
IUCS.UK,D,20170705,000000,5.0375,5.0375,5.0375,5.0375,0,0
IUCS.UK,D,20170706,000000,5.015,5.015,5.01125,5.01125,96583,0
IUCS.UK,D,20170707,000000,5.00875,5.00875,5.00875,5.00875,0,0
IUCS.UK,D,20170710,000000,4.993,4.993,4.993,4.993,0,0
IUCS.UK,D,20170711,000000,4.9425,4.9425,4.9425,4.9425,0,0
IUCS.UK,D,20170712,000000,4.988,4.988,4.976,4.976,4616,0
IUCS.UK,D,20170713,000000,4.976,4.976,4.976,4.976,0,0
IUCS.UK,D,20170714,000000,5.00075,5.00075,5.00075,5.00075,0,0
IUCS.UK,D,20170717,000000,5.02,5.02,5.02,5.02,0,0
IUCS.UK,D,20170718,000000,5.02375,5.02375,5.02375,5.02375,0,0
IUCS.UK,D,20170719,000000,5.02375,5.02375,5.02375,5.02375,0,0
IUCS.UK,D,20170720,000000,5.0475,5.0475,5.0475,5.0475,0,0
IUCS.UK,D,20170721,000000,5.02625,5.02625,5.02625,5.02625,0,0
IUCS.UK,D,20170724,000000,5.04625,5.04625,5.04625,5.04625,0,0
IUCS.UK,D,20170725,000000,5.06375,5.06375,5.06375,5.06375,0,0
IUCS.UK,D,20170726,000000,5.0675,5.0675,5.06625,5.06625,10015,0
IUCS.UK,D,20170727,000000,5.08625,5.08625,5.08625,5.08625,0,0
IUCS.UK,D,20170728,000000,5.07,5.07,5.07,5.07,0,0
IUCS.UK,D,20170731,000000,5.06,5.06,5.06,5.06,0,0
IUCS.UK,D,20170801,000000,5.0625,5.06625,5.0625,5.06625,9728,0
IUCS.UK,D,20170802,000000,5.04875,5.04875,5.04875,5.04875,0,0
IUCS.UK,D,20170803,000000,5.045,5.065,5.045,5.065,94,0
IUCS.UK,D,20170804,000000,5.0325,5.0325,5.0325,5.0325,0,0
IUCS.UK,D,20170807,000000,5.05625,5.05625,5.05625,5.05625,0,0
IUCS.UK,D,20170808,000000,5.0625,5.0625,5.0625,5.0625,0,0
IUCS.UK,D,20170809,000000,5.0475,5.0475,5.0475,5.0475,0,0
IUCS.UK,D,20170810,000000,5.05375,5.05375,5.05375,5.05375,0,0
IUCS.UK,D,20170811,000000,5.05375,5.05375,5.05375,5.05375,0,0
IUCS.UK,D,20170814,000000,5.075,5.075,5.075,5.075,0,0
IUCS.UK,D,20170815,000000,5.08,5.08875,5.08,5.08875,19704,0
IUCS.UK,D,20170816,000000,5.0925,5.1125,5.0925,5.1125,1000,0
IUCS.UK,D,20170817,000000,5.1025,5.1025,5.1025,5.1025,0,0
IUCS.UK,D,20170818,000000,5.05125,5.05125,5.05125,5.05125,0,0
IUCS.UK,D,20170821,000000,5.065,5.065,5.065,5.065,0,0
IUCS.UK,D,20170822,000000,5.065,5.065,5.065,5.065,0,0
IUCS.UK,D,20170823,000000,5.05,5.05,5.05,5.05,0,0
IUCS.UK,D,20170824,000000,5.02375,5.02375,5.02375,5.02375,0,0
IUCS.UK,D,20170825,000000,5.00425,5.00425,5.00425,5.00425,0,0
IUCS.UK,D,20170829,000000,4.999,4.999,4.999,4.999,0,0
IUCS.UK,D,20170830,000000,4.994,4.994,4.994,4.994,0,0
IUCS.UK,D,20170831,000000,5.0075,5.0075,5.0075,5.0075,0,0
IUCS.UK,D,20170901,000000,5.01375,5.01375,5.01375,5.01375,0,0
IUCS.UK,D,20170904,000000,5.0125,5.0125,5.0125,5.0125,0,0
IUCS.UK,D,20170905,000000,5.02375,5.02375,5.02375,5.02375,0,0
IUCS.UK,D,20170906,000000,5.03875,5.03875,5.03875,5.03875,0,0
IUCS.UK,D,20170907,000000,5.04875,5.04875,5.04875,5.04875,0,0
IUCS.UK,D,20170908,000000,5.045,5.045,5.045,5.045,0,0
IUCS.UK,D,20170911,000000,5.06,5.06,5.06,5.06,0,0
IUCS.UK,D,20170912,000000,5.06375,5.06375,5.06375,5.06375,0,0
IUCS.UK,D,20170913,000000,5.0725,5.08625,5.0725,5.08625,30000,0
IUCS.UK,D,20170914,000000,5.055,5.055,5.055,5.055,0,0
IUCS.UK,D,20170915,000000,5.06875,5.06875,5.06875,5.06875,0,0
IUCS.UK,D,20170918,000000,5.08375,5.08375,5.08375,5.08375,0,0
IUCS.UK,D,20170919,000000,5.06,5.06,5.06,5.06,0,0
IUCS.UK,D,20170920,000000,5.0475,5.0475,5.0475,5.0475,0,0
IUCS.UK,D,20170921,000000,4.9865,4.9865,4.9865,4.9865,0,0
IUCS.UK,D,20170922,000000,4.9645,4.9645,4.9645,4.9645,0,0
IUCS.UK,D,20170925,000000,4.9825,4.9825,4.9825,4.9825,0,0
IUCS.UK,D,20170926,000000,5,5,5,5,0,0
IUCS.UK,D,20170927,000000,4.958,4.958,4.958,4.958,0,0
IUCS.UK,D,20170928,000000,4.9655,4.9655,4.9655,4.9655,0,0
IUCS.UK,D,20170929,000000,4.9695,4.9695,4.9695,4.9695,0,0
IUCS.UK,D,20171002,000000,4.964,4.964,4.964,4.964,0,0
IUCS.UK,D,20171003,000000,4.957,4.957,4.957,4.957,0,0
IUCS.UK,D,20171004,000000,4.9695,4.9695,4.9695,4.9695,0,0
IUCS.UK,D,20171005,000000,4.9995,4.9995,4.9995,4.9995,0,0
IUCS.UK,D,20171006,000000,4.9545,4.9545,4.9545,4.9545,0,0
IUCS.UK,D,20171009,000000,4.9505,4.9505,4.9505,4.9505,0,0
IUCS.UK,D,20171010,000000,4.9605,4.9605,4.9605,4.9605,0,0
IUCS.UK,D,20171011,000000,4.9915,4.9915,4.9915,4.9915,0,0
IUCS.UK,D,20171012,000000,4.999,5.005,4.999,5.005,40000,0
IUCS.UK,D,20171013,000000,5.0225,5.0225,5.0225,5.0225,0,0
IUCS.UK,D,20171016,000000,5.02,5.02,5.02,5.02,0,0
IUCS.UK,D,20171017,000000,5.0075,5.0075,5.0075,5.0075,0,0
IUCS.UK,D,20171018,000000,4.993,4.9955,4.993,4.9955,5392,0
IUCS.UK,D,20171019,000000,4.9715,4.9715,4.9715,4.9715,0,0
IUCS.UK,D,20171020,000000,4.949,4.949,4.949,4.949,0,0
IUCS.UK,D,20171023,000000,4.966,4.966,4.966,4.966,0,0
IUCS.UK,D,20171024,000000,4.9405,4.9405,4.9405,4.9405,0,0
IUCS.UK,D,20171025,000000,4.908,4.908,4.908,4.908,0,0
IUCS.UK,D,20171026,000000,4.952,4.952,4.952,4.952,0,0
IUCS.UK,D,20171027,000000,4.9,4.9,4.899,4.899,10204,0
IUCS.UK,D,20171030,000000,4.849,4.849,4.849,4.849,0,0
IUCS.UK,D,20171031,000000,4.884,4.884,4.884,4.884,0,0
IUCS.UK,D,20171101,000000,4.914,4.914,4.914,4.914,0,0
IUCS.UK,D,20171102,000000,4.8855,4.8855,4.8855,4.8855,0,0
IUCS.UK,D,20171103,000000,4.9055,4.9055,4.9055,4.9055,0,0
IUCS.UK,D,20171106,000000,4.8695,4.8695,4.8695,4.8695,0,0
IUCS.UK,D,20171107,000000,4.8855,4.8855,4.8855,4.8855,0,0
IUCS.UK,D,20171108,000000,4.929,4.929,4.929,4.929,0,0
IUCS.UK,D,20171109,000000,4.934,4.934,4.934,4.934,0,0
IUCS.UK,D,20171110,000000,4.974,4.974,4.974,4.974,0,0
IUCS.UK,D,20171113,000000,5.02875,5.02875,5.02875,5.02875,0,0
IUCS.UK,D,20171114,000000,5.03,5.03,5.03,5.03,0,0
IUCS.UK,D,20171115,000000,5.00875,5.00875,5.00875,5.00875,0,0
IUCS.UK,D,20171116,000000,5.06,5.06,5.06,5.06,0,0
IUCS.UK,D,20171117,000000,5.05,5.05,5.05,5.05,0,0
