<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUFS.UK,D,20151203,000000,5.029,5.029,4.927,4.927,140000,0
IUFS.UK,D,20151208,000000,4.991,4.991,4.991,4.991,4000,0
IUFS.UK,D,20151214,000000,4.774,4.774,4.774,4.774,23100,0
IUFS.UK,D,20151217,000000,4.945,4.945,4.945,4.945,5000,0
IUFS.UK,D,20151218,000000,4.86,4.86,4.86,4.86,5000,0
IUFS.UK,D,20151224,000000,4.9085,4.9085,4.9085,4.9085,0,0
IUFS.UK,D,20151229,000000,4.943,4.943,4.943,4.943,0,0
IUFS.UK,D,20151230,000000,4.9505,4.9505,4.9505,4.9505,0,0
IUFS.UK,D,20151231,000000,4.912,4.912,4.912,4.912,0,0
IUFS.UK,D,20160104,000000,4.757,4.757,4.736,4.736,4244,0
IUFS.UK,D,20160105,000000,4.7675,4.7675,4.7675,4.7675,0,0
IUFS.UK,D,20160106,000000,4.77,4.77,4.7379,4.745,98845,0
IUFS.UK,D,20160107,000000,4.651,4.651,4.651,4.651,0,0
IUFS.UK,D,20160108,000000,4.57,4.57,4.57,4.57,0,0
IUFS.UK,D,20160111,000000,4.5155,4.5155,4.5155,4.5155,0,0
IUFS.UK,D,20160112,000000,4.77,4.77,4.5245,4.5245,98845,0
IUFS.UK,D,20160113,000000,4.5485,4.5485,4.5485,4.5485,0,0
IUFS.UK,D,20160114,000000,4.4725,4.4725,4.4725,4.4725,0,0
IUFS.UK,D,20160115,000000,4.376,4.376,4.376,4.376,0,0
IUFS.UK,D,20160118,000000,4.375,4.375,4.375,4.375,0,0
IUFS.UK,D,20160119,000000,4.443,4.443,4.4035,4.4035,20055,0
IUFS.UK,D,20160120,000000,4.25,4.25,4.25,4.25,0,0
IUFS.UK,D,20160121,000000,4.443,4.443,4.3065,4.3065,20055,0
IUFS.UK,D,20160122,000000,4.34,4.34,4.34,4.34,0,0
IUFS.UK,D,20160125,000000,4.32,4.359,4.298,4.298,23000,0
IUFS.UK,D,20160126,000000,4.3235,4.3235,4.3235,4.3235,0,0
IUFS.UK,D,20160127,000000,4.353,4.353,4.353,4.353,0,0
IUFS.UK,D,20160128,000000,4.3215,4.3215,4.3215,4.3215,0,0
IUFS.UK,D,20160129,000000,4.3605,4.3605,4.3605,4.3605,0,0
IUFS.UK,D,20160201,000000,4.409,4.409,4.409,4.409,4244,0
IUFS.UK,D,20160202,000000,4.3245,4.3245,4.3245,4.3245,0,0
IUFS.UK,D,20160203,000000,4.241,4.241,4.241,4.241,0,0
