<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUHC.UK,D,20151124,000000,4.949,4.949,4.949,4.949,1063000,0
IUHC.UK,D,20151125,000000,4.967,4.967,4.967,4.967,1000,0
IUHC.UK,D,20151202,000000,5.0425,5.0425,5.0425,5.0425,1000,0
IUHC.UK,D,20151203,000000,4.927,4.927,4.926,4.927,118067,0
IUHC.UK,D,20151204,000000,4.867,4.909,4.867,4.909,53898,0
IUHC.UK,D,20151207,000000,4.97,4.97,4.97,4.97,817,0
IUHC.UK,D,20151208,000000,4.94,4.94,4.94,4.94,2740,0
IUHC.UK,D,20151209,000000,4.94,4.94,4.94,4.94,1628,0
IUHC.UK,D,20151210,000000,4.92,4.92,4.92,4.92,51781,0
IUHC.UK,D,20151211,000000,4.9,4.9,4.9,4.9,731,0
IUHC.UK,D,20151214,000000,4.878,4.878,4.878,4.878,30800,0
IUHC.UK,D,20151215,000000,4.94,4.94,4.94,4.94,1128,0
IUHC.UK,D,20151216,000000,4.99,4.99,4.99,4.99,174,0
IUHC.UK,D,20151217,000000,5.05,5.05,5.05,5.05,716,0
IUHC.UK,D,20151221,000000,4.935,4.95,4.935,4.95,30294,0
IUHC.UK,D,20151224,000000,5.0325,5.0325,5.0325,5.0325,0,0
IUHC.UK,D,20151229,000000,5.03,5.0738,5.03,5.0738,63412,0
IUHC.UK,D,20151230,000000,5.0625,5.0775,5.0625,5.06875,27029,0
IUHC.UK,D,20151231,000000,5.05,5.05,5.05,5.05,0,0
IUHC.UK,D,20160104,000000,4.94,4.94,4.871,4.891,65994,0
IUHC.UK,D,20160105,000000,4.9475,4.9475,4.9475,4.9475,0,0
IUHC.UK,D,20160106,000000,4.9325,4.9325,4.9325,4.9325,0,0
IUHC.UK,D,20160107,000000,4.81,4.8365,4.81,4.8365,12091,0
IUHC.UK,D,20160108,000000,4.825,4.825,4.7785,4.7785,1540,0
IUHC.UK,D,20160111,000000,4.74,4.775,4.6645,4.6645,15322,0
IUHC.UK,D,20160112,000000,4.7055,4.7055,4.7055,4.7055,0,0
IUHC.UK,D,20160113,000000,4.733,4.754,4.733,4.7345,5169,0
IUHC.UK,D,20160114,000000,4.6,4.6685,4.583,4.6685,16623,0
IUHC.UK,D,20160115,000000,4.641,4.641,4.641,4.641,0,0
IUHC.UK,D,20160118,000000,4.665,4.665,4.665,4.665,0,0
IUHC.UK,D,20160119,000000,4.66,4.6845,4.66,4.6845,40110,0
IUHC.UK,D,20160120,000000,4.66,4.66,4.557,4.557,43092,0
IUHC.UK,D,20160121,000000,4.66,4.66,4.565,4.6475,43092,0
IUHC.UK,D,20160122,000000,4.72,4.72,4.71,4.7125,40109,0
IUHC.UK,D,20160125,000000,4.705,4.7115,4.705,4.7115,129,0
IUHC.UK,D,20160126,000000,4.659,4.6885,4.659,4.6885,9919,0
IUHC.UK,D,20160127,000000,4.7045,4.7045,4.7045,4.7045,0,0
IUHC.UK,D,20160128,000000,4.68,4.68,4.6025,4.6025,42437,0
IUHC.UK,D,20160129,000000,4.5745,4.5745,4.5745,4.5745,0,0
IUHC.UK,D,20160201,000000,4.6,4.603,4.584,4.603,12589,0
IUHC.UK,D,20160202,000000,4.58,4.5955,4.58,4.5955,8919,0
IUHC.UK,D,20160203,000000,4.536,4.536,4.536,4.536,0,0
IUHC.UK,D,20160204,000000,4.615,4.615,4.54,4.562,53333,0
IUHC.UK,D,20160205,000000,4.576,4.588,4.494,4.494,27417,0
IUHC.UK,D,20160208,000000,4.4165,4.4165,4.4165,4.4165,0,0
IUHC.UK,D,20160209,000000,4.385,4.4425,4.385,4.4425,6428,0
IUHC.UK,D,20160210,000000,4.49,4.5165,4.49,4.5165,6518,0
IUHC.UK,D,20160211,000000,4.407,4.407,4.407,4.407,0,0
IUHC.UK,D,20160212,000000,4.45,4.45,4.4295,4.4295,15544,0
IUHC.UK,D,20160215,000000,4.52,4.534,4.52,4.534,2740,0
IUHC.UK,D,20160216,000000,4.53,4.53,4.5175,4.5175,2130,0
IUHC.UK,D,20160217,000000,4.55,4.607,4.55,4.607,1680,0
IUHC.UK,D,20160218,000000,4.628,4.64,4.6215,4.6215,9566,0
IUHC.UK,D,20160219,000000,4.589,4.589,4.589,4.589,0,0
IUHC.UK,D,20160222,000000,4.642,4.642,4.635,4.635,6578,0
IUHC.UK,D,20160223,000000,4.6215,4.6215,4.6215,4.6215,0,0
IUHC.UK,D,20160224,000000,4.58,4.58,4.5585,4.5585,585,0
IUHC.UK,D,20160225,000000,4.63,4.652,4.63,4.652,3831,0
IUHC.UK,D,20160226,000000,4.695,4.695,4.695,4.695,0,0
IUHC.UK,D,20160229,000000,4.6625,4.6625,4.6625,4.6625,0,0
IUHC.UK,D,20160301,000000,4.6475,4.6475,4.6475,4.6475,0,0
IUHC.UK,D,20160302,000000,4.7,4.709,4.697,4.697,2413,0
IUHC.UK,D,20160303,000000,4.71,4.71,4.661,4.661,13466,0
IUHC.UK,D,20160304,000000,4.692,4.692,4.692,4.692,0,0
IUHC.UK,D,20160307,000000,4.66,4.709,4.66,4.709,5569,0
IUHC.UK,D,20160308,000000,4.7,4.7,4.696,4.696,1823,0
