<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUIS.UK,D,20170323,000000,4.9555,4.9555,4.9555,4.9555,0,0
IUIS.UK,D,20170324,000000,4.933,4.933,4.933,4.933,0,0
IUIS.UK,D,20170327,000000,4.8785,4.8785,4.8785,4.8785,0,0
IUIS.UK,D,20170328,000000,4.9325,4.9325,4.9325,4.9325,0,0
IUIS.UK,D,20170329,000000,4.941,4.941,4.941,4.941,0,0
IUIS.UK,D,20170330,000000,4.9765,4.9765,4.9765,4.9765,0,0
IUIS.UK,D,20170331,000000,4.9735,4.9735,4.9735,4.9735,0,0
IUIS.UK,D,20170403,000000,4.9315,4.9315,4.9315,4.9315,0,0
IUIS.UK,D,20170404,000000,4.9535,4.9535,4.9535,4.9535,0,0
IUIS.UK,D,20170405,000000,4.9835,4.9835,4.9835,4.9835,0,0
IUIS.UK,D,20170406,000000,4.9705,4.9705,4.9705,4.9705,0,0
IUIS.UK,D,20170407,000000,4.9605,4.9605,4.9605,4.9605,0,0
IUIS.UK,D,20170410,000000,4.9935,4.9935,4.9935,4.9935,0,0
IUIS.UK,D,20170411,000000,4.9935,4.9935,4.9935,4.9935,0,0
IUIS.UK,D,20170412,000000,4.9275,4.9275,4.9275,4.9275,0,0
IUIS.UK,D,20170413,000000,4.9195,4.9195,4.9195,4.9195,0,0
IUIS.UK,D,20170418,000000,4.9245,4.9245,4.9245,4.9245,0,0
IUIS.UK,D,20170419,000000,4.9445,4.9445,4.9445,4.9445,0,0
IUIS.UK,D,20170420,000000,4.925,4.97,4.925,4.97,50000,0
IUIS.UK,D,20170421,000000,4.9785,4.9785,4.9785,4.9785,0,0
IUIS.UK,D,20170424,000000,5.0375,5.0375,5.0375,5.0375,0,0
IUIS.UK,D,20170425,000000,5.07,5.07,5.07,5.07,0,0
IUIS.UK,D,20170426,000000,5.08,5.09875,5.08,5.09875,11834,0
IUIS.UK,D,20170427,000000,5.05875,5.05875,5.05875,5.05875,0,0
IUIS.UK,D,20170428,000000,5.08,5.08,5.05875,5.05875,11834,0
IUIS.UK,D,20170502,000000,5.045,5.05,5.04125,5.04125,240750,0
IUIS.UK,D,20170503,000000,5.045,5.045,5.045,5.045,0,0
IUIS.UK,D,20170504,000000,5.07,5.07,5.055,5.055,200000,0
IUIS.UK,D,20170505,000000,5.0725,5.0725,5.0725,5.0725,0,0
IUIS.UK,D,20170508,000000,5.07875,5.07875,5.07875,5.07875,0,0
IUIS.UK,D,20170509,000000,5.08625,5.08625,5.08625,5.08625,0,0
IUIS.UK,D,20170510,000000,5.08,5.08,5.08,5.08,0,0
IUIS.UK,D,20170511,000000,5.04875,5.04875,5.04875,5.04875,0,0
IUIS.UK,D,20170512,000000,5.03375,5.03375,5.03375,5.03375,0,0
IUIS.UK,D,20170515,000000,5.0625,5.0625,5.05625,5.05625,6650,0
IUIS.UK,D,20170516,000000,5.04875,5.04875,5.04875,5.04875,0,0
IUIS.UK,D,20170517,000000,5.0025,5.0025,4.9845,4.9845,30000,0
IUIS.UK,D,20170518,000000,4.9625,4.9625,4.9625,4.9625,0,0
IUIS.UK,D,20170519,000000,5.02,5.02,5.02,5.02,0,0
IUIS.UK,D,20170522,000000,5.0025,5.06,5.0025,5.06,30000,0
IUIS.UK,D,20170523,000000,5.07625,5.07625,5.07625,5.07625,0,0
IUIS.UK,D,20170524,000000,5.08125,5.08125,5.08125,5.08125,0,0
IUIS.UK,D,20170525,000000,5.10375,5.10375,5.10375,5.10375,0,0
IUIS.UK,D,20170526,000000,5.1125,5.1125,5.11,5.11,1812,0
IUIS.UK,D,20170530,000000,5.1125,5.1125,5.1025,5.1025,1812,0
IUIS.UK,D,20170531,000000,5.105,5.105,5.1,5.1,7003,0
IUIS.UK,D,20170601,000000,5.14375,5.14375,5.14375,5.14375,0,0
IUIS.UK,D,20170602,000000,5.19,5.19,5.19,5.19,0,0
IUIS.UK,D,20170605,000000,5.17125,5.17125,5.17125,5.17125,0,0
IUIS.UK,D,20170606,000000,5.14375,5.14375,5.14375,5.14375,0,0
IUIS.UK,D,20170607,000000,5.10375,5.10375,5.10375,5.10375,0,0
IUIS.UK,D,20170608,000000,5.125,5.125,5.125,5.125,0,0
IUIS.UK,D,20170609,000000,5.15875,5.15875,5.15875,5.15875,0,0
IUIS.UK,D,20170612,000000,5.16625,5.16625,5.16625,5.16625,0,0
IUIS.UK,D,20170613,000000,5.19125,5.19125,5.19125,5.19125,0,0
IUIS.UK,D,20170614,000000,5.1975,5.1975,5.1975,5.1975,0,0
IUIS.UK,D,20170615,000000,5.165,5.2,5.165,5.2,30000,0
IUIS.UK,D,20170616,000000,5.22625,5.22625,5.22625,5.22625,0,0
IUIS.UK,D,20170619,000000,5.25125,5.25125,5.25125,5.25125,0,0
IUIS.UK,D,20170620,000000,5.23625,5.23625,5.23625,5.23625,0,0
IUIS.UK,D,20170621,000000,5.165,5.19125,5.165,5.19125,30000,0
IUIS.UK,D,20170622,000000,5.1825,5.1825,5.1625,5.17875,4000,0
IUIS.UK,D,20170623,000000,5.1875,5.1875,5.1875,5.1875,0,0
IUIS.UK,D,20170626,000000,5.19625,5.19625,5.19625,5.19625,0,0
IUIS.UK,D,20170627,000000,5.17125,5.17125,5.17125,5.17125,0,0
IUIS.UK,D,20170628,000000,5.19125,5.19125,5.19125,5.19125,0,0
IUIS.UK,D,20170629,000000,5.16,5.16,5.16,5.16,0,0
IUIS.UK,D,20170630,000000,5.17,5.17,5.17,5.17,0,0
IUIS.UK,D,20170703,000000,5.23375,5.23375,5.23375,5.23375,0,0
IUIS.UK,D,20170704,000000,5.23,5.23,5.23,5.23,0,0
IUIS.UK,D,20170705,000000,5.22625,5.22625,5.22625,5.22625,0,0
IUIS.UK,D,20170706,000000,5.2125,5.215,5.21,5.21375,106571,0
IUIS.UK,D,20170707,000000,5.20125,5.20125,5.20125,5.20125,0,0
IUIS.UK,D,20170710,000000,5.22625,5.22625,5.22625,5.22625,0,0
IUIS.UK,D,20170711,000000,5.20375,5.20375,5.20375,5.20375,0,0
IUIS.UK,D,20170712,000000,5.2875,5.2875,5.26375,5.26375,5972,0
IUIS.UK,D,20170713,000000,5.26125,5.26125,5.26125,5.26125,0,0
IUIS.UK,D,20170714,000000,5.26875,5.26875,5.26875,5.26875,0,0
IUIS.UK,D,20170717,000000,5.27875,5.27875,5.27875,5.27875,0,0
IUIS.UK,D,20170718,000000,5.28,5.28,5.2675,5.2675,5600,0
IUIS.UK,D,20170719,000000,5.25375,5.25375,5.25375,5.25375,0,0
IUIS.UK,D,20170720,000000,5.24375,5.24375,5.24375,5.24375,0,0
IUIS.UK,D,20170721,000000,5.21125,5.21125,5.21125,5.21125,0,0
IUIS.UK,D,20170724,000000,5.21125,5.21125,5.21125,5.21125,0,0
IUIS.UK,D,20170725,000000,5.22125,5.22125,5.22125,5.22125,0,0
IUIS.UK,D,20170726,000000,5.21125,5.21125,5.21125,5.21125,0,0
IUIS.UK,D,20170727,000000,5.175,5.175,5.175,5.175,0,0
IUIS.UK,D,20170728,000000,5.1775,5.1775,5.1775,5.1775,0,0
IUIS.UK,D,20170731,000000,5.20625,5.20625,5.20625,5.20625,0,0
IUIS.UK,D,20170801,000000,5.17,5.17,5.17,5.17,0,0
IUIS.UK,D,20170802,000000,5.18625,5.18625,5.18625,5.18625,0,0
IUIS.UK,D,20170803,000000,5.22,5.22,5.19875,5.19875,36,0
IUIS.UK,D,20170804,000000,5.22125,5.22125,5.22125,5.22125,0,0
IUIS.UK,D,20170807,000000,5.2275,5.2275,5.2275,5.2275,0,0
IUIS.UK,D,20170808,000000,5.24625,5.24625,5.24625,5.24625,0,0
