<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUIT.UK,D,20151204,000000,5.0525,5.0525,5.0525,5.0525,50000,0
IUIT.UK,D,20151214,000000,4.897,4.899,4.897,4.899,25000,0
IUIT.UK,D,20151215,000000,4.987,4.987,4.987,4.987,5000,0
IUIT.UK,D,20151221,000000,4.887,4.887,4.887,4.887,3000,0
IUIT.UK,D,20151223,000000,4.949,4.949,4.949,4.949,1410,0
IUIT.UK,D,20151224,000000,4.9555,4.9555,4.9555,4.9555,0,0
IUIT.UK,D,20151229,000000,5.0188,5.0188,5.0188,5.0188,0,0
IUIT.UK,D,20151230,000000,5.0075,5.01125,5.0075,5.01125,50000,0
IUIT.UK,D,20151231,000000,4.979,4.979,4.979,4.979,0,0
IUIT.UK,D,20160104,000000,4.844,4.844,4.781,4.781,3000,0
IUIT.UK,D,20160105,000000,4.8305,4.8305,4.8305,4.8305,0,0
IUIT.UK,D,20160106,000000,4.7845,4.7845,4.7845,4.7845,0,0
IUIT.UK,D,20160107,000000,4.6915,4.6915,4.6915,4.6915,0,0
IUIT.UK,D,20160108,000000,4.5975,4.5975,4.5975,4.5975,0,0
IUIT.UK,D,20160111,000000,4.574,4.574,4.574,4.574,0,0
IUIT.UK,D,20160112,000000,4.844,4.844,4.6265,4.6265,3000,0
IUIT.UK,D,20160113,000000,4.6265,4.6585,4.6265,4.6585,100000,0
IUIT.UK,D,20160114,000000,4.577,4.605,4.565,4.565,23575,0
IUIT.UK,D,20160115,000000,4.475,4.475,4.475,4.475,0,0
IUIT.UK,D,20160118,000000,4.4765,4.4765,4.4765,4.4765,0,0
IUIT.UK,D,20160119,000000,4.49,4.49,4.49,4.49,0,0
IUIT.UK,D,20160120,000000,4.362,4.362,4.362,4.362,0,0
IUIT.UK,D,20160121,000000,4.488,4.488,4.483,4.483,11000,0
IUIT.UK,D,20160122,000000,4.5535,4.5535,4.5535,4.5535,0,0
IUIT.UK,D,20160125,000000,4.565,4.565,4.565,4.565,0,0
IUIT.UK,D,20160126,000000,4.5615,4.5615,4.5615,4.5615,0,0
IUIT.UK,D,20160127,000000,4.547,4.5601,4.501,4.501,144000,0
IUIT.UK,D,20160128,000000,4.5015,4.5015,4.5015,4.5015,0,0
IUIT.UK,D,20160129,000000,4.6175,4.6175,4.6175,4.6175,0,0
IUIT.UK,D,20160201,000000,4.674,4.674,4.674,4.674,0,0
IUIT.UK,D,20160202,000000,4.6625,4.6625,4.6625,4.6625,0,0
