<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUVL.UK,D,20161018,000000,5.00875,5.00875,5.00875,5.00875,0,0
IUVL.UK,D,20161019,000000,5.01125,5.01125,5.01125,5.01125,0,0
IUVL.UK,D,20161020,000000,5.00125,5.00125,5.00125,5.00125,0,0
IUVL.UK,D,20161021,000000,4.9875,4.9875,4.9875,4.9875,0,0
IUVL.UK,D,20161024,000000,5.01875,5.01875,5.01875,5.01875,0,0
IUVL.UK,D,20161025,000000,4.9925,4.9925,4.9925,4.9925,0,0
IUVL.UK,D,20161026,000000,5.0035,5.0035,5.0035,5.0035,0,0
IUVL.UK,D,20161027,000000,4.986,4.986,4.986,4.986,0,0
IUVL.UK,D,20161028,000000,5.00125,5.00125,5.00125,5.00125,0,0
IUVL.UK,D,20161031,000000,4.9895,4.9895,4.9895,4.9895,0,0
IUVL.UK,D,20161101,000000,4.9545,4.9545,4.9545,4.9545,0,0
IUVL.UK,D,20161102,000000,4.9475,4.9475,4.9475,4.9475,0,0
IUVL.UK,D,20161103,000000,4.957,4.9604,4.9315,4.9315,1070242,0
IUVL.UK,D,20161104,000000,4.928,4.935,4.9098,4.935,517802,0
IUVL.UK,D,20161107,000000,5.005,5.01,5.0023,5.01,768390,0
IUVL.UK,D,20161108,000000,5.0175,5.0225,5.01375,5.01375,142628,0
IUVL.UK,D,20161109,000000,5.07625,5.07625,5.07625,5.07625,0,0
IUVL.UK,D,20161110,000000,5.155,5.1825,5.155,5.16625,104842,0
IUVL.UK,D,20161111,000000,5.14375,5.14375,5.14375,5.14375,0,0
IUVL.UK,D,20161114,000000,5.2075,5.22875,5.2075,5.22875,67210,0
IUVL.UK,D,20161115,000000,5.27,5.27,5.2525,5.25625,505879,0
IUVL.UK,D,20161116,000000,5.26625,5.26625,5.26625,5.26625,0,0
IUVL.UK,D,20161117,000000,5.25625,5.25625,5.25625,5.25625,0,0
IUVL.UK,D,20161118,000000,5.27125,5.27125,5.27125,5.27125,0,0
IUVL.UK,D,20161121,000000,5.285,5.295,5.28,5.28625,349258,0
IUVL.UK,D,20161122,000000,5.31,5.3187,5.3,5.3,1304465,0
IUVL.UK,D,20161123,000000,5.325,5.325,5.3025,5.31375,692065,0
IUVL.UK,D,20161124,000000,5.34125,5.34125,5.34125,5.34125,0,0
IUVL.UK,D,20161125,000000,5.345,5.34875,5.345,5.34875,27855,0
IUVL.UK,D,20161128,000000,5.345,5.3475,5.32375,5.32375,67080,0
IUVL.UK,D,20161129,000000,5.33,5.33375,5.325,5.33375,350332,0
