<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQDA.UK,D,20170418,000000,5.04375,5.04375,5.04375,5.04375,0,0
LQDA.UK,D,20170419,000000,5.03375,5.03375,5.03375,5.03375,0,0
LQDA.UK,D,20170420,000000,5.0425,5.0425,5.02875,5.02875,4000,0
LQDA.UK,D,20170421,000000,5.05,5.05,5.05,5.05,19801,0
LQDA.UK,D,20170424,000000,5.02375,5.02375,5.02375,5.02375,0,0
LQDA.UK,D,20170425,000000,5.0225,5.025,5.01625,5.01625,5000,0
LQDA.UK,D,20170426,000000,5.01375,5.01375,5.01375,5.01375,0,0
LQDA.UK,D,20170427,000000,5.0225,5.0225,5.0225,5.0225,0,0
LQDA.UK,D,20170428,000000,5.0225,5.025,5.02,5.02,5000,0
LQDA.UK,D,20170502,000000,5.0225,5.0225,5.0175,5.0175,30000,0
LQDA.UK,D,20170503,000000,5.02625,5.02625,5.02625,5.02625,0,0
LQDA.UK,D,20170504,000000,5.00425,5.00425,5.00425,5.00425,0,0
LQDA.UK,D,20170505,000000,5.01,5.01,5.01,5.01,0,0
LQDA.UK,D,20170508,000000,5.00625,5.00625,5.00625,5.00625,0,0
LQDA.UK,D,20170509,000000,5.005,5.005,4.99925,4.99925,9989,0
LQDA.UK,D,20170510,000000,5.0175,5.0225,5.01125,5.01125,508,0
LQDA.UK,D,20170511,000000,5.02,5.02,5.01375,5.01375,83972,0
LQDA.UK,D,20170512,000000,5.0275,5.04,5.0275,5.03875,29540,0
LQDA.UK,D,20170515,000000,5.03625,5.03625,5.03625,5.03625,0,0
LQDA.UK,D,20170516,000000,5.0425,5.04875,5.0425,5.04875,3960,0
LQDA.UK,D,20170517,000000,5.07,5.08,5.07,5.07375,12311,0
LQDA.UK,D,20170518,000000,5.09,5.09,5.07625,5.07625,1123,0
LQDA.UK,D,20170519,000000,5.0775,5.0775,5.07625,5.07625,3,0
LQDA.UK,D,20170522,000000,5.0775,5.07875,5.0775,5.07875,3,0
LQDA.UK,D,20170523,000000,5.09,5.09,5.07875,5.07875,27000,0
LQDA.UK,D,20170524,000000,5.06375,5.06375,5.06375,5.06375,0,0
LQDA.UK,D,20170525,000000,5.065,5.065,5.06375,5.06375,3000,0
LQDA.UK,D,20170526,000000,5.07375,5.07375,5.07375,5.07375,0,0
LQDA.UK,D,20170530,000000,5.065,5.08375,5.065,5.08375,3000,0
LQDA.UK,D,20170531,000000,5.0775,5.0775,5.0775,5.0775,0,0
LQDA.UK,D,20170601,000000,5.08875,5.08875,5.08875,5.08875,0,0
LQDA.UK,D,20170602,000000,5.11625,5.11625,5.11625,5.11625,0,0
LQDA.UK,D,20170605,000000,5.12,5.12,5.1075,5.1075,19600,0
LQDA.UK,D,20170606,000000,5.12125,5.12125,5.12125,5.12125,0,0
LQDA.UK,D,20170607,000000,5.115,5.115,5.115,5.115,0,0
LQDA.UK,D,20170608,000000,5.0975,5.0975,5.0975,5.0975,0,0
LQDA.UK,D,20170609,000000,5.0925,5.095,5.08875,5.08875,66324,0
LQDA.UK,D,20170612,000000,5.095,5.095,5.095,5.095,0,0
LQDA.UK,D,20170613,000000,5.09625,5.09625,5.09625,5.09625,0,0
LQDA.UK,D,20170614,000000,5.13875,5.13875,5.13875,5.13875,0,0
LQDA.UK,D,20170615,000000,5.1275,5.1275,5.1275,5.1275,0,0
LQDA.UK,D,20170616,000000,5.1325,5.1325,5.1325,5.1325,0,0
LQDA.UK,D,20170619,000000,5.12625,5.12625,5.12625,5.12625,0,0
LQDA.UK,D,20170620,000000,5.13,5.135,5.13,5.13375,39205,0
