<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGLN.UK,D,20150330,000000,1588,1596,1585.02,1586.35,8216,0
SGLN.UK,D,20150331,000000,1582.98,1595,1579.98,1587.02,21348,0
SGLN.UK,D,20150401,000000,1582,1607.5,1582,1604.35,8886,0
SGLN.UK,D,20150402,000000,1609.02,1638.5,1598.98,1598.98,9469,0
SGLN.UK,D,20150407,000000,1614,1614.5,1609.65,1614.5,29587,0
SGLN.UK,D,20150408,000000,1614.7,1614.7,1596.02,1596.02,10594,0
SGLN.UK,D,20150409,000000,1593.02,1608,1593.02,1605.02,13009,0
SGLN.UK,D,20150410,000000,1612.02,1636.5,1609.98,1632.35,13314,0
SGLN.UK,D,20150413,000000,1633.35,1633.35,1617.5,1618.02,5162,0
SGLN.UK,D,20150414,000000,1614.7,1617.02,1598.35,1602.35,11716,0
SGLN.UK,D,20150415,000000,1602.36,1605.5,1595,1605.5,21562,0
SGLN.UK,D,20150416,000000,1614.02,1614.02,1589.02,1589.02,6516,0
SGLN.UK,D,20150417,000000,1588,1598,1588,1598,16951,0
SGLN.UK,D,20150420,000000,1599,1599,1585.36,1585.36,7187,0
SGLN.UK,D,20150421,000000,1594,1595.35,1590,1591,13918,0
SGLN.UK,D,20150422,000000,1595.35,1595.35,1564.02,1567,9069,0
SGLN.UK,D,20150423,000000,1568.36,1574.02,1566.35,1569,7501,0
SGLN.UK,D,20150424,000000,1566,1566,1539.02,1539.02,12854,0
SGLN.UK,D,20150427,000000,1544.02,1570,1544.02,1564,15789,0
SGLN.UK,D,20150428,000000,1558,1568,1556,1566.35,7106,0
SGLN.UK,D,20150429,000000,1559.03,1559.03,1551.98,1555,6800,0
SGLN.UK,D,20150430,000000,1544.03,1548.7,1521,1521.02,87266,0
SGLN.UK,D,20150501,000000,1530,1537,1523.02,1534,10708,0
SGLN.UK,D,20150505,000000,1558.35,1566.35,1556.02,1560.35,13146,0
SGLN.UK,D,20150506,000000,1554.35,1558.04,1547.35,1551,22139,0
SGLN.UK,D,20150507,000000,1539.98,1551,1537.35,1542.02,13727,0
SGLN.UK,D,20150508,000000,1518.65,1531.02,1518.65,1521,15583,0
SGLN.UK,D,20150511,000000,1511,1525.02,1500.5,1500.5,7731,0
SGLN.UK,D,20150512,000000,1509,1512.02,1502,1503,7943,0
SGLN.UK,D,20150513,000000,1507.65,1530.02,1499.98,1529.65,25592,0
SGLN.UK,D,20150514,000000,1530.35,1541,1526.98,1537.35,7066,0
SGLN.UK,D,20150515,000000,1532.35,1535,1532.35,1533.35,3274,0
SGLN.UK,D,20150518,000000,1551.69,1557.35,1548.02,1548.5,38773,0
SGLN.UK,D,20150519,000000,1548,1562.35,1542.5,1543.35,7860,0
SGLN.UK,D,20150520,000000,1543.35,1545,1540.35,1544,5408,0
SGLN.UK,D,20150521,000000,1543.02,1543.02,1524,1526.35,22589,0
SGLN.UK,D,20150522,000000,1526,1540,1526,1540,8506,0
SGLN.UK,D,20150526,000000,1540,1540,1528.02,1529.35,30308,0
SGLN.UK,D,20150527,000000,1529.02,1537,1525.7,1531.36,1161240,0
SGLN.UK,D,20150528,000000,1535.98,1538.02,1531,1531,13175,0
SGLN.UK,D,20150529,000000,1538.35,1548,1538.35,1547,13774,0
SGLN.UK,D,20150601,000000,1539.35,1566,1538,1558,118814,0
SGLN.UK,D,20150602,000000,1548.36,1549.35,1541.35,1541.35,7781,0
SGLN.UK,D,20150603,000000,1538.36,1542.35,1534.35,1535.6,15067,0
SGLN.UK,D,20150604,000000,1531,1531,1512.35,1514.02,16631,0
SGLN.UK,D,20150605,000000,1522,1522,1513.22,1520,10049,0
SGLN.UK,D,20150608,000000,1520.35,1527.41,1517.83,1517.83,16997,0
SGLN.UK,D,20150609,000000,1522.26,1532,1521.61,1527,17403,0
SGLN.UK,D,20150610,000000,1519.02,1520.67,1515,1519,65173,0
SGLN.UK,D,20150611,000000,1517.35,1518.49,1503.36,1504.35,8816,0
SGLN.UK,D,20150612,000000,1509.63,1513,1500.35,1500.35,13296,0
SGLN.UK,D,20150615,000000,1508.35,1511,1500,1505.76,10168,0
