<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPEQ.UK,D,20210510,000000,48.34,48.5775,48.34,48.5775,864,0
SPEQ.UK,D,20210511,000000,47.85,47.9,47.4325,47.4325,22494,0
SPEQ.UK,D,20210512,000000,47.09,47.09,47.09,47.09,0,0
SPEQ.UK,D,20210513,000000,46.935,46.935,46.935,46.935,0,0
SPEQ.UK,D,20210514,000000,47.32,47.67,47.31,47.66,9417,0
SPEQ.UK,D,20210517,000000,47.685,47.695,47.5975,47.5975,9000,0
SPEQ.UK,D,20210518,000000,47.815,47.95,47.6925,47.6925,24,0
SPEQ.UK,D,20210519,000000,47.28,47.28,46.775,46.775,3785,0
SPEQ.UK,D,20210520,000000,47.34,47.34,47.34,47.34,0,0
SPEQ.UK,D,20210521,000000,47.63,47.76,47.63,47.64,1090,0
SPEQ.UK,D,20210524,000000,47.83,47.83,47.83,47.83,0,0
SPEQ.UK,D,20210525,000000,47.945,47.955,47.6675,47.6675,27,0
SPEQ.UK,D,20210526,000000,47.79001,47.955,47.655,47.655,2,0
SPEQ.UK,D,20210527,000000,47.9175,47.9175,47.9175,47.9175,0,0
SPEQ.UK,D,20210528,000000,48.185,48.185,48.04,48.04,1252,0
SPEQ.UK,D,20210601,000000,48.215,48.265,48.215,48.225,36,0
SPEQ.UK,D,20210602,000000,48.305,48.305,48.305,48.305,0,0
SPEQ.UK,D,20210603,000000,48.2275,48.2275,48.2275,48.2275,0,0
SPEQ.UK,D,20210604,000000,48.2525,48.2525,48.2525,48.2525,0,0
SPEQ.UK,D,20210607,000000,48.425,48.425,48.295,48.295,14,0
SPEQ.UK,D,20210608,000000,48.1675,48.1675,48.1675,48.1675,0,0
SPEQ.UK,D,20210609,000000,48.425,48.425,48.35,48.35,6007,0
SPEQ.UK,D,20210610,000000,48.23,48.23,48.23,48.23,0,0
SPEQ.UK,D,20210611,000000,48.245,48.245,48.245,48.245,0,0
SPEQ.UK,D,20210614,000000,48.505,48.505,48.1175,48.1175,329,0
SPEQ.UK,D,20210615,000000,48.405,48.505,48.135,48.135,8,0
SPEQ.UK,D,20210616,000000,48.31,48.505,48.195,48.195,3,0
SPEQ.UK,D,20210617,000000,47.47,47.47,47.47,47.47,0,0
SPEQ.UK,D,20210618,000000,47.4,47.4,46.8225,46.8225,108,0
SPEQ.UK,D,20210621,000000,46.77,47.37,46.77,47.37,17,0
SPEQ.UK,D,20210622,000000,47.57001,47.6325,46.77,47.6325,2,0
SPEQ.UK,D,20210623,000000,47.64,47.79,47.64,47.675,1499,0
SPEQ.UK,D,20210624,000000,47.825,47.84,47.7325,47.7325,29,0
SPEQ.UK,D,20210625,000000,47.71,48.105,47.705,48.105,14,0
SPEQ.UK,D,20210628,000000,48.27,48.27,47.705,47.8975,3,0
SPEQ.UK,D,20210629,000000,47.855,48.185,47.705,48.185,1,0
SPEQ.UK,D,20210630,000000,48.12,48.12,47.705,47.9975,3,0
SPEQ.UK,D,20210701,000000,48.285,48.3375,47.705,48.3375,1,0
SPEQ.UK,D,20210702,000000,48.535,48.535,47.705,48.3975,2,0
SPEQ.UK,D,20210705,000000,48.525,48.545,48.525,48.545,2996,0
SPEQ.UK,D,20210706,000000,48.58,48.58,47.86,47.86,1,0
SPEQ.UK,D,20210707,000000,48.235,48.235,48.1375,48.1375,155,0
SPEQ.UK,D,20210708,000000,47.495,47.795,47.495,47.795,17,0
SPEQ.UK,D,20210709,000000,47.91,48.2925,47.91,48.2925,3056,0
SPEQ.UK,D,20210712,000000,48.495,48.535,47.91,48.535,3,0
SPEQ.UK,D,20210713,000000,48.38,48.38,48.38,48.38,0,0
SPEQ.UK,D,20210714,000000,48.395,48.395,48.065,48.065,100,0
SPEQ.UK,D,20210715,000000,48.0025,48.0025,48.0025,48.0025,0,0
SPEQ.UK,D,20210716,000000,47.865,47.865,47.865,47.865,0,0
SPEQ.UK,D,20210719,000000,46.725,46.725,46.725,46.725,0,0
SPEQ.UK,D,20210720,000000,46.975,47.61,46.975,47.53,3086,0
SPEQ.UK,D,20210721,000000,47.9525,47.9525,47.9525,47.9525,0,0
SPEQ.UK,D,20210722,000000,48.095,48.095,46.975,47.875,1,0
SPEQ.UK,D,20210723,000000,48.045,48.3125,48.045,48.3125,12,0
SPEQ.UK,D,20210726,000000,48.26,48.455,48.26,48.455,7,0
SPEQ.UK,D,20210727,000000,48.175,48.37,48.175,48.3075,3,0
SPEQ.UK,D,20210728,000000,48.445,48.445,48.2,48.345,3120,0
SPEQ.UK,D,20210729,000000,48.835,48.835,48.835,48.835,0,0
SPEQ.UK,D,20210730,000000,48.495,48.7425,48.495,48.7425,313,0
SPEQ.UK,D,20210802,000000,48.9,48.9,48.9,48.9,0,0
SPEQ.UK,D,20210803,000000,48.845,48.845,48.495,48.69,1,0
SPEQ.UK,D,20210804,000000,48.75,48.75,48.75,48.75,0,0
SPEQ.UK,D,20210805,000000,48.8475,48.8475,48.8475,48.8475,0,0
SPEQ.UK,D,20210806,000000,48.955,49.13,48.495,49.13,5,0
SPEQ.UK,D,20210809,000000,48.9725,48.9725,48.9725,48.9725,0,0
SPEQ.UK,D,20210810,000000,49.315,49.315,49.315,49.315,0,0
SPEQ.UK,D,20210811,000000,49.25999,49.325,48.495,49.325,1,0
SPEQ.UK,D,20210812,000000,49.365,49.365,49.365,49.365,0,0
SPEQ.UK,D,20210813,000000,49.52,49.525,49.52,49.525,200,0
SPEQ.UK,D,20210816,000000,49.325,49.4025,49.325,49.4025,12,0
SPEQ.UK,D,20210817,000000,49.0825,49.0825,49.0825,49.0825,0,0
SPEQ.UK,D,20210818,000000,49.245,49.245,49.1225,49.1225,11,0
SPEQ.UK,D,20210819,000000,48.165,48.3975,48.165,48.3975,2122,0
SPEQ.UK,D,20210820,000000,48.7375,48.7375,48.7375,48.7375,0,0
SPEQ.UK,D,20210823,000000,49.13499,49.2725,48.165,49.2725,3,0
SPEQ.UK,D,20210824,000000,49.395,49.4425,49.395,49.4425,203,0
SPEQ.UK,D,20210825,000000,49.6625,49.6625,49.6625,49.6625,0,0
SPEQ.UK,D,20210826,000000,49.49,49.49,49.49,49.49,0,0
SPEQ.UK,D,20210827,000000,49.805,49.8375,49.805,49.8375,13,0
SPEQ.UK,D,20210831,000000,49.855,49.855,49.8525,49.8525,197,0
SPEQ.UK,D,20210901,000000,49.7475,49.7475,49.7475,49.7475,0,0
SPEQ.UK,D,20210902,000000,49.915,50.14,49.915,50.14,10,0
SPEQ.UK,D,20210903,000000,49.9925,49.9925,49.9925,49.9925,0,0
SPEQ.UK,D,20210906,000000,50.1,50.14,50.1,50.105,40,0
SPEQ.UK,D,20210907,000000,50.09,50.09,49.5875,49.5875,604,0
SPEQ.UK,D,20210908,000000,49.445,49.47,49.445,49.47,108,0
SPEQ.UK,D,20210909,000000,49.645,49.645,49.645,49.645,0,0
SPEQ.UK,D,20210910,000000,49.685,49.685,49.265,49.265,11,0
SPEQ.UK,D,20210913,000000,49.42,49.42,49.2125,49.2125,2044,0
SPEQ.UK,D,20210914,000000,49.375,49.375,49.045,49.045,662,0
SPEQ.UK,D,20210915,000000,49.1375,49.1375,49.1375,49.1375,0,0
SPEQ.UK,D,20210916,000000,49.12,49.12,49.0825,49.0825,224,0
SPEQ.UK,D,20210917,000000,48.885,48.885,48.885,48.885,0,0
SPEQ.UK,D,20210920,000000,48.15,48.23,47.815,48.0725,2328,0
SPEQ.UK,D,20210921,000000,48.22501,48.23,47.815,47.91,2,0
SPEQ.UK,D,20210922,000000,48.2,48.52,48.2,48.52,200,0
SPEQ.UK,D,20210923,000000,49.2125,49.2125,49.2125,49.2125,0,0
SPEQ.UK,D,20210924,000000,49.165,49.165,49.165,49.165,0,0
SPEQ.UK,D,20210927,000000,49.465,49.5,49.465,49.5,25,0
SPEQ.UK,D,20210928,000000,48.825,48.825,48.765,48.765,207,0
SPEQ.UK,D,20210929,000000,48.845,48.845,48.845,48.845,0,0
SPEQ.UK,D,20210930,000000,49.11,49.11,48.58,48.58,10,0
SPEQ.UK,D,20211001,000000,48.12,48.1275,48.11,48.1275,162,0
SPEQ.UK,D,20211004,000000,48.18,48.18,48.18,48.18,0,0
SPEQ.UK,D,20211005,000000,48.31,48.8375,48.11,48.8375,2,0
SPEQ.UK,D,20211006,000000,48.035,48.035,47.9725,47.9725,519,0
SPEQ.UK,D,20211007,000000,49.315,49.3625,49.315,49.3625,50,0
SPEQ.UK,D,20211008,000000,49.235,49.315,49.15,49.15,2,0
SPEQ.UK,D,20211011,000000,49.3,49.3,49.18,49.18,152,0
SPEQ.UK,D,20211012,000000,48.8275,48.8275,48.8275,48.8275,0,0
SPEQ.UK,D,20211013,000000,48.5775,48.5775,48.5775,48.5775,0,0
SPEQ.UK,D,20211014,000000,48.995,49.4125,48.995,49.4125,10,0
SPEQ.UK,D,20211015,000000,49.9,49.9,49.895,49.895,1620,0
SPEQ.UK,D,20211018,000000,49.835,49.835,49.835,49.835,0,0
SPEQ.UK,D,20211019,000000,50.01,50.0575,50.01,50.0575,22,0
SPEQ.UK,D,20211020,000000,50.395,50.395,50.395,50.395,0,0
SPEQ.UK,D,20211021,000000,50.24,50.24,50.24,50.24,0,0
SPEQ.UK,D,20211022,000000,50.63,50.63,50.63,50.63,0,0
SPEQ.UK,D,20211025,000000,50.88,50.895,50.88,50.895,1690,0
SPEQ.UK,D,20211026,000000,50.87,50.945,50.87,50.945,46,0
SPEQ.UK,D,20211027,000000,50.405,50.405,50.405,50.405,0,0
SPEQ.UK,D,20211028,000000,50.38,50.38,50.38,50.38,0,0
SPEQ.UK,D,20211029,000000,50.5,50.5,50.475,50.475,418,0
SPEQ.UK,D,20211101,000000,50.7,50.765,50.7,50.765,12,0
SPEQ.UK,D,20211102,000000,50.8,50.92,50.8,50.92,1456,0
SPEQ.UK,D,20211103,000000,51.16,51.16,50.8,51.015,5,0
SPEQ.UK,D,20211104,000000,51.25,51.25,51.17,51.17,9,0
SPEQ.UK,D,20211105,000000,51.17,51.79,51.17,51.6,147,0
SPEQ.UK,D,20211108,000000,51.665,51.665,51.665,51.665,0,0
SPEQ.UK,D,20211109,000000,51.66,51.79,51.17,51.475,1,0
SPEQ.UK,D,20211110,000000,51.72,51.72,51.63,51.63,590,0
SPEQ.UK,D,20211111,000000,51.48,51.48,51.37,51.37,12,0
SPEQ.UK,D,20211112,000000,51.63,51.63,51.63,51.63,0,0
SPEQ.UK,D,20211115,000000,51.82,51.82,51.765,51.765,11,0
SPEQ.UK,D,20211116,000000,51.73,51.905,51.73,51.905,5,0
SPEQ.UK,D,20211117,000000,51.64,51.64,51.48,51.48,195,0
SPEQ.UK,D,20211118,000000,51.35,51.35,51.325,51.325,45,0
SPEQ.UK,D,20211119,000000,51.07,51.25,51.07,51.185,2134,0
SPEQ.UK,D,20211122,000000,51.18,51.5,51.18,51.5,10,0
SPEQ.UK,D,20211123,000000,51.155,51.155,51.155,51.155,0,0
SPEQ.UK,D,20211124,000000,51.3,51.3,51.295,51.295,190,0
SPEQ.UK,D,20211125,000000,51.415,51.415,51.415,51.415,0,0
SPEQ.UK,D,20211126,000000,50.15,50.44,49.8975,49.8975,2145,0
SPEQ.UK,D,20211129,000000,50.245,50.245,50.245,50.245,0,0
SPEQ.UK,D,20211130,000000,49.855,49.855,49.6175,49.6175,2122,0
SPEQ.UK,D,20211201,000000,49.785,50.1,49.785,50.1,405,0
SPEQ.UK,D,20211202,000000,49.06,49.525,49.06,49.4625,586,0
SPEQ.UK,D,20211203,000000,49.455,49.455,49.4,49.4,10,0
SPEQ.UK,D,20211206,000000,50.17,50.17,50.17,50.17,0,0
SPEQ.UK,D,20211207,000000,50.54,51.105,50.54,51.105,2122,0
SPEQ.UK,D,20211208,000000,51.17,51.17,51.01,51.01,26,0
SPEQ.UK,D,20211209,000000,50.905,50.905,50.905,50.905,0,0
SPEQ.UK,D,20211210,000000,50.735,50.735,50.735,50.735,0,0
SPEQ.UK,D,20211213,000000,50.55,50.55,50.55,50.55,0,0
SPEQ.UK,D,20211214,000000,50.97,50.97,50.455,50.455,20,0
SPEQ.UK,D,20211215,000000,50.24001,50.97,50.16,50.16,2,0
SPEQ.UK,D,20211216,000000,51.36,51.36,51.36,51.36,0,0
SPEQ.UK,D,20211217,000000,50.86,50.86,50.86,50.86,0,0
SPEQ.UK,D,20211220,000000,49.805,49.805,49.24,49.24,229,0
SPEQ.UK,D,20211221,000000,49.735,50.39,49.735,50.325,483,0
SPEQ.UK,D,20211222,000000,50.66,50.895,49.735,50.895,1,0
SPEQ.UK,D,20211223,000000,51.39,51.39,51.39,51.39,0,0
SPEQ.UK,D,20211224,000000,51.44,51.44,51.44,51.44,0,0
SPEQ.UK,D,20211229,000000,52.37,52.37,52.185,52.185,6,0
SPEQ.UK,D,20211230,000000,52.41,52.41,52.34,52.34,1,0
SPEQ.UK,D,20211231,000000,52.04,52.04,52.04,52.04,0,0
SPEQ.UK,D,20220104,000000,52.49,52.69,52.36,52.635,177,0
SPEQ.UK,D,20220105,000000,52.82,52.82,52.75,52.75,17,0
SPEQ.UK,D,20220106,000000,52.04001,52.82,51.93,51.93,8,0
SPEQ.UK,D,20220107,000000,51.8,51.935,51.8,51.935,50,0
SPEQ.UK,D,20220110,000000,51.68,51.68,51.19,51.19,1,0
SPEQ.UK,D,20220111,000000,51.66,51.84,51.57,51.57,366,0
SPEQ.UK,D,20220112,000000,52.045,52.045,52.045,52.045,0,0
SPEQ.UK,D,20220113,000000,52.08,52.38,51.65,52.38,2,0
SPEQ.UK,D,20220114,000000,51.375,51.375,51.375,51.375,0,0
SPEQ.UK,D,20220117,000000,51.9,51.95,51.9,51.945,15,0
SPEQ.UK,D,20220118,000000,51.78,51.95,51.085,51.085,1,0
SPEQ.UK,D,20220119,000000,51.2,51.2,50.855,50.855,110,0
SPEQ.UK,D,20220120,000000,50.49,51.045,50.49,51.045,2135,0
