<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPY4.UK,D,20150304,000000,41.98,41.98,41.6,41.86,29940,0
SPY4.UK,D,20150305,000000,41.75,41.91,41.73,41.8,45399,0
SPY4.UK,D,20150306,000000,41.78,41.92,41.44,41.44,326111,0
SPY4.UK,D,20150309,000000,41.27,41.52,41.2,41.47,122734,0
SPY4.UK,D,20150310,000000,41.68,41.68,40.96,41.05,58822,0
SPY4.UK,D,20150311,000000,41.1,41.19,40.85,41.12,60936,0
SPY4.UK,D,20150312,000000,41.18,41.69,41.18,41.62,57495,0
SPY4.UK,D,20150313,000000,41.73,41.82,41.14,41.28,52470,0
SPY4.UK,D,20150316,000000,41.55,41.92,41.53,41.89,81600,0
SPY4.UK,D,20150317,000000,42.32,42.32,41.3,41.9,62421,0
SPY4.UK,D,20150318,000000,41.87,42.33,41.83,42.03,54490,0
SPY4.UK,D,20150319,000000,42.58,42.58,42.21,42.27,24327,0
SPY4.UK,D,20150320,000000,42.18,42.75,42.18,42.73,89930,0
SPY4.UK,D,20150323,000000,42.5,42.92,42.5,42.75,63092,0
SPY4.UK,D,20150324,000000,43.03,43.03,42.59,42.7,92079,0
SPY4.UK,D,20150325,000000,42.61,42.92,42.03,42.17,128657,0
SPY4.UK,D,20150326,000000,41.41,41.8,41.41,41.69,160070,0
SPY4.UK,D,20150327,000000,41.53,41.9,41.53,41.78,226699,0
SPY4.UK,D,20150330,000000,42.31,42.45,42.1,42.45,545794,0
SPY4.UK,D,20150331,000000,42.5,42.61,42.25,42.38,137644,0
SPY4.UK,D,20150401,000000,42.3,42.45,41.97,42.24,95701,0
SPY4.UK,D,20150402,000000,42.19,42.56,42.04,42.56,100919,0
SPY4.UK,D,20150407,000000,42.9,43.03,42.56,42.81,303023,0
SPY4.UK,D,20150408,000000,42.53,42.64,42.29,42.52,369063,0
SPY4.UK,D,20150409,000000,42.52,42.68,42.34,42.34,48201,0
SPY4.UK,D,20150410,000000,42.72,42.8,42.5,42.75,50805,0
SPY4.UK,D,20150413,000000,42.61,42.84,42.52,42.68,48100,0
SPY4.UK,D,20150414,000000,42.72,42.72,42.24,42.56,175686,0
SPY4.UK,D,20150415,000000,42.53,42.94,42.53,42.85,66918,0
SPY4.UK,D,20150416,000000,42.91,42.91,42.56,42.72,52507,0
SPY4.UK,D,20150417,000000,42.69,42.88,42.09,42.21,129662,0
SPY4.UK,D,20150420,000000,42.4,42.64,42.35,42.64,49425,0
SPY4.UK,D,20150421,000000,42.8,43,42.5,43,404045,0
SPY4.UK,D,20150422,000000,42.56,42.66,42.24,42.54,143264,0
