<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUAG.UK,D,20150305,000000,56.8224,56.8224,56.8224,56.8224,185.58909976601,0
SUAG.UK,D,20150309,000000,56.9783,57.0437,56.8809,57.0437,157.90453792247,0
SUAG.UK,D,20150310,000000,57.267,57.267,57.267,57.267,54.343769544745,0
SUAG.UK,D,20150311,000000,57.3588,57.3588,57.3588,57.3588,129.19462193656,0
SUAG.UK,D,20150312,000000,57.8054,57.8054,57.8054,57.8054,3.076062427061,0
SUAG.UK,D,20150316,000000,58.4646,58.5135,58.4646,58.5135,126.1185595095,0
SUAG.UK,D,20150317,000000,58.7377,58.7377,58.7377,58.7377,17.431020420012,0
SUAG.UK,D,20150319,000000,58.4237,58.4237,58.4237,58.4237,282.99774328961,0
SUAG.UK,D,20150320,000000,58.8704,58.8704,58.8704,58.8704,114.83966394361,0
SUAG.UK,D,20150323,000000,58.4832,58.4832,58.4832,58.4832,367.07678296262,0
SUAG.UK,D,20150324,000000,58.3252,58.5973,58.3252,58.5973,1023.303434069,0
SUAG.UK,D,20150325,000000,58.6305,58.6617,58.5583,58.6617,5318.5119363885,0
SUAG.UK,D,20150326,000000,58.3418,58.4081,58.3418,58.4081,316.83442998729,0
SUAG.UK,D,20150327,000000,58.6139,58.6139,58.3418,58.3418,212.24830746721,0
SUAG.UK,D,20150330,000000,58.6968,58.8626,58.6968,58.8197,1288.8701569386,0
SUAG.UK,D,20150331,000000,59.0587,59.0683,58.9845,58.9845,752.6099404876,0
SUAG.UK,D,20150401,000000,59.1991,59.1991,59.0928,59.0928,65.622665110635,0
SUAG.UK,D,20150402,000000,58.9845,59.1337,58.9036,58.9036,327.08797141082,0
SUAG.UK,D,20150407,000000,58.886,58.886,58.8363,58.8363,77.926914818879,0
SUAG.UK,D,20150408,000000,58.8704,58.8704,58.5486,58.6227,1048.9372876278,0
SUAG.UK,D,20150409,000000,58.8938,59.2654,58.8938,59.2654,992.54280979836,0
SUAG.UK,D,20150410,000000,59.6867,59.8846,59.6467,59.6467,250.1864107343,0
SUAG.UK,D,20150413,000000,59.9353,59.9353,59.8379,59.8379,236.8568068837,0
SUAG.UK,D,20150416,000000,59.0421,59.1337,59.0274,59.1337,117.91572637067,0
SUAG.UK,D,20150420,000000,58.7377,58.7543,58.6548,58.6548,490.11928004506,0
SUAG.UK,D,20150421,000000,58.9036,58.9036,58.8275,58.8538,88.180456242416,0
SUAG.UK,D,20150422,000000,58.5662,58.6227,58.4646,58.6227,2283.4636750216,0
SUAG.UK,D,20150423,000000,58.2432,58.5486,58.0288,58.0288,7599.9249031254,0
SUAG.UK,D,20150424,000000,57.8308,57.8308,57.5801,57.7166,5387.2106639262,0
SUAG.UK,D,20150427,000000,57.7128,57.8376,57.6825,57.8376,826.43543873706,0
SUAG.UK,D,20150428,000000,57.4816,57.5742,57.1686,57.1686,73.825498249465,0
SUAG.UK,D,20150429,000000,56.5493,56.6243,56.4098,56.4098,1763.6091248483,0
SUAG.UK,D,20150430,000000,55.9777,56.0061,55.8129,55.8987,3145.7865087411,0
SUAG.UK,D,20150501,000000,56.6819,56.6819,56.6819,56.6819,69.72408168005,0
SUAG.UK,D,20150505,000000,56.8448,56.8623,56.8311,56.8311,498.32211318389,0
SUAG.UK,D,20150506,000000,56.3005,56.3005,56.2616,56.2616,270.69349358137,0
SUAG.UK,D,20150507,000000,56.2518,56.2518,56.244,56.244,600.85752741925,0
SUAG.UK,D,20150508,000000,55.5827,55.9124,55.5827,55.9124,8000.8383727857,0
SUAG.UK,D,20150511,000000,55.6998,55.7817,54.9927,54.9927,432.69944807325,0
SUAG.UK,D,20150512,000000,54.5841,54.5841,54.4759,54.4759,317.85978412964,0
SUAG.UK,D,20150513,000000,54.6162,54.625,54.5168,54.5431,154.8284754954,0
SUAG.UK,D,20150514,000000,54.2038,54.2038,54.2038,54.2038,19.48172870472,0
