<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VWRA.UK,D,20190726,000000,79.99,80.12,79.99,80.065,110,0
VWRA.UK,D,20190729,000000,80.12,80.27,80,80.035,2811,0
VWRA.UK,D,20190730,000000,79.85,79.85,79.605,79.605,354,0
VWRA.UK,D,20190731,000000,79.79,79.79,79.68,79.7,1516,0
VWRA.UK,D,20190801,000000,79.14,79.635,79.14,79.635,51,0
VWRA.UK,D,20190802,000000,78.63,78.63,77.415,77.415,3309,0
VWRA.UK,D,20190805,000000,77.3,77.3,75.95,75.95,735,0
VWRA.UK,D,20190806,000000,76.07,76.25,75.8,76.01,6528470,0
VWRA.UK,D,20190807,000000,76.61,76.61,75.4,75.85,2035,0
VWRA.UK,D,20190808,000000,77.16,77.38,77.16,77.26,337,0
VWRA.UK,D,20190809,000000,77.53,77.73,76.735,76.735,5154,0
VWRA.UK,D,20190812,000000,77.1,77.1,76.5,76.5,150,0
VWRA.UK,D,20190813,000000,76,77.39,76,77.095,4887,0
VWRA.UK,D,20190814,000000,77.07,77.07,75.5,75.5,106727,0
VWRA.UK,D,20190815,000000,75.78,75.78,75,75.145,3447,0
VWRA.UK,D,20190816,000000,76.06,76.29,76.06,76.19,610,0
VWRA.UK,D,20190819,000000,77.04,77.09,77.01,77.085,503,0
VWRA.UK,D,20190820,000000,76.855,76.855,76.855,76.855,0,0
VWRA.UK,D,20190821,000000,77.2,77.225,76.94,77.225,1026,0
VWRA.UK,D,20190822,000000,77.22,77.35,76.8,76.8,2702,0
VWRA.UK,D,20190823,000000,77.35,77.35,76.18,76.18,335,0
VWRA.UK,D,20190827,000000,76.25,76.63,76.08,76.155,1370,0
VWRA.UK,D,20190828,000000,76,76.37,76,76.37,73,0
VWRA.UK,D,20190829,000000,77.21,77.21,77.125,77.125,272,0
VWRA.UK,D,20190830,000000,77.36,77.84,77.11,77.11,804,0
VWRA.UK,D,20190902,000000,77.33,77.33,77.08,77.08,101435,0
VWRA.UK,D,20190903,000000,76.96,76.96,76.75,76.83,47808,0
VWRA.UK,D,20190904,000000,77.65,77.85,77.63,77.85,23625,0
VWRA.UK,D,20190905,000000,78.41,78.9,78.34,78.815,1564,0
VWRA.UK,D,20190906,000000,78.89,79,78.81,78.98,5172,0
VWRA.UK,D,20190909,000000,79.11,79.24,78.98,79.065,7480,0
VWRA.UK,D,20190910,000000,78.72,78.82,78.695,78.695,1931,0
VWRA.UK,D,20190911,000000,79.28,79.35,79.22,79.35,836,0
VWRA.UK,D,20190912,000000,79.82,79.97,79.75,79.925,20338,0
VWRA.UK,D,20190913,000000,80.22,80.22,80.1,80.195,205,0
VWRA.UK,D,20190916,000000,79.77,79.83,79.6,79.775,329,0
VWRA.UK,D,20190917,000000,79.61,79.77,79.5,79.73,825,0
VWRA.UK,D,20190918,000000,79.8,79.8,79.71,79.71,1374,0
VWRA.UK,D,20190919,000000,79.69,80.28,79.69,80.24,942,0
VWRA.UK,D,20190920,000000,80.15,80.21,80.03,80.03,824,0
VWRA.UK,D,20190923,000000,79.98,79.98,79.4,79.545,8492,0
VWRA.UK,D,20190924,000000,79.76,79.86,79.515,79.515,6596,0
VWRA.UK,D,20190925,000000,79.07,79.08,78.63,78.94,7593,0
VWRA.UK,D,20190926,000000,78.99,78.99,78.955,78.955,100,0
VWRA.UK,D,20190927,000000,79.36,79.45,79.25,79.29,5678,0
VWRA.UK,D,20190930,000000,79.2,79.2,78.94,79.1,1718,0
VWRA.UK,D,20191001,000000,79.41,79.41,78.64,78.64,5106,0
VWRA.UK,D,20191002,000000,78.57,78.57,76.94,76.94,3857,0
VWRA.UK,D,20191003,000000,77.13,77.18,76.72,77.18,2837,0
VWRA.UK,D,20191004,000000,77.54,77.875,77.54,77.875,820,0
VWRA.UK,D,20191007,000000,77.98,78.32,77.98,78.32,229,0
VWRA.UK,D,20191008,000000,78.4,78.4,77.205,77.205,795,0
VWRA.UK,D,20191009,000000,77.31,77.53,77.31,77.53,720,0
VWRA.UK,D,20191010,000000,77.78,78.39,77.78,78.39,100,0
VWRA.UK,D,20191011,000000,79.64,79.74,79.64,79.74,204,0
VWRA.UK,D,20191014,000000,79.47,79.47,79.13,79.14,827,0
VWRA.UK,D,20191015,000000,79.69,79.98,79.42,79.98,2776,0
VWRA.UK,D,20191016,000000,79.95,79.95,79.925,79.925,376,0
VWRA.UK,D,20191017,000000,79.88,80.45,79.87,80.15,7040,0
VWRA.UK,D,20191018,000000,80,80.09,79.95,80.01,16900,0
VWRA.UK,D,20191021,000000,80.11,80.4,80.11,80.295,1656,0
VWRA.UK,D,20191022,000000,80.57,80.57,80.29,80.495,509,0
VWRA.UK,D,20191023,000000,80.12,80.33,80,80.33,3250,0
VWRA.UK,D,20191024,000000,80.78,80.78,80.57,80.57,471,0
VWRA.UK,D,20191025,000000,80.64,80.91,80.48,80.9,694,0
VWRA.UK,D,20191028,000000,81.1,81.32,80.98,81.31,1109,0
VWRA.UK,D,20191029,000000,81.3,81.325,81.1,81.325,2251,0
VWRA.UK,D,20191030,000000,81.29,81.29,80.96,81.175,164,0
VWRA.UK,D,20191031,000000,81.73,81.73,81,81.03,2198,0
VWRA.UK,D,20191101,000000,81.5,81.96,81.42,81.88,1715,0
VWRA.UK,D,20191104,000000,82.38,82.61,82.38,82.455,6027,0
VWRA.UK,D,20191105,000000,82.62,82.68,82.4,82.4,6403,0
VWRA.UK,D,20191106,000000,82.35,82.49,82.345,82.345,4829,0
VWRA.UK,D,20191107,000000,82.91,82.95,82.78,82.83,1573,0
VWRA.UK,D,20191108,000000,82.66,82.66,82.42,82.425,21039,0
VWRA.UK,D,20191111,000000,82.33,82.39,82.15,82.39,13952,0
VWRA.UK,D,20191112,000000,82.58,82.76,82.55,82.735,5371,0
VWRA.UK,D,20191113,000000,82.4,82.4,82.11,82.355,24732,0
VWRA.UK,D,20191114,000000,82.35,82.41,82.3,82.32,1654,0
VWRA.UK,D,20191115,000000,82.7,82.93,82.57,82.93,1041,0
VWRA.UK,D,20191118,000000,83.29,83.29,82.9,83.075,11292,0
VWRA.UK,D,20191119,000000,83.28,83.49,82.99,83.01,1709,0
VWRA.UK,D,20191120,000000,82.71,82.9,82.64,82.9,3199,0
VWRA.UK,D,20191121,000000,82.88,82.88,82.4,82.52,15025,0
VWRA.UK,D,20191122,000000,82.69,82.86,82.54,82.54,3204,0
VWRA.UK,D,20191125,000000,83.09,83.37,83.09,83.305,1045,0
VWRA.UK,D,20191126,000000,83.41,83.43,83.26,83.43,8831,0
VWRA.UK,D,20191127,000000,83.61,83.67,83.525,83.525,3104,0
VWRA.UK,D,20191128,000000,83.7,83.73,83.47,83.585,1882,0
VWRA.UK,D,20191129,000000,83.45,83.51,83.345,83.345,1992,0
VWRA.UK,D,20191202,000000,83.39,83.45,82.63,82.63,3420,0
VWRA.UK,D,20191203,000000,82.89,82.89,81.6,81.85,5339,0
VWRA.UK,D,20191204,000000,82.03,82.83,81.98,82.805,3257,0
VWRA.UK,D,20191205,000000,82.98,83.11,82.73,82.775,985,0
VWRA.UK,D,20191206,000000,83.66,83.66,83.625,83.625,197,0
VWRA.UK,D,20191209,000000,83.69,83.72,83.5,83.59,9711,0
VWRA.UK,D,20191210,000000,83.74,83.74,82.97,83.41,11023,0
VWRA.UK,D,20191211,000000,83.39,83.55,83.37,83.515,464,0
VWRA.UK,D,20191212,000000,83.97,84.55,83.66,84.245,683,0
VWRA.UK,D,20191213,000000,85.04,85.15,84.47,84.53,11874,0
VWRA.UK,D,20191216,000000,85.1,85.5,85,85.455,840,0
VWRA.UK,D,20191217,000000,85.65,85.65,85.28,85.385,3637,0
VWRA.UK,D,20191218,000000,85.3,85.49,85.3,85.425,1688,0
VWRA.UK,D,20191219,000000,85.4,85.48,85.3,85.465,4098,0
VWRA.UK,D,20191220,000000,85.62,85.96,85.62,85.91,371,0
VWRA.UK,D,20191223,000000,86.2,86.2,85.85,85.93,4223,0
VWRA.UK,D,20191224,000000,86,86.06,85.95,86.005,907,0
VWRA.UK,D,20191227,000000,86.37,86.74,86.37,86.52,694,0
VWRA.UK,D,20191230,000000,86.68,86.68,86.05,86.09,3314,0
VWRA.UK,D,20191231,000000,86.12,86.12,85.935,85.935,4272,0
VWRA.UK,D,20200102,000000,86.71,86.9,86.6,86.695,7047,0
VWRA.UK,D,20200103,000000,86.27,86.4,85.54,86.375,1455,0
VWRA.UK,D,20200106,000000,86.1,86.36,85.66,86.205,6049,0
VWRA.UK,D,20200107,000000,86.57,86.76,86.25,86.485,4633,0
VWRA.UK,D,20200108,000000,86.1,86.55,85.98,86.5,20404,0
VWRA.UK,D,20200109,000000,87.16,87.16,86.99,86.99,4602,0
VWRA.UK,D,20200110,000000,87.29,87.39,87.09,87.14,6504,0
VWRA.UK,D,20200113,000000,87.37,87.37,87.1,87.265,6056,0
VWRA.UK,D,20200114,000000,87.43,87.56,87.37,87.52,663,0
VWRA.UK,D,20200115,000000,87.58,87.7,87.39,87.63,2001,0
VWRA.UK,D,20200116,000000,88.09,88.09,87.8,87.835,5203,0
VWRA.UK,D,20200117,000000,88.55,88.55,88.2,88.285,2353,0
VWRA.UK,D,20200120,000000,88.24,88.26,88.16,88.25,5241,0
VWRA.UK,D,20200121,000000,87.79,88.1,87.6,88.065,6596,0
VWRA.UK,D,20200122,000000,88.21,88.39,88.15,88.15,4359,0
VWRA.UK,D,20200123,000000,87.92,87.92,87.36,87.36,43398,0
VWRA.UK,D,20200124,000000,88.22,88.24,87.665,87.665,1093,0
VWRA.UK,D,20200127,000000,86.43,86.43,85.5,85.56,11356,0
VWRA.UK,D,20200128,000000,86.09,86.49,85.65,86.455,1843,0
VWRA.UK,D,20200129,000000,86.69,86.85,86.4,86.705,4988,0
VWRA.UK,D,20200130,000000,85.64,85.95,85.5,85.735,7330,0
VWRA.UK,D,20200131,000000,86.14,86.2,85.115,85.115,3965,0
VWRA.UK,D,20200203,000000,85.78,85.78,85.17,85.525,2543,0
VWRA.UK,D,20200204,000000,86.01,87,86.01,87,25252,0
VWRA.UK,D,20200205,000000,86.73,87.72,86.73,87.51,7554,0
VWRA.UK,D,20200206,000000,88.38,88.38,87.8,88.025,5161,0
VWRA.UK,D,20200207,000000,87.87,87.9,87.48,87.61,9079,0
VWRA.UK,D,20200210,000000,87.4,87.59,87.17,87.525,8419,0
VWRA.UK,D,20200211,000000,88.09,88.6,88.09,88.405,2908,0
VWRA.UK,D,20200212,000000,88.42,88.69,88.42,88.68,1844,0
VWRA.UK,D,20200213,000000,88.2,88.5,87.91,88.495,6217,0
VWRA.UK,D,20200214,000000,88.68,88.68,88.42,88.425,2884,0
VWRA.UK,D,20200217,000000,88.73,88.76,88.6,88.605,1966,0
VWRA.UK,D,20200218,000000,87.95,88.22,87.855,87.855,5443,0
VWRA.UK,D,20200219,000000,88.53,88.655,88.35,88.655,2658,0
VWRA.UK,D,20200220,000000,88.55,88.56,87.93,87.93,15156,0
VWRA.UK,D,20200221,000000,87.6,87.75,87.2,87.5,13494,0
VWRA.UK,D,20200224,000000,85.65,85.65,84.33,84.68,15019,0
VWRA.UK,D,20200225,000000,83.455,83.455,83.455,83.455,0,0
VWRA.UK,D,20200226,000000,82.86,83.54,81.5,83.33,23391,0
VWRA.UK,D,20200227,000000,82,82,79.8,80.585,14020,0
VWRA.UK,D,20200228,000000,78.17,78.52,76.26,77.2,18650,0
VWRA.UK,D,20200302,000000,79.6,80.03,77.3,79.52,81282,0
VWRA.UK,D,20200303,000000,80.77,82.64,80.03,80.61,14420,0
VWRA.UK,D,20200304,000000,80.57,81.31,80.32,80.775,7628,0
VWRA.UK,D,20200305,000000,81.58,81.58,80.19,80.82,6924,0
VWRA.UK,D,20200306,000000,79.19,79.24,77.49,78.25,18312,0
VWRA.UK,D,20200309,000000,78,78,72.74,73.91,34372,0
VWRA.UK,D,20200310,000000,74.92,76.43,72.77,72.88,154196,0
VWRA.UK,D,20200311,000000,74,74.3,72.75,72.875,26913,0
VWRA.UK,D,20200312,000000,69.35,69.75,65,65.57,21412,0
VWRA.UK,D,20200313,000000,67,69.38,65.23,65.625,84562,0
VWRA.UK,D,20200316,000000,65.16,65.16,61.5,64.37,18078,0
VWRA.UK,D,20200317,000000,65.15,65.15,61.92,64.44,16419,0
VWRA.UK,D,20200318,000000,62.13,62.96,60.93,61.28,66934,0
VWRA.UK,D,20200319,000000,60.95,62.21,60,61.91,36268,0
VWRA.UK,D,20200320,000000,64.32,64.97,61.72,61.72,15216,0
VWRA.UK,D,20200323,000000,58.73,61.63,58.09,58.87,52531,0
VWRA.UK,D,20200324,000000,62.05,64.05,61.7,64.05,4565,0
VWRA.UK,D,20200325,000000,65.55,66.36,63.57,66.015,16613,0
VWRA.UK,D,20200326,000000,65.87,68.28,64.4,68.28,15946,0
VWRA.UK,D,20200327,000000,67.62,67.95,66.02,66.585,28575,0
VWRA.UK,D,20200330,000000,67.13,67.81,65.71,67.81,8156,0
VWRA.UK,D,20200331,000000,68.42,68.72,67.31,68.72,14954,0
VWRA.UK,D,20200401,000000,65.82,66.08,65.21,65.65,69146,0
VWRA.UK,D,20200402,000000,65.93,66.06,64.5,65.755,54657,0
VWRA.UK,D,20200403,000000,65.78,65.96,65.145,65.145,60641,0
VWRA.UK,D,20200406,000000,67.44,68.075,67.44,68.075,33776,0
VWRA.UK,D,20200407,000000,70.15,71.31,69.95,70.505,18291,0
VWRA.UK,D,20200408,000000,69.19,70.27,68.86,70.16,9475,0
VWRA.UK,D,20200409,000000,71.55,72.25,70.25,71.955,17516,0
VWRA.UK,D,20200414,000000,72.53,73.13,72.15,72.57,37345,0
VWRA.UK,D,20200415,000000,72.96,72.96,70.97,71.145,15266,0
VWRA.UK,D,20200416,000000,72.08,72.08,71,71.44,5130,0
VWRA.UK,D,20200417,000000,73.54,73.69,72.685,72.685,3606,0
VWRA.UK,D,20200420,000000,73.4,73.4,72.2,73.25,8984,0
VWRA.UK,D,20200421,000000,72.17,72.17,70.33,70.33,13131,0
VWRA.UK,D,20200422,000000,71.18,71.81,71.18,71.72,3462,0
VWRA.UK,D,20200423,000000,72.17,72.95,71.71,72.86,22560,0
VWRA.UK,D,20200424,000000,71.59,72.33,71.36,71.73,9498,0
VWRA.UK,D,20200427,000000,73.16,73.515,73.16,73.515,13917,0
VWRA.UK,D,20200428,000000,73.57,75,73.52,74.09,10947,0
VWRA.UK,D,20200429,000000,74.53,75.56,74.4,75.335,21906,0
VWRA.UK,D,20200430,000000,76.1,76.17,74.73,74.91,37805,0
VWRA.UK,D,20200501,000000,73.44,73.44,72.85,72.85,16942,0
VWRA.UK,D,20200504,000000,72.53,72.53,71.78,72.31,8288,0
VWRA.UK,D,20200505,000000,73.36,73.96,73,73.89,5913,0
VWRA.UK,D,20200506,000000,74.02,74.15,73.32,73.365,6447,0
VWRA.UK,D,20200507,000000,73.55,74.05,73.4,73.97,4363,0
VWRA.UK,D,20200511,000000,75.52,75.65,74.5,75.04,21730,0
VWRA.UK,D,20200512,000000,74.63,75.48,74.63,75.21,5864,0
VWRA.UK,D,20200513,000000,74.16,74.42,73.4,73.45,9490,0
VWRA.UK,D,20200514,000000,72.58,72.89,71.36,72.36,12358,0
VWRA.UK,D,20200515,000000,73.14,73.55,72.69,72.75,10029,0
VWRA.UK,D,20200518,000000,74.17,75.83,74.1,75.83,18535,0
VWRA.UK,D,20200519,000000,76.54,76.54,75.45,75.915,4958,0
VWRA.UK,D,20200520,000000,75.49,76.68,75.48,76.68,7251,0
VWRA.UK,D,20200521,000000,75.87,76.42,75.5,75.64,20279,0
VWRA.UK,D,20200522,000000,74.82,75.56,74.57,75.3,20988,0
VWRA.UK,D,20200526,000000,77.28,77.63,77.15,77.405,8732,0
VWRA.UK,D,20200527,000000,77.53,78.26,76.5,77.05,14504,0
VWRA.UK,D,20200528,000000,78.42,78.73,78,78.67,10889,0
VWRA.UK,D,20200529,000000,78.01,78.28,77.5,77.65,21985,0
VWRA.UK,D,20200601,000000,79.12,79.23,78.49,78.875,26029,0
VWRA.UK,D,20200602,000000,79.26,80,79.03,79.66,31174,0
VWRA.UK,D,20200603,000000,80.53,81.5,80.48,81.48,32570,0
VWRA.UK,D,20200604,000000,81.01,81.53,80.74,81.13,17946,0
VWRA.UK,D,20200605,000000,81.99,83.45,81.8,83.45,9802,0
VWRA.UK,D,20200608,000000,82.93,83.48,82.85,83.39,29929,0
VWRA.UK,D,20200609,000000,83.74,83.85,82.68,83.27,43979,0
VWRA.UK,D,20200610,000000,83.52,83.76,82.79,83.02,5871,0
VWRA.UK,D,20200611,000000,81.73,81.73,80.15,80.15,13047,0
VWRA.UK,D,20200612,000000,79.06,80.61,78.6,79.27,57746,0
VWRA.UK,D,20200615,000000,77.31,78.85,77.19,78.79,10004,0
VWRA.UK,D,20200616,000000,80.79,82.24,80.75,81.23,30504,0
VWRA.UK,D,20200617,000000,81.28,82.04,81.14,81.31,3671,0
VWRA.UK,D,20200618,000000,81.26,81.53,80.56,81.17,3846,0
VWRA.UK,D,20200619,000000,81.71,82.06,81.48,81.62,7382,0
VWRA.UK,D,20200622,000000,80.77,81.32,80.53,81.075,31612,0
VWRA.UK,D,20200623,000000,81.79,82.56,81.72,82.395,19854,0
VWRA.UK,D,20200624,000000,82.01,82.12,80,80,12647,0
VWRA.UK,D,20200625,000000,79.7,80.22,79.1,79.82,8335,0
VWRA.UK,D,20200626,000000,80.74,80.87,79.29,79.49,9892,0
VWRA.UK,D,20200629,000000,79.5,79.93,79,79.85,25067,0
VWRA.UK,D,20200630,000000,80.08,80.58,79.79,80.515,6345,0
VWRA.UK,D,20200701,000000,80.7,81.42,80.11,80.845,225703,0
VWRA.UK,D,20200702,000000,81.69,82.64,81.65,82.07,7126,0
VWRA.UK,D,20200703,000000,82.4,82.4,81.69,81.715,3557,0
VWRA.UK,D,20200706,000000,83,83.66,83,83.55,5879,0
VWRA.UK,D,20200707,000000,83.21,83.41,82.53,83.355,7677,0
VWRA.UK,D,20200708,000000,82.69,83.16,82.47,82.62,4982,0
VWRA.UK,D,20200709,000000,83.49,83.57,82.06,82.22,8015,0
VWRA.UK,D,20200710,000000,82.16,83.06,82.13,83.005,6724,0
VWRA.UK,D,20200713,000000,83.89,84.57,83.75,84.53,11222,0
VWRA.UK,D,20200714,000000,83.16,83.21,82.39,83.04,8408,0
VWRA.UK,D,20200715,000000,84,84.95,84,84.595,12227,0
VWRA.UK,D,20200716,000000,83.97,84.12,83.61,83.95,19450,0
VWRA.UK,D,20200717,000000,84.04,84.4,83.9,84.27,4760,0
VWRA.UK,D,20200720,000000,84.08,84.84,83.79,84.775,7896,0
VWRA.UK,D,20200721,000000,85.67,86.02,85.58,85.745,22769,0
VWRA.UK,D,20200722,000000,85.61,85.7,84.74,85.43,7606,0
VWRA.UK,D,20200723,000000,86.02,86.17,85.43,85.685,39461,0
VWRA.UK,D,20200724,000000,84.26,84.63,84,84.465,33039,0
VWRA.UK,D,20200727,000000,84.81,85.15,84.46,84.86,6815,0
VWRA.UK,D,20200728,000000,85.18,85.21,84.75,85.08,96845,0
VWRA.UK,D,20200729,000000,84.93,85.38,84.93,85.38,51874,0
VWRA.UK,D,20200730,000000,85.27,85.27,83.92,84.38,210159,0
VWRA.UK,D,20200731,000000,85.19,85.39,84.25,84.46,13559,0
VWRA.UK,D,20200803,000000,84.94,85.72,84.63,85.61,26556,0
VWRA.UK,D,20200804,000000,86.12,86.19,85.43,85.865,9470,0
VWRA.UK,D,20200805,000000,86.5,86.91,86.5,86.9,8800,0
VWRA.UK,D,20200806,000000,86.78,86.9,86.19,86.49,12792,0
VWRA.UK,D,20200807,000000,86.57,86.8,86.44,86.625,8701,0
VWRA.UK,D,20200810,000000,86.87,86.99,86.38,86.61,13118,0
VWRA.UK,D,20200811,000000,87.15,87.98,87.15,87.64,11620,0
VWRA.UK,D,20200812,000000,87.19,88.17,87.19,88.09,10167,0
VWRA.UK,D,20200813,000000,88,88.21,87.81,88.04,8662,0
VWRA.UK,D,20200814,000000,87.97,87.97,87.24,87.77,6044,0
VWRA.UK,D,20200817,000000,87.92,88.24,87.73,88.19,15667,0
VWRA.UK,D,20200818,000000,88.12,88.52,87.95,88.22,4374,0
VWRA.UK,D,20200819,000000,88.37,88.61,88.22,88.5,5350,0
VWRA.UK,D,20200820,000000,87.39,87.62,87.13,87.595,10895,0
VWRA.UK,D,20200821,000000,88.09,88.26,87.28,87.775,6705,0
