<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VWRP.UK,D,20190726,000000,64.51,64.645,64.51,64.645,1,0
VWRP.UK,D,20190729,000000,65,65.46,65,65.46,51,0
VWRP.UK,D,20190730,000000,65.49,65.49,65.49,65.49,0,0
VWRP.UK,D,20190731,000000,65.195,65.195,65.195,65.195,0,0
VWRP.UK,D,20190801,000000,65.615,65.615,65.615,65.615,0,0
VWRP.UK,D,20190802,000000,64.38,64.38,63.9,63.9,911,0
VWRP.UK,D,20190805,000000,63.02,63.02,62.535,62.535,5,0
VWRP.UK,D,20190806,000000,62.13,62.275,62.13,62.275,560,0
VWRP.UK,D,20190807,000000,62.4,62.4,62.37,62.37,97,0
VWRP.UK,D,20190808,000000,63.655,63.655,63.655,63.655,0,0
VWRP.UK,D,20190809,000000,64.13,64.13,63.485,63.485,15,0
VWRP.UK,D,20190812,000000,63.4,63.4,63.375,63.375,400,0
VWRP.UK,D,20190813,000000,62.99,63.95,62.99,63.915,1063,0
VWRP.UK,D,20190814,000000,62.85,62.85,62.62,62.62,604,0
VWRP.UK,D,20190815,000000,63.1,63.1,62.055,62.055,761,0
VWRP.UK,D,20190816,000000,62.73,62.73,62.73,62.73,0,0
VWRP.UK,D,20190819,000000,63.51,63.51,63.51,63.51,0,0
VWRP.UK,D,20190820,000000,63.71,63.71,63.245,63.245,30,0
VWRP.UK,D,20190821,000000,63.62,63.62,63.62,63.62,0,0
VWRP.UK,D,20190822,000000,63.5,63.5,62.73,62.73,1681,0
VWRP.UK,D,20190823,000000,62.075,62.075,62.075,62.075,0,0
VWRP.UK,D,20190827,000000,62.33,62.33,61.96,61.96,1406,0
VWRP.UK,D,20190828,000000,62,62.4,62,62.4,40,0
VWRP.UK,D,20190829,000000,63.18,63.255,62,63.255,3,0
VWRP.UK,D,20190830,000000,63.29,63.29,63.29,63.29,0,0
VWRP.UK,D,20190902,000000,63.89,63.89,63.89,63.89,0,0
