<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRES.UK,D,20160222,000000,13.1225,13.1225,13.1225,13.1225,0,0
XRES.UK,D,20160223,000000,13.0975,13.0975,13.0975,13.0975,0,0
XRES.UK,D,20160224,000000,12.9725,12.9725,12.9725,12.9725,0,0
XRES.UK,D,20160225,000000,13.2125,13.2125,13.2125,13.2125,0,0
XRES.UK,D,20160226,000000,13.2875,13.2875,13.2875,13.2875,0,0
XRES.UK,D,20160229,000000,13.3875,13.3875,13.3875,13.3875,0,0
XRES.UK,D,20160301,000000,13.495,13.495,13.495,13.495,0,0
XRES.UK,D,20160302,000000,13.6,13.6275,13.595,13.6275,39000,0
XRES.UK,D,20160303,000000,13.705,13.705,13.6125,13.6125,2330,0
XRES.UK,D,20160304,000000,13.785,13.785,13.7525,13.7525,17000,0
XRES.UK,D,20160307,000000,13.665,13.805,13.665,13.805,76500,0
XRES.UK,D,20160308,000000,13.68,13.8,13.655,13.695,129500,0
XRES.UK,D,20160309,000000,13.765,13.78,13.72,13.78,17000,0
XRES.UK,D,20160310,000000,13.79,13.87,13.69,13.69,311492,0
XRES.UK,D,20160311,000000,13.845,13.9025,13.84,13.9025,119000,0
XRES.UK,D,20160314,000000,14.03,14.055,13.9675,13.9675,76500,0
XRES.UK,D,20160315,000000,13.965,14.005,13.945,14.005,102000,0
XRES.UK,D,20160316,000000,13.97,14.05,13.955,14.05,110500,0
XRES.UK,D,20160317,000000,14.19,14.36,14.15,14.36,85000,0
XRES.UK,D,20160318,000000,14.395,14.44,14.395,14.44,25500,0
XRES.UK,D,20160321,000000,14.28,14.28,14.28,14.28,0,0
XRES.UK,D,20160322,000000,14.18,14.245,14.175,14.245,231000,0
XRES.UK,D,20160323,000000,14.245,14.29,14.235,14.2525,76500,0
XRES.UK,D,20160324,000000,14.13,14.135,14.105,14.105,25500,0
XRES.UK,D,20160329,000000,14.375,14.375,14.375,14.375,0,0
XRES.UK,D,20160330,000000,14.665,14.695,14.5475,14.5475,152000,0
XRES.UK,D,20160331,000000,14.5,14.5925,14.49,14.5925,102000,0
XRES.UK,D,20160401,000000,14.555,14.62,14.55,14.5775,131005,0
XRES.UK,D,20160404,000000,14.655,14.655,14.655,14.655,0,0
XRES.UK,D,20160405,000000,14.6,14.63,14.555,14.5825,136000,0
XRES.UK,D,20160406,000000,14.535,14.5775,14.535,14.5775,34000,0
XRES.UK,D,20160407,000000,14.495,14.495,14.495,14.495,0,0
XRES.UK,D,20160408,000000,14.605,14.6475,14.575,14.6475,22000,0
XRES.UK,D,20160411,000000,14.59,14.59,14.59,14.59,0,0
XRES.UK,D,20160412,000000,14.575,14.5925,14.575,14.5925,8500,0
XRES.UK,D,20160413,000000,14.75,14.75,14.615,14.615,34000,0
XRES.UK,D,20160414,000000,14.61,14.62,14.495,14.4975,59500,0
XRES.UK,D,20160415,000000,14.485,14.565,14.485,14.565,17000,0
XRES.UK,D,20160418,000000,14.55,14.5825,14.55,14.5825,8500,0
XRES.UK,D,20160419,000000,14.725,14.735,14.6525,14.6525,76500,0
XRES.UK,D,20160420,000000,14.65,14.65,14.56,14.5675,25500,0
XRES.UK,D,20160421,000000,14.4425,14.4425,14.4425,14.4425,0,0
XRES.UK,D,20160422,000000,14.265,14.295,14.23,14.295,51000,0
XRES.UK,D,20160425,000000,14.32,14.41,14.315,14.38,42500,0
XRES.UK,D,20160426,000000,14.565,14.57,14.475,14.545,110500,0
XRES.UK,D,20160427,000000,14.55,14.55,14.3525,14.3525,25500,0
XRES.UK,D,20160428,000000,14.28,14.45,14.28,14.45,127500,0
XRES.UK,D,20160429,000000,14.375,14.375,14.2075,14.2075,42500,0
XRES.UK,D,20160503,000000,14.4,14.425,14.395,14.395,34000,0
XRES.UK,D,20160504,000000,14.445,14.635,14.4,14.635,127500,0
XRES.UK,D,20160505,000000,14.75,14.75,14.6925,14.6925,25500,0
XRES.UK,D,20160506,000000,14.675,14.705,14.67,14.705,17000,0
XRES.UK,D,20160509,000000,14.84,14.9075,14.84,14.9075,8500,0
XRES.UK,D,20160510,000000,14.9725,14.9725,14.9725,14.9725,0,0
XRES.UK,D,20160511,000000,14.7175,14.7175,14.7175,14.7175,0,0
XRES.UK,D,20160512,000000,14.75,14.75,14.6275,14.6275,51000,0
XRES.UK,D,20160513,000000,14.72,14.755,14.67,14.67,25500,0
XRES.UK,D,20160516,000000,14.7775,14.7775,14.7775,14.7775,0,0
XRES.UK,D,20160517,000000,14.595,14.595,14.595,14.595,0,0
XRES.UK,D,20160518,000000,14.3625,14.3625,14.3625,14.3625,0,0
XRES.UK,D,20160519,000000,14.205,14.215,14.11,14.11,76500,0
XRES.UK,D,20160520,000000,14.22,14.245,14.215,14.245,17000,0
XRES.UK,D,20160523,000000,14.225,14.315,14.225,14.285,25500,0
XRES.UK,D,20160524,000000,14.315,14.4,14.315,14.3925,42500,0
XRES.UK,D,20160525,000000,14.485,14.5,14.335,14.4225,51000,0
XRES.UK,D,20160526,000000,14.445,14.465,14.445,14.455,34000,0
XRES.UK,D,20160527,000000,14.5175,14.5175,14.5175,14.5175,0,0
XRES.UK,D,20160531,000000,14.54,14.54,14.4725,14.4725,8500,0
XRES.UK,D,20160601,000000,14.465,14.4975,14.455,14.4975,51000,0
XRES.UK,D,20160602,000000,14.475,14.475,14.4725,14.4725,1000,0
XRES.UK,D,20160603,000000,14.55,14.64,14.55,14.5675,25500,0
XRES.UK,D,20160606,000000,14.63,14.645,14.47,14.47,17000,0
XRES.UK,D,20160607,000000,14.6375,14.6375,14.6375,14.6375,0,0
XRES.UK,D,20160608,000000,14.615,14.615,14.5875,14.5875,34000,0
XRES.UK,D,20160609,000000,14.625,14.6875,14.625,14.6875,25500,0
XRES.UK,D,20160610,000000,14.635,14.6575,14.635,14.6575,17000,0
XRES.UK,D,20160613,000000,14.585,14.6875,14.585,14.6875,59500,0
XRES.UK,D,20160614,000000,14.6,14.6025,14.6,14.6025,8500,0
XRES.UK,D,20160615,000000,14.61,14.61,14.61,14.61,0,0
XRES.UK,D,20160616,000000,14.7325,14.7325,14.7325,14.7325,0,0
XRES.UK,D,20160617,000000,14.655,14.655,14.655,14.655,0,0
XRES.UK,D,20160620,000000,14.885,14.905,14.82,14.905,43500,0
XRES.UK,D,20160621,000000,14.89,14.89,14.855,14.855,3500,0
XRES.UK,D,20160622,000000,14.86,14.8675,14.86,14.8675,8500,0
XRES.UK,D,20160623,000000,14.94,14.94,14.94,14.94,0,0
XRES.UK,D,20160624,000000,14.565,14.8725,14.565,14.8725,68067,0
XRES.UK,D,20160627,000000,14.665,14.665,14.585,14.595,57650,0
XRES.UK,D,20160628,000000,14.765,14.9325,14.765,14.9325,17000,0
XRES.UK,D,20160629,000000,15.18,15.225,15.18,15.225,8500,0
XRES.UK,D,20160630,000000,15.33,15.355,15.27,15.27,34000,0
XRES.UK,D,20160701,000000,15.405,15.46,15.405,15.455,42592,0
XRES.UK,D,20160704,000000,15.56,15.56,15.375,15.375,34000,0
XRES.UK,D,20160705,000000,15.355,15.505,15.355,15.505,51000,0
XRES.UK,D,20160706,000000,15.425,15.425,15.425,15.425,0,0
XRES.UK,D,20160707,000000,15.33,15.33,15.33,15.33,0,0
XRES.UK,D,20160708,000000,15.53,15.53,15.53,15.53,0,0
XRES.UK,D,20160711,000000,15.53,15.6225,15.53,15.6225,8500,0
XRES.UK,D,20160712,000000,15.675,15.695,15.655,15.655,34000,0
XRES.UK,D,20160713,000000,15.725,15.7725,15.725,15.7725,42500,0
XRES.UK,D,20160714,000000,15.78,15.88,15.735,15.735,111500,0
XRES.UK,D,20160715,000000,15.72,15.72,15.5925,15.5925,25500,0
XRES.UK,D,20160718,000000,15.675,15.68,15.655,15.655,17000,0
XRES.UK,D,20160719,000000,15.655,15.655,15.655,15.655,0,0
XRES.UK,D,20160720,000000,15.705,15.705,15.705,15.705,0,0
XRES.UK,D,20160721,000000,15.69,15.7225,15.69,15.7225,22739,0
XRES.UK,D,20160722,000000,15.795,15.8525,15.765,15.8525,76500,0
XRES.UK,D,20160725,000000,15.845,15.915,15.8075,15.8075,9500,0
XRES.UK,D,20160726,000000,15.7725,15.7725,15.7725,15.7725,0,0
XRES.UK,D,20160727,000000,15.77,15.785,15.6775,15.6775,34000,0
XRES.UK,D,20160728,000000,15.6625,15.6625,15.6625,15.6625,0,0
XRES.UK,D,20160729,000000,15.915,15.915,15.915,15.915,0,0
XRES.UK,D,20160801,000000,15.87,15.9375,15.87,15.9375,42500,0
XRES.UK,D,20160802,000000,15.9,15.9,15.77,15.77,17000,0
XRES.UK,D,20160803,000000,15.615,15.615,15.615,15.615,0,0
XRES.UK,D,20160804,000000,15.64,15.64,15.5725,15.5725,25500,0
XRES.UK,D,20160805,000000,15.605,15.605,15.605,15.605,0,0
XRES.UK,D,20160808,000000,15.525,15.66,15.525,15.66,34000,0
XRES.UK,D,20160809,000000,15.6425,15.6425,15.6425,15.6425,0,0
XRES.UK,D,20160810,000000,15.71,15.71,15.6775,15.6775,8500,0
XRES.UK,D,20160811,000000,15.5125,15.5125,15.5125,15.5125,0,0
XRES.UK,D,20160812,000000,15.5,15.6275,15.495,15.6275,85000,0
XRES.UK,D,20160815,000000,15.565,15.565,15.565,15.565,0,0
XRES.UK,D,20160816,000000,15.485,15.515,15.355,15.355,76500,0
XRES.UK,D,20160817,000000,15.33,15.33,15.2475,15.2475,8500,0
XRES.UK,D,20160818,000000,15.3925,15.3925,15.3925,15.3925,0,0
XRES.UK,D,20160819,000000,15.21,15.21,15.21,15.21,0,0
XRES.UK,D,20160822,000000,15.24,15.24,15.24,15.24,17000,0
XRES.UK,D,20160823,000000,15.365,15.365,15.365,15.365,0,0
XRES.UK,D,20160824,000000,15.22,15.22,15.22,15.22,0,0
XRES.UK,D,20160825,000000,15.4025,15.4025,15.4025,15.4025,0,0
XRES.UK,D,20160826,000000,15.3675,15.3675,15.3675,15.3675,0,0
XRES.UK,D,20160830,000000,15.345,15.345,15.225,15.225,1000,0
XRES.UK,D,20160831,000000,15.275,15.3025,15.27,15.3025,17000,0
XRES.UK,D,20160901,000000,15.33,15.33,15.26,15.26,34000,0
XRES.UK,D,20160902,000000,15.3575,15.3575,15.3575,15.3575,0,0
XRES.UK,D,20160905,000000,15.37,15.38,15.36,15.36,212058,0
XRES.UK,D,20160906,000000,15.385,15.4375,15.385,15.4375,17000,0
XRES.UK,D,20160907,000000,15.54,15.54,15.54,15.54,0,0
XRES.UK,D,20160908,000000,15.46,15.46,15.46,15.46,0,0
XRES.UK,D,20160909,000000,15.29,15.29,15,15.02,81500,0
XRES.UK,D,20160912,000000,14.725,14.8375,14.7,14.8375,35500,0
XRES.UK,D,20160913,000000,14.935,14.94,14.6925,14.6925,42500,0
XRES.UK,D,20160914,000000,14.67,14.69,14.67,14.69,8500,0
XRES.UK,D,20160915,000000,14.66,14.7325,14.63,14.7325,59500,0
XRES.UK,D,20160916,000000,14.71,14.715,14.65,14.6575,76500,0
XRES.UK,D,20160919,000000,14.785,14.79,14.785,14.79,8500,0
XRES.UK,D,20160920,000000,14.935,14.94,14.87,14.87,35000,0
XRES.UK,D,20160921,000000,14.845,14.845,14.77,14.77,17000,0
XRES.UK,D,20160922,000000,15.11,15.2125,15.11,15.2125,8500,0
XRES.UK,D,20160923,000000,15.275,15.3325,15.275,15.3325,17000,0
XRES.UK,D,20160926,000000,15.305,15.345,15.28,15.325,76500,0
XRES.UK,D,20160927,000000,15.42,15.42,15.3425,15.3425,25500,0
XRES.UK,D,20160928,000000,15.24,15.24,15.24,15.24,0,0
XRES.UK,D,20160929,000000,15.165,15.2625,15.165,15.2625,8500,0
XRES.UK,D,20160930,000000,15.165,15.165,15.165,15.165,0,0
XRES.UK,D,20161003,000000,15.03,15.03,14.8575,14.8575,60500,0
XRES.UK,D,20161004,000000,14.86,14.86,14.68,14.68,43500,0
XRES.UK,D,20161005,000000,14.58,14.58,14.3175,14.3175,23659,0
XRES.UK,D,20161006,000000,14.265,14.275,14.19,14.275,68000,0
XRES.UK,D,20161007,000000,14.33,14.52,14.3075,14.3075,34000,0
XRES.UK,D,20161010,000000,14.34,14.395,14.315,14.395,123500,0
XRES.UK,D,20161011,000000,14.315,14.315,14.2725,14.2725,8500,0
XRES.UK,D,20161012,000000,14.255,14.3375,14.25,14.3375,68000,0
XRES.UK,D,20161013,000000,14.33,14.4525,14.33,14.4525,52000,0
XRES.UK,D,20161014,000000,14.505,14.53,14.4875,14.4875,42500,0
XRES.UK,D,20161017,000000,14.4975,14.4975,14.4975,14.4975,0,0
XRES.UK,D,20161018,000000,14.6125,14.6125,14.6125,14.6125,0,0
XRES.UK,D,20161019,000000,14.58,14.595,14.58,14.595,8500,0
XRES.UK,D,20161020,000000,14.5025,14.5025,14.5025,14.5025,0,0
XRES.UK,D,20161021,000000,14.51,14.535,14.455,14.535,85000,0
