<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XUSE.UK,D,20250428,000000,4.034,4.034,4.034,4.034,801,0
XUSE.UK,D,20250429,000000,4.0375,4.0375,4.0145,4.0145,20360,0
XUSE.UK,D,20250430,000000,4.044,4.044,4.014,4.016,27277,0
XUSE.UK,D,20250501,000000,4.085,4.085,4.085,4.085,14797,0
XUSE.UK,D,20250502,000000,4.097,4.097,4.097,4.097,20554,0
XUSE.UK,D,20250506,000000,4.0915,4.0995,4.0905,4.0995,52860,0
XUSE.UK,D,20250507,000000,4.1055,4.1055,4.104,4.104,34039,0
XUSE.UK,D,20250508,000000,4.125,4.125,4.0985,4.1065,12277,0
XUSE.UK,D,20250509,000000,4.1245,4.125,4.1241,4.125,8828,0
XUSE.UK,D,20250512,000000,4.174,4.174,4.1523,4.1523,3396,0
XUSE.UK,D,20250513,000000,4.1407,4.159,4.1407,4.159,412831,0
XUSE.UK,D,20250514,000000,4.1455,4.1455,4.1335,4.136,8898,0
XUSE.UK,D,20250515,000000,4.136,4.136,4.1355,4.1355,1039,0
XUSE.UK,D,20250516,000000,4.1771,4.187,4.1705,4.1795,10241,0
XUSE.UK,D,20250519,000000,4.1685,4.178,4.147,4.178,6230,0
XUSE.UK,D,20250520,000000,4.191,4.215,4.18909,4.2145,12150,0
XUSE.UK,D,20250521,000000,4.2015,4.21,4.1965,4.207,17927,0
XUSE.UK,D,20250522,000000,4.1945,4.1945,4.149,4.1675,18042,0
XUSE.UK,D,20250523,000000,4.1911,4.1911,4.1245,4.1295,16775,0
XUSE.UK,D,20250527,000000,4.064,4.2095,4.064,4.2095,4028,0
XUSE.UK,D,20250528,000000,4.2095,4.2095,4.1765,4.1875,7483,0
XUSE.UK,D,20250529,000000,4.221,4.221,2.578,4.1875,35139,0
XUSE.UK,D,20250530,000000,4.2145,4.2145,4.189,4.196,66300,0
XUSE.UK,D,20250602,000000,4.195,4.2055,4.181,4.203,5414,0
XUSE.UK,D,20250603,000000,4.2105,4.2105,4.1835,4.1975,2271,0
XUSE.UK,D,20250604,000000,4.23,4.23,4.1865,4.2102,2243,0
XUSE.UK,D,20250605,000000,4.204,4.23,4.2,4.23,34002,0
XUSE.UK,D,20250606,000000,4.222,4.2365,4.214,4.2305,42358,0
XUSE.UK,D,20250609,000000,4.239,4.239,4.224,4.225,2915,0
XUSE.UK,D,20250610,000000,4.246,4.2535,4.23177,4.24,58394,0
XUSE.UK,D,20250611,000000,4.248,4.2505,4.23966,4.2455,8742,0
XUSE.UK,D,20250612,000000,4.24,4.248,4.21213,4.2386,59874,0
XUSE.UK,D,20250613,000000,4.23,4.23,4.197,4.2107,8091,0
XUSE.UK,D,20250616,000000,4.2207,4.2405,4.2175,4.235,19237,0
XUSE.UK,D,20250617,000000,4.2075,4.212,4.1985,4.2075,34741,0
XUSE.UK,D,20250618,000000,4.232,4.232,4.2134,4.22,50406,0
XUSE.UK,D,20250619,000000,4.2235,4.2235,4.166,4.166,11687,0
XUSE.UK,D,20250620,000000,4.1,4.2055,4.1,4.166,72608,0
XUSE.UK,D,20250623,000000,4.177,4.186,4.1635,4.173,37076,0
XUSE.UK,D,20250624,000000,4.2191,4.225,4.185,4.1965,85618,0
XUSE.UK,D,20250625,000000,4.21,4.21,4.168,4.17,6252,0
XUSE.UK,D,20250626,000000,4.187,4.187,4.1682,4.1785,16416,0
XUSE.UK,D,20250627,000000,4.2095,4.233,4.2015,4.225,46999,0
XUSE.UK,D,20250630,000000,4.245,4.245,4.2185,4.2272,112380,0
XUSE.UK,D,20250701,000000,4.2335,4.2335,4.2055,4.2115,24651,0
XUSE.UK,D,20250702,000000,4.245,4.264,4.2285,4.255,75248,0
XUSE.UK,D,20250703,000000,4.28,4.28,4.2555,4.2619,161315,0
XUSE.UK,D,20250704,000000,4.2595,4.265,4.2297,4.265,14794,0
XUSE.UK,D,20250707,000000,4.26,4.26,4.239,4.244,28417,0
XUSE.UK,D,20250708,000000,4.27,4.27,4.245,4.259,12789,0
XUSE.UK,D,20250709,000000,4.261,4.28,4.2543,4.2725,97459,0
XUSE.UK,D,20250710,000000,4.295,4.3095,4.2665,4.296,53737,0
XUSE.UK,D,20250711,000000,4.302,4.302,4.26916,4.2832,29969,0
XUSE.UK,D,20250714,000000,4.29,4.295,4.2695,4.294,12475,0
XUSE.UK,D,20250715,000000,4.3295,4.3345,4.277,4.277,130760,0
XUSE.UK,D,20250716,000000,4.273,4.282,4.26,4.26,55538,0
XUSE.UK,D,20250717,000000,4.2995,4.2995,4.2769,4.285,16205,0
XUSE.UK,D,20250718,000000,4.3145,4.3145,4.2805,4.2935,86266,0
XUSE.UK,D,20250721,000000,4.2939,4.301,4.28,4.301,13209,0
XUSE.UK,D,20250722,000000,4.3065,4.3065,4.27844,4.2955,23800,0
XUSE.UK,D,20250723,000000,4.34241,4.356,4.335,4.345,317883,0
XUSE.UK,D,20250724,000000,4.3834,4.3905,4.3615,4.3781,16016,0
XUSE.UK,D,20250725,000000,4.359,4.3749,4.356,4.3715,93233,0
XUSE.UK,D,20250728,000000,4.3935,4.3935,4.332,4.332,43884,0
XUSE.UK,D,20250729,000000,4.3575,4.3755,4.3365,4.3365,28659,0
XUSE.UK,D,20250730,000000,4.34868,4.3525,4.3415,4.349,182555,0
XUSE.UK,D,20250731,000000,4.3594,4.37,4.3265,4.328,99992,0
XUSE.UK,D,20250801,000000,4.3,4.31,4.254,4.2775,25249,0
XUSE.UK,D,20250804,000000,4.298,4.327,4.2946,4.327,96031,0
XUSE.UK,D,20250805,000000,4.354,4.354,4.3275,4.331,121898,0
XUSE.UK,D,20250806,000000,4.3585,4.363,4.3445,4.351,186685,0
XUSE.UK,D,20250807,000000,4.3575,4.397,4.35592,4.3625,223350,0
XUSE.UK,D,20250808,000000,4.3755,4.3805,4.358,4.3785,17345,0
XUSE.UK,D,20250811,000000,4.384,4.384,4.361,4.3685,88697,0
XUSE.UK,D,20250812,000000,4.352,4.381,4.352,4.3778,76752,0
XUSE.UK,D,20250813,000000,4.3945,4.399,4.3765,4.3885,128090,0
XUSE.UK,D,20250814,000000,4.3821,4.394,4.377,4.3905,171370,0
XUSE.UK,D,20250815,000000,4.425,4.4285,4.4085,4.4125,22767,0
XUSE.UK,D,20250818,000000,4.4307,4.4307,4.4005,4.4175,44014,0
XUSE.UK,D,20250819,000000,4.4224,4.445,4.4135,4.4389,319464,0
XUSE.UK,D,20250820,000000,4.4221,4.4515,4.4125,4.4455,39545,0
XUSE.UK,D,20250821,000000,4.4715,4.4715,4.4215,4.4445,210422,0
XUSE.UK,D,20250822,000000,4.445,4.48833,4.4445,4.4775,83378,0
XUSE.UK,D,20250826,000000,4.422,4.432,4.4021,4.427,150077,0
XUSE.UK,D,20250827,000000,4.429,4.4325,4.4065,4.4189,275428,0
XUSE.UK,D,20250828,000000,4.4435,4.4475,4.417,4.42917,308714,0
XUSE.UK,D,20250829,000000,4.4305,4.4305,4.4085,4.41429,288328,0
XUSE.UK,D,20250901,000000,4.4385,4.4385,4.4035,4.41288,121008,0
XUSE.UK,D,20250902,000000,4.4185,4.4218,4.3855,4.4,67967,0
XUSE.UK,D,20250903,000000,4.4205,4.4205,4.3875,4.405,49073,0
XUSE.UK,D,20250904,000000,4.4124,4.4275,4.406,4.42427,44433,0
XUSE.UK,D,20250905,000000,4.4395,4.454,4.4145,4.427,90781,0
XUSE.UK,D,20250908,000000,4.4765,4.4765,4.4425,4.4577,218858,0
XUSE.UK,D,20250909,000000,4.4555,4.4595,4.4315,4.448,80148,0
XUSE.UK,D,20250910,000000,4.469,4.474,4.4485,4.45,52014,0
XUSE.UK,D,20250911,000000,4.45918,4.48,4.4545,4.4705,121092,0
XUSE.UK,D,20250912,000000,4.4784,4.484,4.4625,4.4665,290934,0
XUSE.UK,D,20250915,000000,4.47,4.4855,4.46942,4.4825,82183,0
XUSE.UK,D,20250916,000000,4.48066,4.486,4.4485,4.4515,72757,0
XUSE.UK,D,20250917,000000,4.467,4.4705,4.4425,4.452,91063,0
XUSE.UK,D,20250918,000000,4.45856,4.4955,4.45856,4.495,141819,0
XUSE.UK,D,20250919,000000,4.48477,4.516,4.4805,4.504,568166,0
XUSE.UK,D,20250922,000000,4.5,4.507,4.485,4.5005,2005282,0
XUSE.UK,D,20250923,000000,4.51112,4.5305,4.5015,4.516,220550,0
XUSE.UK,D,20250924,000000,4.5215,4.5215,4.492,4.5045,206324,0
XUSE.UK,D,20250925,000000,4.49303,4.51,4.475,4.495,71801,0
XUSE.UK,D,20250926,000000,4.5065,4.5235,4.491,4.502,177594,0
XUSE.UK,D,20250929,000000,4.5146,4.531,4.5035,4.513,227933,0
XUSE.UK,D,20250930,000000,4.519,4.529,4.501,4.507,81009,0
XUSE.UK,D,20251001,000000,4.5285,4.552,4.513,4.55,204222,0
XUSE.UK,D,20251002,000000,4.5725,4.59,4.5565,4.579,294396,0
XUSE.UK,D,20251003,000000,4.608,4.614,4.592,4.6015,299547,0
XUSE.UK,D,20251006,000000,4.62589,4.64371,4.6,4.6245,1278407,0
XUSE.UK,D,20251007,000000,4.6135,4.6275,4.594,4.598,331786,0
XUSE.UK,D,20251008,000000,4.62,4.62,4.58805,4.618,229815,0
XUSE.UK,D,20251009,000000,4.636,4.64,4.607,4.618,322072,0
XUSE.UK,D,20251010,000000,4.59886,4.611,4.53535,4.5465,690868,0
XUSE.UK,D,20251013,000000,4.549,4.5645,4.5305,4.551,996530,0
XUSE.UK,D,20251014,000000,4.5485,4.568,4.5205,4.5605,395398,0
XUSE.UK,D,20251015,000000,4.623,4.623,4.586,4.586,480491,0
XUSE.UK,D,20251016,000000,4.595,4.608,4.5765,4.603,261148,0
XUSE.UK,D,20251017,000000,4.55188,4.59393,4.527,4.572,281358,0
XUSE.UK,D,20251020,000000,4.61,4.63,4.5885,4.6267,619218,0
XUSE.UK,D,20251021,000000,4.65,4.65,4.601,4.6095,689814,0
XUSE.UK,D,20251022,000000,4.6545,4.6545,4.6085,4.6085,809793,0
XUSE.UK,D,20251023,000000,4.61686,4.641,4.607,4.6395,300399,0
XUSE.UK,D,20251024,000000,4.655,4.6645,4.6245,4.6585,241401,0
XUSE.UK,D,20251027,000000,4.681,4.687,4.66,4.6795,634352,0
XUSE.UK,D,20251028,000000,4.68,4.7105,4.66,4.7035,273264,0
