date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_rsp.us,w_tlt.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2005-12-01,0.008716416854843534,0.006716416854843534,0.5,3,True,0.002,0.998,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2006-01-01,0.014988913650251373,0.013988913650251372,0.25,2,True,0.001,0.9907743825495998,-0.018054364936839207,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
2006-02-01,-0.011391888408369355,-0.012391888408369356,0.25,2,True,0.001,1.0036147698130977,-0.00968021051744583,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
2006-03-01,0.019844488441558956,0.017844488441558955,0.5,4,True,0.002,0.9901973389456948,-0.022919899401735222,0.0,0.0,0.30000000000000004,0.15000000000000002,0.25,0.05,0.25,0.0,0.0,0.0,0.0
2006-04-01,0.04918634189835053,0.04918634189835053,0.0,0,False,0.0,1.006749324439343,-0.006587179634527596,0.0,0.0,0.30000000000000004,0.15000000000000002,0.25,0.05,0.25,0.0,0.0,0.0,0.0
2006-05-01,-0.025604924567501,-0.026604924567501,0.25,2,True,0.001,1.0552113732762327,-0.002186186450353067,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.25,0.0,0.25,0.0,0.0
2006-06-01,-0.00760055350699726,-0.00860055350699726,0.25,2,True,0.001,1.0271645728950647,-0.06481540607846703,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.0,0.25,0.25,0.0,0.0
2006-07-01,-0.0046520774411574085,-0.0046520774411574085,0.0,0,False,0.0,1.00920070552384,-0.0811706547466231,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.0,0.25,0.25,0.0,0.0
2006-08-01,-0.012421803082369015,-0.013821803082369015,0.35,5,True,0.0014,1.0030995175321094,-0.08672549684792719,0.0,0.0,0.35000000000000003,0.05,0.0,0.1,0.25,0.25,0.0,0.0,0.0
2006-09-01,-0.01694676827144236,-0.01914676827144236,0.55,5,True,0.0022,0.9884598065850293,-0.10005425885788055,0.0,0.0,0.05,0.30000000000000004,0.0,0.15000000000000002,0.25,0.0,0.0,0.25,0.0
2006-10-01,0.018520762022428104,0.017120762022428106,0.35,4,True,0.0014,0.9776590130405529,-0.10988786876953516,0.0,0.0,0.05,0.2,0.0,0.25,0.0,0.25,0.0,0.25,0.0
2006-11-01,0.014926548230860504,0.014126548230860504,0.2,3,True,0.0008,0.99357643301157,-0.09539581333394065,0.0,0.0,0.1,0.35000000000000003,0.0,0.05,0.0,0.25,0.0,0.25,0.0
2006-12-01,-0.013799755255373646,-0.015399755255373647,0.4,4,True,0.0016,1.0067936482006674,-0.08336216619933257,0.0,0.0,0.25,0.2,0.0,0.05,0.25,0.25,0.0,0.0,0.0
2007-01-01,0.020129294159875813,0.018729294159875814,0.35,4,True,0.0014,1.003394119592503,-0.08645727565388706,0.0,0.0,0.15000000000000002,0.30000000000000004,0.0,0.05,0.0,0.25,0.0,0.25,0.0
2007-02-01,-0.009840745920424531,-0.010440745920424531,0.15000000000000002,3,True,0.0006000000000000001,1.0215454113311593,-0.0699313859944305,0.0,0.1,0.2,0.15000000000000002,0.0,0.05,0.0,0.25,0.0,0.25,0.0
2007-03-01,-0.0007159239534362816,-0.0013159239534362814,0.15,4,True,0.0006,1.0108857469065784,-0.07963650454047277,0.0,0.2,0.15000000000000002,0.05,0.0,0.1,0.0,0.25,0.0,0.25,0.0
2007-04-01,0.03978548446804571,0.03738548446804571,0.6,7,True,0.0024000000000000002,1.013785298089165,-0.07699660080275017,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.25,0.05,0.0,0.0,0.0,0.0,0.25
2007-05-01,0.024682280785741674,0.023682280785741673,0.25,2,True,0.001,1.0505377617995062,-0.043535226883185896,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.25,0.05,0.0,0.0,0.25,0.0,0.0
2007-06-01,-0.008251800763218626,-0.008251800763218626,0.0,0,False,0.0,1.0764674298122663,-0.019927494791445954,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.25,0.05,0.0,0.0,0.25,0.0,0.0
2007-07-01,-0.005646696632091763,-0.007046696632091763,0.35,5,True,0.0014,1.0585348243598478,-0.03625428096623384,0.0,0.2,0.05,0.2,0.0,0.05,0.25,0.0,0.25,0.0,0.0
2007-08-01,0.013616724808244508,0.012816724808244508,0.20000000000000004,4,True,0.0008000000000000001,1.0502431514781638,-0.0438034555984278,0.0,0.15000000000000002,0.15000000000000002,0.05,0.0,0.15000000000000002,0.25,0.0,0.25,0.0,0.0
2007-09-01,0.05846347147817145,0.05786347147817145,0.15000000000000002,4,True,0.0006000000000000001,1.0544809812203726,-0.03994511274748047,0.0,0.05,0.2,0.15000000000000002,0.0,0.1,0.25,0.0,0.25,0.0,0.0
2007-10-01,0.006473412459892972,0.006073412459892972,0.1,3,True,0.0004,1.1150137382613379,0.0,0.0,0.15000000000000002,0.2,0.1,0.0,0.05,0.25,0.0,0.25,0.0,0.0
2007-11-01,-0.0053122699732436884,-0.0053122699732436884,0.0,0,False,0.0,1.1222316820875506,-0.016780787321745816,0.0,0.15000000000000002,0.2,0.1,0.0,0.05,0.25,0.0,0.25,0.0,0.0
2007-12-01,0.04073873668494821,0.04033873668494821,0.1,3,True,0.0004,1.115020816100853,-0.03672275900344557,0.0,0.15000000000000002,0.15000000000000002,0.05,0.0,0.15000000000000002,0.25,0.0,0.25,0.0,0.0
