date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_rsp.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2005-12-01,0.017432833709687068,0.013432833709687068,1.0,3,True,0.004,0.996,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2006-01-01,0.029977827300502746,0.027977827300502744,0.5,2,True,0.002,0.9815777254897824,-0.035719631122227424,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2006-02-01,-0.02278377681673871,-0.024783776816738712,0.5,2,True,0.002,1.0069633238676012,-0.018947685105104473,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2006-03-01,0.017669301957640604,0.017669301957640604,0.0,0,False,0.0,0.9840208962339604,-0.04129976209321473,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2006-04-01,0.03302305680823214,0.03302305680823214,0.0,0,False,0.0,0.9990663670205155,-0.026641438801815243,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2006-05-01,-0.025241513911058777,-0.02724151391105878,0.5,2,True,0.002,1.0299944752289998,-0.01930227874140711,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2006-06-01,-0.010374755148651382,-0.012374755148651382,0.5,2,True,0.002,1.0019878636434847,-0.05314630046701718,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2006-07-01,-0.028979166752377383,-0.028979166752377383,0.0,0,False,0.0,0.984127651652198,-0.07002375818082662,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2006-08-01,-0.010671281923889553,-0.012671281923889553,0.5,2,True,0.002,0.9536972354246848,-0.09877974737871709,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2006-09-01,-0.04115023817131036,-0.04315023817131036,0.5,2,True,0.002,0.9416330232287232,-0.11018012892441764,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2006-10-01,0.018001751810317934,0.016001751810317932,0.5,2,True,0.002,0.9110745654731047,-0.13905711419319822,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2006-11-01,0.0016717631364944197,0.0016717631364944197,0.0,0,False,0.0,0.9256205526740822,-0.12531151677196495,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2006-12-01,-0.013598557362774433,-0.015598557362774433,0.5,2,True,0.002,0.9253136350504395,-0.1256015463201684,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2007-01-01,0.014064761622107458,0.012064761622107458,0.5,2,True,0.002,0.9259766483007104,-0.12497501522968635,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2007-02-01,-0.02734748288279637,-0.02734748288279637,0.0,0,False,0.0,0.9371222885484445,-0.1144426614106927,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2007-03-01,-0.0003924167065240125,-0.0003924167065240125,0.0,0,False,0.0,0.9114943528032793,-0.1386604255694981,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2007-04-01,0.05554441196898974,0.051544411968989734,1.0,4,True,0.004,0.9141014768947848,-0.13619675791367725,0.0,0.5,0.0,0.0,0.0,0.0,0.5
2007-05-01,0.04186760507552534,0.039867605075525336,0.5,2,True,0.002,0.9590931766710846,-0.09368071662495325,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2007-06-01,-0.006903819515539422,-0.006903819515539422,0.0,0,False,0.0,0.9992481110225805,-0.0557352987962737,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2007-07-01,-0.005031658271773765,-0.007031658271773765,0.5,2,True,0.002,0.9834424324193255,-0.07067127337455092,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2007-08-01,0.015332743349181333,0.015332743349181333,0.0,0,False,0.0,0.9765370979970911,-0.07719664327317421,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2007-09-01,0.06053298147880115,0.06053298147880115,0.0,0,False,0.0,0.980243485165166,-0.07369419925231335,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2007-10-01,-0.031884862652848456,-0.031884862652848456,0.0,0,False,0.0,1.0395805458973848,-0.017622147371947228,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2007-11-01,-0.015489629561609819,-0.015489629561609819,0.0,0,False,0.0,1.0064336629748736,-0.04894513027619285,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2007-12-01,0.03270783803439459,0.03270783803439459,0.0,0,False,0.0,0.9939924376021649,-0.06070177993064829,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2008-01-01,-0.05978713226798699,-0.05978713226798699,0.0,0,False,0.0,1.0273525394486251,-0.02917731042733618,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2008-02-01,0.025388254397640697,0.025388254397640697,0.0,0,False,0.0,0.9659300772867581,-0.0872200149775797,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2008-03-01,-0.010066635552789804,-0.012066635552789804,0.5,2,True,0.002,0.9772865317825985,-0.07648844691859724,0.5,0.0,0.5,0.0,0.0,0.0,0.0
2008-04-01,0.029111076125135582,0.02711107612513558,0.5,2,True,0.002,0.9635826200529247,-0.0894383038880544,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2008-05-01,0.042592206032813995,0.042592206032813995,0.0,0,False,0.0,0.991633547058143,-0.06293087303590694,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2008-06-01,-0.01336021067491866,-0.01336021067491866,0.0,0,False,0.0,1.0351077229836039,-0.023145150400560643,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2008-07-01,0.0,-0.004,1.0,3,True,0.004,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0,False,0.0,1.0171933518703746,-0.040051352442064814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
