date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vt.us,w_vwo.us,w_xlk.us
2007-08-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,-0.05367747228070031,-0.057677472280700304,1.0,5,True,0.004,0.996,-0.0040000000000000036,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2008-08-01,0.00846385492193591,0.004463854921935909,1.0,5,True,0.004,0.9387670886579894,-0.0702295258293586,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.007479424872320339,0.005479424872320339,0.5,2,True,0.002,0.9457236158596598,-0.0633396660621992,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2008-10-01,-0.01604283216643132,-0.01604283216643132,0.0,0,False,0.0,0.9508914904252725,-0.05822131749270154,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2008-11-01,0.04342238281184907,0.04142238281184907,0.5,2,True,0.002,0.9362216458884666,-0.07275057451053546,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.031784393397724764,0.029784393397724762,0.5,2,True,0.002,0.9729710296090853,-0.03635337616366552,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2009-01-01,-0.04711284894681089,-0.04711284894681089,0.0,0,False,0.0,1.013786311193108,-0.016004167377110634,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2009-02-01,-0.004020888663729294,-0.006020888663729294,0.5,2,True,0.002,0.9588896201492075,-0.06928769923740108,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.011254452643987056,0.011254452643987056,0.0,0,False,0.0,0.9496605068976562,-0.07824561164760457,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0767509037467482,0.0747509037467482,0.5,2,True,0.002,0.9584277192682001,-0.06973602699343606,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2009-05-01,0.16430934784000462,0.16230934784000461,0.5,2,True,0.002,1.0299239370721736,-0.000340751489457114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-06-01,-0.03488449095600937,-0.03488449095600937,0.0,0,False,0.0,1.1991500674973126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-07-01,0.11634997253949875,0.11634997253949875,0.0,0,False,0.0,1.1573183278128045,-0.03488449095600943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-08-01,-0.03760581769651783,-0.03760581769651783,0.0,0,False,0.0,1.2546206443994876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-09-01,0.04152593376051039,0.03952593376051039,0.5,2,True,0.002,1.2050247299495773,-0.03953060606112446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2009-10-01,0.040175408172978266,0.03617540817297826,1.0,4,True,0.004,1.2500442490369792,-0.0480732420220743,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2009-11-01,0.09807960684491308,0.09767960684491309,0.09999999999999999,2,True,0.00039999999999999996,1.2806376232452512,-0.053500287326122886,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2009-12-01,-0.007422598003999671,-0.007422598003999671,0.0,0,False,0.0,1.4056795610208115,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-01-01,-0.05039517226244626,-0.05039517226244626,0.0,0,False,0.0,1.291993641817536,-0.08837631339646568,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-02-01,0.011064175720183412,0.011064175720183412,0.0,0,False,0.0,1.226883399676156,-0.13431774612137715,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-03-01,0.07004312033949256,0.06844312033949256,0.4,3,True,0.0016,1.2384731206332313,-0.12614010204974513,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2010-04-01,0.013011568573263643,0.011411568573263642,0.4,3,True,0.0016,1.3230992910310373,-0.06642833649286639,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-05-01,-0.048785796485321234,-0.050785796485321236,0.5,2,True,0.002,1.332564762851135,-0.05974955105864366,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2010-06-01,0.009949465513552901,0.007949465513552901,0.5,2,True,0.002,1.2624893816271785,-0.10919435891517737,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2010-07-01,-0.008645060854854359,-0.008645060854854359,0.0,0,False,0.0,1.2750504761909054,-0.1003313189099252,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2010-08-01,0.00693356774687981,0.0049335677468798095,0.5,2,True,0.002,1.2715428181684871,-0.10280630333263718,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-09-01,0.02562075082529247,0.02362075082529247,0.5,2,True,0.002,1.275242831292138,-0.10019559419670132,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2010-10-01,0.02806434430295506,0.02606434430295506,0.5,2,True,0.002,1.3052996790941853,-0.07898764586466656,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-11-01,0.006454362303195517,0.006454362303195517,0.0,0,False,0.0,1.3419320587068213,-0.053140038050937366,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-12-01,0.03663784526540668,0.034637845265406676,0.5,2,True,0.002,1.3478921876511885,-0.04893460348451584,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-01-01,-0.0030599928938120705,-0.0030599928938120705,0.0,0,False,0.0,1.3725058896599396,-0.03156730921934214,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-02-01,0.028066263587822462,0.028066263587822462,0.0,0,False,0.0,1.368306031390865,-0.03453070637126621,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-03-01,0.008487743779674095,0.008487743779674095,0.0,0,False,0.0,1.4067092691366885,-0.007433590690333225,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-04-01,0.04198970367696169,0.03998970367696169,0.5,2,True,0.002,1.4158117588716426,-0.002061674525841939,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2011-05-01,-0.03138740324772663,-0.03378740324772663,0.6,4,True,0.0024000000000000002,1.4854585587847262,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2011-06-01,-0.03512223504986378,-0.03712223504986378,0.5,2,True,0.002,1.4325099093581823,-0.03564464933297218,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2011-07-01,0.00918615896919333,0.006786158969193329,0.6,4,True,0.0024000000000000002,1.3788796869073798,-0.0717481287155799,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2011-08-01,0.09945535784814932,0.09745535784814932,0.5,2,True,0.002,1.388763202320881,-0.06509461734358524,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2011-09-01,0.016787542307665847,0.016387542307665846,0.1,2,True,0.0004,1.5262723903166162,-0.01722509466058686,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2011-10-01,0.009959324491540647,0.009559324491540648,0.1,2,True,0.0004,1.5194624741218152,-0.038968364155637314,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2011-11-01,-0.0019771631383749813,-0.0019771631383749813,0.0,0,False,0.0,1.5339814558367317,-0.02978537939232817,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2011-12-01,0.01748376875349622,0.01588376875349622,0.4,3,True,0.0016,1.5284990066085051,-0.03325292613334352,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2012-01-01,0.02714255429782375,0.02714255429782375,0.0,0,False,0.0,1.5208005609198443,-0.03812204924736362,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2012-02-01,0.020388999862127766,0.016788999862127767,0.9,5,True,0.0036,1.5564554884189772,-0.015570973532112564,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2012-03-01,0.040578587435852236,0.036978587435852237,0.9,5,True,0.0036,1.5824725749447914,-0.014880297316230529,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2012-04-01,-0.012170418080053681,-0.01257041808005368,0.1,2,True,0.0004,1.6323403144040407,-0.007138044293890644,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2012-05-01,0.015846398050887542,0.013446398050887542,0.6,4,True,0.0024000000000000002,1.6079606709629852,-0.021966827393045674,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2012-06-01,0.018380189132414716,0.018380189132414716,0.0,0,False,0.0,1.6334410558052368,-0.006468524432943545,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
