date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vt.us,w_vwo.us,w_xlk.us
2007-08-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,-0.05367747228070031,-0.057677472280700304,1.0,5,True,0.004,0.996,-0.0040000000000000036,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2008-08-01,0.01692770984387182,0.012927709843871819,1.0,5,True,0.004,0.9387670886579894,-0.0702295258293586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.014958849744640679,0.010958849744640679,1.0,2,True,0.004,0.9526801430613303,-0.056449806295039706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008-10-01,-0.03208566433286264,-0.03208566433286264,0.0,0,False,0.0,0.9630634176073832,-0.046166039197997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008-11-01,0.08684476562369814,0.08284476562369814,1.0,2,True,0.004,0.9333481645892564,-0.07559651798508404,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.06356878679544953,0.059568786795449524,1.0,2,True,0.004,1.0063055611238871,-0.003338304004414483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-01-01,-0.09422569789362178,-0.09422569789362178,0.0,0,False,0.0,1.0789118771652202,-0.04083084264227499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-02-01,-0.008041777327458588,-0.012041777327458588,1.0,2,True,0.004,0.9620653754312823,-0.14470916948284263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.022508905287974112,0.022508905287974112,0.0,0,False,0.0,0.9435754179553396,-0.16114702442459927,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.1535018074934964,0.1495018074934964,1.0,2,True,0.004,0.9609550105994767,-0.14569630079784957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-05-01,0.16430934784000462,0.16230934784000461,0.5,2,True,0.002,1.1062464149631355,-0.01653002054429542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-06-01,-0.03488449095600937,-0.03488449095600937,0.0,0,False,0.0,1.2880130419560711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-07-01,0.11634997253949875,0.11634997253949875,0.0,0,False,0.0,1.243081362642733,-0.03488449095600887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-08-01,-0.03760581769651783,-0.03760581769651783,0.0,0,False,0.0,1.3475942640494343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2009-09-01,0.04152593376051039,0.03952593376051039,0.5,2,True,0.002,1.2943230460670647,-0.039530606061124796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2009-10-01,0.040175408172978266,0.03617540817297826,1.0,4,True,0.004,1.3426787350661766,-0.0480732420220743,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2009-11-01,0.09807960684491308,0.09767960684491309,0.09999999999999999,2,True,0.00039999999999999996,1.3755392302166596,-0.053500287326122775,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2009-12-01,-0.007422598003999671,-0.007422598003999671,0.0,0,False,0.0,1.5098473964852177,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-01-01,-0.05039517226244626,-0.05039517226244626,0.0,0,False,0.0,1.3858365897495266,-0.08962457896741427,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-02-01,0.011064175720183412,0.011064175720183412,0.0,0,False,0.0,1.3159971160814983,-0.13550310513384833,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-03-01,0.07004312033949256,0.06844312033949256,0.4,3,True,0.0016,1.3284286473580047,-0.1273366585241692,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2010-04-01,0.013011568573263643,0.011411568573263642,0.4,3,True,0.0016,1.4192015734713832,-0.06770665492918371,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-05-01,-0.048785796485321234,-0.050785796485321236,0.5,2,True,0.002,1.4293545624358492,-0.06103701460388711,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2010-06-01,0.009949465513552901,0.007949465513552901,0.5,2,True,0.002,1.354189310690345,-0.11041411881009178,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2010-07-01,-0.008645060854854359,-0.008645060854854359,0.0,0,False,0.0,1.367662770535881,-0.101563214763849,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2010-08-01,0.00693356774687981,0.0049335677468798095,0.5,2,True,0.002,1.363900336515728,-0.1040348102467068,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-09-01,0.02562075082529247,0.02362075082529247,0.5,2,True,0.002,1.3678690971994842,-0.10142767589538682,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2010-10-01,0.02806434430295506,0.02606434430295506,0.5,2,True,0.002,1.4001091006394493,-0.08024876712443652,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-11-01,0.006454362303195517,0.006454362303195517,0.0,0,False,0.0,1.439402244501496,-0.054436551851948956,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2010-12-01,0.03663784526540668,0.034637845265406676,0.5,2,True,0.002,1.4457952827513663,-0.050236875691388794,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-01-01,-0.0030599928938120705,-0.0030599928938120705,0.0,0,False,0.0,1.4721967817594674,-0.03289336206707649,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-02-01,0.028066263587822462,0.028066263587822462,0.0,0,False,0.0,1.4676918700689905,-0.03585270150670972,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-03-01,0.008487743779674095,0.008487743779674095,0.0,0,False,0.0,1.5088844969600512,-0.008792689289709776,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1
2011-04-01,0.04198970367696169,0.03998970367696169,0.5,2,True,0.002,1.518648138919445,-0.002378816452652477,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2011-05-01,-0.03138740324772663,-0.03378740324772663,0.6,4,True,0.0024000000000000002,1.593353679685679,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2011-06-01,-0.03512223504986378,-0.03712223504986378,0.5,2,True,0.002,1.5365591465098816,-0.03564464933297251,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2011-07-01,0.00918615896919333,0.006786158969193329,0.6,4,True,0.0024000000000000002,1.479033534786148,-0.0717481287155799,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2011-08-01,0.09945535784814932,0.09745535784814932,0.5,2,True,0.002,1.4896349316135469,-0.0650946173435849,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2011-09-01,0.016787542307665847,0.016387542307665846,0.1,2,True,0.0004,1.6371319919575555,-0.017225094660587192,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2011-10-01,0.009959324491540647,0.009559324491540648,0.1,2,True,0.0004,1.629827442824785,-0.038968364155637314,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2011-11-01,-0.0019771631383749813,-0.0019771631383749813,0.0,0,False,0.0,1.6454009994238175,-0.02978537939232828,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
2011-12-01,0.01748376875349622,0.01588376875349622,0.4,3,True,0.0016,1.6395203367827598,-0.03325292613334363,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2012-01-01,0.02714255429782375,0.02714255429782375,0.0,0,False,0.0,1.6312627205111063,-0.03812204924736351,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2012-02-01,0.020388999862127766,0.016788999862127767,0.9,5,True,0.0036,1.6695074157896783,-0.015570973532112786,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
2012-03-01,0.040578587435852236,0.036978587435852237,0.9,5,True,0.0036,1.6974142330518993,-0.014880297316230195,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2012-04-01,-0.012170418080053681,-0.01257041808005368,0.1,2,True,0.0004,1.7509040767739659,-0.007138044293890644,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2012-05-01,0.015846398050887542,0.013446398050887542,0.6,4,True,0.0024000000000000002,1.724753636994608,-0.021966827393046118,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
2012-06-01,0.018380189132414716,0.018380189132414716,0.0,0,False,0.0,1.7520847696661408,-0.006468524432943656,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4
