date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2013-05-01,0.004671347526800929,0.0006713475268009285,1.0,5,True,0.004,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
2013-06-01,-0.005872753323020813,-0.007872753323020813,0.5,4,True,0.002,0.9965741698546725,-0.047741819855260714,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2013-07-01,0.06412504836530841,0.06412504836530841,0.0,0,False,0.0,0.9887400925158478,-0.055227528852585195,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2013-08-01,-0.043256545165297866,-0.043256545165297866,0.0,0,False,0.0,1.0521430987691462,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2013-09-01,0.054386059122181474,0.05338605912218147,0.25,2,True,0.001,1.0053060104298985,-0.044679153541529404,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2013-10-01,0.02311472326109998,0.021114723261099977,0.5,4,True,0.002,1.0568028205826616,-0.0017779101362614957,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2013-11-01,0.026315092654283334,0.024315092654283332,0.5,4,True,0.002,1.0790680642713357,-0.015976733472935156,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.017505155054996557,0.016505155054996556,0.25,2,True,0.001,1.1124380137947676,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2014-01-01,-0.04671186318025117,-0.04771186318025117,0.25,2,True,0.001,1.1151239404695843,-0.02104463290390246,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0
2014-02-01,0.07058783084791936,0.06958783084791936,0.25,2,True,0.001,1.0886271607919975,-0.044305872067338714,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
