date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2013-05-01,-0.01441679428555355,-0.01841679428555355,1.0,6,True,0.004,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1875,0.1875,0.1875,0.0
2013-06-01,-0.004610865347727179,-0.00711086534772718,0.625,6,True,0.0025,0.9773102484792844,-0.043290084444282395,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.25,0.1875,0.0,0.0,0.0,0.1875,0.0
2013-07-01,0.0324435536387202,0.0314435536387202,0.25,5,True,0.001,0.9694016205217768,-0.05103200958746179,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.125,0.0
2013-08-01,-0.032674232557871746,-0.03367423255787175,0.25,5,True,0.001,0.9998516015406427,-0.021223871573395003,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.25,0.1875,0.0,0.0,0.0,0.1875,0.0
2013-09-01,0.04136533263538776,0.04061533263538776,0.1875,2,True,0.00075,0.9664916365183982,-0.05388065519869201,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.1875,0.25,0.0,0.0,0.0,0.0,0.1875,0.0
2013-10-01,0.017472334635900366,0.015972334635900365,0.375,4,True,0.0015,1.0042074573418047,-0.016959831119315094,0.0,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1875,0.0,0.0,0.0
2013-11-01,0.01991391202342388,0.01841391202342388,0.375,4,True,0.0015,1.020220676121227,-0.012140516539121404,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.1875,0.25,0.1875,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.012951399825412616,0.012201399825412615,0.1875,2,True,0.00075,1.0442780933992515,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.1875,0.25,0.0,0.0,0.0,0.0,0.1875,0.0
2014-01-01,-0.034580049801592586,-0.035330049801592586,0.1875,2,True,0.00075,1.0525578327444276,-0.009479610545558348,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.25,0.1875,0.0,0.0,0.0,0.1875,0.0
2014-02-01,0.03518957684782495,0.03268957684782495,0.625,7,True,0.0025,1.03420613395231,-0.02674966570948456,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.5,0.0,0.0,0.0,0.0
2014-03-01,0.00945657910444353,0.008456579104443529,0.25,5,True,0.001,1.0678918698045188,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.1875,0.0,0.1875,0.25,0.0,0.0,0.0,0.0
2014-04-01,-0.019614157051154907,-0.02136415705115491,0.4375,6,True,0.00175,1.0750278864268437,-0.00277741727973313,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2014-05-01,0.02092684991447019,0.01992684991447019,0.25,2,True,0.001,1.0528881785074686,-0.024086769779968042,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0
2014-06-01,0.025087414952689457,0.023087414952689456,0.5,4,True,0.002,1.0751548534325714,-0.0034479753704605987,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2014-07-01,-0.024702206960328765,-0.025702206960328766,0.25,2,True,0.001,1.0988235305063137,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2014-08-01,0.03760293057092107,0.034602930570921064,0.75,6,True,0.003,1.0684651237501388,-0.030367845988013342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2014-09-01,-0.06387307147306479,-0.06487307147306479,0.25,2,True,0.001,1.1047523237505592,-0.004328094672271576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
2014-10-01,0.023849889415914705,0.020349889415914705,0.875,8,True,0.0035,1.0295381714767333,-0.08296660845037851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.5,0.0,0.0,0.125,0.0
2014-11-01,0.022350608996510687,0.020850608996510686,0.375,6,True,0.0015,1.0534363519842012,-0.061679947955611714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.1875,0.25,0.0,0.1875,0.0,0.0
2014-12-01,0.017099200681296584,0.017099200681296584,0.0,0,False,0.0,1.0753658240461255,-0.0421468614737438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.1875,0.25,0.0,0.1875,0.0,0.0
