date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_tlt.us,w_vt.us,w_xlk.us
2008-07-01,-0.10467086790885395,-0.10867086790885395,1.0,3,True,0.004,0.996,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0
2008-08-01,0.03094408467283505,0.026944084672835048,1.0,3,True,0.004,0.8881808243005309,-0.12340600060171825,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-09-01,0.014958849744640679,0.014958849744640679,0.0,0,False,0.0,0.9104908633504127,-0.10138700872259343,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-10-01,-0.03208566433286264,-0.03208566433286264,0.0,0,False,0.0,0.9241107593691397,-0.08794479200749272,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-11-01,0.18001639086416277,0.18001639086416277,0.0,0,False,0.0,0.8955973878409708,-0.11608619035831924,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-12-01,0.06356878679544953,0.06356878679544953,0.0,0,False,0.0,1.056819597267474,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-01-01,-0.09422569789362178,-0.09422569789362178,0.0,0,False,0.0,1.1235330423721765,-0.04890456935320098,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-02-01,-0.020055199131960855,-0.020055199131960855,0.0,0,False,0.0,1.0018540541598957,-0.15190850900599706,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-03-01,0.029907778281450748,0.029907778281450748,0.0,0,False,0.0,0.9684761855325077,-0.18016360889092065,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-04-01,-0.08706299660296868,-0.08706299660296868,0.0,0,False,0.0,0.9974411565602789,-0.15564412387856574,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-05-01,-0.0619559392817568,-0.0619559392817568,0.0,0,False,0.0,0.9106009405350101,-0.22915627665302285,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-06-01,0.03285801911592223,0.03285801911592223,0.0,0,False,0.0,0.8541838039533124,-0.27691462357243146,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-07-01,-0.010856034366021672,-0.010856034366021672,0.0,0,False,0.0,0.8822505917121217,-0.25315547045133047,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-08-01,0.03222619363756163,0.03222619363756163,0.0,0,False,0.0,0.8891323452520403,-0.2473299147268323,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-09-01,0.03788180213002246,0.03788180213002246,0.0,0,False,0.0,0.9177856963795519,-0.22307422281361922,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-10-01,0.03884225693381167,0.03564225693381167,0.8,2,True,0.0032,0.9495049026954787,-0.19622321705492274,0.0,0.0,0.8,0.0,0.2,0.0,0.0
2009-11-01,0.11793535500022015,0.11713535500022015,0.2,2,True,0.0008,0.9784779807023035,-0.17169686930649908,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2009-12-01,-0.04114609533766274,-0.04114609533766274,0.0,0,False,0.0,1.093000028613355,-0.07475143702393516,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-01-01,-0.02869323346855355,-0.02869323346855355,0.0,0,False,0.0,1.026067748628041,-0.13141108409795244,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-02-01,0.015393344432743962,0.015393344432743962,0.0,0,False,0.0,0.9966265471621036,-0.15633370865012752,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-03-01,0.05036383715730098,0.04716383715730098,0.8,3,True,0.0032,1.0087296653921913,-0.14608815287999188,0.0,0.0,0.0,0.2,0.0,0.0,0.8
2010-04-01,0.04551735164341788,0.04231735164341788,0.8,3,True,0.0032,1.056142655877356,-0.10595201366282192,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-05-01,0.00909332197202992,0.00909332197202992,0.0,0,False,0.0,1.0982288705758043,-0.07032510730286201,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-06-01,-0.02905781423363665,-0.02905781423363665,0.0,0,False,0.0,1.1082154192949294,-0.06187127417425409,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-07-01,0.010730812029326752,0.010730812029326752,0.0,0,False,0.0,1.0760131015102057,-0.08913124441653675,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-08-01,0.032502604341286045,0.032502604341286045,0.0,0,False,0.0,1.0819113475969788,-0.08413824938177039,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-09-01,0.04463950347149886,0.043839503471498856,0.2,2,True,0.0008,1.1161826230330232,-0.05512686098429198,0.0,0.0,0.8,0.0,0.2,0.0,0.0
2010-10-01,0.00913558689334817,0.00913558689334817,0.0,0,False,0.0,1.166008461108732,-0.012948193215074788,0.0,0.0,0.8,0.0,0.2,0.0,0.0
2010-11-01,0.022532902631910327,0.021732902631910328,0.2,2,True,0.0008,1.1757193042173917,-0.02162851497939755,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2010-12-01,0.022983302893041915,0.022983302893041915,0.0,0,False,0.0,1.2022116728217793,-0.01853619646763005,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2011-01-01,-0.03472871425458397,-0.03472871425458397,0.0,0,False,0.0,1.212035532370905,-0.01607477894561604,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2011-02-01,0.05463528369014153,0.05463528369014153,0.0,0,False,0.0,1.1699430967007933,-0.0502452367954922,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2011-03-01,-0.004261505401256915,-0.004261505401256915,0.0,0,False,0.0,1.2338632696903638,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2011-04-01,0.06850353605877633,0.06850353605877633,0.0,0,False,0.0,1.228605154702166,-0.004898137464751207,0.0,0.0,0.8,0.0,0.0,0.0,0.2
2011-05-01,-0.01295607646207082,-0.01375607646207082,0.2,2,True,0.0008,1.3285039954450377,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0
2011-06-01,-0.03245332402537937,-0.03245332402537937,0.0,0,False,0.0,1.3102427626630055,-0.01374571160090099,0.0,0.2,0.8,0.0,0.0,0.0,0.0
2011-07-01,0.06339411341217481,0.06259411341217481,0.2,2,True,0.0008,1.2667068529106071,-0.04651633924046206,0.0,0.0,0.8,0.2,0.0,0.0,0.0
2011-08-01,0.0902075085806387,0.0902075085806387,0.0,0,False,0.0,1.3470086108040014,-0.0069824284479576,0.0,0.0,0.8,0.2,0.0,0.0,0.0
2011-09-01,-0.10518506157189196,-0.10598506157189196,0.2,2,True,0.0008,1.4673440865,-0.019722450755141674,0.0,0.2,0.8,0.0,0.0,0.0,0.0
2011-10-01,0.026319421512639486,0.025519421512639487,0.2,2,True,0.0008,1.2945207536102414,-0.1373163019582574,0.0,0.0,0.8,0.0,0.2,0.0,0.0
2011-11-01,0.007231913730072372,0.007231913730072372,0.0,0,False,0.0,1.327528917548584,-0.11531927730455216,0.0,0.0,0.8,0.0,0.2,0.0,0.0
2011-12-01,0.020832796357046005,0.017632796357046003,0.8,3,True,0.0032,1.3328506777795772,-0.11177279434291487,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-01-01,0.011891018721168135,0.011891018721168135,0.0,0,False,0.0,1.3421817458163259,-0.10555446199237373,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-02-01,-0.022996467561168334,-0.023796467561168332,0.2,2,True,0.0008,1.3570551407597715,-0.09564265848017584,0.0,0.0,0.2,0.0,0.8,0.0,0.0
2012-03-01,-0.011859009154377188,-0.012659009154377189,0.2,2,True,0.0008,1.3247869881035836,-0.11714653100194228,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-04-01,0.02586483462333038,0.02586483462333038,0.0,0,False,0.0,1.300254010654642,-0.13349559273046496,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-05-01,0.07935967943841778,0.07935967943841778,0.0,0,False,0.0,1.333884865608546,-0.11108359953605185,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-06-01,-0.01078282132153805,-0.01078282132153805,0.0,0,False,0.0,1.4397415409509968,-0.04053947894768095,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-07-01,0.019604906001487475,0.019604906001487475,0.0,0,False,0.0,1.4114534014687832,-0.05939102436414345,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-08-01,0.0021819381915142,0.0021819381915142,0.0,0,False,0.0,1.4391248127300575,-0.0409504738126476,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-09-01,-0.013997120641633831,-0.013997120641633831,0.0,0,False,0.0,1.443371504823117,-0.038120428771602044,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-10-01,-0.020884381181882516,-0.020884381181882516,0.0,0,False,0.0,1.4231684597394108,-0.05158397317280938,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-11-01,0.014986250604257513,0.014986250604257513,0.0,0,False,0.0,1.39344646714018,-0.07139105499607512,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2012-12-01,-0.025013428972093577,-0.025013428972093577,0.0,0,False,0.0,1.41368403520563,-0.05790450407799663,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2013-01-01,-0.025362181479354942,-0.025362181479354942,0.0,0,False,0.0,1.3766200028792404,-0.0826044066345959,0.0,0.0,0.0,0.0,0.8,0.0,0.2
2013-02-01,0.004028747254518982,0.0008287472545189822,0.8,2,True,0.0032,1.3374124576051845,-0.10873277116937219,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-03-01,0.028249744368179508,0.028249744368179508,0.0,0,False,0.0,1.3428005543719213,-0.10514208076817777,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-04-01,0.014692897294990903,0.014692897294990903,0.0,0,False,0.0,1.3807343267703784,-0.07986257330403723,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-05-01,0.03879079239748813,0.03879079239748813,0.0,0,False,0.0,1.4010213144252837,-0.06634308859631655,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-06-01,-0.016089292457049577,-0.016089292457049577,0.0,0,False,0.0,1.4478180078531406,-0.03515722739642391,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-07-01,0.05468657827151602,0.05468657827151602,0.0,0,False,0.0,1.4245236405002086,-0.05068086493991342,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-08-01,-0.03351494905405031,-0.03351494905405031,0.0,0,False,0.0,1.5024259640660482,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-09-01,0.03512123487234988,0.03512123487234988,0.0,0,False,0.0,1.451753686462271,-0.035696125619224084,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-10-01,0.040928883494675716,0.040928883494675716,0.0,0,False,0.0,1.5027410686613114,-0.015094917136943553,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-11-01,0.025123916732932287,0.025123916732932287,0.0,0,False,0.0,1.5642465827832146,-0.005489299139148307,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2013-12-01,0.020770976587816705,0.020770976587816705,0.0,0,False,0.0,1.6072472947562861,-9.823731265234947e-06,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-01-01,-0.04602568280181532,-0.04602568280181532,0.0,0,False,0.0,1.6024569510247164,-0.028577928155099075,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-02-01,0.060969015083741376,0.060969015083741376,0.0,0,False,0.0,1.5634697957663986,-0.052212249883464734,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-03-01,0.023222289295262846,0.023222289295262846,0.0,0,False,0.0,1.6711722935215951,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-04-01,-0.0014425428368095572,-0.0014425428368095572,0.0,0,False,0.0,1.7099807399839824,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-05-01,0.026789993500683895,0.026789993500683895,0.0,0,False,0.0,1.7075140195164362,-0.004047722282541466,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-06-01,0.02708304079652186,0.02708304079652186,0.0,0,False,0.0,1.752097537536031,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-07-01,-0.018086577677209312,-0.018086577677209312,0.0,0,False,0.0,1.7995496666246051,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-08-01,0.04135966570538603,0.04135966570538603,0.0,0,False,0.0,1.7670019717952032,-0.029843577980637193,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-09-01,-0.025196062500607443,-0.025196062500607443,0.0,0,False,0.0,1.8405726366702209,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-10-01,0.03791572413222246,0.03791572413222246,0.0,0,False,0.0,1.7941974534797704,-0.03158626474480053,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-11-01,0.02232547955866493,0.02232547955866493,0.0,0,False,0.0,1.8597604101591005,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2014-12-01,3.6090720149717544e-05,3.6090720149717544e-05,0.0,0,False,0.0,1.9012804531801215,-0.008299489357804335,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-01-01,-0.017904004108641836,-0.017904004108641836,0.0,0,False,0.0,1.8458921782766127,-0.045857012343107684,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2015-02-01,0.05581674592796025,0.05581674592796025,0.0,0,False,0.0,1.7917053808576442,-0.07386620669874111,0.0,0.0,0.0,0.8,0.0,0.0,0.2
