date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_ief.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vwo.us
2005-03-01,0.0,0.0,0.0,2,True,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.001431589601737393,0.001431589601737393,0.0,0,False,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0
2007-10-01,0.0,0.0,0.0,0,False,0.0,1.0014315896017376,-0.009469072940798795,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0,False,0.0,1.0014315896017376,-0.009469072940798795,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0,False,0.0,1.0014315896017376,-0.009469072940798795,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0,False,0.0,1.0011595875774075,-0.00973811420144921,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0,False,0.0,1.0011595875774075,-0.00973811420144921,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0,False,0.0,1.0011595875774075,-0.00973811420144921,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0,False,0.0,1.0011595875774075,-0.00973811420144921,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0,False,0.0,1.0011595875774075,-0.00973811420144921,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0,False,0.0,1.0011595875774075,-0.00973811420144921,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,-0.002684076652546663,-0.005084076652546662,0.6,2,True,0.0024,0.9987568045672218,-0.01211474272736568,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-08-01,0.01692770984387182,0.012927709843871819,1.0,2,True,0.004,0.9920917604875247,-0.024889868043904584,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.014958849744640679,0.010958849744640679,1.0,2,True,0.004,1.0067951164141808,-0.010438189369752937,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-10-01,-0.03208566433286264,-0.03208566433286264,0.0,0,False,0.0,1.0177681908311216,-0.02748374508300422,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-11-01,0.08684476562369814,0.08284476562369814,1.0,2,True,0.004,0.9863650259393602,-0.06398650374165182,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.06356878679544953,0.059568786795449524,1.0,2,True,0.004,1.0634666125236316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-01-01,-0.09422569789362178,-0.09422569789362178,0.0,0,False,0.0,1.1296249511690668,-0.049724525609368575,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-02-01,-0.008041777327458588,-0.012041777327458588,1.0,2,True,0.004,1.0072862072836262,-0.15263966373709525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.022508905287974112,0.022508905287974112,0.0,0,False,0.0,0.9879271495580233,-0.16892510231997548,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.1535018074934964,0.1495018074934964,1.0,2,True,0.004,1.0061236509660487,-0.15361764209623863,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-05-01,0.20315833150277052,0.20315833150277052,0.0,0,False,0.0,1.1605654499512932,-0.0236964203274036,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-06-01,-0.04132298466769191,-0.04132298466769191,0.0,0,False,0.0,1.39634399036316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-07-01,0.07209989394589908,0.07209989394589908,0.0,0,False,0.0,1.3386428890585595,-0.0413229846676918,0.0,0.0,0.0,0.0,0.4,0.0,0.6
2009-08-01,-0.05838763926844648,-0.05838763926844648,0.0,0,False,0.0,1.411999711907545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
