date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_agg.us,w_efa.us,w_ief.us,w_lqd.us,w_rsp.us,w_shy.us,w_spy.us,w_vwo.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2005-12-01,0.008716416854843534,0.006716416854843534,0.5,3,True,0.002,0.998,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-01-01,0.014988913650251373,0.013988913650251372,0.25,2,True,0.001,0.9907743825495998,-0.018054364936839207,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
2006-02-01,-0.011391888408369355,-0.012391888408369356,0.25,2,True,0.001,1.0036147698130977,-0.00968021051744583,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-03-01,0.008012576491723267,0.006012576491723267,0.5,2,True,0.002,0.9901973389456948,-0.022919899401735222,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-04-01,0.015914611716335902,0.015914611716335902,0.0,0,False,0.0,0.9988256494719451,-0.014405888925845711,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-05-01,-0.012551826141387556,-0.013551826141387557,0.25,2,True,0.001,1.0137068502837523,-0.011370107046666411,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0
2006-06-01,-0.006410041658740484,-0.007410041658740484,0.25,2,True,0.001,0.9999819951625163,-0.027140248506509868,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2006-07-01,-0.01260341925365574,-0.01260341925365574,0.0,0,False,0.0,0.9916666140680548,-0.03523009374799024,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2006-08-01,0.0021707000968617662,-0.0008292999031382338,0.75,4,True,0.003,0.9762307192991886,-0.05024732487971506,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
2006-09-01,-0.021736196207970238,-0.024736196207970237,0.75,4,True,0.003,0.9754147739458826,-0.051041139565868976,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
