<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT,D,20150615,000000,9.26984,9.26984,9.10145,9.10145,103515.07512858787,0
1AT,D,20150616,000000,9.09261,9.10145,8.93298,9.03317,96390.81520550298,0
1AT,D,20150617,000000,9.01718,9.22834,8.8482,9.13938,62074.64628367866,0
1AT,D,20150618,000000,9.10145,9.13938,9.05936,9.12221,65907.41381152946,0
1AT,D,20150619,000000,9.13938,9.13938,8.97449,9.01718,19733.778433104748,0
1AT,D,20150622,000000,9.08428,9.08428,9.02551,9.03027,6341.855993070728,0
1AT,D,20150623,000000,9.03027,9.08071,8.91164,9.05936,60879.119588892696,0
1AT,D,20150624,000000,9.05936,9.05936,8.46099,9.00425,37715.57910050842,0
1AT,D,20150625,000000,9.00128,9.05459,8.8482,9.05459,7594.714010313931,0
1AT,D,20150626,000000,8.8482,9.03317,8.6424,9.00893,52874.65524454136,0
1AT,D,20150629,000000,8.65907,8.8482,8.65907,8.8482,502.4921791904034,0
1AT,D,20150630,000000,8.80611,8.80611,8.63832,8.80611,19743.895725303224,0
1AT,D,20150701,000000,8.8482,8.99592,8.8482,8.99592,4746.696256446223,0
1AT,D,20150702,000000,8.9875,8.99592,8.9875,8.99592,59570.6164645581,0
1AT,D,20150703,000000,9.00128,9.07594,8.99592,8.99592,24069.038140146284,0
1AT,D,20150706,000000,9.05043,9.08071,9.05043,9.08071,26291.469993076033,0
1AT,D,20150707,000000,9.08071,9.3546,9.08071,9.08071,38727.30832035512,0
1AT,D,20150708,000000,9.26984,9.26984,9.08071,9.26984,10749.62296086839,0
1AT,D,20150709,000000,9.26984,9.29124,9.26516,9.26516,947.6530359228356,0
1AT,D,20150710,000000,9.26984,9.26984,9.10145,9.26516,2353.9566515093366,0
1AT,D,20150713,000000,9.29124,9.29124,9.18624,9.26516,1418.1071231513636,0
1AT,D,20150714,000000,9.20707,9.26516,9.05936,9.26516,6407.618392360719,0
1AT,D,20150715,000000,9.26516,9.26516,8.94481,9.26516,28259.28332567715,0
1AT,D,20150716,000000,9.26516,9.29124,9.10145,9.26984,24013.3930330553,0
1AT,D,20150717,000000,9.29124,9.29124,9.26099,9.26516,6707.764727581859,0
1AT,D,20150720,000000,9.26516,9.26984,9.22834,9.22834,23827.909342749397,0
1AT,D,20150721,000000,9.22834,9.26516,9.22357,9.26516,13970.29431071349,0
1AT,D,20150722,000000,9.26984,9.26984,9.18624,9.18624,735.1898997550801,0
