<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3RG,D,20120314,000000,12.18,12.18,11.4366,12.0466,37864.6847274819,0
3RG,D,20120315,000000,12.0752,12.1038,11.6272,11.8369,6016.4630539358,0
3RG,D,20120316,000000,11.8369,11.875,11.5415,11.8655,9438.1034478815,0
3RG,D,20120319,000000,11.8846,11.8846,11.8083,11.8083,903.4137930657,0
3RG,D,20120320,000000,11.8846,11.8846,11.4557,11.6749,1591.7290639729001,0
3RG,D,20120321,000000,11.7225,11.7225,11.3508,11.57,5417.334975143101,0
3RG,D,20120322,000000,11.5796,11.5796,10.7695,11.551,2626.3004925011,0
3RG,D,20120323,000000,11.5796,11.5796,10.8648,11.4366,6121.3891623058,0
3RG,D,20120326,000000,11.5796,11.5796,11.5796,11.5796,1.0492610837,0
3RG,D,20120327,000000,10.8648,11.5796,10.8648,11.4366,4593.6650244386,0
3RG,D,20120328,000000,11.5319,11.5319,11.4176,11.4176,2153.0837437524,0
3RG,D,20120329,000000,11.4176,11.57,11.3413,11.57,4040.7044333287004,0
3RG,D,20120330,000000,11.5796,11.5796,11.5796,11.5796,1.0492610837,0
3RG,D,20120402,000000,11.5319,11.5319,11.5319,11.5319,2.0985221674,0
3RG,D,20120403,000000,11.5319,11.5319,11.1031,11.5319,2391.2660097523003,0
3RG,D,20120404,000000,11.5319,11.5319,10.9982,11.4366,3753.2068963949,0
3RG,D,20120405,000000,11.5319,11.5319,11.4366,11.4366,3.1477832511,0
3RG,D,20120410,000000,11.4366,11.5319,11.0554,11.4938,32785.2118212902,0
3RG,D,20120411,000000,11.3413,11.3508,10.9601,11.3508,2508.7832511267,0
3RG,D,20120412,000000,10.8743,11.0173,10.5789,10.5789,37890.916254574404,0
3RG,D,20120413,000000,10.8076,10.8076,10.3501,10.3692,10123.270935537601,0
3RG,D,20120416,000000,10.3501,10.3501,9.73066,9.97845,690.4137930746,0
3RG,D,20120417,000000,10.007,10.007,9.62582,10.007,543.5172413566,0
3RG,D,20120418,000000,9.89268,9.97845,9.57817,9.97845,677.8226600702001,0
3RG,D,20120419,000000,9.97845,9.97845,9.57817,9.97845,34.625615762100004,0
3RG,D,20120420,000000,9.97845,9.97845,8.6823,8.6823,32553.325121792503,0
3RG,D,20120423,000000,8.6823,8.91103,8.51075,8.51075,1783.74384229,0
3RG,D,20120424,000000,8.00563,8.38685,8.00563,8.38685,2090.1280787304,0
3RG,D,20120425,000000,8.38685,8.41545,8.03423,8.38685,1514.0837437791001,0
3RG,D,20120426,000000,8.57746,8.57746,8.14859,8.19624,36.7241379295,0
3RG,D,20120427,000000,8.19624,8.36779,8.19624,8.36779,841.5073891274001,0
3RG,D,20120430,000000,8.19624,8.36779,8.08188,8.36779,2600.0689654086,0
3RG,D,20120502,000000,8.36779,8.36779,8.28202,8.28202,128.00985221140002,0
3RG,D,20120504,000000,8.29155,8.29155,7.6816,8.29155,6447.7093593365,0
3RG,D,20120507,000000,8.36779,8.36779,7.81502,8.32014,2490.9458127038,0
3RG,D,20120508,000000,8.31061,8.31061,8.29155,8.30108,54.5615763524,0
3RG,D,20120509,000000,8.00563,8.00563,7.64347,7.9961,1583.3349753033,0
3RG,D,20120510,000000,8.10094,8.10094,7.64347,8.10094,293.793103436,0
3RG,D,20120511,000000,8.10094,8.28202,7.89127,8.28202,2014.5812807040002,0
3RG,D,20120514,000000,8.28202,8.28202,8.03423,8.03423,1273.8029556118001,0
3RG,D,20120515,000000,8.03423,8.32014,8.00563,8.00563,2330.4088668977,0
3RG,D,20120516,000000,7.64347,8.31061,7.62441,8.31061,1844.6009851446001,0
3RG,D,20120517,000000,8.29155,8.31061,7.62441,7.62441,4980.8423643239,0
3RG,D,20120518,000000,7.52911,8.11047,7.3385,7.98657,3608.4088668443,0
3RG,D,20120521,000000,8.18671,8.18671,7.81502,8.18671,267.5615763435,0
3RG,D,20120522,000000,8.09141,8.09141,8.09141,8.09141,1.0492610837,0
3RG,D,20120523,000000,7.81502,7.9961,7.81502,7.9961,1185.6650245810001,0
3RG,D,20120524,000000,7.62441,7.62441,7.62441,7.62441,147.94581280170001,0
3RG,D,20120525,000000,7.62441,7.95798,7.54817,7.95798,3091.1231525802,0
3RG,D,20120528,000000,7.95798,8.10094,7.95798,8.10094,1259.11330044,0
3RG,D,20120529,000000,8.10094,8.31061,7.91033,8.31061,795.3399014446001,0
3RG,D,20120530,000000,8.31061,8.31061,7.81502,8.31061,1950.5763545983,0
3RG,D,20120531,000000,8.31061,8.31061,8.31061,8.31061,1.0492610837,0
3RG,D,20120601,000000,8.31061,8.37732,8.00563,8.00563,1155.2364531537,0
3RG,D,20120604,000000,8.14859,8.14859,8.14859,8.14859,1.0492610837,0
3RG,D,20120605,000000,8.14859,8.3392,8.00563,8.00563,4646.1280786236,0
3RG,D,20120606,000000,8.00563,8.3392,7.76737,8.32967,4084.7733988441,0
3RG,D,20120608,000000,8.36779,8.70136,8.19624,8.70136,7534.7438420497,0
3RG,D,20120611,000000,8.75854,8.75854,8.31061,8.47263,1559.2019703782,0
3RG,D,20120612,000000,8.4631,8.47263,8.4631,8.47263,1050.3103447837,0
3RG,D,20120613,000000,8.74901,8.74901,8.08188,8.38685,1952.6748767657,0
3RG,D,20120614,000000,8.5584,8.5584,8.5584,8.5584,1.0492610837,0
3RG,D,20120615,000000,8.74901,8.74901,8.74901,8.74901,347.3054187047,0
3RG,D,20120618,000000,8.71089,8.74901,8.08188,8.74901,1064.9999999555,0
3RG,D,20120619,000000,8.75854,8.76808,8.05329,8.76808,6981.7832509398,0
3RG,D,20120620,000000,8.77761,8.77761,8.38685,8.75854,580.2413792861,0
3RG,D,20120621,000000,8.75854,8.85385,8.00563,8.85385,7430.866994763401,0
3RG,D,20120622,000000,8.57746,8.85385,8.20577,8.85385,3094.2709358313,0
3RG,D,20120625,000000,8.85385,8.85385,8.57746,8.67277,789.0443349424,0
3RG,D,20120626,000000,8.76808,8.76808,8.76808,8.76808,5.2463054185,0
3RG,D,20120627,000000,8.75854,8.86338,8.75854,8.86338,5748.901477592301,0
3RG,D,20120628,000000,8.87291,8.87291,8.87291,8.87291,1.0492610837,0
3RG,D,20120629,000000,8.89197,8.89197,8.89197,8.89197,1.0492610837,0
3RG,D,20120702,000000,8.86338,8.86338,8.00563,8.37732,10278.5615759252,0
3RG,D,20120703,000000,8.37732,8.37732,7.9961,8.00563,2427.9901476818,0
3RG,D,20120704,000000,7.9961,7.9961,7.9961,7.9961,2.0985221674,0
3RG,D,20120705,000000,7.9961,8.16765,7.9961,8.16765,1885.5221674089,0
3RG,D,20120706,000000,8.15812,8.15812,8.13906,8.13906,123.8128078766,0
3RG,D,20120709,000000,8.19624,8.32014,8.19624,8.32014,3.1477832511,0
3RG,D,20120710,000000,8.37732,8.37732,8.11047,8.28202,842.5566502111001,0
3RG,D,20120711,000000,8.28202,8.28202,7.81502,7.91033,1766.9556649508002,0
