<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4MS,D,20190110,000000,2.2971,3.4221,2.2971,3.4221,559559.2000000001,0
4MS,D,20190111,000000,3.4221,4.0782,2.7659,2.7659,581458.8,0
4MS,D,20190114,000000,2.8128,3.094,2.8128,2.9065,144172.6,0
4MS,D,20190115,000000,2.9065,3.2817,1.7814,1.7814,603156.4,0
4MS,D,20190116,000000,1.7814,2.1095,1.7814,2.1095,213384.2,0
4MS,D,20190117,000000,2.2033,2.5315,1.4533,1.4533,991834.9,0
4MS,D,20190118,000000,1.4533,1.6407,1.4064,1.5939,269121.9,0
4MS,D,20190121,000000,1.6407,1.7346,1.5001,1.7346,416278.80000000005,0
4MS,D,20190122,000000,1.7814,1.7814,1.0782,1.0782,1628863.8,0
4MS,D,20190123,000000,0.9845,1.2188,0.9376,1.1251,571564.3,0
4MS,D,20190124,000000,1.0782,1.172,1.0313,1.0782,303477.3,0
4MS,D,20190125,000000,1.1251,1.172,0.7501,0.7501,1773806.9000000001,0
4MS,D,20190128,000000,0.6094,0.7501,0.5157,0.6094,2899591,0
4MS,D,20190129,000000,0.6094,0.7501,0.6094,0.7032,1392840.9000000001,0
4MS,D,20190130,000000,0.7032,0.8438,0.6094,0.6563,1540917,0
4MS,D,20190131,000000,0.6094,0.7032,0.6094,0.7032,783387.9,0
4MS,D,20190201,000000,0.7032,0.7501,0.6563,0.7032,340181.30000000005,0
4MS,D,20190204,000000,0.7501,0.7501,0.6563,0.6563,84666.20000000001,0
4MS,D,20190205,000000,0.6563,0.7032,0.6094,0.6563,248116.5,0
4MS,D,20190206,000000,0.7032,0.7032,0.6094,0.6563,185013.1,0
4MS,D,20190207,000000,0.6563,0.7032,0.6094,0.6563,184654.2,0
4MS,D,20190208,000000,0.6563,0.7032,0.6094,0.6563,219573.90000000002,0
4MS,D,20190211,000000,0.6563,0.8438,0.6563,0.7501,565593.3,0
4MS,D,20190212,000000,0.797,0.797,0.6563,0.7501,415952.60000000003,0
4MS,D,20190213,000000,0.7032,0.797,0.6563,0.7501,251297.90000000002,0
4MS,D,20190214,000000,0.797,0.9376,0.7032,0.9376,617191.6,0
4MS,D,20190215,000000,0.9376,1.1251,0.9376,1.0782,796063.3,0
4MS,D,20190218,000000,1.0782,1.172,0.8907,0.9376,879068.7000000001,0
4MS,D,20190219,000000,0.9845,1.0782,0.9376,1.0782,398878.9,0
4MS,D,20190220,000000,1.0782,1.1251,0.9376,0.9845,500525.10000000003,0
4MS,D,20190221,000000,0.9845,1.2658,0.9376,1.2188,811244.7000000001,0
4MS,D,20190222,000000,1.2188,1.3126,1.1251,1.2658,770180.5,0
4MS,D,20190225,000000,1.3126,1.3126,1.0782,1.1251,577693,0
4MS,D,20190226,000000,1.1251,1.2188,1.0782,1.172,273047.7,0
4MS,D,20190227,000000,1.172,1.2188,1.0782,1.1251,197875.2,0
4MS,D,20190228,000000,1.0782,1.1251,1.0313,1.0313,263944.5,0
4MS,D,20190301,000000,1.0313,1.0782,0.9376,0.9845,192119.90000000002,0
4MS,D,20190304,000000,0.8884,0.9371,0.8204,0.9376,316356.60000000003,0
4MS,D,20190305,000000,0.8973,0.9793,0.8907,0.9376,41487.700000000004,0
4MS,D,20190306,000000,0.953,1.0782,0.953,1.0313,149236.30000000002,0
