<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE,D,20060921,000000,9.06834,9.57963,9.03774,9.19353,1074761.1660389,0
ABE,D,20060922,000000,9.18653,9.18653,8.84161,9.11653,67481.714615213,0
ABE,D,20060925,000000,9.02984,9.29686,9.02984,9.29686,159826.13564273,0
ABE,D,20060926,000000,9.352,9.47018,9.352,9.46227,133552.65769727,0
ABE,D,20060927,000000,9.50163,9.50163,9.19353,9.3914,87877.929776784,0
ABE,D,20060928,000000,9.19353,9.43079,9.15503,9.43079,47673.796894595,0
ABE,D,20060929,000000,9.45353,9.45353,9.2732,9.43079,45527.367978964,0
ABE,D,20061002,000000,9.43079,9.43079,9.20233,9.43079,83276.644160945,0
ABE,D,20061003,000000,9.35982,9.43079,9.35982,9.42379,26981.719524856,0
ABE,D,20061004,000000,9.352,9.44653,9.352,9.44653,84457.808343363,0
ABE,D,20061005,000000,9.43079,9.49385,9.43079,9.47018,136586.6732374,0
ABE,D,20061006,000000,9.50163,9.78364,9.47018,9.78364,89354.95616737,0
ABE,D,20061009,000000,9.78364,9.84655,9.74426,9.84655,25730.873509627,0
ABE,D,20061010,000000,9.86315,9.86315,9.74426,9.86315,83374.884121958,0
ABE,D,20061011,000000,9.90253,9.98062,9.879,9.90253,50814.048671641,0
ABE,D,20061012,000000,9.94191,10.1775,9.94191,10.1469,20943.388897913,0
ABE,D,20061013,000000,10.2169,10.2563,10.0671,10.1538,144333.92225593,0
ABE,D,20061016,000000,10.2011,10.2011,10.0594,10.1381,29715.303556311,0
ABE,D,20061017,000000,9.82301,9.90253,9.68989,9.75289,34018.442313726,0
ABE,D,20061018,000000,9.70649,10.0594,9.70649,9.78364,32143.886778574,0
ABE,D,20061019,000000,9.74426,9.90955,9.74426,9.78364,17050.344861473,0
ABE,D,20061020,000000,9.75289,9.85452,9.62764,9.62764,20721.777823069,0
ABE,D,20061023,000000,9.66626,9.74426,9.66626,9.74426,8354.9659866552,0
ABE,D,20061024,000000,9.82301,9.82301,9.74426,9.82301,19679.977306275,0
ABE,D,20061025,000000,9.74426,9.80897,9.63561,9.70649,13842.695901871,0
ABE,D,20061026,000000,9.64349,9.74426,9.58741,9.58741,19216.193304281,0
ABE,D,20061027,000000,9.58741,9.58741,9.44653,9.54888,10205.532694118,0
ABE,D,20061030,000000,9.58741,9.58741,9.352,9.47018,16255.286572341,0
ABE,D,20061031,000000,9.58741,9.71266,9.42379,9.47018,2554.2389863496,0
ABE,D,20061102,000000,9.70649,9.70649,9.43079,9.47018,30919.31424129,0
ABE,D,20061103,000000,9.69786,9.69786,9.43861,9.43861,15535.621741661,0
ABE,D,20061106,000000,9.47018,9.58741,9.47018,9.58741,5643.0861326329,0
ABE,D,20061107,000000,9.90955,10.6099,9.90955,10.6099,264476.82527486,0
ABE,D,20061108,000000,10.9321,11.396,10.8848,10.9233,144685.75839537,0
ABE,D,20061109,000000,11.3172,11.3172,10.6887,10.8061,30675.998989013,0
