<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABS,D,20071119,000000,4.02106,4.3668,4.02106,4.11917,188058.29394997287,0
ABS,D,20071120,000000,4.12292,4.18471,4.07566,4.18471,21833.3622337414,0
ABS,D,20071121,000000,4.22128,4.22128,4.15214,4.18471,40496.13293534672,0
ABS,D,20071122,000000,4.18471,4.18471,4.00294,4.00294,2817.3292594920204,0
ABS,D,20071123,000000,4.03935,4.22128,4.03935,4.22128,6613.019635775177,0
ABS,D,20071126,000000,4.3668,4.3668,4.22128,4.294,18354.60574036424,0
ABS,D,20071128,000000,4.3122,4.3668,4.3122,4.3668,2791.022494507823,0
ABS,D,20071129,000000,4.40321,4.40321,4.40321,4.40321,28.81217117310676,0
ABS,D,20071203,000000,4.12292,4.3668,4.04302,4.3668,548.6839553834996,0
ABS,D,20071205,000000,4.69432,4.69432,4.69432,4.69432,5.010812377931526,0
ABS,D,20071206,000000,4.40321,4.40321,4.40321,4.40321,1950.4587181098102,0
ABS,D,20071207,000000,4.43952,4.43952,4.33047,4.33047,1577.1531959539043,0
ABS,D,20071210,000000,4.3668,4.40321,4.3668,4.40321,3101.6928619396313,0
ABS,D,20071211,000000,4.24665,4.40321,4.24665,4.40321,1565.8788681035344,0
ABS,D,20071212,000000,4.36313,4.47584,4.33047,4.47584,17604.23658676843,0
ABS,D,20071213,000000,4.49412,4.49412,4.49412,4.49412,2.505406188965763,0
ABS,D,20071214,000000,4.49412,4.49412,4.49412,4.49412,28.81217117310676,0
ABS,D,20071217,000000,4.54871,4.54871,4.43952,4.51232,3194.3928909313827,0
ABS,D,20071219,000000,4.54871,4.54871,4.43952,4.54871,357.0203819276188,0
ABS,D,20071220,000000,4.3668,4.54871,4.3668,4.3668,825.5313392642187,0
ABS,D,20071221,000000,4.53045,4.53045,4.3668,4.53045,28856.01578141357,0
ABS,D,20071227,000000,4.41046,4.41046,4.40321,4.40321,1376.720700836682,0
ABS,D,20071228,000000,4.22128,4.62162,4.22128,4.54871,12362.92683945214,0
ABS,D,20080102,000000,4.54871,4.54871,4.54871,4.54871,4286.749989320454,0
ABS,D,20080103,000000,4.54871,4.54871,4.4068,4.4068,1404.2801689153287,0
ABS,D,20080104,000000,4.4068,4.4068,4.4068,4.4068,1374.215294647675,0
ABS,D,20080107,000000,4.3668,4.51232,4.3668,4.51232,194.1689796448447,0
ABS,D,20080108,000000,4.51232,4.56677,4.43952,4.55232,437133.2502259892,0
ABS,D,20080109,000000,4.37047,4.37047,4.3668,4.3668,15120.126350407989,0
ABS,D,20080110,000000,4.50874,4.50874,4.50874,4.50874,72.65677948000679,0
