<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,D,19980602,000000,8.4581,8.4581,8.4581,8.4581,724137.5805650965,0
ACP,D,19980603,000000,9.29263,9.29263,9.29263,9.29263,277598.1685218764,0
ACP,D,19980604,000000,10.127,10.127,10.127,10.127,822138.7690549435,0
ACP,D,19980605,000000,10.2492,10.2492,10.2492,10.2492,315983.13725108886,0
ACP,D,19980608,000000,10.2068,10.2068,10.2068,10.2068,177746.86038849092,0
ACP,D,19980609,000000,9.78974,9.78974,9.78974,9.78974,122775.99523421704,0
ACP,D,19980610,000000,8.99822,8.99822,8.99822,8.99822,245288.76206385015,0
ACP,D,19980615,000000,8.4581,8.4581,8.4581,8.4581,405553.49598314974,0
ACP,D,19980616,000000,8.75172,8.75172,8.75172,8.75172,335483.3481553214,0
ACP,D,19980617,000000,9.58221,9.58221,9.58221,9.58221,206438.75648657273,0
ACP,D,19980618,000000,9.74736,9.74736,9.74736,9.74736,178544.0664137594,0
ACP,D,19980619,000000,9.66595,9.66595,9.66595,9.66595,244207.01866793528,0
ACP,D,19980622,000000,9.91801,9.91801,9.91801,9.91801,349517.1825246571,0
ACP,D,19980623,000000,10.2068,10.2068,10.2068,10.2068,335823.03814407426,0
ACP,D,19980624,000000,10.2068,10.2068,10.2068,10.2068,119392.8835012007,0
ACP,D,19980625,000000,10.2068,10.2068,10.2068,10.2068,136324.7372579895,0
ACP,D,19980626,000000,10.5388,10.5388,10.5388,10.5388,495962.4252040508,0
ACP,D,19980629,000000,10.7486,10.7486,10.7486,10.7486,225668.2181746718,0
ACP,D,19980630,000000,10.8331,10.8331,10.8331,10.8331,202205.7930473755,0
ACP,D,19980701,000000,11.374,11.374,11.374,11.374,262487.60463099217,0
ACP,D,19980702,000000,11.5823,11.5823,11.5823,11.5823,222780.22653597337,0
ACP,D,19980703,000000,11.8758,11.8758,11.8758,11.8758,234233.16907193858,0
ACP,D,19980706,000000,12.2899,12.2899,12.2899,12.2899,268029.18928148283,0
ACP,D,19980707,000000,12.6258,12.6258,12.6258,12.6258,518469.7072633414,0
ACP,D,19980708,000000,12.4972,12.4972,12.4972,12.4972,161343.97037803126,0
ACP,D,19980709,000000,11.8758,11.8758,11.8758,11.8758,360249.38061953377,0
ACP,D,19980710,000000,11.8758,11.8758,11.8758,11.8758,156346.39109697976,0
ACP,D,19980713,000000,12.7064,12.7064,12.7064,12.7064,64134.97403907862,0
ACP,D,19980714,000000,13.6644,13.6644,13.6644,13.6644,319437.6966939187,0
ACP,D,19980715,000000,13.6644,13.6644,13.6644,13.6644,192384.86661974966,0
ACP,D,19980716,000000,13.5392,13.5392,13.5392,13.5392,122981.56408350031,0
ACP,D,19980717,000000,13.8728,13.8728,13.8728,13.8728,213257.62563351783,0
ACP,D,19980720,000000,13.5392,14.4983,13.5392,14.3745,188469.03073462396,0
ACP,D,19980721,000000,14.4983,14.4983,14.081,14.1662,275370.75483178266,0
ACP,D,19980722,000000,13.8728,13.8728,13.5392,13.6644,232884.43686565958,0
ACP,D,19980723,000000,13.7499,14.4983,13.7499,14.29,213959.56804570512,0
ACP,D,19980724,000000,13.9573,14.3745,13.9573,14.1662,199528.38413232673,0
ACP,D,19980727,000000,14.081,14.081,13.3318,13.4595,179518.01151066623,0
ACP,D,19980728,000000,13.5392,13.5392,13.1236,13.2519,255926.95001424273,0
ACP,D,19980729,000000,12.9153,13.2519,12.6258,13.2519,282563.1576195028,0
ACP,D,19980730,000000,13.3318,13.6644,13.1236,13.2519,138960.78170946662,0
ACP,D,19980731,000000,13.6644,13.6644,13.3318,13.4595,149266.8004826558,0
ACP,D,19980803,000000,13.1236,13.3318,13.0415,13.2519,466088.5082225848,0
