<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADX,D,20130827,000000,15,20,15,20,55035.200000000004,0
ADX,D,20130828,000000,20.7,24.5,20.25,21.5,6846.8,0
ADX,D,20130829,000000,22,22.5,19.95,22,2786,0
ADX,D,20130830,000000,22.2,22.2,19.5,19.5,814.2,0
ADX,D,20130902,000000,19.45,19.45,15.6,16.25,1467.2,0
ADX,D,20130903,000000,16.85,17.25,13.5,14.5,1220.4,0
ADX,D,20130904,000000,14,16,14,15.6,371.40000000000003,0
ADX,D,20130905,000000,16.15,16.15,14.95,15.35,94.4,0
ADX,D,20130906,000000,14.15,14.15,14.15,14.15,40,0
ADX,D,20130909,000000,14.65,16.25,12.5,15.5,1107.8,0
ADX,D,20130910,000000,14.05,15.45,12.5,13.8,842.4000000000001,0
ADX,D,20130911,000000,12.85,13.7,12.85,13.7,189.4,0
ADX,D,20130913,000000,13.95,15.55,13.6,13.6,1223.6000000000001,0
ADX,D,20130916,000000,13.5,13.5,12.85,12.9,906,0
ADX,D,20130917,000000,13.4,13.4,13.4,13.4,0.4,0
ADX,D,20130918,000000,13.4,15.2,11.9,13,1209.4,0
ADX,D,20130919,000000,13.4,13.95,12.95,12.95,516.8000000000001,0
ADX,D,20130920,000000,13,13.5,12.95,13.4,532.8000000000001,0
ADX,D,20130923,000000,13.5,15.3,13.5,15,343.20000000000005,0
ADX,D,20130924,000000,14.2,15.3,13.3,13.85,712,0
ADX,D,20130925,000000,13.5,13.5,13,13.5,120.2,0
ADX,D,20130926,000000,13.95,13.95,12.75,12.75,466.20000000000005,0
ADX,D,20130927,000000,13,13.95,13,13.75,200.8,0
ADX,D,20130930,000000,13.75,15.25,13,13.25,793.8000000000001,0
ADX,D,20131001,000000,13.25,14.25,12.5,13.5,2729.8,0
ADX,D,20131002,000000,13.5,14.7,12.5,12.5,849.6,0
ADX,D,20131003,000000,13.2,14.7,12.5,12.65,832.2,0
ADX,D,20131004,000000,13.2,14.05,13.05,14.05,674,0
ADX,D,20131007,000000,14.1,14.1,13.3,13.45,281,0
ADX,D,20131008,000000,13.4,13.65,13.15,13.15,49,0
ADX,D,20131009,000000,14,14.25,14,14.25,776,0
ADX,D,20131010,000000,13.3,14.25,12.15,13.45,1309.4,0
ADX,D,20131011,000000,13,14.2,12.9,14.15,584.4,0
ADX,D,20131014,000000,13.5,14.75,13.15,14,1783.6000000000001,0
ADX,D,20131015,000000,14.7,16.2,13.45,16.2,2134,0
ADX,D,20131016,000000,16.3,19.45,16,19,1906.2,0
ADX,D,20131017,000000,19.15,22.2,18,19.15,20819.4,0
ADX,D,20131018,000000,19.1,19.25,18.1,19.25,1749,0
ADX,D,20131021,000000,19.9,20.5,18,18.25,391.40000000000003,0
ADX,D,20131022,000000,18.75,19.25,18.5,19.2,549.6,0
ADX,D,20131023,000000,19.2,19.2,18.45,19.15,279.6,0
ADX,D,20131024,000000,18.25,18.9,16.55,18.2,1121.4,0
