<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGO,D,19990420,000000,31.8404,31.8404,29.4164,30.0527,335889.4450602025,0
AGO,D,19990421,000000,29.9917,30.1201,29.6703,29.7987,251681.01169730056,0
AGO,D,19990422,000000,29.9917,31.8404,29.9917,31.3317,243902.54436305346,0
AGO,D,19990423,000000,31.5246,32.5423,31.3317,31.713,257684.60669953722,0
AGO,D,19990426,000000,31.5856,31.7804,31.2706,31.2706,141544.71485341873,0
AGO,D,19990427,000000,30.9493,30.9493,30.3149,30.5015,132925.9174827835,0
AGO,D,19990428,000000,30.3149,30.3149,29.3555,29.4838,80013.28057814996,0
AGO,D,19990429,000000,29.2889,29.8652,29.035,29.3555,98445.31350258547,0
AGO,D,19990430,000000,29.2889,29.7987,29.2889,29.6094,80383.63221789832,0
AGO,D,19990504,000000,30.1201,30.3149,29.6094,29.9243,27421.181934819095,0
AGO,D,19990505,000000,29.7377,29.7377,29.1615,29.3555,79245.50481036752,0
AGO,D,19990506,000000,29.3555,29.3555,29.035,29.035,102117.42581365771,0
AGO,D,19990507,000000,29.035,29.3555,28.7127,28.9686,109751.86751022491,0
AGO,D,19990510,000000,28.7802,28.7802,28.0765,28.3988,33865.517046346955,0
AGO,D,19990511,000000,27.95,27.95,27.3738,27.6951,147746.48046990673,0
AGO,D,19990512,000000,27.756,27.8225,27.2463,27.4411,94852.25285730745,0
AGO,D,19990513,000000,27.5021,28.0765,27.5021,28.0765,46877.63781598546,0
AGO,D,19990514,000000,28.7127,28.7127,27.6951,27.8225,42131.28916973666,0
AGO,D,19990517,000000,27.6277,27.6951,27.3738,27.5686,105984.460040387,0
AGO,D,19990518,000000,27.95,28.0765,27.5686,27.8835,26552.696510613863,0
AGO,D,19990519,000000,27.8835,27.8835,27.6277,27.8225,56075.78643593465,0
AGO,D,19990520,000000,27.8225,28.0174,27.756,27.756,106192.37675042116,0
AGO,D,19990521,000000,28.1439,28.7802,28.1439,28.5862,89239.58458591628,0
AGO,D,19990524,000000,28.7802,28.7802,28.3313,28.5253,43112.3961452104,0
AGO,D,19990525,000000,28.0174,28.2039,27.756,28.0765,54990.72110544382,0
AGO,D,19990526,000000,28.0765,28.2713,27.95,28.0765,35039.380138414876,0
AGO,D,19990527,000000,28.0174,28.0174,27.756,27.756,29333.582507320894,0
AGO,D,19990528,000000,27.5021,27.756,27.5021,27.6951,28964.313767103955,0
AGO,D,19990531,000000,27.5021,27.5686,27.3738,27.5021,17551.63560538456,0
AGO,D,19990601,000000,27.756,28.3313,27.756,27.8835,33781.05088289557,0
AGO,D,19990602,000000,28.0765,28.5253,28.0765,28.2039,22145.295417702015,0
AGO,D,19990607,000000,28.5862,29.035,28.5862,29.035,36462.31012271123,0
AGO,D,19990608,000000,29.1015,29.1015,28.8402,28.9075,58044.4977840707,0
AGO,D,19990609,000000,28.9075,30.1201,28.9075,29.9243,85138.64406039855,0
AGO,D,19990610,000000,29.7377,30.1866,29.5429,29.5429,46739.026675962676,0
AGO,D,19990611,000000,29.9917,30.1866,29.6703,30.1201,52883.39861728498,0
AGO,D,19990614,000000,29.9917,29.9917,29.4838,29.6703,20167.92087331454,0
AGO,D,19990615,000000,29.4838,29.7377,29.4838,29.6094,22500.48646401039,0
AGO,D,19990616,000000,29.4838,29.4838,29.3555,29.3555,18489.426599601185,0
AGO,D,19990617,000000,29.7987,30.2475,29.5429,29.5429,25071.289951620394,0
AGO,D,19990618,000000,29.9917,29.9917,29.4838,29.4838,25936.526677231344,0
AGO,D,19990621,000000,29.9243,29.9243,29.5429,29.6703,27922.564417870246,0
AGO,D,19990622,000000,29.9243,30.9493,29.9243,30.628,163854.6109998978,0
AGO,D,19990623,000000,30.3149,30.628,30.2475,30.4405,54744.90291180967,0
AGO,D,19990624,000000,30.628,30.628,30.3149,30.5015,47281.55934120809,0
AGO,D,19990625,000000,30.3149,30.3149,29.6094,29.8652,24622.969545609216,0
AGO,D,19990628,000000,29.8652,29.8652,28.9686,29.7987,29633.54567752644,0
AGO,D,19990629,000000,29.6703,29.6703,28.7127,29.1615,8309.088104646826,0
AGO,D,19990630,000000,29.4164,29.4164,28.7802,28.9075,12114.397058084716,0
AGO,D,19990701,000000,29.2889,29.9917,29.1015,29.6094,10191.167490268639,0
