<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALR,D,20121214,000000,39.1844,40.6987,39.1844,40.1059,4609496.982438723,0
ALR,D,20121217,000000,39.5463,40.5016,39.5463,40.3369,314137.2062275164,0
ALR,D,20121218,000000,40.6987,41.0944,40.5016,40.9951,592354.6202746246,0
ALR,D,20121219,000000,41.0944,41.1929,40.9951,41.1267,238879.99133657262,0
ALR,D,20121220,000000,40.8311,41.226,40.7649,40.9951,115109.75872486076,0
ALR,D,20121221,000000,41.0281,41.0944,40.8311,40.9951,189127.46341266792,0
ALR,D,20121227,000000,40.9627,41.8519,40.8634,41.654,133624.400640245,0
ALR,D,20121228,000000,41.621,41.8187,40.9951,41.2591,37305.418471427285,0
ALR,D,20130102,000000,41.2591,42.1474,41.2591,42.1474,73340.36994143776,0
ALR,D,20130103,000000,41.8187,42.8064,41.6871,42.7402,139987.88009470992,0
ALR,D,20130104,000000,42.7402,43.2013,42.7402,43.1682,47699.473061966026,0
ALR,D,20130107,000000,43.1682,43.4646,43.1682,43.3992,116777.71101619455,0
ALR,D,20130108,000000,43.3992,43.4977,40.1721,42.1474,121623.06908300155,0
ALR,D,20130109,000000,42.1474,42.477,41.2591,42.477,55604.60107078177,0
ALR,D,20130110,000000,42.5432,42.8064,41.6871,42.4438,94861.53610578888,0
ALR,D,20130111,000000,42.1474,42.2137,41.5224,42.2137,34198.594196032755,0
ALR,D,20130114,000000,42.3784,42.3784,41.5224,41.5555,244541.37060604405,0
ALR,D,20130115,000000,41.4892,41.4892,40.8311,41.1598,228841.32079028987,0
ALR,D,20130116,000000,40.8311,41.8187,40.3038,41.4892,236379.92030746877,0
ALR,D,20130117,000000,41.226,42.4438,41.226,42.2799,159824.99643262158,0
ALR,D,20130118,000000,42.2799,43.3006,42.2799,43.0697,108532.0582262973,0
ALR,D,20130121,000000,43.8604,45.7703,43.8604,45.7703,333531.0212140566,0
ALR,D,20130122,000000,46.4285,51.0381,46.3631,47.9434,619164.4458571542,0
ALR,D,20130123,000000,49.3922,50.0505,48.4037,49.2928,1130559.608997634,0
ALR,D,20130124,000000,49.2606,49.2606,48.2067,48.7333,199880.61686325626,0
ALR,D,20130125,000000,48.7333,49.7208,48.4037,49.0627,126439.94689539084,0
ALR,D,20130128,000000,49.0627,49.985,49.0627,49.7208,354638.60455338506,0
ALR,D,20130129,000000,49.8533,49.9187,49.4576,49.6555,149351.6924384857,0
ALR,D,20130130,000000,49.4246,49.7872,48.4037,48.5031,210077.7862167333,0
ALR,D,20130131,000000,48.4037,48.6347,46.4285,47.219,416293.40228003677,0
ALR,D,20130201,000000,47.3507,47.9434,46.8895,47.5808,295293.18397843157,0
ALR,D,20130204,000000,48.898,48.898,47.7787,48.1405,167878.717073182,0
ALR,D,20130205,000000,48.7333,48.898,48.3052,48.4037,298286.0872361552,0
ALR,D,20130206,000000,48.6015,48.7001,47.7456,47.9103,278479.92769652366,0
ALR,D,20130207,000000,47.9103,48.042,47.0544,47.6793,128957.35373153158,0
ALR,D,20130208,000000,47.416,48.0751,47.416,48.042,43979.70418062478,0
ALR,D,20130211,000000,48.0088,48.2721,47.8118,48.0751,40237.646404521845,0
