<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB,D,20050622,000000,4.05675,4.05675,3.90831,3.97385,103141,0
AMB,D,20050623,000000,3.90831,3.93013,3.78179,3.84293,49333.2,0
AMB,D,20050624,000000,3.80361,3.82102,3.75979,3.82102,6520.55,0
AMB,D,20050627,000000,3.80361,3.84293,3.80361,3.84293,47234.8,0
AMB,D,20050628,000000,3.88649,3.88649,3.88649,3.88649,31502.3,0
AMB,D,20050629,000000,3.90831,3.93013,3.90831,3.90831,10455.7,0
AMB,D,20050630,000000,3.86476,3.95212,3.86476,3.88649,14035.4,0
AMB,D,20050701,000000,3.88649,4.01327,3.88649,4.01327,19654.4,0
AMB,D,20050704,000000,3.99576,4.01327,3.99576,4.01327,11168.1,0
AMB,D,20050705,000000,4.01327,4.12237,4.01327,4.07865,120119,0
AMB,D,20050706,000000,4.05675,4.10047,4.05675,4.07865,80792.1,0
AMB,D,20050707,000000,4.01327,4.07865,4.01327,4.07865,26780,0
AMB,D,20050708,000000,4.07865,4.10047,4.07865,4.07865,106693,0
AMB,D,20050711,000000,4.01327,4.01327,4.01327,4.01327,7882.51,0
AMB,D,20050712,000000,4.01327,4.05675,4.01327,4.01327,9857.96,0
AMB,D,20050713,000000,4.05675,4.05675,4.01327,4.035,7652.3,0
AMB,D,20050714,000000,4.05675,4.05675,4.035,4.05675,67667.9,0
AMB,D,20050715,000000,4.05675,4.07865,4.05675,4.07865,12297.4,0
AMB,D,20050718,000000,4.07865,4.07865,4.035,4.07865,86953.5,0
AMB,D,20050719,000000,4.035,4.07865,4.01327,4.05675,13396.6,0
AMB,D,20050720,000000,4.07865,4.10047,4.05675,4.07865,18883,0
AMB,D,20050721,000000,4.07865,4.12237,4.01327,4.12237,177879,0
AMB,D,20050722,000000,4.12237,4.14419,4.07865,4.07865,29179.7,0
AMB,D,20050725,000000,4.10047,4.10047,4.10047,4.10047,8209.14,0
AMB,D,20050726,000000,4.10047,4.10047,4.07865,4.07865,86030.3,0
AMB,D,20050727,000000,4.07865,4.14419,4.07865,4.14419,127474,0
AMB,D,20050728,000000,4.10047,4.10047,4.07865,4.07865,30293.4,0
AMB,D,20050729,000000,4.12237,4.12237,4.10047,4.10047,617.102,0
AMB,D,20050801,000000,4.12237,4.12237,4.035,4.07865,4382.38,0
AMB,D,20050802,000000,4.05675,4.10047,4.05675,4.10047,1287.23,0
AMB,D,20050803,000000,4.10047,4.12237,4.035,4.12237,3077.07,0
AMB,D,20050804,000000,4.035,4.10047,4.035,4.10047,990.738,0
AMB,D,20050805,000000,4.07865,4.12237,4.07865,4.12237,24598.5,0
AMB,D,20050808,000000,4.12237,4.12237,4.07865,4.12237,2770.93,0
AMB,D,20050809,000000,4.07865,4.07865,4.07865,4.07865,1969.42,0
AMB,D,20050810,000000,4.07865,4.07865,4.07865,4.07865,2082.71,0
AMB,D,20050811,000000,4.07865,4.07865,4.07865,4.07865,9826.62,0
AMB,D,20050812,000000,4.07865,4.07865,4.07865,4.07865,78054.9,0
AMB,D,20050816,000000,4.07865,4.10047,4.07865,4.10047,9544.59,0
AMB,D,20050817,000000,4.10047,4.20525,4.10047,4.20525,173334,0
AMB,D,20050818,000000,4.22716,4.41924,4.22716,4.27088,116203,0
AMB,D,20050819,000000,4.35809,4.39749,4.29262,4.38007,16476.1,0
AMB,D,20050822,000000,4.38007,4.78603,4.38007,4.78603,168489,0
AMB,D,20050823,000000,4.78603,4.78603,4.57214,4.58965,40328.5,0
AMB,D,20050824,000000,4.52842,4.58965,4.50659,4.52842,28020.2,0
AMB,D,20050825,000000,4.50659,4.58965,4.48478,4.55024,12977.2,0
AMB,D,20050826,000000,4.48478,4.57214,4.48478,4.50659,8949.18,0
AMB,D,20050829,000000,4.31461,4.52842,4.31461,4.48478,37110.4,0
AMB,D,20050830,000000,4.50659,4.55024,4.48478,4.52842,22490.4,0
AMB,D,20050831,000000,4.52842,4.55024,4.48478,4.48478,78198.4,0
AMB,D,20050901,000000,4.48478,4.50659,4.33626,4.50659,107812,0
AMB,D,20050902,000000,4.41924,4.50659,4.39749,4.39749,27962.4,0
AMB,D,20050905,000000,4.39749,4.57214,4.39749,4.52842,140323,0
AMB,D,20050906,000000,4.52842,4.52842,4.38007,4.38007,83457,0
AMB,D,20050907,000000,4.48478,4.52842,4.33626,4.50659,54793.1,0
AMB,D,20050908,000000,4.52842,4.57214,4.48478,4.48478,33753.8,0
AMB,D,20050909,000000,4.48478,4.52842,4.46296,4.46296,7457.05,0
AMB,D,20050912,000000,4.48478,4.57214,4.41924,4.52842,6903.83,0
AMB,D,20050913,000000,4.52842,4.52842,4.48478,4.50659,12643.3,0
AMB,D,20050914,000000,4.48478,4.52842,4.48478,4.52842,4026.83,0
AMB,D,20050915,000000,4.41924,4.52842,4.41924,4.52842,17879,0
AMB,D,20050916,000000,4.52842,4.52842,4.50659,4.52842,5176.66,0
AMB,D,20050919,000000,4.48478,4.61146,4.48478,4.61146,118502,0
AMB,D,20050920,000000,4.58965,4.58965,4.57214,4.57214,3300.05,0
AMB,D,20050921,000000,4.48478,4.55024,4.48478,4.55024,4953.69,0
AMB,D,20050922,000000,4.48478,4.52842,4.48478,4.52842,4846.42,0
AMB,D,20050923,000000,4.48478,4.52842,4.39749,4.48478,318111,0
AMB,D,20050926,000000,4.44114,4.52842,4.44114,4.52842,111247,0
AMB,D,20050927,000000,4.48478,4.48478,4.33626,4.38007,152313,0
AMB,D,20050928,000000,4.39749,4.39749,4.35809,4.35809,48290.6,0
AMB,D,20050929,000000,4.35809,4.35809,4.31461,4.31461,1665.69,0
AMB,D,20050930,000000,4.31461,4.33626,4.29262,4.33626,3755.64,0
AMB,D,20051003,000000,4.31461,4.31461,4.18783,4.31461,245405,0
AMB,D,20051004,000000,4.27088,4.29262,4.22716,4.27088,20059.4,0
AMB,D,20051005,000000,4.24906,4.27088,4.24906,4.27088,13243.5,0
AMB,D,20051006,000000,4.22716,4.22716,4.22716,4.22716,1680.15,0
AMB,D,20051007,000000,4.18783,4.20525,4.18783,4.18783,27617.7,0
AMB,D,20051010,000000,4.18783,4.22716,4.18783,4.22716,26000.2,0
AMB,D,20051011,000000,4.16593,4.22716,4.16593,4.22716,6054.1,0
AMB,D,20051012,000000,4.22716,4.22716,4.14419,4.14419,617.102,0
AMB,D,20051013,000000,4.16593,4.16593,4.16593,4.16593,847.31,0
AMB,D,20051014,000000,4.14419,4.18783,4.14419,4.18783,1410.17,0
AMB,D,20051017,000000,4.01327,4.20525,4.01327,4.20525,1166.7,0
AMB,D,20051019,000000,3.90831,4.20525,3.90831,4.20525,5329.73,0
AMB,D,20051020,000000,4.07865,4.20525,4.07865,4.20525,3649.58,0
AMB,D,20051021,000000,4.05675,4.20525,4.05675,4.20525,3591.72,0
AMB,D,20051024,000000,4.18783,4.20525,4.18783,4.20525,4634.29,0
AMB,D,20051025,000000,4.16593,4.22716,4.16593,4.22716,11685.1,0
AMB,D,20051026,000000,4.18783,4.24906,4.16593,4.24906,20185.9,0
AMB,D,20051028,000000,4.14419,4.27088,4.14419,4.27088,3615.83,0
AMB,D,20051031,000000,4.27088,4.48478,4.27088,4.29262,14974.3,0
AMB,D,20051102,000000,4.27088,4.29262,4.27088,4.29262,1002.79,0
AMB,D,20051103,000000,4.31461,4.31461,4.31461,4.31461,2385.24,0
AMB,D,20051104,000000,4.31461,4.31461,4.20525,4.31461,2047.76,0
AMB,D,20051107,000000,4.18783,4.27088,4.18783,4.27088,1968.21,0
AMB,D,20051108,000000,4.27088,4.27088,4.14419,4.27088,947.348,0
AMB,D,20051109,000000,4.27088,4.31461,4.27088,4.31461,1334.24,0
AMB,D,20051110,000000,4.27088,4.31461,4.22716,4.31461,1641.58,0
AMB,D,20051114,000000,4.27088,4.31461,4.27088,4.31461,14292.1,0
AMB,D,20051115,000000,4.27088,4.27088,4.27088,4.27088,712.319,0
AMB,D,20051116,000000,4.31461,4.35809,4.27088,4.27088,31185.3,0
AMB,D,20051117,000000,4.27088,4.46296,4.27088,4.46296,20436.6,0
AMB,D,20051118,000000,4.44114,4.48478,4.39749,4.44114,114121,0
AMB,D,20051121,000000,4.41924,4.41924,4.41924,4.41924,1078.72,0
AMB,D,20051122,000000,4.29262,4.48478,4.29262,4.41924,26483.5,0
AMB,D,20051123,000000,4.41924,4.46296,4.41924,4.46296,4246.19,0
AMB,D,20051124,000000,4.48478,4.52842,4.41924,4.44114,9620.52,0
AMB,D,20051125,000000,4.41924,4.41924,4.33626,4.35809,7658.33,0
AMB,D,20051128,000000,4.38007,4.46296,4.29262,4.44114,2899.89,0
AMB,D,20051129,000000,4.44114,4.50659,4.33626,4.50659,36698.2,0
AMB,D,20051130,000000,4.50659,4.50659,4.48478,4.48478,404.973,0
AMB,D,20051201,000000,4.38007,4.50659,4.38007,4.50659,76173.5,0
