<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC,D,19970908,000000,38.2975,38.2975,38.2975,38.2975,215760.8598435524,0
AMC,D,19970909,000000,39.4934,39.4934,39.4934,39.4934,130048.20643851387,0
AMC,D,19970910,000000,40.6892,40.6892,40.6892,40.6892,63503.63999337938,0
AMC,D,19970911,000000,39.7948,39.7948,39.7948,39.7948,87666.10402767008,0
AMC,D,19970912,000000,39.1954,39.1954,39.1954,39.1954,55971.426585381916,0
AMC,D,19970915,000000,39.1954,39.1954,39.1954,39.1954,211310.80978223606,0
AMC,D,19970916,000000,40.9897,40.9897,40.9897,40.9897,53288.67202101258,0
AMC,D,19970917,000000,40.9897,40.9897,40.9897,40.9897,73782.23060363591,0
AMC,D,19970918,000000,41.2894,41.2894,41.2894,41.2894,74922.72529766739,0
AMC,D,19970919,000000,41.2894,41.2894,41.2894,41.2894,237982.83342219476,0
AMC,D,19970922,000000,41.8877,41.8877,41.8877,41.8877,59338.713605568366,0
AMC,D,19970923,000000,41.8877,41.8877,41.8877,41.8877,22501.20626715838,0
AMC,D,19970924,000000,40.6892,40.6892,40.6892,40.6892,18809.915072529548,0
AMC,D,19970925,000000,40.6892,40.6892,40.6892,40.6892,61804.679922312374,0
AMC,D,19970926,000000,40.9897,40.9897,40.9897,40.9897,139235.78662864765,0
AMC,D,19970929,000000,40.6892,40.6892,40.6892,40.6892,12752.80430598551,0
AMC,D,19970930,000000,41.2894,41.2894,41.2894,41.2894,47437.745729112066,0
AMC,D,19971001,000000,41.2894,41.2894,41.2894,41.2894,32595.998145732858,0
AMC,D,19971002,000000,41.8877,41.8877,41.8877,41.8877,16032.904748324037,0
AMC,D,19971003,000000,39.7948,39.7948,39.7948,39.7948,8758.716482880602,0
AMC,D,19971006,000000,40.0918,40.0918,40.0918,40.0918,44409.77944433897,0
AMC,D,19971007,000000,40.6892,40.6892,40.6892,40.6892,45856.60535784168,0
AMC,D,19971008,000000,41.5873,41.5873,41.5873,41.5873,39912.60150310285,0
AMC,D,19971009,000000,41.8877,41.8877,41.8877,41.8877,77712.69578885155,0
AMC,D,19971010,000000,42.1865,42.1865,42.1865,42.1865,83899.40822517186,0
AMC,D,19971013,000000,43.3832,43.3832,43.3832,43.3832,46541.13781365992,0
AMC,D,19971014,000000,45.4779,45.4779,45.4779,45.4779,50570.57154670426,0
AMC,D,19971015,000000,46.0772,46.0772,46.0772,46.0772,44313.16729050598,0
AMC,D,19971016,000000,46.0772,46.0772,46.0772,46.0772,102980.30860723362,0
AMC,D,19971017,000000,45.1792,45.1792,45.1792,45.1792,33575.07985104264,0
AMC,D,19971020,000000,45.4779,45.4779,45.4779,45.4779,106691.6291508271,0
AMC,D,19971021,000000,45.4779,45.4779,45.4779,45.4779,84530.92181608219,0
AMC,D,19971022,000000,46.0772,46.0772,46.0772,46.0772,39466.06484087355,0
AMC,D,19971023,000000,45.4779,45.4779,45.4779,45.4779,14257.361872388663,0
AMC,D,19971024,000000,43.682,43.682,43.682,43.682,19655.86051706949,0
AMC,D,19971027,000000,41.5873,41.5873,41.5873,41.5873,21082.65708160642,0
AMC,D,19971028,000000,37.7,37.7,37.7,37.7,0,0
AMC,D,19971029,000000,41.2894,41.2894,41.2894,41.2894,78855.54687687875,0
AMC,D,19971030,000000,40.0918,40.0918,40.0918,40.0918,73041.14469191508,0
AMC,D,19971031,000000,39.1954,39.1954,39.1954,39.1954,18039.374235860112,0
AMC,D,19971103,000000,40.3914,40.3914,40.3914,40.3914,8305.11063866362,0
AMC,D,19971104,000000,41.2894,41.2894,41.2894,41.2894,28309.717467131657,0
AMC,D,19971105,000000,41.8877,41.8877,41.8877,41.8877,16109.487553191278,0
AMC,D,19971106,000000,40.9897,40.9897,40.9897,40.9897,13041.462570487787,0
AMC,D,19971107,000000,41.2894,41.2894,41.2894,41.2894,37425.427640395224,0
AMC,D,19971112,000000,40.6892,40.6892,40.6892,40.6892,113654.77340881173,0
AMC,D,19971113,000000,40.0918,40.0918,40.0918,40.0918,32292.023320257358,0
AMC,D,19971114,000000,39.4934,39.4934,39.4934,39.4934,26064.07398900767,0
AMC,D,19971117,000000,40.3914,40.3914,40.3914,40.3914,31071.41123036394,0
AMC,D,19971118,000000,40.9897,40.9897,40.9897,40.9897,40725.55743169952,0
AMC,D,19971119,000000,40.6892,40.6892,40.6892,40.6892,86450.20472576807,0
AMC,D,19971120,000000,40.6892,40.6892,40.6892,40.6892,40570.03542796707,0
AMC,D,19971121,000000,40.3914,40.3914,40.3914,40.3914,39224.53445628993,0
AMC,D,19971124,000000,39.4934,39.4934,39.4934,39.4934,14659.127048695016,0
AMC,D,19971125,000000,38.2975,38.2975,38.2975,38.2975,22287.952610526612,0
AMC,D,19971126,000000,38.5946,38.5946,38.5946,38.5946,9433.823362715222,0
AMC,D,19971127,000000,37.7,37.7,37.7,37.7,8715.123193955853,0
AMC,D,19971128,000000,37.1007,37.1007,37.1007,37.1007,7350.771070311012,0
AMC,D,19971201,000000,37.9971,37.9971,37.9971,37.9971,3793.794333451108,0
AMC,D,19971202,000000,37.9971,37.9971,37.9971,37.9971,60982.29841773176,0
AMC,D,19971203,000000,37.9971,37.9971,37.9971,37.9971,15440.271658346259,0
AMC,D,19971204,000000,36.8028,36.8028,36.8028,36.8028,36312.031477317745,0
AMC,D,19971205,000000,37.7,37.7,37.7,37.7,28031.66297561119,0
AMC,D,19971208,000000,37.3995,37.3995,37.3995,37.3995,31619.272834418778,0
AMC,D,19971209,000000,37.1007,37.1007,37.1007,37.1007,27702.946013178516,0
AMC,D,19971210,000000,36.8028,36.8028,36.8028,36.8028,5537.5258904410575,0
AMC,D,19971211,000000,36.2028,36.2028,36.2028,36.2028,42625.98918941863,0
