<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APR,D,20160606,000000,2.29213,2.29213,2.25407,2.26352,10608.458938814478,0
APR,D,20160607,000000,2.31112,2.3777,2.26352,2.2826,3254.5697445108,0
APR,D,20160608,000000,2.3777,2.3777,2.29213,2.36815,962.0510176561743,0
APR,D,20160609,000000,2.46336,2.4728,2.31112,2.31112,38317.013751438,0
APR,D,20160610,000000,2.3777,2.3777,2.30157,2.3302,6597.366443832616,0
APR,D,20160613,000000,2.3302,2.52993,2.3302,2.40631,23822.887229229676,0
APR,D,20160614,000000,2.4253,2.46336,2.41576,2.46336,7576.0207463606475,0
APR,D,20160615,000000,2.6631,2.6631,2.49187,2.51086,14414.15795639512,0
APR,D,20160616,000000,2.74866,2.74866,2.57744,2.57744,16168.034577173677,0
APR,D,20160617,000000,2.57744,2.63449,2.51086,2.63449,4695.06011775348,0
APR,D,20160620,000000,2.84377,2.99592,2.68209,2.69154,27615.107268421678,0
APR,D,20160621,000000,2.84377,2.84377,2.68209,2.79617,9354.833477158192,0
APR,D,20160622,000000,2.79617,3.04352,2.75811,2.98639,149207.26129269678,0
APR,D,20160623,000000,3.02443,3.21465,2.84377,2.90073,255572.49508161997,0
APR,D,20160624,000000,2.6631,2.78673,2.56791,2.74866,137093.28093938399,0
APR,D,20160627,000000,2.83424,2.84377,2.74866,2.83424,79299.1434163612,0
APR,D,20160628,000000,2.83424,2.84377,2.7105,2.76766,66235.19685482216,0
APR,D,20160629,000000,3.03398,3.03398,2.8057,2.95786,67394.3889962452,0
APR,D,20160630,000000,3.0149,3.0149,2.91037,2.95786,14101.72730807336,0
APR,D,20160701,000000,2.99592,2.99592,2.86276,2.93888,6788.32534363108,0
APR,D,20160704,000000,2.88174,2.93888,2.75811,2.81515,15786.096659698558,0
APR,D,20160705,000000,2.8533,2.8533,2.76766,2.8057,4378.5254222805515,0
APR,D,20160706,000000,2.84377,2.84377,2.7105,2.74866,10088.512376942239,0
APR,D,20160707,000000,2.78673,2.78673,2.67254,2.73913,11158.48172858376,0
APR,D,20160708,000000,2.73913,2.8533,2.7105,2.82469,28254.352847972477,0
APR,D,20160711,000000,2.82469,2.98639,2.82469,2.97694,622332.4793547855,0
APR,D,20160712,000000,2.9674,3.04352,2.94832,3.00547,255326.05107376797,0
APR,D,20160713,000000,3.02443,3.13852,2.9674,3.13852,334994.8605019072,0
APR,D,20160714,000000,3.13852,3.35736,3.13852,3.30975,471307.56776744156,0
APR,D,20160715,000000,3.3193,3.32873,3.21465,3.24317,111905.697443,0
