<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,19970424,000000,1.26247,1.26247,1.26247,1.26247,2511427.8092052094,0
APT,D,19970425,000000,1.21061,1.21061,1.21061,1.21061,1180021.3600101483,0
APT,D,19970428,000000,1.10078,1.10078,1.10078,1.10078,567760.4630251981,0
APT,D,19970429,000000,1.01207,1.01207,1.01207,1.01207,2343180.2312405338,0
APT,D,19970430,000000,1.06943,1.06943,1.06943,1.06943,994060.0170712199,0
APT,D,19970505,000000,1.05905,1.05905,1.05905,1.05905,1932865.1054396755,0
APT,D,19970506,000000,1.12705,1.12705,1.12705,1.12705,2352725.9370779768,0
APT,D,19970507,000000,1.12182,1.12182,1.12182,1.12182,1169596.4291015258,0
APT,D,19970508,000000,1.15832,1.15832,1.15832,1.15832,1039883.3645152992,0
APT,D,19970509,000000,1.22074,1.22074,1.22074,1.22074,1012368.8602061399,0
APT,D,19970512,000000,1.25216,1.25216,1.25216,1.25216,1400485.5909021858,0
APT,D,19970513,000000,1.25741,1.25741,1.25741,1.25741,951717.469279245,0
APT,D,19970514,000000,1.17918,1.17918,1.17918,1.17918,497453.8998281394,0
APT,D,19970515,000000,1.22074,1.22074,1.22074,1.22074,457981.9345528556,0
APT,D,19970516,000000,1.21061,1.21061,1.21061,1.21061,374340.26368897315,0
APT,D,19970519,000000,1.23139,1.23139,1.23139,1.23139,306232.34543777123,0
APT,D,19970520,000000,1.23139,1.23139,1.23139,1.23139,184622.1259432504,0
APT,D,19970521,000000,1.19472,1.19472,1.19472,1.19472,537530.2595562193,0
APT,D,19970522,000000,1.17918,1.17918,1.17918,1.17918,594522.6767437729,0
APT,D,19970523,000000,1.05905,1.05905,1.05905,1.05905,508438.97280178213,0
APT,D,19970526,000000,1.06943,1.06943,1.06943,1.06943,437341.6893090491,0
APT,D,19970527,000000,1.04351,1.04351,1.04351,1.04351,527963.5920614124,0
APT,D,19970528,000000,1.04351,1.04351,1.04351,1.04351,422320.3327642606,0
APT,D,19970530,000000,1.09554,1.09554,1.09554,1.09554,315131.73350780294,0
APT,D,19970602,000000,1.05905,1.05905,1.05905,1.05905,168240.59074551088,0
APT,D,19970603,000000,1.07998,1.07998,1.07998,1.07998,352052.1992722917,0
APT,D,19970604,000000,1.05905,1.05905,1.05905,1.05905,491003.53205532185,0
APT,D,19970605,000000,1.04857,1.04857,1.04857,1.04857,314540.14895668434,0
APT,D,19970606,000000,1.06943,1.06943,1.06943,1.06943,137655.20363856995,0
APT,D,19970609,000000,1.09049,1.09049,1.09049,1.09049,179563.37930935607,0
APT,D,19970610,000000,1.06437,1.06437,1.06437,1.06437,399389.4441896702,0
APT,D,19970611,000000,1.04857,1.04857,1.04857,1.04857,190295.74785861745,0
APT,D,19970612,000000,1.13727,1.13727,1.13727,1.13727,571680.2929445506,0
APT,D,19970613,000000,1.16346,1.16346,1.16346,1.16346,606855.118468666,0
APT,D,19970616,000000,1.14251,1.14251,1.14251,1.14251,208367.02554386915,0
APT,D,19970617,000000,1.12705,1.12705,1.12705,1.12705,186623.96421757547,0
APT,D,19970618,000000,1.12705,1.12705,1.12705,1.12705,707269.6088003162,0
APT,D,19970619,000000,1.14251,1.14251,1.14251,1.14251,1205331.396690822,0
APT,D,19970620,000000,1.17918,1.17918,1.17918,1.17918,553847.745245468,0
APT,D,19970623,000000,1.14251,1.14251,1.14251,1.14251,349699.8355060639,0
APT,D,19970624,000000,1.14251,1.14251,1.14251,1.14251,670130.2101704538,0
APT,D,19970625,000000,1.19472,1.19472,1.19472,1.19472,665650.2381859777,0
APT,D,19970626,000000,1.17918,1.17918,1.17918,1.17918,1399669.2508032026,0
APT,D,19970627,000000,1.19472,1.19472,1.19472,1.19472,555644.6250926432,0
APT,D,19970630,000000,1.19472,1.19472,1.19472,1.19472,391250.49846585246,0
