<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20071030,000000,2.52081,2.68099,2.40416,2.50968,359092.2618092535,0
ASB,D,20071031,000000,2.50603,2.50603,2.42233,2.42233,60520.13489791487,0
ASB,D,20071102,000000,2.44055,2.49506,2.42233,2.45873,67752.60341716059,0
ASB,D,20071105,000000,2.50603,2.50603,2.42233,2.42233,52797.41984798598,0
ASB,D,20071106,000000,2.45873,2.45873,2.44055,2.45873,36330.198745317684,0
ASB,D,20071107,000000,2.45873,2.4624,2.33127,2.33127,121084.23212058983,0
ASB,D,20071108,000000,2.34959,2.40048,2.11636,2.40048,90523.75545242497,0
ASB,D,20071109,000000,2.24022,2.40416,2.24022,2.40048,39347.61285401019,0
ASB,D,20071112,000000,2.50968,2.50968,2.25846,2.36776,31076.03484038101,0
ASB,D,20071113,000000,2.40416,2.41511,2.36776,2.36776,143788.77457288373,0
ASB,D,20071114,000000,2.51345,2.51345,2.36776,2.45513,940.5273115835253,0
ASB,D,20071115,000000,2.36776,2.41511,2.19278,2.41511,15810.4506145523,0
ASB,D,20071116,000000,2.36399,2.36776,2.36399,2.36776,3591.5887139223487,0
ASB,D,20071119,000000,2.40416,2.41511,2.40416,2.41511,270.4349068717505,0
ASB,D,20071120,000000,2.40416,2.40416,2.27295,2.27295,1298.8868679800048,0
ASB,D,20071121,000000,2.16004,2.16004,2.0034,2.0034,3956.6092286161947,0
ASB,D,20071122,000000,2.0034,2.0034,2.0034,2.0034,1922.35256461053,0
ASB,D,20071123,000000,1.82495,2.25477,1.82495,2.25477,1236.2738599851143,0
ASB,D,20071126,000000,2.40048,2.41511,2.18564,2.18564,16282.046462001781,0
ASB,D,20071127,000000,2.18564,2.29111,2.18564,2.24022,2341.9929373425884,0
ASB,D,20071128,000000,2.11276,2.36776,2.11276,2.36776,33447.33599423127,0
ASB,D,20071130,000000,2.16734,2.44055,2.16734,2.44055,238683.45086001986,0
ASB,D,20071203,000000,2.44055,2.51345,2.36776,2.51345,89721.77607342477,0
ASB,D,20071205,000000,2.43696,2.47696,2.3167,2.44055,21799.984315513222,0
ASB,D,20071206,000000,2.44055,2.50968,2.44055,2.50968,24901.326498753584,0
ASB,D,20071210,000000,2.36399,2.43696,2.36399,2.37135,2824.2463180695377,0
ASB,D,20071211,000000,2.36776,2.64076,2.36776,2.64076,207118.5016806153,0
ASB,D,20071212,000000,2.64819,2.64819,2.557,2.62267,18056.52575241169,0
ASB,D,20071213,000000,2.557,2.61906,2.557,2.61906,2331.3354040667623,0
ASB,D,20071214,000000,2.52081,2.62267,2.36776,2.62267,280034.6799698731,0
ASB,D,20071217,000000,2.61906,2.61906,2.5753,2.5753,1799.790931939568,0
ASB,D,20071218,000000,2.54978,2.54978,2.54978,2.54978,550.1951553597643,0
ASB,D,20071219,000000,2.62267,2.62267,2.62267,2.62267,5489.9618286625155,0
ASB,D,20071220,000000,2.62267,2.8776,2.62267,2.8776,60548.1109227638,0
ASB,D,20071221,000000,2.8776,3.09626,2.8776,2.98688,25660.675744647848,0
ASB,D,20071227,000000,2.99057,3.24189,2.98688,3.09626,15922.354713945793,0
ASB,D,20071228,000000,3.22372,3.27836,3.11448,3.20539,54793.042953866905,0
ASB,D,20080102,000000,3.333,3.333,3.20539,3.27836,18402.895583874666,0
ASB,D,20080103,000000,3.24189,3.27836,3.09626,3.09626,15881.056772502772,0
ASB,D,20080104,000000,3.09626,3.09626,3.09626,3.09626,5130.2700806064195,0
ASB,D,20080107,000000,3.03063,3.03063,2.80111,2.91401,13047.485112817149,0
ASB,D,20080108,000000,2.8047,2.80837,2.8047,2.80837,4605.386566776493,0
ASB,D,20080109,000000,2.65909,2.76845,2.58626,2.76845,17543.631963516997,0
ASB,D,20080110,000000,2.65909,2.69188,2.58626,2.69188,6323.913807488665,0
ASB,D,20080111,000000,2.65909,2.65909,2.55339,2.64076,9176.136150406906,0
ASB,D,20080114,000000,2.65179,2.65179,2.40416,2.54978,16820.251892427226,0
ASB,D,20080115,000000,2.54978,2.73188,2.54978,2.62267,8306.214996775157,0
ASB,D,20080116,000000,2.47696,2.54978,2.25846,2.47696,22729.854093821366,0
ASB,D,20080117,000000,2.40416,2.65909,2.40416,2.44055,104329.25761947894,0
ASB,D,20080118,000000,2.54978,2.54978,2.47696,2.48425,6310.59189089391,0
ASB,D,20080121,000000,2.54978,2.54978,2.24382,2.42233,8721.858794528765,0
ASB,D,20080122,000000,2.49506,2.49506,2.36776,2.36776,1650.5854660793145,0
ASB,D,20080123,000000,2.48425,2.49506,2.36776,2.36776,49823.96806405574,0
ASB,D,20080124,000000,2.40416,2.60436,2.36776,2.60436,4875.821473648297,0
ASB,D,20080125,000000,2.8776,2.8776,2.56802,2.60436,15619.94720724837,0
ASB,D,20080128,000000,2.62267,2.62267,2.40416,2.42961,2468.551144991889,0
ASB,D,20080129,000000,2.46603,2.72461,2.44055,2.44055,4183.081810725615,0
ASB,D,20080130,000000,2.47696,2.65179,2.38584,2.65179,10782.759291723834,0
ASB,D,20080131,000000,2.69549,2.69549,2.54978,2.54978,17714.15249592978,0
ASB,D,20080201,000000,2.58996,2.58996,2.48072,2.58996,5287.46869642357,0
ASB,D,20080204,000000,2.64076,2.64076,2.54978,2.54978,97973.37121216279,0
ASB,D,20080205,000000,2.54978,2.54978,2.47696,2.47696,36355.51038684845,0
ASB,D,20080206,000000,2.40416,2.47696,2.36776,2.47696,96277.49122966114,0
ASB,D,20080207,000000,2.44055,2.54978,2.41129,2.54978,143943.3088053766,0
ASB,D,20080211,000000,2.54258,2.67723,2.54258,2.67723,2632.4107191061985,0
ASB,D,20080212,000000,2.65909,2.65909,2.58996,2.64076,4528.119450527437,0
ASB,D,20080213,000000,2.62267,2.62267,2.62267,2.62267,550.1951553597643,0
ASB,D,20080214,000000,2.65909,2.65909,2.51345,2.62267,6357.218598975335,0
ASB,D,20080215,000000,2.51345,2.60436,2.51345,2.60436,2745.647010160963,0
ASB,D,20080218,000000,2.54978,2.60436,2.40416,2.60436,4609.383141754941,0
ASB,D,20080219,000000,2.42233,2.56802,2.42233,2.56802,5516.605661851808,0
ASB,D,20080220,000000,2.44055,2.54258,2.40416,2.54258,4777.239290847699,0
ASB,D,20080221,000000,2.42592,2.54258,2.40416,2.5389,158089.85203727474,0
ASB,D,20080222,000000,2.44055,2.51345,2.44055,2.51345,2749.6435851393016,0
ASB,D,20080225,000000,2.5389,2.5389,2.40416,2.51345,93357.3271121106,0
ASB,D,20080226,000000,2.51345,2.53529,2.51345,2.53529,3620.896930430679,0
ASB,D,20080227,000000,2.51345,2.52081,2.51345,2.51345,30331.33970273937,0
ASB,D,20080228,000000,2.51345,2.51345,2.38584,2.50603,17955.27918629303,0
ASB,D,20080229,000000,2.54625,2.60436,2.48786,2.59708,37009.61649164518,0
ASB,D,20080303,000000,2.58626,2.58626,2.54625,2.54978,17572.940180025544,0
