<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AST,D,20060817,000000,15.2115,15.2915,15.0115,15.1715,445441.86228208116,0
AST,D,20060818,000000,15.1715,15.2515,15.0915,15.2115,86472.68649703794,0
AST,D,20060821,000000,15.2515,15.2515,14.3732,14.7724,7913.302081179432,0
AST,D,20060822,000000,14.3732,14.4524,14.1333,14.1333,5249.133045659514,0
AST,D,20060823,000000,14.3732,14.7724,14.2932,14.6924,6844.034238545088,0
AST,D,20060824,000000,14.8524,14.8524,14.3732,14.5324,3896.647233483412,0
AST,D,20060825,000000,14.2932,14.5324,14.2932,14.3732,6752.828451743505,0
AST,D,20060828,000000,14.0533,14.5324,14.0533,14.2133,1771.3123857781077,0
AST,D,20060829,000000,14.3732,14.5324,14.2932,14.5324,2504.5589086171485,0
AST,D,20060830,000000,14.2932,14.4524,14.1333,14.4524,6746.8280710328745,0
AST,D,20060831,000000,14.4524,14.6924,14.3732,14.3732,9058.174720767722,0
AST,D,20060901,000000,14.3332,14.4925,14.2932,14.4925,7572.480456815622,0
AST,D,20060904,000000,14.4524,15.0115,14.3732,14.3807,5607.955812155215,0
AST,D,20060905,000000,14.4925,14.7724,14.3807,14.5324,4233.868629420843,0
AST,D,20060906,000000,14.5324,14.7724,14.1416,14.3732,8795.358045642108,0
AST,D,20060907,000000,14.6841,14.6924,14.4925,14.6124,3006.1907360258533,0
AST,D,20060908,000000,14.6124,14.6124,14.4524,14.5324,7541.278477120345,0
AST,D,20060911,000000,14.5482,14.6041,14.0533,14.6041,3455.019213181011,0
AST,D,20060912,000000,14.6041,14.6924,14.4124,14.4524,12670.403908567474,0
AST,D,20060913,000000,14.2932,14.7724,14.2932,14.6124,29653.881471935667,0
AST,D,20060914,000000,14.6524,14.6524,14.5407,14.5407,2642.5676649616485,0
AST,D,20060915,000000,14.4124,14.5249,14.3332,14.4124,5697.961522814672,0
AST,D,20060918,000000,14.4124,14.4124,14.2932,14.2932,3069.794771558536,0
AST,D,20060919,000000,14.3007,14.3007,14.0616,14.1734,5169.928020279192,0
AST,D,20060920,000000,14.0533,14.6124,14.0533,14.3732,32888.086674965474,0
AST,D,20060921,000000,14.3732,14.6124,14.3732,14.4524,7639.684720774684,0
AST,D,20060922,000000,14.6124,14.6124,14.4449,14.4524,5289.9356344918015,0
AST,D,20060925,000000,14.5324,14.6041,14.2691,14.5324,22981.45812171461,0
AST,D,20060926,000000,14.5166,14.9315,14.5166,14.9241,51624.87548198033,0
AST,D,20060927,000000,15.0115,15.2515,14.8041,15.0115,43734.37484750129,0
AST,D,20060928,000000,15.1315,15.4907,15.0273,15.2515,68037.11680169606,0
AST,D,20060929,000000,15.3307,15.339,15.1715,15.1715,2629.3668273982616,0
AST,D,20061002,000000,15.0915,15.3307,15.0915,15.1715,40165.34840081763,0
AST,D,20061003,000000,15.1715,15.1715,14.8524,15.1715,77908.94314682571,0
AST,D,20061004,000000,15.1715,15.1715,14.8682,14.8682,14075.693070996454,0
AST,D,20061005,000000,15.1232,15.1232,14.7724,14.9799,817.2518527878668,0
AST,D,20061006,000000,15.1632,15.3149,15.1557,15.3149,92795.88768989984,0
