<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC,D,20091023,000000,10.5176,10.6877,10.2462,10.4501,168522.15688123368,0
ATC,D,20091026,000000,10.511,10.511,10.3548,10.3827,25185.12191189126,0
ATC,D,20091027,000000,10.3827,10.5725,10.2462,10.5725,101649.38595512365,0
ATC,D,20091028,000000,10.511,10.511,10.2397,10.2537,21312.266071244314,0
ATC,D,20091029,000000,10.2602,10.2602,9.90685,10.0499,36880.3435079626,0
ATC,D,20091030,000000,9.93399,10.0433,9.90685,9.97509,27706.189238884028,0
ATC,D,20091102,000000,10.0433,10.0433,9.94135,9.97509,39482.93183442968,0
ATC,D,20091103,000000,9.97509,10.1723,9.83947,10.077,7559.5517869741625,0
ATC,D,20091104,000000,10.1444,10.1444,9.97509,9.97509,8229.970752791443,0
ATC,D,20091105,000000,9.87321,10.1723,9.87321,9.8863,8694.76212292248,0
ATC,D,20091106,000000,9.90685,10.0901,9.80497,10.0836,7102.060804855656,0
ATC,D,20091109,000000,9.8798,10.5176,9.8798,10.2602,17149.82817276632,0
ATC,D,20091110,000000,10.4156,10.4156,10.1921,10.3145,14542.372920958978,0
ATC,D,20091112,000000,10.2808,10.3145,10.1649,10.1649,17391.957708515565,0
ATC,D,20091113,000000,10.2118,10.2462,10.2118,10.2462,1496.5795425685212,0
ATC,D,20091116,000000,10.3827,10.4772,10.1855,10.2669,16099.789030298578,0
ATC,D,20091117,000000,10.1921,10.2462,10.1781,10.1781,3880.1562286593607,0
ATC,D,20091118,000000,10.1781,10.1781,9.97509,10.0433,11393.472224887504,0
ATC,D,20091119,000000,10.0087,10.0704,9.9274,9.94135,7917.270799588103,0
ATC,D,20091120,000000,10.0087,10.0836,9.91421,10.0836,2092.777896925086,0
ATC,D,20091123,000000,9.90685,9.97509,9.90685,9.94804,268.89762512816515,0
ATC,D,20091124,000000,9.94804,10.0014,9.91421,9.94135,4571.259627178808,0
ATC,D,20091125,000000,9.94135,9.96773,9.84606,9.84606,3730.4982744025083,0
ATC,D,20091126,000000,9.89949,9.89949,9.70385,9.77123,2173.082165062909,0
ATC,D,20091127,000000,9.49923,9.75727,9.43186,9.74408,36775.70461311612,0
ATC,D,20091130,000000,9.54113,9.83947,9.46555,9.73845,16421.006102849635,0
ATC,D,20091201,000000,9.6357,9.66275,9.51319,9.62911,15802.90658445477,0
ATC,D,20091202,000000,9.62911,9.6357,9.49923,9.62911,55773.747684389324,0
ATC,D,20091203,000000,9.5066,10.077,9.49923,10.077,56736.18217070743,0
ATC,D,20091204,000000,10.063,10.1781,9.84606,10.1583,12400.925770617032,0
ATC,D,20091207,000000,10.1583,10.1583,9.97509,10.1041,12865.717140747356,0
ATC,D,20091208,000000,10.1649,11.0197,10.1649,10.7344,544919.2122252277,0
ATC,D,20091209,000000,10.8709,11.2982,10.8225,11.1964,305625.87721919833,0
ATC,D,20091210,000000,11.3255,11.3452,10.9383,10.9934,62476.72061122589,0
ATC,D,20091211,000000,11.0616,11.1216,10.8906,11.0131,54814.963392076424,0
ATC,D,20091214,000000,10.9318,11.0271,10.7887,10.9252,51347.27908612497,0
ATC,D,20091215,000000,10.884,10.9934,10.884,10.9654,43611.30125551516,0
ATC,D,20091216,000000,10.884,11.0468,10.8643,11.0468,95300.48184689325,0
ATC,D,20091217,000000,11.0271,11.1216,10.8906,10.986,99668.54734105663,0
ATC,D,20091218,000000,11.0271,11.0271,10.7756,10.9934,93561.77276857664,0
ATC,D,20091221,000000,10.9934,11.0271,10.9597,10.9597,28638.20544181718,0
ATC,D,20091222,000000,10.9597,10.9654,10.8225,10.9597,55480.515432551896,0
ATC,D,20091223,000000,10.9794,10.9794,10.8299,10.9728,13225.869616032376,0
ATC,D,20091228,000000,10.9597,10.986,10.9252,10.9597,8360.16100568155,0
ATC,D,20091229,000000,10.9383,11.0468,10.8981,10.9597,13679.710404144736,0
ATC,D,20091230,000000,10.9252,11.0402,10.9252,10.986,2904.3376976512677,0
