<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATD,D,20120528,000000,1.26302,1.26302,0.986609,1.03428,203782.61778013344,0
ATD,D,20120529,000000,1.03428,1.07243,0.83893,0.953298,35164.20328892902,0
ATD,D,20120530,000000,0.905542,0.924663,0.881841,0.924663,226466.46964834654,0
ATD,D,20120531,000000,0.888485,0.903477,0.76361,0.833544,574516.1129150189,0
ATD,D,20120601,000000,0.853204,0.853204,0.81505,0.81505,103235.80944029914,0
ATD,D,20120604,000000,0.805534,0.805534,0.734075,0.791081,393122.1583984494,0
ATD,D,20120605,000000,0.76361,0.808586,0.713786,0.723751,124061.64397811647,0
ATD,D,20120606,000000,0.708759,0.76361,0.708759,0.738743,57455.95557662693,0
ATD,D,20120608,000000,0.719711,0.719711,0.667284,0.667284,50981.85682107525,0
ATD,D,20120611,000000,0.671952,0.671952,0.643584,0.667284,670175.0435295675,0
ATD,D,20120612,000000,0.667284,0.6768,0.643584,0.667284,731802.6267454823,0
ATD,D,20120613,000000,0.6768,0.6768,0.648252,0.662435,109729.95874258173,0
ATD,D,20120614,000000,0.667284,0.667284,0.648252,0.648252,227226.16258559466,0
ATD,D,20120615,000000,0.668899,0.678775,0.653908,0.678775,198117.22440939432,0
ATD,D,20120618,000000,0.691163,0.705257,0.681558,0.686406,466713.23449712835,0
ATD,D,20120619,000000,0.700589,0.700589,0.695831,0.695831,49726.46981186899,0
ATD,D,20120620,000000,0.714953,0.738743,0.714953,0.714953,21573.274363174365,0
ATD,D,20120621,000000,0.738743,0.757775,0.738743,0.748259,270743.64642646484,0
ATD,D,20120622,000000,0.76361,0.76361,0.713786,0.758672,670112.6640508493,0
ATD,D,20120625,000000,0.781565,0.781565,0.719711,0.719711,195352.4767990572,0
ATD,D,20120626,000000,0.710105,0.772139,0.710105,0.714953,99733.64727797045,0
ATD,D,20120627,000000,0.703822,0.713786,0.688829,0.688829,391508.0893866128,0
ATD,D,20120628,000000,0.713786,0.733716,0.688829,0.733716,19940.26872386969,0
